Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2016;00:00;01:00;104
01.01.2016;01:00;02:00;105
01.01.2016;02:00;03:00;104
01.01.2016;03:00;04:00;106
01.01.2016;04:00;05:00;108
01.01.2016;05:00;06:00;107
01.01.2016;06:00;07:00;106
01.01.2016;07:00;08:00;106
01.01.2016;08:00;09:00;105
01.01.2016;09:00;10:00;105
01.01.2016;10:00;11:00;107
01.01.2016;11:00;12:00;108
01.01.2016;12:00;13:00;108
01.01.2016;13:00;14:00;107
01.01.2016;14:00;15:00;107
01.01.2016;15:00;16:00;105
01.01.2016;16:00;17:00;105
01.01.2016;17:00;18:00;105
01.01.2016;18:00;19:00;104
01.01.2016;19:00;20:00;105
01.01.2016;20:00;21:00;101
01.01.2016;21:00;22:00;104
01.01.2016;22:00;23:00;104
01.01.2016;23:00;00:00;104
02.01.2016;00:00;01:00;104
02.01.2016;01:00;02:00;103
02.01.2016;02:00;03:00;104
02.01.2016;03:00;04:00;104
02.01.2016;04:00;05:00;104
02.01.2016;05:00;06:00;100
02.01.2016;06:00;07:00;99
02.01.2016;07:00;08:00;100
02.01.2016;08:00;09:00;100
02.01.2016;09:00;10:00;100
02.01.2016;10:00;11:00;101
02.01.2016;11:00;12:00;99
02.01.2016;12:00;13:00;100
02.01.2016;13:00;14:00;100
02.01.2016;14:00;15:00;100
02.01.2016;15:00;16:00;100
02.01.2016;16:00;17:00;101
02.01.2016;17:00;18:00;102
02.01.2016;18:00;19:00;99
02.01.2016;19:00;20:00;102
02.01.2016;20:00;21:00;102
02.01.2016;21:00;22:00;103
02.01.2016;22:00;23:00;105
02.01.2016;23:00;00:00;106
03.01.2016;00:00;01:00;106
03.01.2016;01:00;02:00;106
03.01.2016;02:00;03:00;106
03.01.2016;03:00;04:00;105
03.01.2016;04:00;05:00;104
03.01.2016;05:00;06:00;102
03.01.2016;06:00;07:00;104
03.01.2016;07:00;08:00;108
03.01.2016;08:00;09:00;108
03.01.2016;09:00;10:00;109
03.01.2016;10:00;11:00;109
03.01.2016;11:00;12:00;108
03.01.2016;12:00;13:00;109
03.01.2016;13:00;14:00;106
03.01.2016;14:00;15:00;107
03.01.2016;15:00;16:00;107
03.01.2016;16:00;17:00;109
03.01.2016;17:00;18:00;108
03.01.2016;18:00;19:00;109
03.01.2016;19:00;20:00;108
03.01.2016;20:00;21:00;108
03.01.2016;21:00;22:00;109
03.01.2016;22:00;23:00;109
03.01.2016;23:00;00:00;109
04.01.2016;00:00;01:00;109
04.01.2016;01:00;02:00;112
04.01.2016;02:00;03:00;112
04.01.2016;03:00;04:00;110
04.01.2016;04:00;05:00;110
04.01.2016;05:00;06:00;109
04.01.2016;06:00;07:00;110
04.01.2016;07:00;08:00;108
04.01.2016;08:00;09:00;107
04.01.2016;09:00;10:00;110
04.01.2016;10:00;11:00;106
04.01.2016;11:00;12:00;108
04.01.2016;12:00;13:00;108
04.01.2016;13:00;14:00;108
04.01.2016;14:00;15:00;109
04.01.2016;15:00;16:00;107
04.01.2016;16:00;17:00;108
04.01.2016;17:00;18:00;111
04.01.2016;18:00;19:00;112
04.01.2016;19:00;20:00;113
04.01.2016;20:00;21:00;113
04.01.2016;21:00;22:00;116
04.01.2016;22:00;23:00;118
04.01.2016;23:00;00:00;119
05.01.2016;00:00;01:00;119
05.01.2016;01:00;02:00;119
05.01.2016;02:00;03:00;119
05.01.2016;03:00;04:00;119
05.01.2016;04:00;05:00;119
05.01.2016;05:00;06:00;119
05.01.2016;06:00;07:00;117
05.01.2016;07:00;08:00;117
05.01.2016;08:00;09:00;118
05.01.2016;09:00;10:00;118
05.01.2016;10:00;11:00;119
05.01.2016;11:00;12:00;119
05.01.2016;12:00;13:00;119
05.01.2016;13:00;14:00;119
05.01.2016;14:00;15:00;119
05.01.2016;15:00;16:00;119
05.01.2016;16:00;17:00;119
05.01.2016;17:00;18:00;119
05.01.2016;18:00;19:00;119
05.01.2016;19:00;20:00;119
05.01.2016;20:00;21:00;119
05.01.2016;21:00;22:00;121
05.01.2016;22:00;23:00;123
05.01.2016;23:00;00:00;123
06.01.2016;00:00;01:00;123
06.01.2016;01:00;02:00;123
06.01.2016;02:00;03:00;123
06.01.2016;03:00;04:00;123
06.01.2016;04:00;05:00;123
06.01.2016;05:00;06:00;123
06.01.2016;06:00;07:00;123
06.01.2016;07:00;08:00;123
06.01.2016;08:00;09:00;126
06.01.2016;09:00;10:00;127
06.01.2016;10:00;11:00;129
06.01.2016;11:00;12:00;130
06.01.2016;12:00;13:00;130
06.01.2016;13:00;14:00;129
06.01.2016;14:00;15:00;127
06.01.2016;15:00;16:00;126
06.01.2016;16:00;17:00;124
06.01.2016;17:00;18:00;124
06.01.2016;18:00;19:00;124
06.01.2016;19:00;20:00;124
06.01.2016;20:00;21:00;124
06.01.2016;21:00;22:00;124
06.01.2016;22:00;23:00;124
06.01.2016;23:00;00:00;124
07.01.2016;00:00;01:00;124
07.01.2016;01:00;02:00;124
07.01.2016;02:00;03:00;124
07.01.2016;03:00;04:00;124
07.01.2016;04:00;05:00;124
07.01.2016;05:00;06:00;124
07.01.2016;06:00;07:00;124
07.01.2016;07:00;08:00;122
07.01.2016;08:00;09:00;122
07.01.2016;09:00;10:00;125
07.01.2016;10:00;11:00;125
07.01.2016;11:00;12:00;124
07.01.2016;12:00;13:00;122
07.01.2016;13:00;14:00;121
07.01.2016;14:00;15:00;121
07.01.2016;15:00;16:00;120
07.01.2016;16:00;17:00;120
07.01.2016;17:00;18:00;119
07.01.2016;18:00;19:00;118
07.01.2016;19:00;20:00;118
07.01.2016;20:00;21:00;118
07.01.2016;21:00;22:00;121
07.01.2016;22:00;23:00;121
07.01.2016;23:00;00:00;121
08.01.2016;00:00;01:00;121
08.01.2016;01:00;02:00;123
08.01.2016;02:00;03:00;123
08.01.2016;03:00;04:00;125
08.01.2016;04:00;05:00;126
08.01.2016;05:00;06:00;126
08.01.2016;06:00;07:00;124
08.01.2016;07:00;08:00;122
08.01.2016;08:00;09:00;121
08.01.2016;09:00;10:00;119
08.01.2016;10:00;11:00;119
08.01.2016;11:00;12:00;121
08.01.2016;12:00;13:00;121
08.01.2016;13:00;14:00;122
08.01.2016;14:00;15:00;120
08.01.2016;15:00;16:00;119
08.01.2016;16:00;17:00;119
08.01.2016;17:00;18:00;119
08.01.2016;18:00;19:00;119
08.01.2016;19:00;20:00;120
08.01.2016;20:00;21:00;121
08.01.2016;21:00;22:00;122
08.01.2016;22:00;23:00;122
08.01.2016;23:00;00:00;123
09.01.2016;00:00;01:00;123
09.01.2016;01:00;02:00;123
09.01.2016;02:00;03:00;121
09.01.2016;03:00;04:00;122
09.01.2016;04:00;05:00;123
09.01.2016;05:00;06:00;130
09.01.2016;06:00;07:00;128
09.01.2016;07:00;08:00;130
09.01.2016;08:00;09:00;130
09.01.2016;09:00;10:00;130
09.01.2016;10:00;11:00;130
09.01.2016;11:00;12:00;129
09.01.2016;12:00;13:00;132
09.01.2016;13:00;14:00;133
09.01.2016;14:00;15:00;133
09.01.2016;15:00;16:00;133
09.01.2016;16:00;17:00;133
09.01.2016;17:00;18:00;133
09.01.2016;18:00;19:00;133
09.01.2016;19:00;20:00;133
09.01.2016;20:00;21:00;136
09.01.2016;21:00;22:00;137
09.01.2016;22:00;23:00;136
09.01.2016;23:00;00:00;136
10.01.2016;00:00;01:00;136
10.01.2016;01:00;02:00;136
10.01.2016;02:00;03:00;136
10.01.2016;03:00;04:00;136
10.01.2016;04:00;05:00;136
10.01.2016;05:00;06:00;136
10.01.2016;06:00;07:00;136
10.01.2016;07:00;08:00;137
10.01.2016;08:00;09:00;136
10.01.2016;09:00;10:00;136
10.01.2016;10:00;11:00;136
10.01.2016;11:00;12:00;136
10.01.2016;12:00;13:00;136
10.01.2016;13:00;14:00;137
10.01.2016;14:00;15:00;138
10.01.2016;15:00;16:00;139
10.01.2016;16:00;17:00;146
10.01.2016;17:00;18:00;152
10.01.2016;18:00;19:00;154
10.01.2016;19:00;20:00;153
10.01.2016;20:00;21:00;153
10.01.2016;21:00;22:00;153
10.01.2016;22:00;23:00;153
10.01.2016;23:00;00:00;153
11.01.2016;00:00;01:00;156
11.01.2016;01:00;02:00;159
11.01.2016;02:00;03:00;160
11.01.2016;03:00;04:00;158
11.01.2016;04:00;05:00;158
11.01.2016;05:00;06:00;157
11.01.2016;06:00;07:00;156
11.01.2016;07:00;08:00;155
11.01.2016;08:00;09:00;155
11.01.2016;09:00;10:00;155
11.01.2016;10:00;11:00;155
11.01.2016;11:00;12:00;155
11.01.2016;12:00;13:00;154
11.01.2016;13:00;14:00;155
11.01.2016;14:00;15:00;155
11.01.2016;15:00;16:00;155
11.01.2016;16:00;17:00;160
11.01.2016;17:00;18:00;161
11.01.2016;18:00;19:00;163
11.01.2016;19:00;20:00;165
11.01.2016;20:00;21:00;168
11.01.2016;21:00;22:00;169
11.01.2016;22:00;23:00;170
11.01.2016;23:00;00:00;173
12.01.2016;00:00;01:00;176
12.01.2016;01:00;02:00;177
12.01.2016;02:00;03:00;178
12.01.2016;03:00;04:00;179
12.01.2016;04:00;05:00;181
12.01.2016;05:00;06:00;183
12.01.2016;06:00;07:00;186
12.01.2016;07:00;08:00;189
12.01.2016;08:00;09:00;192
12.01.2016;09:00;10:00;197
12.01.2016;10:00;11:00;199
12.01.2016;11:00;12:00;200
12.01.2016;12:00;13:00;201
12.01.2016;13:00;14:00;199
12.01.2016;14:00;15:00;204
12.01.2016;15:00;16:00;209
12.01.2016;16:00;17:00;215
12.01.2016;17:00;18:00;217
