Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
06.07.2020;00:00;01:00;-
06.07.2020;01:00;02:00;-
06.07.2020;02:00;03:00;-
06.07.2020;03:00;04:00;-
06.07.2020;04:00;05:00;-
06.07.2020;05:00;06:00;-
06.07.2020;06:00;07:00;-
06.07.2020;07:00;08:00;-
06.07.2020;08:00;09:00;-
06.07.2020;09:00;10:00;-
06.07.2020;10:00;11:00;-
06.07.2020;11:00;12:00;-
06.07.2020;12:00;13:00;-
06.07.2020;13:00;14:00;-
06.07.2020;14:00;15:00;-
06.07.2020;15:00;16:00;-
06.07.2020;16:00;17:00;-
06.07.2020;17:00;18:00;-
06.07.2020;18:00;19:00;-
06.07.2020;19:00;20:00;-
06.07.2020;20:00;21:00;-
06.07.2020;21:00;22:00;-
06.07.2020;22:00;23:00;-
06.07.2020;23:00;00:00;-
07.07.2020;00:00;01:00;-
07.07.2020;01:00;02:00;-
07.07.2020;02:00;03:00;-
07.07.2020;03:00;04:00;-
07.07.2020;04:00;05:00;-
07.07.2020;05:00;06:00;-
07.07.2020;06:00;07:00;-
07.07.2020;07:00;08:00;-
07.07.2020;08:00;09:00;-
07.07.2020;09:00;10:00;-
07.07.2020;10:00;11:00;-
07.07.2020;11:00;12:00;-
07.07.2020;12:00;13:00;-
07.07.2020;13:00;14:00;-
07.07.2020;14:00;15:00;-
07.07.2020;15:00;16:00;-
07.07.2020;16:00;17:00;-
07.07.2020;17:00;18:00;-
07.07.2020;18:00;19:00;-
07.07.2020;19:00;20:00;-
07.07.2020;20:00;21:00;-
07.07.2020;21:00;22:00;-
07.07.2020;22:00;23:00;-
07.07.2020;23:00;00:00;-
08.07.2020;00:00;01:00;-
08.07.2020;01:00;02:00;-
08.07.2020;02:00;03:00;-
08.07.2020;03:00;04:00;-
08.07.2020;04:00;05:00;-
08.07.2020;05:00;06:00;-
08.07.2020;06:00;07:00;-
08.07.2020;07:00;08:00;-
08.07.2020;08:00;09:00;-
08.07.2020;09:00;10:00;-
08.07.2020;10:00;11:00;-
08.07.2020;11:00;12:00;-
08.07.2020;12:00;13:00;-
08.07.2020;13:00;14:00;-
08.07.2020;14:00;15:00;-
08.07.2020;15:00;16:00;-
08.07.2020;16:00;17:00;-
08.07.2020;17:00;18:00;-
08.07.2020;18:00;19:00;-
08.07.2020;19:00;20:00;-
08.07.2020;20:00;21:00;-
08.07.2020;21:00;22:00;-
08.07.2020;22:00;23:00;-
08.07.2020;23:00;00:00;-
09.07.2020;00:00;01:00;243
09.07.2020;01:00;02:00;244
09.07.2020;02:00;03:00;247
09.07.2020;03:00;04:00;247
09.07.2020;04:00;05:00;245
09.07.2020;05:00;06:00;245
09.07.2020;06:00;07:00;245
09.07.2020;07:00;08:00;246
09.07.2020;08:00;09:00;225
09.07.2020;09:00;10:00;216
09.07.2020;10:00;11:00;228
09.07.2020;11:00;12:00;227
09.07.2020;12:00;13:00;228
09.07.2020;13:00;14:00;229
09.07.2020;14:00;15:00;230
09.07.2020;15:00;16:00;228
09.07.2020;16:00;17:00;225
09.07.2020;17:00;18:00;225
09.07.2020;18:00;19:00;224
09.07.2020;19:00;20:00;224
09.07.2020;20:00;21:00;225
09.07.2020;21:00;22:00;228
09.07.2020;22:00;23:00;230
09.07.2020;23:00;00:00;233
10.07.2020;00:00;01:00;235
10.07.2020;01:00;02:00;233
10.07.2020;02:00;03:00;238
10.07.2020;03:00;04:00;238
10.07.2020;04:00;05:00;238
10.07.2020;05:00;06:00;238
10.07.2020;06:00;07:00;241
10.07.2020;07:00;08:00;239
10.07.2020;08:00;09:00;239
10.07.2020;09:00;10:00;239
10.07.2020;10:00;11:00;236
10.07.2020;11:00;12:00;232
10.07.2020;12:00;13:00;229
10.07.2020;13:00;14:00;227
10.07.2020;14:00;15:00;223
10.07.2020;15:00;16:00;221
10.07.2020;16:00;17:00;221
10.07.2020;17:00;18:00;220
10.07.2020;18:00;19:00;218
10.07.2020;19:00;20:00;220
10.07.2020;20:00;21:00;223
10.07.2020;21:00;22:00;232
10.07.2020;22:00;23:00;241
10.07.2020;23:00;00:00;245
11.07.2020;00:00;01:00;251
11.07.2020;01:00;02:00;251
11.07.2020;02:00;03:00;250
11.07.2020;03:00;04:00;249
11.07.2020;04:00;05:00;248
11.07.2020;05:00;06:00;245
11.07.2020;06:00;07:00;242
11.07.2020;07:00;08:00;242
11.07.2020;08:00;09:00;242
11.07.2020;09:00;10:00;240
11.07.2020;10:00;11:00;242
11.07.2020;11:00;12:00;245
11.07.2020;12:00;13:00;251
11.07.2020;13:00;14:00;252
11.07.2020;14:00;15:00;255
11.07.2020;15:00;16:00;256
11.07.2020;16:00;17:00;258
11.07.2020;17:00;18:00;256
11.07.2020;18:00;19:00;256
11.07.2020;19:00;20:00;255
11.07.2020;20:00;21:00;259
11.07.2020;21:00;22:00;267
11.07.2020;22:00;23:00;273
11.07.2020;23:00;00:00;281
12.07.2020;00:00;01:00;287
12.07.2020;01:00;02:00;292
12.07.2020;02:00;03:00;297
12.07.2020;03:00;04:00;301
12.07.2020;04:00;05:00;301
12.07.2020;05:00;06:00;301
12.07.2020;06:00;07:00;300
12.07.2020;07:00;08:00;301
12.07.2020;08:00;09:00;301
12.07.2020;09:00;10:00;301
12.07.2020;10:00;11:00;302
12.07.2020;11:00;12:00;301
12.07.2020;12:00;13:00;300
12.07.2020;13:00;14:00;297
12.07.2020;14:00;15:00;296
12.07.2020;15:00;16:00;295
12.07.2020;16:00;17:00;292
12.07.2020;17:00;18:00;289
12.07.2020;18:00;19:00;288
12.07.2020;19:00;20:00;286
12.07.2020;20:00;21:00;286
12.07.2020;21:00;22:00;285
12.07.2020;22:00;23:00;286
12.07.2020;23:00;00:00;285
05.10.2020;00:00;01:00;-
05.10.2020;01:00;02:00;-
05.10.2020;02:00;03:00;-
05.10.2020;03:00;04:00;-
05.10.2020;04:00;05:00;-
05.10.2020;05:00;06:00;-
05.10.2020;06:00;07:00;-
05.10.2020;07:00;08:00;-
05.10.2020;08:00;09:00;-
05.10.2020;09:00;10:00;-
05.10.2020;10:00;11:00;-
05.10.2020;11:00;12:00;-
05.10.2020;12:00;13:00;-
05.10.2020;13:00;14:00;-
05.10.2020;14:00;15:00;-
05.10.2020;15:00;16:00;-
05.10.2020;16:00;17:00;-
05.10.2020;17:00;18:00;-
05.10.2020;18:00;19:00;-
05.10.2020;19:00;20:00;-
05.10.2020;20:00;21:00;-
05.10.2020;21:00;22:00;-
05.10.2020;22:00;23:00;-
05.10.2020;23:00;00:00;-
06.10.2020;00:00;01:00;-
06.10.2020;01:00;02:00;-
06.10.2020;02:00;03:00;-
06.10.2020;03:00;04:00;-
06.10.2020;04:00;05:00;-
06.10.2020;05:00;06:00;-
06.10.2020;06:00;07:00;-
06.10.2020;07:00;08:00;-
06.10.2020;08:00;09:00;-
06.10.2020;09:00;10:00;-
06.10.2020;10:00;11:00;-
06.10.2020;11:00;12:00;-
06.10.2020;12:00;13:00;-
06.10.2020;13:00;14:00;-
06.10.2020;14:00;15:00;-
06.10.2020;15:00;16:00;-
06.10.2020;16:00;17:00;-
06.10.2020;17:00;18:00;-
06.10.2020;18:00;19:00;-
06.10.2020;19:00;20:00;-
06.10.2020;20:00;21:00;-
06.10.2020;21:00;22:00;-
06.10.2020;22:00;23:00;-
06.10.2020;23:00;00:00;-
07.10.2020;00:00;01:00;-
07.10.2020;01:00;02:00;-
07.10.2020;02:00;03:00;-
07.10.2020;03:00;04:00;-
07.10.2020;04:00;05:00;-
07.10.2020;05:00;06:00;-
07.10.2020;06:00;07:00;-
07.10.2020;07:00;08:00;-
07.10.2020;08:00;09:00;-
07.10.2020;09:00;10:00;-
07.10.2020;10:00;11:00;-
07.10.2020;11:00;12:00;-
07.10.2020;12:00;13:00;-
07.10.2020;13:00;14:00;-
07.10.2020;14:00;15:00;-
07.10.2020;15:00;16:00;-
07.10.2020;16:00;17:00;-
07.10.2020;17:00;18:00;-
07.10.2020;18:00;19:00;-
07.10.2020;19:00;20:00;-
07.10.2020;20:00;21:00;-
07.10.2020;21:00;22:00;-
07.10.2020;22:00;23:00;-
07.10.2020;23:00;00:00;-
08.10.2020;00:00;01:00;-
08.10.2020;01:00;02:00;-
08.10.2020;02:00;03:00;-
08.10.2020;03:00;04:00;-
08.10.2020;04:00;05:00;-
08.10.2020;05:00;06:00;-
08.10.2020;06:00;07:00;-
08.10.2020;07:00;08:00;-
08.10.2020;08:00;09:00;-
08.10.2020;09:00;10:00;-
08.10.2020;10:00;11:00;-
08.10.2020;11:00;12:00;-
08.10.2020;12:00;13:00;-
08.10.2020;13:00;14:00;-
08.10.2020;14:00;15:00;-
08.10.2020;15:00;16:00;-
08.10.2020;16:00;17:00;-
08.10.2020;17:00;18:00;-
08.10.2020;18:00;19:00;-
08.10.2020;19:00;20:00;-
08.10.2020;20:00;21:00;-
08.10.2020;21:00;22:00;-
08.10.2020;22:00;23:00;-
08.10.2020;23:00;00:00;-
09.10.2020;00:00;01:00;-
09.10.2020;01:00;02:00;-
09.10.2020;02:00;03:00;-
09.10.2020;03:00;04:00;-
09.10.2020;04:00;05:00;-
09.10.2020;05:00;06:00;-
09.10.2020;06:00;07:00;-
09.10.2020;07:00;08:00;-
09.10.2020;08:00;09:00;-
09.10.2020;09:00;10:00;-
09.10.2020;10:00;11:00;-
09.10.2020;11:00;12:00;-
09.10.2020;12:00;13:00;-
09.10.2020;13:00;14:00;-
09.10.2020;14:00;15:00;-
09.10.2020;15:00;16:00;-
09.10.2020;16:00;17:00;-
09.10.2020;17:00;18:00;-
09.10.2020;18:00;19:00;-
09.10.2020;19:00;20:00;-
09.10.2020;20:00;21:00;-
09.10.2020;21:00;22:00;-
09.10.2020;22:00;23:00;-
09.10.2020;23:00;00:00;-
10.10.2020;00:00;01:00;-
10.10.2020;01:00;02:00;-
10.10.2020;02:00;03:00;-
10.10.2020;03:00;04:00;-
10.10.2020;04:00;05:00;-
10.10.2020;05:00;06:00;-
10.10.2020;06:00;07:00;-
10.10.2020;07:00;08:00;-
10.10.2020;08:00;09:00;-
10.10.2020;09:00;10:00;-
10.10.2020;10:00;11:00;-
10.10.2020;11:00;12:00;-
10.10.2020;12:00;13:00;-
10.10.2020;13:00;14:00;-
10.10.2020;14:00;15:00;-
10.10.2020;15:00;16:00;-
10.10.2020;16:00;17:00;-
10.10.2020;17:00;18:00;-
10.10.2020;18:00;19:00;-
10.10.2020;19:00;20:00;-
10.10.2020;20:00;21:00;-
10.10.2020;21:00;22:00;-
10.10.2020;22:00;23:00;-
10.10.2020;23:00;00:00;-
11.10.2020;00:00;01:00;204
