Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
01.01.2016;00:00;01:00;0;600;220;830
01.01.2016;01:00;02:00;0;602;220;835
01.01.2016;02:00;03:00;0;604;219;837
01.01.2016;03:00;04:00;0;603;220;836
01.01.2016;04:00;05:00;0;602;220;836
01.01.2016;05:00;06:00;0;603;220;836
01.01.2016;06:00;07:00;0;603;220;838
01.01.2016;07:00;08:00;0;603;221;837
01.01.2016;08:00;09:00;0;602;222;837
01.01.2016;09:00;10:00;0;601;221;839
01.01.2016;10:00;11:00;0;602;220;836
01.01.2016;11:00;12:00;0;602;220;837
01.01.2016;12:00;13:00;0;604;221;838
01.01.2016;13:00;14:00;0;604;221;838
01.01.2016;14:00;15:00;0;604;221;836
01.01.2016;15:00;16:00;0;602;222;837
01.01.2016;16:00;17:00;0;603;220;835
01.01.2016;17:00;18:00;0;602;218;837
01.01.2016;18:00;19:00;0;603;218;834
01.01.2016;19:00;20:00;0;600;220;835
01.01.2016;20:00;21:00;0;601;222;836
01.01.2016;21:00;22:00;0;602;222;835
01.01.2016;22:00;23:00;0;601;221;835
01.01.2016;23:00;00:00;0;602;221;836
02.01.2016;00:00;01:00;0;601;216;838
02.01.2016;01:00;02:00;0;602;217;838
02.01.2016;02:00;03:00;0;602;209;796
02.01.2016;03:00;04:00;0;602;203;741
02.01.2016;04:00;05:00;0;598;207;719
02.01.2016;05:00;06:00;0;583;202;697
02.01.2016;06:00;07:00;0;580;206;711
02.01.2016;07:00;08:00;0;588;205;791
02.01.2016;08:00;09:00;0;588;212;837
02.01.2016;09:00;10:00;0;587;206;838
02.01.2016;10:00;11:00;0;589;205;835
02.01.2016;11:00;12:00;0;585;201;837
02.01.2016;12:00;13:00;0;482;204;835
02.01.2016;13:00;14:00;0;373;187;826
02.01.2016;14:00;15:00;0;370;186;819
02.01.2016;15:00;16:00;0;372;189;578
02.01.2016;16:00;17:00;0;373;188;534
02.01.2016;17:00;18:00;0;378;186;533
02.01.2016;18:00;19:00;0;556;186;551
02.01.2016;19:00;20:00;0;558;186;596
02.01.2016;20:00;21:00;0;542;183;548
02.01.2016;21:00;22:00;0;431;202;544
02.01.2016;22:00;23:00;0;570;201;726
02.01.2016;23:00;00:00;0;565;199;750
03.01.2016;00:00;01:00;0;430;191;799
03.01.2016;01:00;02:00;0;400;189;779
03.01.2016;02:00;03:00;0;400;190;767
03.01.2016;03:00;04:00;0;401;189;741
03.01.2016;04:00;05:00;0;416;190;743
03.01.2016;05:00;06:00;0;427;190;744
03.01.2016;06:00;07:00;0;419;191;740
03.01.2016;07:00;08:00;0;418;190;745
03.01.2016;08:00;09:00;0;513;190;743
03.01.2016;09:00;10:00;0;569;190;770
03.01.2016;10:00;11:00;0;538;190;772
03.01.2016;11:00;12:00;0;582;190;773
03.01.2016;12:00;13:00;0;581;190;774
03.01.2016;13:00;14:00;0;584;191;787
03.01.2016;14:00;15:00;0;580;190;803
03.01.2016;15:00;16:00;0;578;210;825
03.01.2016;16:00;17:00;0;582;212;817
03.01.2016;17:00;18:00;0;580;192;699
03.01.2016;18:00;19:00;0;578;190;758
03.01.2016;19:00;20:00;0;574;189;758
03.01.2016;20:00;21:00;0;577;189;634
03.01.2016;21:00;22:00;0;579;189;699
03.01.2016;22:00;23:00;0;580;212;814
03.01.2016;23:00;00:00;0;568;215;813
04.01.2016;00:00;01:00;0;568;211;812
04.01.2016;01:00;02:00;0;572;212;809
04.01.2016;02:00;03:00;0;557;191;775
04.01.2016;03:00;04:00;0;525;189;774
04.01.2016;04:00;05:00;0;561;188;772
04.01.2016;05:00;06:00;60;559;188;772
04.01.2016;06:00;07:00;119;551;189;791
04.01.2016;07:00;08:00;127;556;207;815
04.01.2016;08:00;09:00;155;548;210;820
04.01.2016;09:00;10:00;171;546;190;805
04.01.2016;10:00;11:00;189;557;187;706
04.01.2016;11:00;12:00;204;553;209;794
04.01.2016;12:00;13:00;213;548;208;819
04.01.2016;13:00;14:00;214;539;205;819
04.01.2016;14:00;15:00;215;531;201;827
04.01.2016;15:00;16:00;210;521;193;827
04.01.2016;16:00;17:00;207;521;173;758
04.01.2016;17:00;18:00;190;521;151;763
04.01.2016;18:00;19:00;208;518;239;824
04.01.2016;19:00;20:00;204;516;381;792
04.01.2016;20:00;21:00;195;528;431;824
04.01.2016;21:00;22:00;202;531;450;827
04.01.2016;22:00;23:00;201;516;445;828
04.01.2016;23:00;00:00;198;519;445;824
05.01.2016;00:00;01:00;184;548;446;810
05.01.2016;01:00;02:00;200;554;445;818
05.01.2016;02:00;03:00;410;542;453;819
05.01.2016;03:00;04:00;418;537;416;817
05.01.2016;04:00;05:00;488;538;448;813
05.01.2016;05:00;06:00;497;545;448;820
05.01.2016;06:00;07:00;502;546;447;820
05.01.2016;07:00;08:00;501;563;448;819
05.01.2016;08:00;09:00;501;566;468;822
05.01.2016;09:00;10:00;502;565;455;818
05.01.2016;10:00;11:00;443;564;417;739
05.01.2016;11:00;12:00;438;568;412;749
05.01.2016;12:00;13:00;500;564;448;822
05.01.2016;13:00;14:00;505;570;449;822
05.01.2016;14:00;15:00;505;569;451;825
05.01.2016;15:00;16:00;506;565;451;824
05.01.2016;16:00;17:00;504;565;457;824
05.01.2016;17:00;18:00;502;565;460;829
05.01.2016;18:00;19:00;497;547;451;833
05.01.2016;19:00;20:00;495;543;454;830
05.01.2016;20:00;21:00;498;553;438;836
05.01.2016;21:00;22:00;499;552;434;835
05.01.2016;22:00;23:00;500;544;432;834
05.01.2016;23:00;00:00;500;547;442;834
06.01.2016;00:00;01:00;486;546;444;838
06.01.2016;01:00;02:00;485;545;447;825
06.01.2016;02:00;03:00;487;552;446;830
06.01.2016;03:00;04:00;486;549;443;831
06.01.2016;04:00;05:00;484;546;448;827
06.01.2016;05:00;06:00;485;560;450;834
06.01.2016;06:00;07:00;500;564;449;835
