Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;411;377;0
01.01.2023;01:00;02:00;0;410;364;0
01.01.2023;02:00;03:00;0;409;366;0
01.01.2023;03:00;04:00;0;409;366;0
01.01.2023;04:00;05:00;0;387;366;0
01.01.2023;05:00;06:00;0;340;367;0
01.01.2023;06:00;07:00;0;339;367;0
01.01.2023;07:00;08:00;0;338;365;0
01.01.2023;08:00;09:00;0;338;365;0
01.01.2023;09:00;10:00;0;340;368;0
01.01.2023;10:00;11:00;0;339;365;0
01.01.2023;11:00;12:00;0;340;368;0
01.01.2023;12:00;13:00;0;340;368;0
01.01.2023;13:00;14:00;0;339;366;0
01.01.2023;14:00;15:00;0;338;367;0
01.01.2023;15:00;16:00;0;352;368;0
01.01.2023;16:00;17:00;0;403;419;0
01.01.2023;17:00;18:00;0;408;420;0
01.01.2023;18:00;19:00;0;492;423;0
01.01.2023;19:00;20:00;0;424;419;0
01.01.2023;20:00;21:00;0;380;372;0
01.01.2023;21:00;22:00;0;392;369;0
01.01.2023;22:00;23:00;0;393;366;0
01.01.2023;23:00;00:00;0;373;369;0
02.01.2023;00:00;01:00;0;338;388;0
02.01.2023;01:00;02:00;0;338;388;0
02.01.2023;02:00;03:00;0;337;387;0
02.01.2023;03:00;04:00;0;339;392;0
02.01.2023;04:00;05:00;0;340;391;276
02.01.2023;05:00;06:00;0;356;391;373
02.01.2023;06:00;07:00;0;468;449;503
02.01.2023;07:00;08:00;0;558;461;609
02.01.2023;08:00;09:00;0;541;408;712
02.01.2023;09:00;10:00;0;567;427;827
02.01.2023;10:00;11:00;0;563;487;827
02.01.2023;11:00;12:00;0;558;486;826
02.01.2023;12:00;13:00;0;555;494;828
02.01.2023;13:00;14:00;0;547;496;830
02.01.2023;14:00;15:00;0;527;486;829
02.01.2023;15:00;16:00;0;537;490;826
02.01.2023;16:00;17:00;0;523;488;829
02.01.2023;17:00;18:00;0;524;490;828
02.01.2023;18:00;19:00;0;519;491;826
02.01.2023;19:00;20:00;0;537;488;830
02.01.2023;20:00;21:00;0;546;473;827
02.01.2023;21:00;22:00;3;554;477;830
02.01.2023;22:00;23:00;106;538;474;829
02.01.2023;23:00;00:00;153;559;461;828
03.01.2023;00:00;01:00;174;541;455;809
03.01.2023;01:00;02:00;199;543;447;807
03.01.2023;02:00;03:00;200;546;460;818
03.01.2023;03:00;04:00;207;543;482;827
03.01.2023;04:00;05:00;210;544;471;824
03.01.2023;05:00;06:00;207;558;454;819
03.01.2023;06:00;07:00;197;551;448;825
03.01.2023;07:00;08:00;275;554;463;827
03.01.2023;08:00;09:00;440;565;466;830
03.01.2023;09:00;10:00;465;557;468;829
03.01.2023;10:00;11:00;475;549;454;829
03.01.2023;11:00;12:00;495;547;455;829
03.01.2023;12:00;13:00;508;555;455;829
03.01.2023;13:00;14:00;506;567;465;829
03.01.2023;14:00;15:00;505;545;473;830
03.01.2023;15:00;16:00;509;549;481;830
03.01.2023;16:00;17:00;511;552;479;829
03.01.2023;17:00;18:00;509;543;469;828
03.01.2023;18:00;19:00;510;529;464;816
03.01.2023;19:00;20:00;503;535;482;819
03.01.2023;20:00;21:00;503;538;469;819
03.01.2023;21:00;22:00;489;537;410;830
03.01.2023;22:00;23:00;503;558;182;820
03.01.2023;23:00;00:00;462;462;184;705
04.01.2023;00:00;01:00;402;298;177;564
04.01.2023;01:00;02:00;401;285;169;418
04.01.2023;02:00;03:00;400;291;164;403
04.01.2023;03:00;04:00;399;265;70;402
04.01.2023;04:00;05:00;373;274;46;401
04.01.2023;05:00;06:00;371;290;0;402
04.01.2023;06:00;07:00;374;303;0;403
04.01.2023;07:00;08:00;373;301;0;518
04.01.2023;08:00;09:00;376;304;0;559
04.01.2023;09:00;10:00;373;316;0;552
04.01.2023;10:00;11:00;376;307;0;415
04.01.2023;11:00;12:00;376;310;0;402
04.01.2023;12:00;13:00;386;312;0;401
04.01.2023;13:00;14:00;383;290;0;400
04.01.2023;14:00;15:00;381;292;0;421
04.01.2023;15:00;16:00;385;284;0;548
04.01.2023;16:00;17:00;422;281;0;553
04.01.2023;17:00;18:00;429;261;0;507
04.01.2023;18:00;19:00;422;266;0;506
04.01.2023;19:00;20:00;425;256;0;507
04.01.2023;20:00;21:00;380;270;0;510
04.01.2023;21:00;22:00;378;276;0;506
04.01.2023;22:00;23:00;376;284;0;513
04.01.2023;23:00;00:00;375;288;0;528
05.01.2023;00:00;01:00;397;278;0;417
05.01.2023;01:00;02:00;390;281;0;412
05.01.2023;02:00;03:00;380;278;0;406
05.01.2023;03:00;04:00;379;276;0;408
05.01.2023;04:00;05:00;377;299;0;416
05.01.2023;05:00;06:00;381;358;0;415
05.01.2023;06:00;07:00;385;538;0;533
05.01.2023;07:00;08:00;407;556;0;569
05.01.2023;08:00;09:00;487;552;0;712
05.01.2023;09:00;10:00;488;556;0;814
05.01.2023;10:00;11:00;462;565;0;669
05.01.2023;11:00;12:00;464;569;0;684
05.01.2023;12:00;13:00;491;570;0;831
05.01.2023;13:00;14:00;491;554;0;833
05.01.2023;14:00;15:00;485;543;0;816
05.01.2023;15:00;16:00;467;541;0;760
05.01.2023;16:00;17:00;489;514;0;829
05.01.2023;17:00;18:00;488;513;0;817
05.01.2023;18:00;19:00;495;541;0;827
05.01.2023;19:00;20:00;498;545;0;822
05.01.2023;20:00;21:00;500;545;0;833
05.01.2023;21:00;22:00;502;534;0;835
05.01.2023;22:00;23:00;501;535;0;834
05.01.2023;23:00;00:00;501;538;0;838
06.01.2023;00:00;01:00;499;557;0;838
06.01.2023;01:00;02:00;500;548;0;838
06.01.2023;02:00;03:00;499;536;0;822
06.01.2023;03:00;04:00;424;474;0;670
06.01.2023;04:00;05:00;409;384;0;527
06.01.2023;05:00;06:00;409;559;0;561
06.01.2023;06:00;07:00;446;573;0;624
06.01.2023;07:00;08:00;448;566;0;714
06.01.2023;08:00;09:00;499;584;0;833
06.01.2023;09:00;10:00;499;586;0;829
06.01.2023;10:00;11:00;499;585;0;813
06.01.2023;11:00;12:00;447;576;0;698
06.01.2023;12:00;13:00;442;576;0;752
06.01.2023;13:00;14:00;445;570;0;669
06.01.2023;14:00;15:00;449;539;0;606
06.01.2023;15:00;16:00;438;528;0;645
06.01.2023;16:00;17:00;477;523;0;791
06.01.2023;17:00;18:00;503;519;0;833
06.01.2023;18:00;19:00;502;536;0;819
06.01.2023;19:00;20:00;508;543;0;834
06.01.2023;20:00;21:00;506;528;0;831
06.01.2023;21:00;22:00;506;532;0;831
06.01.2023;22:00;23:00;505;528;0;829
06.01.2023;23:00;00:00;447;544;0;783
07.01.2023;00:00;01:00;437;435;0;686
07.01.2023;01:00;02:00;476;553;0;809
07.01.2023;02:00;03:00;432;548;0;704
07.01.2023;03:00;04:00;423;417;0;543
07.01.2023;04:00;05:00;407;408;0;514
07.01.2023;05:00;06:00;406;357;0;526
07.01.2023;06:00;07:00;437;441;0;669
07.01.2023;07:00;08:00;470;557;0;822
07.01.2023;08:00;09:00;480;578;0;830
07.01.2023;09:00;10:00;496;573;0;828
07.01.2023;10:00;11:00;496;572;0;815
07.01.2023;11:00;12:00;485;566;0;804
07.01.2023;12:00;13:00;471;560;0;798
07.01.2023;13:00;14:00;488;578;0;826
07.01.2023;14:00;15:00;489;575;0;823
07.01.2023;15:00;16:00;502;575;0;835
07.01.2023;16:00;17:00;508;572;0;829
07.01.2023;17:00;18:00;508;567;0;832
07.01.2023;18:00;19:00;504;562;0;761
07.01.2023;19:00;20:00;465;555;0;547
07.01.2023;20:00;21:00;440;398;0;373
07.01.2023;21:00;22:00;401;318;0;0
07.01.2023;22:00;23:00;409;318;0;0
07.01.2023;23:00;00:00;408;318;0;0
08.01.2023;00:00;01:00;409;317;0;0
08.01.2023;01:00;02:00;408;319;0;0
08.01.2023;02:00;03:00;405;334;0;0
08.01.2023;03:00;04:00;408;319;0;0
08.01.2023;04:00;05:00;407;324;0;0
08.01.2023;05:00;06:00;406;328;0;0
08.01.2023;06:00;07:00;409;339;0;0
08.01.2023;07:00;08:00;404;345;0;0
08.01.2023;08:00;09:00;405;348;0;0
08.01.2023;09:00;10:00;407;542;0;0
08.01.2023;10:00;11:00;426;582;0;0
08.01.2023;11:00;12:00;428;586;0;0
08.01.2023;12:00;13:00;413;587;0;0
08.01.2023;13:00;14:00;407;591;0;0
08.01.2023;14:00;15:00;415;579;0;0
08.01.2023;15:00;16:00;416;579;0;0
08.01.2023;16:00;17:00;494;578;0;0
08.01.2023;17:00;18:00;501;586;0;0
08.01.2023;18:00;19:00;498;592;0;0
08.01.2023;19:00;20:00;495;594;0;0
08.01.2023;20:00;21:00;471;582;0;0
08.01.2023;21:00;22:00;477;591;0;0
08.01.2023;22:00;23:00;474;591;0;0
08.01.2023;23:00;00:00;467;592;0;0
09.01.2023;00:00;01:00;404;499;0;0
09.01.2023;01:00;02:00;406;339;0;0
09.01.2023;02:00;03:00;409;332;0;0
09.01.2023;03:00;04:00;409;334;0;231
09.01.2023;04:00;05:00;409;335;0;419
09.01.2023;05:00;06:00;409;343;0;509
09.01.2023;06:00;07:00;444;520;0;507
09.01.2023;07:00;08:00;472;559;0;506
09.01.2023;08:00;09:00;487;547;0;531
09.01.2023;09:00;10:00;491;544;0;566
09.01.2023;10:00;11:00;493;554;0;670
09.01.2023;11:00;12:00;487;484;0;758
09.01.2023;12:00;13:00;500;299;0;830
09.01.2023;13:00;14:00;508;293;0;829
09.01.2023;14:00;15:00;508;289;0;826
09.01.2023;15:00;16:00;507;290;0;828
09.01.2023;16:00;17:00;508;295;0;831
09.01.2023;17:00;18:00;509;283;0;829
09.01.2023;18:00;19:00;508;410;0;831
09.01.2023;19:00;20:00;508;509;0;828
09.01.2023;20:00;21:00;507;509;0;825
09.01.2023;21:00;22:00;508;540;0;833
09.01.2023;22:00;23:00;511;535;0;826
09.01.2023;23:00;00:00;511;532;0;825
10.01.2023;00:00;01:00;510;537;0;825
10.01.2023;01:00;02:00;511;543;0;827
10.01.2023;02:00;03:00;505;533;0;820
10.01.2023;03:00;04:00;510;542;0;830
10.01.2023;04:00;05:00;502;531;0;822
10.01.2023;05:00;06:00;509;543;0;829
10.01.2023;06:00;07:00;511;547;0;829
10.01.2023;07:00;08:00;510;537;0;828
10.01.2023;08:00;09:00;504;539;0;829
10.01.2023;09:00;10:00;512;547;0;829
10.01.2023;10:00;11:00;509;551;0;832
10.01.2023;11:00;12:00;509;537;0;833
10.01.2023;12:00;13:00;510;532;0;834
10.01.2023;13:00;14:00;510;543;0;831
10.01.2023;14:00;15:00;505;526;0;832
10.01.2023;15:00;16:00;507;530;0;828
10.01.2023;16:00;17:00;503;514;0;819
10.01.2023;17:00;18:00;509;529;0;823
10.01.2023;18:00;19:00;508;517;0;814
10.01.2023;19:00;20:00;508;525;0;823
10.01.2023;20:00;21:00;508;526;0;826
10.01.2023;21:00;22:00;459;534;0;729
10.01.2023;22:00;23:00;394;461;0;614
10.01.2023;23:00;00:00;378;278;0;506
11.01.2023;00:00;01:00;377;272;0;492
11.01.2023;01:00;02:00;373;270;0;401
11.01.2023;02:00;03:00;372;281;0;396
11.01.2023;03:00;04:00;371;270;0;401
11.01.2023;04:00;05:00;372;279;0;395
11.01.2023;05:00;06:00;371;274;0;398
11.01.2023;06:00;07:00;417;412;0;533
11.01.2023;07:00;08:00;503;528;0;610
11.01.2023;08:00;09:00;511;528;0;829
11.01.2023;09:00;10:00;510;545;0;831
11.01.2023;10:00;11:00;510;528;0;829
11.01.2023;11:00;12:00;507;545;0;831
11.01.2023;12:00;13:00;511;541;0;832
11.01.2023;13:00;14:00;506;528;0;824
11.01.2023;14:00;15:00;512;515;0;832
11.01.2023;15:00;16:00;504;521;0;832
11.01.2023;16:00;17:00;496;525;0;830
11.01.2023;17:00;18:00;503;504;0;824
11.01.2023;18:00;19:00;504;508;0;819
11.01.2023;19:00;20:00;503;501;0;811
11.01.2023;20:00;21:00;448;504;0;814
11.01.2023;21:00;22:00;454;528;0;690
