Datum;Anfang;Ende;Generation_DE Kraftwerk Lippendorf Block R [MW] Originalauflösungen;Generation_DE Kraftwerk Lippendorf Block S [MW] Originalauflösungen
01.01.2019;00:00;01:00;489;0
01.01.2019;01:00;02:00;477;0
01.01.2019;02:00;03:00;469;0
01.01.2019;03:00;04:00;467;0
01.01.2019;04:00;05:00;462;0
01.01.2019;05:00;06:00;452;0
01.01.2019;06:00;07:00;451;0
01.01.2019;07:00;08:00;448;0
01.01.2019;08:00;09:00;449;0
01.01.2019;09:00;10:00;451;0
01.01.2019;10:00;11:00;452;0
01.01.2019;11:00;12:00;451;0
01.01.2019;12:00;13:00;454;0
01.01.2019;13:00;14:00;455;0
01.01.2019;14:00;15:00;482;0
01.01.2019;15:00;16:00;475;0
01.01.2019;16:00;17:00;446;0
01.01.2019;17:00;18:00;446;0
01.01.2019;18:00;19:00;446;0
01.01.2019;19:00;20:00;446;0
01.01.2019;20:00;21:00;448;0
01.01.2019;21:00;22:00;444;0
01.01.2019;22:00;23:00;445;0
01.01.2019;23:00;00:00;444;0
02.01.2019;00:00;01:00;446;0
02.01.2019;01:00;02:00;450;0
02.01.2019;02:00;03:00;445;0
02.01.2019;03:00;04:00;446;0
02.01.2019;04:00;05:00;447;0
02.01.2019;05:00;06:00;453;0
02.01.2019;06:00;07:00;452;0
02.01.2019;07:00;08:00;466;0
02.01.2019;08:00;09:00;588;0
02.01.2019;09:00;10:00;608;0
02.01.2019;10:00;11:00;777;0
02.01.2019;11:00;12:00;806;0
02.01.2019;12:00;13:00;753;0
02.01.2019;13:00;14:00;726;0
02.01.2019;14:00;15:00;822;0
02.01.2019;15:00;16:00;807;0
02.01.2019;16:00;17:00;820;0
02.01.2019;17:00;18:00;828;0
02.01.2019;18:00;19:00;830;118
02.01.2019;19:00;20:00;727;475
02.01.2019;20:00;21:00;792;610
02.01.2019;21:00;22:00;749;746
02.01.2019;22:00;23:00;819;816
02.01.2019;23:00;00:00;846;839
03.01.2019;00:00;01:00;869;857
03.01.2019;01:00;02:00;868;855
03.01.2019;02:00;03:00;867;852
03.01.2019;03:00;04:00;869;851
03.01.2019;04:00;05:00;868;854
03.01.2019;05:00;06:00;857;854
03.01.2019;06:00;07:00;863;853
03.01.2019;07:00;08:00;840;854
03.01.2019;08:00;09:00;869;853
03.01.2019;09:00;10:00;870;853
03.01.2019;10:00;11:00;871;855
03.01.2019;11:00;12:00;868;854
03.01.2019;12:00;13:00;868;853
03.01.2019;13:00;14:00;871;852
03.01.2019;14:00;15:00;869;854
03.01.2019;15:00;16:00;869;854
03.01.2019;16:00;17:00;867;853
03.01.2019;17:00;18:00;868;852
03.01.2019;18:00;19:00;869;853
03.01.2019;19:00;20:00;869;853
03.01.2019;20:00;21:00;868;854
03.01.2019;21:00;22:00;866;854
03.01.2019;22:00;23:00;868;853
03.01.2019;23:00;00:00;867;855
04.01.2019;00:00;01:00;870;856
04.01.2019;01:00;02:00;871;857
04.01.2019;02:00;03:00;870;857
04.01.2019;03:00;04:00;871;857
04.01.2019;04:00;05:00;870;858
04.01.2019;05:00;06:00;868;856
04.01.2019;06:00;07:00;868;856
04.01.2019;07:00;08:00;864;856
04.01.2019;08:00;09:00;869;855
04.01.2019;09:00;10:00;860;845
04.01.2019;10:00;11:00;753;748
04.01.2019;11:00;12:00;754;747
04.01.2019;12:00;13:00;752;747
04.01.2019;13:00;14:00;755;748
04.01.2019;14:00;15:00;755;748
04.01.2019;15:00;16:00;757;749
04.01.2019;16:00;17:00;754;746
04.01.2019;17:00;18:00;750;749
04.01.2019;18:00;19:00;751;748
04.01.2019;19:00;20:00;751;745
04.01.2019;20:00;21:00;753;745
04.01.2019;21:00;22:00;754;748
04.01.2019;22:00;23:00;752;748
04.01.2019;23:00;00:00;721;674
05.01.2019;00:00;01:00;462;455
05.01.2019;01:00;02:00;457;334
05.01.2019;02:00;03:00;437;287
05.01.2019;03:00;04:00;436;288
05.01.2019;04:00;05:00;437;288
05.01.2019;05:00;06:00;437;320
05.01.2019;06:00;07:00;448;421
05.01.2019;07:00;08:00;682;662
05.01.2019;08:00;09:00;760;756
05.01.2019;09:00;10:00;738;737
05.01.2019;10:00;11:00;742;738
05.01.2019;11:00;12:00;751;740
05.01.2019;12:00;13:00;819;809
05.01.2019;13:00;14:00;862;858
05.01.2019;14:00;15:00;863;857
05.01.2019;15:00;16:00;864;859
05.01.2019;16:00;17:00;864;857
05.01.2019;17:00;18:00;861;857
05.01.2019;18:00;19:00;862;856
05.01.2019;19:00;20:00;862;854
05.01.2019;20:00;21:00;863;854
05.01.2019;21:00;22:00;864;854
05.01.2019;22:00;23:00;864;855
05.01.2019;23:00;00:00;865;854
06.01.2019;00:00;01:00;864;858
06.01.2019;01:00;02:00;862;857
06.01.2019;02:00;03:00;866;859
06.01.2019;03:00;04:00;865;859
06.01.2019;04:00;05:00;863;858
06.01.2019;05:00;06:00;865;855
06.01.2019;06:00;07:00;864;857
06.01.2019;07:00;08:00;864;856
06.01.2019;08:00;09:00;864;856
06.01.2019;09:00;10:00;865;856
06.01.2019;10:00;11:00;865;857
06.01.2019;11:00;12:00;865;856
06.01.2019;12:00;13:00;866;858
06.01.2019;13:00;14:00;864;855
06.01.2019;14:00;15:00;866;857
06.01.2019;15:00;16:00;866;857
06.01.2019;16:00;17:00;866;856
06.01.2019;17:00;18:00;867;856
06.01.2019;18:00;19:00;866;856
06.01.2019;19:00;20:00;867;856
06.01.2019;20:00;21:00;866;857
06.01.2019;21:00;22:00;867;856
06.01.2019;22:00;23:00;867;857
06.01.2019;23:00;00:00;866;858
07.01.2019;00:00;01:00;861;860
07.01.2019;01:00;02:00;862;859
07.01.2019;02:00;03:00;868;860
07.01.2019;03:00;04:00;868;860
07.01.2019;04:00;05:00;869;860
07.01.2019;05:00;06:00;864;858
07.01.2019;06:00;07:00;867;858
07.01.2019;07:00;08:00;869;855
07.01.2019;08:00;09:00;868;857
07.01.2019;09:00;10:00;868;855
07.01.2019;10:00;11:00;869;856
07.01.2019;11:00;12:00;869;856
07.01.2019;12:00;13:00;869;855
07.01.2019;13:00;14:00;869;858
07.01.2019;14:00;15:00;869;856
07.01.2019;15:00;16:00;869;856
07.01.2019;16:00;17:00;867;857
07.01.2019;17:00;18:00;866;856
07.01.2019;18:00;19:00;834;829
07.01.2019;19:00;20:00;625;617
07.01.2019;20:00;21:00;495;510
07.01.2019;21:00;22:00;495;471
07.01.2019;22:00;23:00;499;79
07.01.2019;23:00;00:00;507;0
08.01.2019;00:00;01:00;465;0
08.01.2019;01:00;02:00;462;0
08.01.2019;02:00;03:00;462;0
08.01.2019;03:00;04:00;461;0
08.01.2019;04:00;05:00;456;0
08.01.2019;05:00;06:00;456;0
08.01.2019;06:00;07:00;458;0
08.01.2019;07:00;08:00;457;0
08.01.2019;08:00;09:00;458;0
08.01.2019;09:00;10:00;456;0
08.01.2019;10:00;11:00;456;0
08.01.2019;11:00;12:00;457;0
08.01.2019;12:00;13:00;457;0
08.01.2019;13:00;14:00;457;0
08.01.2019;14:00;15:00;456;0
08.01.2019;15:00;16:00;456;0
08.01.2019;16:00;17:00;458;0
08.01.2019;17:00;18:00;456;0
08.01.2019;18:00;19:00;457;0
08.01.2019;19:00;20:00;456;0
08.01.2019;20:00;21:00;458;0
08.01.2019;21:00;22:00;456;0
08.01.2019;22:00;23:00;457;0
08.01.2019;23:00;00:00;454;0
09.01.2019;00:00;01:00;459;0
09.01.2019;01:00;02:00;455;0
09.01.2019;02:00;03:00;458;0
09.01.2019;03:00;04:00;457;0
09.01.2019;04:00;05:00;458;0
09.01.2019;05:00;06:00;470;0
09.01.2019;06:00;07:00;489;0
09.01.2019;07:00;08:00;607;0
09.01.2019;08:00;09:00;760;0
09.01.2019;09:00;10:00;841;0
09.01.2019;10:00;11:00;844;0
09.01.2019;11:00;12:00;786;0
09.01.2019;12:00;13:00;754;0
09.01.2019;13:00;14:00;819;0
09.01.2019;14:00;15:00;789;0
09.01.2019;15:00;16:00;814;0
09.01.2019;16:00;17:00;831;0
09.01.2019;17:00;18:00;833;0
09.01.2019;18:00;19:00;836;0
09.01.2019;19:00;20:00;838;0
09.01.2019;20:00;21:00;841;0
09.01.2019;21:00;22:00;839;0
09.01.2019;22:00;23:00;838;0
09.01.2019;23:00;00:00;814;0
10.01.2019;00:00;01:00;848;0
10.01.2019;01:00;02:00;847;0
10.01.2019;02:00;03:00;853;0
10.01.2019;03:00;04:00;853;0
10.01.2019;04:00;05:00;831;0
10.01.2019;05:00;06:00;843;0
10.01.2019;06:00;07:00;849;0
10.01.2019;07:00;08:00;849;0
10.01.2019;08:00;09:00;849;0
10.01.2019;09:00;10:00;849;0
10.01.2019;10:00;11:00;848;0
10.01.2019;11:00;12:00;850;0
10.01.2019;12:00;13:00;848;0
10.01.2019;13:00;14:00;852;0
10.01.2019;14:00;15:00;853;0
10.01.2019;15:00;16:00;850;0
10.01.2019;16:00;17:00;851;0
10.01.2019;17:00;18:00;847;0
10.01.2019;18:00;19:00;847;0
10.01.2019;19:00;20:00;848;0
10.01.2019;20:00;21:00;849;0
10.01.2019;21:00;22:00;847;0
10.01.2019;22:00;23:00;852;0
10.01.2019;23:00;00:00;855;0
11.01.2019;00:00;01:00;859;0
11.01.2019;01:00;02:00;853;0
11.01.2019;02:00;03:00;851;0
11.01.2019;03:00;04:00;853;0
11.01.2019;04:00;05:00;855;0
11.01.2019;05:00;06:00;846;0
11.01.2019;06:00;07:00;845;0
11.01.2019;07:00;08:00;843;0
11.01.2019;08:00;09:00;844;0
11.01.2019;09:00;10:00;843;0
11.01.2019;10:00;11:00;841;0
11.01.2019;11:00;12:00;840;0
11.01.2019;12:00;13:00;837;0
11.01.2019;13:00;14:00;843;0
11.01.2019;14:00;15:00;841;0
11.01.2019;15:00;16:00;841;0
11.01.2019;16:00;17:00;843;0
11.01.2019;17:00;18:00;841;0
11.01.2019;18:00;19:00;842;0
11.01.2019;19:00;20:00;842;0
11.01.2019;20:00;21:00;849;0
11.01.2019;21:00;22:00;846;0
11.01.2019;22:00;23:00;851;0
11.01.2019;23:00;00:00;859;0
12.01.2019;00:00;01:00;857;0
12.01.2019;01:00;02:00;857;0
12.01.2019;02:00;03:00;856;0
12.01.2019;03:00;04:00;855;0
12.01.2019;04:00;05:00;855;0
12.01.2019;05:00;06:00;849;0
12.01.2019;06:00;07:00;628;0
12.01.2019;07:00;08:00;512;0
12.01.2019;08:00;09:00;514;0
12.01.2019;09:00;10:00;642;0
12.01.2019;10:00;11:00;646;0
12.01.2019;11:00;12:00;645;0
12.01.2019;12:00;13:00;646;0
12.01.2019;13:00;14:00;645;0
12.01.2019;14:00;15:00;647;0
12.01.2019;15:00;16:00;646;0
12.01.2019;16:00;17:00;645;0
12.01.2019;17:00;18:00;647;0
12.01.2019;18:00;19:00;643;0
12.01.2019;19:00;20:00;626;0
12.01.2019;20:00;21:00;465;0
12.01.2019;21:00;22:00;509;0
12.01.2019;22:00;23:00;608;0
12.01.2019;23:00;00:00;512;0
13.01.2019;00:00;01:00;444;0
13.01.2019;01:00;02:00;446;0
13.01.2019;02:00;03:00;455;0
13.01.2019;03:00;04:00;573;0
13.01.2019;04:00;05:00;521;0
13.01.2019;05:00;06:00;461;0
13.01.2019;06:00;07:00;494;0
