Date;Start;End;Generation_DE KBR [MW] Original resolutions
01.01.2016;00:00;01:00;1.409
01.01.2016;01:00;02:00;1.409
01.01.2016;02:00;03:00;1.390
01.01.2016;03:00;04:00;1.385
01.01.2016;04:00;05:00;1.363
01.01.2016;05:00;06:00;1.314
01.01.2016;06:00;07:00;1.303
01.01.2016;07:00;08:00;1.218
01.01.2016;08:00;09:00;1.155
01.01.2016;09:00;10:00;1.085
01.01.2016;10:00;11:00;1.052
01.01.2016;11:00;12:00;1.030
01.01.2016;12:00;13:00;1.160
01.01.2016;13:00;14:00;1.269
01.01.2016;14:00;15:00;1.364
01.01.2016;15:00;16:00;1.356
01.01.2016;16:00;17:00;1.362
01.01.2016;17:00;18:00;1.314
01.01.2016;18:00;19:00;1.362
01.01.2016;19:00;20:00;1.343
01.01.2016;20:00;21:00;1.322
01.01.2016;21:00;22:00;1.361
01.01.2016;22:00;23:00;1.361
01.01.2016;23:00;00:00;1.359
02.01.2016;00:00;01:00;1.356
02.01.2016;01:00;02:00;1.357
02.01.2016;02:00;03:00;1.312
02.01.2016;03:00;04:00;1.262
02.01.2016;04:00;05:00;1.243
02.01.2016;05:00;06:00;1.241
02.01.2016;06:00;07:00;1.208
02.01.2016;07:00;08:00;1.310
02.01.2016;08:00;09:00;1.263
02.01.2016;09:00;10:00;1.169
02.01.2016;10:00;11:00;1.169
02.01.2016;11:00;12:00;1.169
02.01.2016;12:00;13:00;1.169
02.01.2016;13:00;14:00;1.166
02.01.2016;14:00;15:00;1.167
02.01.2016;15:00;16:00;1.167
02.01.2016;16:00;17:00;1.168
02.01.2016;17:00;18:00;1.167
02.01.2016;18:00;19:00;1.154
02.01.2016;19:00;20:00;1.164
02.01.2016;20:00;21:00;1.164
02.01.2016;21:00;22:00;1.162
02.01.2016;22:00;23:00;1.163
02.01.2016;23:00;00:00;1.162
03.01.2016;00:00;01:00;1.262
03.01.2016;01:00;02:00;1.283
03.01.2016;02:00;03:00;1.281
03.01.2016;03:00;04:00;1.279
03.01.2016;04:00;05:00;1.266
03.01.2016;05:00;06:00;1.264
03.01.2016;06:00;07:00;1.253
03.01.2016;07:00;08:00;1.252
03.01.2016;08:00;09:00;1.263
03.01.2016;09:00;10:00;1.264
03.01.2016;10:00;11:00;1.265
03.01.2016;11:00;12:00;1.264
03.01.2016;12:00;13:00;1.264
03.01.2016;13:00;14:00;1.263
03.01.2016;14:00;15:00;1.265
03.01.2016;15:00;16:00;1.266
03.01.2016;16:00;17:00;1.265
03.01.2016;17:00;18:00;1.265
03.01.2016;18:00;19:00;1.265
03.01.2016;19:00;20:00;1.251
03.01.2016;20:00;21:00;1.233
03.01.2016;21:00;22:00;1.163
03.01.2016;22:00;23:00;1.167
03.01.2016;23:00;00:00;1.163
04.01.2016;00:00;01:00;1.163
04.01.2016;01:00;02:00;1.164
04.01.2016;02:00;03:00;1.157
04.01.2016;03:00;04:00;1.125
04.01.2016;04:00;05:00;1.077
04.01.2016;05:00;06:00;1.036
04.01.2016;06:00;07:00;1.091
04.01.2016;07:00;08:00;1.209
04.01.2016;08:00;09:00;1.213
04.01.2016;09:00;10:00;1.207
04.01.2016;10:00;11:00;1.203
04.01.2016;11:00;12:00;1.205
04.01.2016;12:00;13:00;1.202
04.01.2016;13:00;14:00;1.203
04.01.2016;14:00;15:00;1.204
04.01.2016;15:00;16:00;1.204
04.01.2016;16:00;17:00;1.204
04.01.2016;17:00;18:00;1.205
04.01.2016;18:00;19:00;1.205
04.01.2016;19:00;20:00;1.205
04.01.2016;20:00;21:00;1.204
04.01.2016;21:00;22:00;1.206
04.01.2016;22:00;23:00;1.203
04.01.2016;23:00;00:00;1.205
05.01.2016;00:00;01:00;1.215
05.01.2016;01:00;02:00;1.215
05.01.2016;02:00;03:00;1.217
05.01.2016;03:00;04:00;1.216
05.01.2016;04:00;05:00;1.207
05.01.2016;05:00;06:00;1.205
05.01.2016;06:00;07:00;1.210
05.01.2016;07:00;08:00;1.218
05.01.2016;08:00;09:00;1.217
05.01.2016;09:00;10:00;1.215
05.01.2016;10:00;11:00;1.216
05.01.2016;11:00;12:00;1.216
05.01.2016;12:00;13:00;1.213
05.01.2016;13:00;14:00;1.213
05.01.2016;14:00;15:00;1.213
05.01.2016;15:00;16:00;1.214
05.01.2016;16:00;17:00;1.218
05.01.2016;17:00;18:00;1.215
05.01.2016;18:00;19:00;1.213
05.01.2016;19:00;20:00;1.211
05.01.2016;20:00;21:00;1.210
05.01.2016;21:00;22:00;1.209
05.01.2016;22:00;23:00;1.213
05.01.2016;23:00;00:00;1.214
06.01.2016;00:00;01:00;1.210
06.01.2016;01:00;02:00;1.211
06.01.2016;02:00;03:00;1.211
06.01.2016;03:00;04:00;1.199
06.01.2016;04:00;05:00;1.206
06.01.2016;05:00;06:00;1.210
06.01.2016;06:00;07:00;1.263
06.01.2016;07:00;08:00;1.406
06.01.2016;08:00;09:00;1.404
06.01.2016;09:00;10:00;1.407
06.01.2016;10:00;11:00;1.407
06.01.2016;11:00;12:00;1.407
06.01.2016;12:00;13:00;1.406
06.01.2016;13:00;14:00;1.406
06.01.2016;14:00;15:00;1.406
06.01.2016;15:00;16:00;1.407
06.01.2016;16:00;17:00;1.409
06.01.2016;17:00;18:00;1.407
06.01.2016;18:00;19:00;1.407
06.01.2016;19:00;20:00;1.407
06.01.2016;20:00;21:00;1.409
06.01.2016;21:00;22:00;1.408
06.01.2016;22:00;23:00;1.409
06.01.2016;23:00;00:00;1.409
07.01.2016;00:00;01:00;1.408
07.01.2016;01:00;02:00;1.408
07.01.2016;02:00;03:00;1.407
07.01.2016;03:00;04:00;1.407
07.01.2016;04:00;05:00;1.408
07.01.2016;05:00;06:00;1.406
07.01.2016;06:00;07:00;1.405
07.01.2016;07:00;08:00;1.406
07.01.2016;08:00;09:00;1.406
07.01.2016;09:00;10:00;1.405
07.01.2016;10:00;11:00;1.406
07.01.2016;11:00;12:00;1.406
07.01.2016;12:00;13:00;1.406
07.01.2016;13:00;14:00;1.405
07.01.2016;14:00;15:00;1.406
07.01.2016;15:00;16:00;1.405
07.01.2016;16:00;17:00;1.203
07.01.2016;17:00;18:00;1.114
07.01.2016;18:00;19:00;1.114
07.01.2016;19:00;20:00;1.109
07.01.2016;20:00;21:00;1.108
07.01.2016;21:00;22:00;1.106
07.01.2016;22:00;23:00;1.099
07.01.2016;23:00;00:00;1.051
08.01.2016;00:00;01:00;1.012
08.01.2016;01:00;02:00;1.004
08.01.2016;02:00;03:00;967
08.01.2016;03:00;04:00;970
08.01.2016;04:00;05:00;984
08.01.2016;05:00;06:00;1.032
08.01.2016;06:00;07:00;1.096
08.01.2016;07:00;08:00;1.108
08.01.2016;08:00;09:00;1.081
08.01.2016;09:00;10:00;1.089
08.01.2016;10:00;11:00;1.087
08.01.2016;11:00;12:00;1.047
08.01.2016;12:00;13:00;1.072
08.01.2016;13:00;14:00;1.105
08.01.2016;14:00;15:00;1.103
08.01.2016;15:00;16:00;1.106
08.01.2016;16:00;17:00;1.110
08.01.2016;17:00;18:00;1.257
08.01.2016;18:00;19:00;1.392
08.01.2016;19:00;20:00;1.403
08.01.2016;20:00;21:00;1.403
08.01.2016;21:00;22:00;1.402
08.01.2016;22:00;23:00;1.404
08.01.2016;23:00;00:00;1.404
09.01.2016;00:00;01:00;1.405
09.01.2016;01:00;02:00;1.406
09.01.2016;02:00;03:00;1.405
09.01.2016;03:00;04:00;1.407
09.01.2016;04:00;05:00;1.406
09.01.2016;05:00;06:00;1.406
09.01.2016;06:00;07:00;1.382
09.01.2016;07:00;08:00;1.394
09.01.2016;08:00;09:00;1.400
09.01.2016;09:00;10:00;1.401
09.01.2016;10:00;11:00;1.410
09.01.2016;11:00;12:00;1.412
09.01.2016;12:00;13:00;1.411
09.01.2016;13:00;14:00;1.410
09.01.2016;14:00;15:00;1.408
09.01.2016;15:00;16:00;1.410
09.01.2016;16:00;17:00;1.408
09.01.2016;17:00;18:00;1.407
09.01.2016;18:00;19:00;1.410
09.01.2016;19:00;20:00;1.408
09.01.2016;20:00;21:00;1.408
09.01.2016;21:00;22:00;1.408
09.01.2016;22:00;23:00;1.409
09.01.2016;23:00;00:00;1.407
10.01.2016;00:00;01:00;1.405
10.01.2016;01:00;02:00;1.405
