Datum;Anfang;Ende;Generation_DE KBR [MW] Originalauflösungen
01.01.2019;00:00;01:00;1.128
01.01.2019;01:00;02:00;1.021
01.01.2019;02:00;03:00;912
01.01.2019;03:00;04:00;861
01.01.2019;04:00;05:00;870
01.01.2019;05:00;06:00;857
01.01.2019;06:00;07:00;842
01.01.2019;07:00;08:00;874
01.01.2019;08:00;09:00;883
01.01.2019;09:00;10:00;831
01.01.2019;10:00;11:00;839
01.01.2019;11:00;12:00;838
01.01.2019;12:00;13:00;880
01.01.2019;13:00;14:00;870
01.01.2019;14:00;15:00;889
01.01.2019;15:00;16:00;876
01.01.2019;16:00;17:00;910
01.01.2019;17:00;18:00;1.039
01.01.2019;18:00;19:00;969
01.01.2019;19:00;20:00;868
01.01.2019;20:00;21:00;857
01.01.2019;21:00;22:00;808
01.01.2019;22:00;23:00;809
01.01.2019;23:00;00:00;806
02.01.2019;00:00;01:00;830
02.01.2019;01:00;02:00;813
02.01.2019;02:00;03:00;810
02.01.2019;03:00;04:00;825
02.01.2019;04:00;05:00;837
02.01.2019;05:00;06:00;854
02.01.2019;06:00;07:00;965
02.01.2019;07:00;08:00;965
02.01.2019;08:00;09:00;909
02.01.2019;09:00;10:00;1.026
02.01.2019;10:00;11:00;1.032
02.01.2019;11:00;12:00;1.011
02.01.2019;12:00;13:00;1.027
02.01.2019;13:00;14:00;1.030
02.01.2019;14:00;15:00;1.037
02.01.2019;15:00;16:00;1.069
02.01.2019;16:00;17:00;1.153
02.01.2019;17:00;18:00;1.169
02.01.2019;18:00;19:00;1.110
02.01.2019;19:00;20:00;1.039
02.01.2019;20:00;21:00;1.130
02.01.2019;21:00;22:00;1.167
02.01.2019;22:00;23:00;1.171
02.01.2019;23:00;00:00;1.183
03.01.2019;00:00;01:00;1.302
03.01.2019;01:00;02:00;1.327
03.01.2019;02:00;03:00;1.328
03.01.2019;03:00;04:00;1.328
03.01.2019;04:00;05:00;1.327
03.01.2019;05:00;06:00;1.327
03.01.2019;06:00;07:00;1.324
03.01.2019;07:00;08:00;1.324
03.01.2019;08:00;09:00;1.324
03.01.2019;09:00;10:00;1.325
03.01.2019;10:00;11:00;1.325
03.01.2019;11:00;12:00;1.325
03.01.2019;12:00;13:00;1.325
03.01.2019;13:00;14:00;1.325
03.01.2019;14:00;15:00;1.325
03.01.2019;15:00;16:00;1.325
03.01.2019;16:00;17:00;1.325
03.01.2019;17:00;18:00;1.324
03.01.2019;18:00;19:00;1.324
03.01.2019;19:00;20:00;1.324
03.01.2019;20:00;21:00;1.324
03.01.2019;21:00;22:00;1.324
03.01.2019;22:00;23:00;1.323
03.01.2019;23:00;00:00;1.323
04.01.2019;00:00;01:00;1.322
04.01.2019;01:00;02:00;1.320
04.01.2019;02:00;03:00;1.228
04.01.2019;03:00;04:00;1.229
04.01.2019;04:00;05:00;1.228
04.01.2019;05:00;06:00;1.228
04.01.2019;06:00;07:00;1.228
04.01.2019;07:00;08:00;1.228
04.01.2019;08:00;09:00;1.227
04.01.2019;09:00;10:00;1.227
04.01.2019;10:00;11:00;1.229
04.01.2019;11:00;12:00;1.229
04.01.2019;12:00;13:00;1.212
04.01.2019;13:00;14:00;1.154
04.01.2019;14:00;15:00;1.097
04.01.2019;15:00;16:00;1.060
04.01.2019;16:00;17:00;1.039
04.01.2019;17:00;18:00;1.038
04.01.2019;18:00;19:00;1.038
04.01.2019;19:00;20:00;1.038
04.01.2019;20:00;21:00;1.038
04.01.2019;21:00;22:00;1.038
04.01.2019;22:00;23:00;1.035
04.01.2019;23:00;00:00;1.031
05.01.2019;00:00;01:00;1.038
05.01.2019;01:00;02:00;1.039
05.01.2019;02:00;03:00;1.038
05.01.2019;03:00;04:00;1.038
05.01.2019;04:00;05:00;1.038
05.01.2019;05:00;06:00;1.038
05.01.2019;06:00;07:00;1.035
05.01.2019;07:00;08:00;1.032
05.01.2019;08:00;09:00;1.028
05.01.2019;09:00;10:00;1.035
05.01.2019;10:00;11:00;1.062
05.01.2019;11:00;12:00;1.070
05.01.2019;12:00;13:00;1.064
05.01.2019;13:00;14:00;1.093
05.01.2019;14:00;15:00;1.097
05.01.2019;15:00;16:00;1.048
05.01.2019;16:00;17:00;1.032
05.01.2019;17:00;18:00;1.033
05.01.2019;18:00;19:00;1.258
05.01.2019;19:00;20:00;1.320
05.01.2019;20:00;21:00;1.314
05.01.2019;21:00;22:00;1.314
05.01.2019;22:00;23:00;1.318
05.01.2019;23:00;00:00;1.319
06.01.2019;00:00;01:00;1.326
06.01.2019;01:00;02:00;1.326
06.01.2019;02:00;03:00;1.326
06.01.2019;03:00;04:00;1.326
06.01.2019;04:00;05:00;1.325
06.01.2019;05:00;06:00;1.325
06.01.2019;06:00;07:00;1.138
06.01.2019;07:00;08:00;1.089
06.01.2019;08:00;09:00;1.275
06.01.2019;09:00;10:00;1.323
06.01.2019;10:00;11:00;1.324
06.01.2019;11:00;12:00;1.325
06.01.2019;12:00;13:00;1.325
06.01.2019;13:00;14:00;1.325
06.01.2019;14:00;15:00;1.325
06.01.2019;15:00;16:00;1.325
06.01.2019;16:00;17:00;1.325
06.01.2019;17:00;18:00;1.325
06.01.2019;18:00;19:00;1.325
06.01.2019;19:00;20:00;1.324
06.01.2019;20:00;21:00;1.324
06.01.2019;21:00;22:00;1.324
06.01.2019;22:00;23:00;1.324
06.01.2019;23:00;00:00;1.324
07.01.2019;00:00;01:00;1.325
07.01.2019;01:00;02:00;1.325
07.01.2019;02:00;03:00;1.325
07.01.2019;03:00;04:00;1.325
07.01.2019;04:00;05:00;1.325
07.01.2019;05:00;06:00;1.325
07.01.2019;06:00;07:00;1.325
07.01.2019;07:00;08:00;1.324
07.01.2019;08:00;09:00;1.325
07.01.2019;09:00;10:00;1.328
07.01.2019;10:00;11:00;1.326
07.01.2019;11:00;12:00;1.324
07.01.2019;12:00;13:00;1.325
07.01.2019;13:00;14:00;1.326
07.01.2019;14:00;15:00;1.248
07.01.2019;15:00;16:00;1.114
07.01.2019;16:00;17:00;1.086
07.01.2019;17:00;18:00;1.065
07.01.2019;18:00;19:00;986
07.01.2019;19:00;20:00;985
07.01.2019;20:00;21:00;985
07.01.2019;21:00;22:00;988
07.01.2019;22:00;23:00;988
07.01.2019;23:00;00:00;976
08.01.2019;00:00;01:00;917
08.01.2019;01:00;02:00;998
08.01.2019;02:00;03:00;948
08.01.2019;03:00;04:00;961
08.01.2019;04:00;05:00;1.003
08.01.2019;05:00;06:00;1.038
08.01.2019;06:00;07:00;1.037
08.01.2019;07:00;08:00;1.043
08.01.2019;08:00;09:00;1.033
08.01.2019;09:00;10:00;1.014
08.01.2019;10:00;11:00;983
08.01.2019;11:00;12:00;981
08.01.2019;12:00;13:00;991
08.01.2019;13:00;14:00;1.012
08.01.2019;14:00;15:00;1.011
08.01.2019;15:00;16:00;1.012
08.01.2019;16:00;17:00;1.012
08.01.2019;17:00;18:00;1.009
08.01.2019;18:00;19:00;1.010
08.01.2019;19:00;20:00;1.009
08.01.2019;20:00;21:00;979
08.01.2019;21:00;22:00;960
08.01.2019;22:00;23:00;1.008
08.01.2019;23:00;00:00;984
09.01.2019;00:00;01:00;1.023
09.01.2019;01:00;02:00;1.039
09.01.2019;02:00;03:00;1.041
09.01.2019;03:00;04:00;1.041
09.01.2019;04:00;05:00;1.043
09.01.2019;05:00;06:00;1.041
09.01.2019;06:00;07:00;1.043
09.01.2019;07:00;08:00;1.042
09.01.2019;08:00;09:00;1.042
09.01.2019;09:00;10:00;1.042
09.01.2019;10:00;11:00;1.039
09.01.2019;11:00;12:00;1.042
09.01.2019;12:00;13:00;1.040
09.01.2019;13:00;14:00;1.066
09.01.2019;14:00;15:00;1.154
09.01.2019;15:00;16:00;1.165
09.01.2019;16:00;17:00;1.318
09.01.2019;17:00;18:00;1.324
09.01.2019;18:00;19:00;1.324
09.01.2019;19:00;20:00;1.325
09.01.2019;20:00;21:00;1.325
09.01.2019;21:00;22:00;1.324
09.01.2019;22:00;23:00;1.324
09.01.2019;23:00;00:00;1.325
10.01.2019;00:00;01:00;1.324
10.01.2019;01:00;02:00;1.325
10.01.2019;02:00;03:00;1.325
10.01.2019;03:00;04:00;1.325
10.01.2019;04:00;05:00;1.325
10.01.2019;05:00;06:00;1.324
10.01.2019;06:00;07:00;1.324
10.01.2019;07:00;08:00;1.324
10.01.2019;08:00;09:00;1.324
10.01.2019;09:00;10:00;1.324
10.01.2019;10:00;11:00;1.324
10.01.2019;11:00;12:00;1.324
10.01.2019;12:00;13:00;1.324
10.01.2019;13:00;14:00;1.324
10.01.2019;14:00;15:00;1.145
10.01.2019;15:00;16:00;1.243
10.01.2019;16:00;17:00;1.326
10.01.2019;17:00;18:00;1.325
10.01.2019;18:00;19:00;1.325
10.01.2019;19:00;20:00;1.325
10.01.2019;20:00;21:00;1.324
10.01.2019;21:00;22:00;1.324
10.01.2019;22:00;23:00;1.324
10.01.2019;23:00;00:00;1.324
11.01.2019;00:00;01:00;1.323
11.01.2019;01:00;02:00;1.322
