Datum;Anfang;Ende;Generation_DE 3.0 [MW] Originalauflösungen;Generation_DE 1.0 [MW] Originalauflösungen;Generation_DE 2.0 [MW] Originalauflösungen;Generation_DE Datteln 4 [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;-;411
01.01.2023;01:00;02:00;-;-;-;410
01.01.2023;02:00;03:00;-;-;-;411
01.01.2023;03:00;04:00;-;-;-;411
01.01.2023;04:00;05:00;-;-;-;410
01.01.2023;05:00;06:00;-;-;-;410
01.01.2023;06:00;07:00;-;-;-;410
01.01.2023;07:00;08:00;-;-;-;409
01.01.2023;08:00;09:00;-;-;-;411
01.01.2023;09:00;10:00;-;-;-;410
01.01.2023;10:00;11:00;-;-;-;410
01.01.2023;11:00;12:00;-;-;-;410
01.01.2023;12:00;13:00;-;-;-;410
01.01.2023;13:00;14:00;-;-;-;410
01.01.2023;14:00;15:00;-;-;-;409
01.01.2023;15:00;16:00;-;-;-;411
01.01.2023;16:00;17:00;-;-;-;409
01.01.2023;17:00;18:00;-;-;-;411
01.01.2023;18:00;19:00;-;-;-;410
01.01.2023;19:00;20:00;-;-;-;408
01.01.2023;20:00;21:00;-;-;-;412
01.01.2023;21:00;22:00;-;-;-;414
01.01.2023;22:00;23:00;-;-;-;408
01.01.2023;23:00;00:00;-;-;-;411
02.01.2023;00:00;01:00;-;-;-;410
02.01.2023;01:00;02:00;-;-;-;409
02.01.2023;02:00;03:00;-;-;-;413
02.01.2023;03:00;04:00;-;-;-;411
02.01.2023;04:00;05:00;-;-;-;410
02.01.2023;05:00;06:00;-;-;-;408
02.01.2023;06:00;07:00;-;-;-;410
02.01.2023;07:00;08:00;-;-;-;407
02.01.2023;08:00;09:00;-;-;-;414
02.01.2023;09:00;10:00;-;-;-;408
02.01.2023;10:00;11:00;-;-;-;412
02.01.2023;11:00;12:00;-;-;-;410
02.01.2023;12:00;13:00;-;-;-;410
02.01.2023;13:00;14:00;-;-;-;409
02.01.2023;14:00;15:00;-;-;-;409
02.01.2023;15:00;16:00;-;-;-;408
02.01.2023;16:00;17:00;-;-;-;414
02.01.2023;17:00;18:00;-;-;-;408
02.01.2023;18:00;19:00;-;-;-;411
02.01.2023;19:00;20:00;-;-;-;410
02.01.2023;20:00;21:00;-;-;-;410
02.01.2023;21:00;22:00;-;-;-;410
02.01.2023;22:00;23:00;-;-;-;410
02.01.2023;23:00;00:00;-;-;-;408
03.01.2023;00:00;01:00;-;-;-;410
03.01.2023;01:00;02:00;-;-;-;409
03.01.2023;02:00;03:00;-;-;-;414
03.01.2023;03:00;04:00;-;-;-;412
03.01.2023;04:00;05:00;-;-;-;414
03.01.2023;05:00;06:00;-;-;-;407
03.01.2023;06:00;07:00;-;-;-;414
03.01.2023;07:00;08:00;-;-;-;410
03.01.2023;08:00;09:00;-;-;-;412
03.01.2023;09:00;10:00;-;-;-;409
03.01.2023;10:00;11:00;-;-;-;409
03.01.2023;11:00;12:00;-;-;-;412
03.01.2023;12:00;13:00;-;-;-;406
03.01.2023;13:00;14:00;-;-;-;409
03.01.2023;14:00;15:00;-;-;-;409
03.01.2023;15:00;16:00;-;-;-;412
03.01.2023;16:00;17:00;-;-;-;408
03.01.2023;17:00;18:00;-;-;-;412
03.01.2023;18:00;19:00;-;-;-;411
03.01.2023;19:00;20:00;-;-;-;408
03.01.2023;20:00;21:00;-;-;-;411
03.01.2023;21:00;22:00;-;-;-;408
03.01.2023;22:00;23:00;-;-;-;411
03.01.2023;23:00;00:00;-;-;-;410
04.01.2023;00:00;01:00;-;-;-;413
04.01.2023;01:00;02:00;-;-;-;407
04.01.2023;02:00;03:00;-;-;-;414
04.01.2023;03:00;04:00;-;-;-;406
04.01.2023;04:00;05:00;-;-;-;413
04.01.2023;05:00;06:00;-;-;-;410
04.01.2023;06:00;07:00;-;-;-;409
04.01.2023;07:00;08:00;-;-;-;409
04.01.2023;08:00;09:00;-;-;-;411
04.01.2023;09:00;10:00;-;-;-;410
04.01.2023;10:00;11:00;-;-;-;410
04.01.2023;11:00;12:00;-;-;-;405
04.01.2023;12:00;13:00;-;-;-;413
04.01.2023;13:00;14:00;-;-;-;410
04.01.2023;14:00;15:00;-;-;-;410
04.01.2023;15:00;16:00;-;-;-;409
04.01.2023;16:00;17:00;-;-;-;410
04.01.2023;17:00;18:00;-;-;-;412
04.01.2023;18:00;19:00;-;-;-;409
04.01.2023;19:00;20:00;-;-;-;413
04.01.2023;20:00;21:00;-;-;-;409
04.01.2023;21:00;22:00;-;-;-;409
04.01.2023;22:00;23:00;-;-;-;412
04.01.2023;23:00;00:00;-;-;-;409
05.01.2023;00:00;01:00;-;-;-;409
05.01.2023;01:00;02:00;-;-;-;410
05.01.2023;02:00;03:00;-;-;-;410
05.01.2023;03:00;04:00;-;-;-;412
05.01.2023;04:00;05:00;-;-;-;408
05.01.2023;05:00;06:00;-;-;-;410
05.01.2023;06:00;07:00;-;-;-;413
05.01.2023;07:00;08:00;-;-;-;411
