Date;Start;End;Generation_DE Gas-und-Dampfturbinen [MW] Original resolutions
01.01.2016;00:00;01:00;0
01.01.2016;01:00;02:00;0
01.01.2016;02:00;03:00;0
01.01.2016;03:00;04:00;0
01.01.2016;04:00;05:00;0
01.01.2016;05:00;06:00;0
01.01.2016;06:00;07:00;0
01.01.2016;07:00;08:00;0
01.01.2016;08:00;09:00;0
01.01.2016;09:00;10:00;0
01.01.2016;10:00;11:00;0
01.01.2016;11:00;12:00;0
01.01.2016;12:00;13:00;0
01.01.2016;13:00;14:00;27
01.01.2016;14:00;15:00;94
01.01.2016;15:00;16:00;134
01.01.2016;16:00;17:00;212
01.01.2016;17:00;18:00;332
01.01.2016;18:00;19:00;284
01.01.2016;19:00;20:00;284
01.01.2016;20:00;21:00;274
01.01.2016;21:00;22:00;129
01.01.2016;22:00;23:00;28
01.01.2016;23:00;00:00;0
02.01.2016;00:00;01:00;0
02.01.2016;01:00;02:00;0
02.01.2016;02:00;03:00;0
02.01.2016;03:00;04:00;0
02.01.2016;04:00;05:00;0
02.01.2016;05:00;06:00;0
02.01.2016;06:00;07:00;0
02.01.2016;07:00;08:00;0
02.01.2016;08:00;09:00;0
02.01.2016;09:00;10:00;0
02.01.2016;10:00;11:00;0
02.01.2016;11:00;12:00;0
02.01.2016;12:00;13:00;0
02.01.2016;13:00;14:00;0
02.01.2016;14:00;15:00;0
02.01.2016;15:00;16:00;0
02.01.2016;16:00;17:00;0
02.01.2016;17:00;18:00;0
02.01.2016;18:00;19:00;0
02.01.2016;19:00;20:00;0
02.01.2016;20:00;21:00;0
02.01.2016;21:00;22:00;0
02.01.2016;22:00;23:00;0
02.01.2016;23:00;00:00;0
03.01.2016;00:00;01:00;0
03.01.2016;01:00;02:00;0
03.01.2016;02:00;03:00;0
03.01.2016;03:00;04:00;0
03.01.2016;04:00;05:00;0
03.01.2016;05:00;06:00;0
03.01.2016;06:00;07:00;0
03.01.2016;07:00;08:00;0
03.01.2016;08:00;09:00;0
03.01.2016;09:00;10:00;0
03.01.2016;10:00;11:00;0
03.01.2016;11:00;12:00;0
03.01.2016;12:00;13:00;0
03.01.2016;13:00;14:00;0
03.01.2016;14:00;15:00;0
03.01.2016;15:00;16:00;0
03.01.2016;16:00;17:00;0
03.01.2016;17:00;18:00;0
03.01.2016;18:00;19:00;0
03.01.2016;19:00;20:00;0
03.01.2016;20:00;21:00;0
03.01.2016;21:00;22:00;0
03.01.2016;22:00;23:00;0
03.01.2016;23:00;00:00;0
04.01.2016;00:00;01:00;0
04.01.2016;01:00;02:00;0
04.01.2016;02:00;03:00;0
04.01.2016;03:00;04:00;0
04.01.2016;04:00;05:00;0
04.01.2016;05:00;06:00;0
04.01.2016;06:00;07:00;5
04.01.2016;07:00;08:00;75
04.01.2016;08:00;09:00;169
04.01.2016;09:00;10:00;257
04.01.2016;10:00;11:00;276
04.01.2016;11:00;12:00;279
04.01.2016;12:00;13:00;273
04.01.2016;13:00;14:00;265
04.01.2016;14:00;15:00;255
04.01.2016;15:00;16:00;263
04.01.2016;16:00;17:00;263
04.01.2016;17:00;18:00;265
04.01.2016;18:00;19:00;265
04.01.2016;19:00;20:00;266
04.01.2016;20:00;21:00;264
04.01.2016;21:00;22:00;250
04.01.2016;22:00;23:00;172
04.01.2016;23:00;00:00;186
05.01.2016;00:00;01:00;252
05.01.2016;01:00;02:00;234
05.01.2016;02:00;03:00;238
05.01.2016;03:00;04:00;234
05.01.2016;04:00;05:00;237
05.01.2016;05:00;06:00;175
05.01.2016;06:00;07:00;112
05.01.2016;07:00;08:00;126
05.01.2016;08:00;09:00;263
05.01.2016;09:00;10:00;178
05.01.2016;10:00;11:00;157
05.01.2016;11:00;12:00;261
05.01.2016;12:00;13:00;261
05.01.2016;13:00;14:00;226
05.01.2016;14:00;15:00;261
05.01.2016;15:00;16:00;263
05.01.2016;16:00;17:00;264
05.01.2016;17:00;18:00;265
05.01.2016;18:00;19:00;264
05.01.2016;19:00;20:00;265
05.01.2016;20:00;21:00;266
05.01.2016;21:00;22:00;187
05.01.2016;22:00;23:00;217
05.01.2016;23:00;00:00;314
06.01.2016;00:00;01:00;265
06.01.2016;01:00;02:00;209
06.01.2016;02:00;03:00;208
06.01.2016;03:00;04:00;213
06.01.2016;04:00;05:00;227
06.01.2016;05:00;06:00;197
06.01.2016;06:00;07:00;186
06.01.2016;07:00;08:00;151
06.01.2016;08:00;09:00;267
06.01.2016;09:00;10:00;262
06.01.2016;10:00;11:00;271
06.01.2016;11:00;12:00;272
06.01.2016;12:00;13:00;270
06.01.2016;13:00;14:00;290
06.01.2016;14:00;15:00;274
06.01.2016;15:00;16:00;271
06.01.2016;16:00;17:00;272
06.01.2016;17:00;18:00;283
06.01.2016;18:00;19:00;296
06.01.2016;19:00;20:00;284
06.01.2016;20:00;21:00;246
06.01.2016;21:00;22:00;276
06.01.2016;22:00;23:00;274
06.01.2016;23:00;00:00;273
07.01.2016;00:00;01:00;211
07.01.2016;01:00;02:00;211
