Datum;Anfang;Ende;Generation_DE III/B [MW] Originalauflösungen;Generation_DE HKW III  Block A [MW] Originalauflösungen
01.01.2020;00:00;01:00;149;-
01.01.2020;01:00;02:00;209;-
01.01.2020;02:00;03:00;209;-
01.01.2020;03:00;04:00;209;-
01.01.2020;04:00;05:00;209;-
01.01.2020;05:00;06:00;209;-
01.01.2020;06:00;07:00;209;-
01.01.2020;07:00;08:00;208;-
01.01.2020;08:00;09:00;208;-
01.01.2020;09:00;10:00;208;-
01.01.2020;10:00;11:00;209;-
01.01.2020;11:00;12:00;209;-
01.01.2020;12:00;13:00;208;-
01.01.2020;13:00;14:00;209;-
01.01.2020;14:00;15:00;204;-
01.01.2020;15:00;16:00;207;-
01.01.2020;16:00;17:00;209;-
01.01.2020;17:00;18:00;208;-
01.01.2020;18:00;19:00;209;-
01.01.2020;19:00;20:00;209;-
01.01.2020;20:00;21:00;208;-
01.01.2020;21:00;22:00;209;-
01.01.2020;22:00;23:00;209;-
01.01.2020;23:00;00:00;209;-
02.01.2020;00:00;01:00;208;-
02.01.2020;01:00;02:00;177;-
02.01.2020;02:00;03:00;150;-
02.01.2020;03:00;04:00;146;-
02.01.2020;04:00;05:00;157;-
02.01.2020;05:00;06:00;186;-
02.01.2020;06:00;07:00;201;-
02.01.2020;07:00;08:00;184;-
02.01.2020;08:00;09:00;214;-
02.01.2020;09:00;10:00;217;-
02.01.2020;10:00;11:00;218;-
02.01.2020;11:00;12:00;211;-
02.01.2020;12:00;13:00;215;-
02.01.2020;13:00;14:00;218;-
02.01.2020;14:00;15:00;216;-
02.01.2020;15:00;16:00;217;-
02.01.2020;16:00;17:00;209;-
02.01.2020;17:00;18:00;209;-
02.01.2020;18:00;19:00;208;-
02.01.2020;19:00;20:00;210;-
02.01.2020;20:00;21:00;211;-
02.01.2020;21:00;22:00;210;-
02.01.2020;22:00;23:00;166;-
02.01.2020;23:00;00:00;73;-
03.01.2020;00:00;01:00;57;-
03.01.2020;01:00;02:00;58;-
03.01.2020;02:00;03:00;58;-
03.01.2020;03:00;04:00;58;-
03.01.2020;04:00;05:00;58;-
03.01.2020;05:00;06:00;58;-
03.01.2020;06:00;07:00;58;-
03.01.2020;07:00;08:00;59;-
03.01.2020;08:00;09:00;58;-
03.01.2020;09:00;10:00;59;-
03.01.2020;10:00;11:00;61;-
03.01.2020;11:00;12:00;81;-
03.01.2020;12:00;13:00;96;-
03.01.2020;13:00;14:00;98;-
03.01.2020;14:00;15:00;98;-
03.01.2020;15:00;16:00;101;-
03.01.2020;16:00;17:00;101;-
03.01.2020;17:00;18:00;101;-
03.01.2020;18:00;19:00;101;-
03.01.2020;19:00;20:00;84;-
03.01.2020;20:00;21:00;94;-
03.01.2020;21:00;22:00;93;-
03.01.2020;22:00;23:00;88;-
03.01.2020;23:00;00:00;72;-
04.01.2020;00:00;01:00;58;-
04.01.2020;01:00;02:00;57;-
04.01.2020;02:00;03:00;57;-
04.01.2020;03:00;04:00;57;-
04.01.2020;04:00;05:00;58;-
04.01.2020;05:00;06:00;57;-
04.01.2020;06:00;07:00;57;-
04.01.2020;07:00;08:00;57;-
04.01.2020;08:00;09:00;59;-
04.01.2020;09:00;10:00;60;-
04.01.2020;10:00;11:00;59;-
04.01.2020;11:00;12:00;59;-
04.01.2020;12:00;13:00;59;-
04.01.2020;13:00;14:00;58;-
04.01.2020;14:00;15:00;64;-
04.01.2020;15:00;16:00;90;-
04.01.2020;16:00;17:00;142;-
04.01.2020;17:00;18:00;189;-
04.01.2020;18:00;19:00;205;-
04.01.2020;19:00;20:00;210;-
04.01.2020;20:00;21:00;202;-
04.01.2020;21:00;22:00;209;-
04.01.2020;22:00;23:00;208;-
04.01.2020;23:00;00:00;209;-
05.01.2020;00:00;01:00;209;-
05.01.2020;01:00;02:00;208;-
05.01.2020;02:00;03:00;209;-
05.01.2020;03:00;04:00;207;-
05.01.2020;04:00;05:00;176;-
05.01.2020;05:00;06:00;166;-
05.01.2020;06:00;07:00;149;-
05.01.2020;07:00;08:00;150;-
05.01.2020;08:00;09:00;150;-
05.01.2020;09:00;10:00;150;-
05.01.2020;10:00;11:00;150;-
05.01.2020;11:00;12:00;150;-
05.01.2020;12:00;13:00;149;-
05.01.2020;13:00;14:00;140;-
05.01.2020;14:00;15:00;139;-
05.01.2020;15:00;16:00;151;-
05.01.2020;16:00;17:00;190;-
05.01.2020;17:00;18:00;209;-
05.01.2020;18:00;19:00;209;-
05.01.2020;19:00;20:00;210;-
05.01.2020;20:00;21:00;210;-
05.01.2020;21:00;22:00;207;-
05.01.2020;22:00;23:00;208;-
05.01.2020;23:00;00:00;206;-
06.01.2020;00:00;01:00;203;-
06.01.2020;01:00;02:00;208;-
06.01.2020;02:00;03:00;208;-
06.01.2020;03:00;04:00;208;-
06.01.2020;04:00;05:00;204;-
06.01.2020;05:00;06:00;207;-
06.01.2020;06:00;07:00;205;-
06.01.2020;07:00;08:00;198;-
06.01.2020;08:00;09:00;203;-
06.01.2020;09:00;10:00;210;-
06.01.2020;10:00;11:00;208;-
06.01.2020;11:00;12:00;209;-
06.01.2020;12:00;13:00;208;-
06.01.2020;13:00;14:00;209;-
06.01.2020;14:00;15:00;209;-
06.01.2020;15:00;16:00;209;-
06.01.2020;16:00;17:00;209;-
06.01.2020;17:00;18:00;210;-
06.01.2020;18:00;19:00;209;-
06.01.2020;19:00;20:00;209;-
06.01.2020;20:00;21:00;206;-
06.01.2020;21:00;22:00;205;-
06.01.2020;22:00;23:00;206;-
06.01.2020;23:00;00:00;172;-
07.01.2020;00:00;01:00;141;-
07.01.2020;01:00;02:00;139;-
07.01.2020;02:00;03:00;139;-
07.01.2020;03:00;04:00;139;-
07.01.2020;04:00;05:00;143;-
07.01.2020;05:00;06:00;175;-
07.01.2020;06:00;07:00;208;-
07.01.2020;07:00;08:00;210;-
07.01.2020;08:00;09:00;212;-
07.01.2020;09:00;10:00;212;-
07.01.2020;10:00;11:00;215;-
07.01.2020;11:00;12:00;211;-
07.01.2020;12:00;13:00;207;-
07.01.2020;13:00;14:00;206;-
07.01.2020;14:00;15:00;211;-
07.01.2020;15:00;16:00;210;-
07.01.2020;16:00;17:00;209;-
07.01.2020;17:00;18:00;211;-
07.01.2020;18:00;19:00;209;-
07.01.2020;19:00;20:00;208;-
07.01.2020;20:00;21:00;202;-
07.01.2020;21:00;22:00;205;-
07.01.2020;22:00;23:00;176;-
07.01.2020;23:00;00:00;130;-
08.01.2020;00:00;01:00;117;-
08.01.2020;01:00;02:00;117;-
08.01.2020;02:00;03:00;116;-
08.01.2020;03:00;04:00;116;-
08.01.2020;04:00;05:00;116;-
08.01.2020;05:00;06:00;116;-
08.01.2020;06:00;07:00;136;-
08.01.2020;07:00;08:00;204;-
08.01.2020;08:00;09:00;208;-
08.01.2020;09:00;10:00;212;-
08.01.2020;10:00;11:00;210;-
08.01.2020;11:00;12:00;212;-
08.01.2020;12:00;13:00;206;-
08.01.2020;13:00;14:00;207;-
08.01.2020;14:00;15:00;211;-
08.01.2020;15:00;16:00;206;-
08.01.2020;16:00;17:00;206;-
08.01.2020;17:00;18:00;211;-
08.01.2020;18:00;19:00;212;-
08.01.2020;19:00;20:00;213;-
08.01.2020;20:00;21:00;207;-
08.01.2020;21:00;22:00;213;-
08.01.2020;22:00;23:00;211;-
08.01.2020;23:00;00:00;201;-
09.01.2020;00:00;01:00;163;-
09.01.2020;01:00;02:00;144;-
09.01.2020;02:00;03:00;144;-
09.01.2020;03:00;04:00;144;-
09.01.2020;04:00;05:00;148;-
09.01.2020;05:00;06:00;178;-
09.01.2020;06:00;07:00;211;-
09.01.2020;07:00;08:00;215;-
09.01.2020;08:00;09:00;215;-
09.01.2020;09:00;10:00;190;-
09.01.2020;10:00;11:00;205;-
09.01.2020;11:00;12:00;203;-
09.01.2020;12:00;13:00;194;-
09.01.2020;13:00;14:00;171;-
09.01.2020;14:00;15:00;191;-
09.01.2020;15:00;16:00;196;-
09.01.2020;16:00;17:00;205;-
09.01.2020;17:00;18:00;206;-
09.01.2020;18:00;19:00;206;-
09.01.2020;19:00;20:00;206;-
09.01.2020;20:00;21:00;206;-
