Datum;Anfang;Ende;Generation_DE Ruhrort 2 [MW] Originalauflösungen;Generation_DE Ruhrort 3 [MW] Originalauflösungen;Generation_DE Ruhrort 4 [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;139
01.01.2023;01:00;02:00;-;-;125
01.01.2023;02:00;03:00;-;-;110
01.01.2023;03:00;04:00;-;-;122
01.01.2023;04:00;05:00;-;-;131
01.01.2023;05:00;06:00;-;-;127
01.01.2023;06:00;07:00;-;-;129
01.01.2023;07:00;08:00;-;-;131
01.01.2023;08:00;09:00;-;-;132
01.01.2023;09:00;10:00;-;-;109
01.01.2023;10:00;11:00;-;-;108
01.01.2023;11:00;12:00;-;-;115
01.01.2023;12:00;13:00;-;-;121
01.01.2023;13:00;14:00;-;-;115
01.01.2023;14:00;15:00;-;-;142
01.01.2023;15:00;16:00;-;-;135
01.01.2023;16:00;17:00;-;-;126
01.01.2023;17:00;18:00;-;-;140
01.01.2023;18:00;19:00;-;-;126
01.01.2023;19:00;20:00;-;-;133
01.01.2023;20:00;21:00;-;-;139
01.01.2023;21:00;22:00;-;-;127
01.01.2023;22:00;23:00;-;-;141
01.01.2023;23:00;00:00;-;-;131
02.01.2023;00:00;01:00;-;-;117
02.01.2023;01:00;02:00;-;-;110
02.01.2023;02:00;03:00;-;-;123
02.01.2023;03:00;04:00;-;-;135
02.01.2023;04:00;05:00;-;-;130
02.01.2023;05:00;06:00;-;-;109
02.01.2023;06:00;07:00;-;-;118
02.01.2023;07:00;08:00;-;-;132
02.01.2023;08:00;09:00;-;-;120
02.01.2023;09:00;10:00;-;-;125
02.01.2023;10:00;11:00;-;-;119
02.01.2023;11:00;12:00;-;-;120
02.01.2023;12:00;13:00;-;-;126
02.01.2023;13:00;14:00;-;-;135
02.01.2023;14:00;15:00;-;-;123
02.01.2023;15:00;16:00;-;-;137
02.01.2023;16:00;17:00;-;-;134
02.01.2023;17:00;18:00;-;-;97
02.01.2023;18:00;19:00;-;-;108
02.01.2023;19:00;20:00;-;-;97
02.01.2023;20:00;21:00;-;-;100
02.01.2023;21:00;22:00;-;-;105
02.01.2023;22:00;23:00;-;-;104
02.01.2023;23:00;00:00;-;-;103
03.01.2023;00:00;01:00;-;-;-
03.01.2023;01:00;02:00;-;-;-
03.01.2023;02:00;03:00;-;-;-
03.01.2023;03:00;04:00;-;-;-
03.01.2023;04:00;05:00;-;-;-
03.01.2023;05:00;06:00;-;-;-
03.01.2023;06:00;07:00;-;-;-
03.01.2023;07:00;08:00;-;-;-
03.01.2023;08:00;09:00;-;-;-
03.01.2023;09:00;10:00;-;-;-
03.01.2023;10:00;11:00;-;-;-
03.01.2023;11:00;12:00;-;-;-
03.01.2023;12:00;13:00;-;-;-
03.01.2023;13:00;14:00;-;-;-
03.01.2023;14:00;15:00;-;-;-
03.01.2023;15:00;16:00;-;-;-
03.01.2023;16:00;17:00;-;-;-
03.01.2023;17:00;18:00;-;-;-
03.01.2023;18:00;19:00;-;-;-
03.01.2023;19:00;20:00;-;-;-
03.01.2023;20:00;21:00;-;-;-
03.01.2023;21:00;22:00;-;-;-
03.01.2023;22:00;23:00;-;-;-
03.01.2023;23:00;00:00;-;-;-
04.01.2023;00:00;01:00;-;-;0
04.01.2023;01:00;02:00;-;-;0
04.01.2023;02:00;03:00;-;-;0
04.01.2023;03:00;04:00;-;-;0
04.01.2023;04:00;05:00;-;-;0
04.01.2023;05:00;06:00;-;-;0
04.01.2023;06:00;07:00;-;-;0
04.01.2023;07:00;08:00;-;-;0
04.01.2023;08:00;09:00;-;-;0
04.01.2023;09:00;10:00;-;-;0
04.01.2023;10:00;11:00;-;-;0
04.01.2023;11:00;12:00;-;-;0
04.01.2023;12:00;13:00;-;-;0
04.01.2023;13:00;14:00;-;-;0
04.01.2023;14:00;15:00;-;-;0
04.01.2023;15:00;16:00;-;-;0
04.01.2023;16:00;17:00;-;-;0
04.01.2023;17:00;18:00;-;-;0
04.01.2023;18:00;19:00;-;-;0
04.01.2023;19:00;20:00;-;-;0
04.01.2023;20:00;21:00;-;-;0
04.01.2023;21:00;22:00;-;-;0
04.01.2023;22:00;23:00;-;-;0
04.01.2023;23:00;00:00;-;-;0
05.01.2023;00:00;01:00;-;-;0
05.01.2023;01:00;02:00;-;-;0
05.01.2023;02:00;03:00;-;-;0
05.01.2023;03:00;04:00;-;-;0
05.01.2023;04:00;05:00;-;-;0
05.01.2023;05:00;06:00;-;-;0
05.01.2023;06:00;07:00;-;-;0
05.01.2023;07:00;08:00;-;-;0
05.01.2023;08:00;09:00;-;-;0
05.01.2023;09:00;10:00;-;-;0
05.01.2023;10:00;11:00;-;-;0
05.01.2023;11:00;12:00;-;-;0
05.01.2023;12:00;13:00;-;-;0
05.01.2023;13:00;14:00;-;-;0
05.01.2023;14:00;15:00;-;-;0
05.01.2023;15:00;16:00;-;-;0
05.01.2023;16:00;17:00;-;-;0
05.01.2023;17:00;18:00;-;-;0
05.01.2023;18:00;19:00;-;-;0
05.01.2023;19:00;20:00;-;-;0
05.01.2023;20:00;21:00;-;-;0
05.01.2023;21:00;22:00;-;-;0
05.01.2023;22:00;23:00;-;-;0
05.01.2023;23:00;00:00;-;-;0
06.01.2023;00:00;01:00;-;-;0
06.01.2023;01:00;02:00;-;-;0
06.01.2023;02:00;03:00;-;-;0
06.01.2023;03:00;04:00;-;-;0
06.01.2023;04:00;05:00;-;-;0
06.01.2023;05:00;06:00;-;-;0
06.01.2023;06:00;07:00;-;-;0
06.01.2023;07:00;08:00;-;-;0
06.01.2023;08:00;09:00;-;-;0
06.01.2023;09:00;10:00;-;-;0
06.01.2023;10:00;11:00;-;-;0
06.01.2023;11:00;12:00;-;-;0
06.01.2023;12:00;13:00;-;-;0
06.01.2023;13:00;14:00;-;-;0
06.01.2023;14:00;15:00;-;-;0
06.01.2023;15:00;16:00;-;-;0
06.01.2023;16:00;17:00;-;-;0
06.01.2023;17:00;18:00;-;-;0
06.01.2023;18:00;19:00;-;-;0
06.01.2023;19:00;20:00;-;-;0
06.01.2023;20:00;21:00;-;-;0
06.01.2023;21:00;22:00;-;-;0
06.01.2023;22:00;23:00;-;-;0
06.01.2023;23:00;00:00;-;-;0
07.01.2023;00:00;01:00;-;-;0
07.01.2023;01:00;02:00;-;-;0
07.01.2023;02:00;03:00;-;-;0
07.01.2023;03:00;04:00;-;-;0
07.01.2023;04:00;05:00;-;-;0
07.01.2023;05:00;06:00;-;-;0
07.01.2023;06:00;07:00;-;-;0
07.01.2023;07:00;08:00;-;-;0
07.01.2023;08:00;09:00;-;-;0
07.01.2023;09:00;10:00;-;-;0
07.01.2023;10:00;11:00;-;-;0
07.01.2023;11:00;12:00;-;-;0
07.01.2023;12:00;13:00;-;-;0
07.01.2023;13:00;14:00;-;-;0
07.01.2023;14:00;15:00;-;-;0
07.01.2023;15:00;16:00;-;-;0
07.01.2023;16:00;17:00;-;-;0
07.01.2023;17:00;18:00;-;-;0
07.01.2023;18:00;19:00;-;-;0
07.01.2023;19:00;20:00;-;-;0
07.01.2023;20:00;21:00;-;-;0
07.01.2023;21:00;22:00;-;-;0
07.01.2023;22:00;23:00;-;-;0
07.01.2023;23:00;00:00;-;-;0
08.01.2023;00:00;01:00;-;-;0
08.01.2023;01:00;02:00;-;-;0
08.01.2023;02:00;03:00;-;-;0
08.01.2023;03:00;04:00;-;-;0
08.01.2023;04:00;05:00;-;-;0
08.01.2023;05:00;06:00;-;-;0
08.01.2023;06:00;07:00;-;-;0
08.01.2023;07:00;08:00;-;-;0
08.01.2023;08:00;09:00;-;-;0
08.01.2023;09:00;10:00;-;-;0
08.01.2023;10:00;11:00;-;-;0
08.01.2023;11:00;12:00;-;-;0
08.01.2023;12:00;13:00;-;-;0
08.01.2023;13:00;14:00;-;-;0
08.01.2023;14:00;15:00;-;-;0
08.01.2023;15:00;16:00;-;-;0
08.01.2023;16:00;17:00;-;-;0
08.01.2023;17:00;18:00;-;-;0
08.01.2023;18:00;19:00;-;-;0
08.01.2023;19:00;20:00;-;-;0
08.01.2023;20:00;21:00;-;-;0
08.01.2023;21:00;22:00;-;-;0
08.01.2023;22:00;23:00;-;-;0
08.01.2023;23:00;00:00;-;-;0
09.01.2023;00:00;01:00;-;-;0
09.01.2023;01:00;02:00;-;-;0
09.01.2023;02:00;03:00;-;-;0
09.01.2023;03:00;04:00;-;-;0
09.01.2023;04:00;05:00;-;-;0
09.01.2023;05:00;06:00;-;-;0
09.01.2023;06:00;07:00;-;-;0
09.01.2023;07:00;08:00;-;-;0
09.01.2023;08:00;09:00;-;-;0
09.01.2023;09:00;10:00;-;-;0
09.01.2023;10:00;11:00;-;-;0
09.01.2023;11:00;12:00;-;-;10
09.01.2023;12:00;13:00;-;-;24
09.01.2023;13:00;14:00;-;-;84
09.01.2023;14:00;15:00;-;-;91
09.01.2023;15:00;16:00;-;-;90
09.01.2023;16:00;17:00;-;-;91
09.01.2023;17:00;18:00;-;-;105
09.01.2023;18:00;19:00;-;-;106
09.01.2023;19:00;20:00;-;-;106
09.01.2023;20:00;21:00;-;-;107
09.01.2023;21:00;22:00;-;-;106
09.01.2023;22:00;23:00;-;-;102
09.01.2023;23:00;00:00;-;-;100
10.01.2023;00:00;01:00;-;-;96
10.01.2023;01:00;02:00;-;-;97
10.01.2023;02:00;03:00;-;-;99
10.01.2023;03:00;04:00;-;-;97
10.01.2023;04:00;05:00;-;-;96
10.01.2023;05:00;06:00;-;-;93
10.01.2023;06:00;07:00;-;-;89
10.01.2023;07:00;08:00;-;-;87
10.01.2023;08:00;09:00;-;-;89
10.01.2023;09:00;10:00;-;-;94
10.01.2023;10:00;11:00;-;-;93
10.01.2023;11:00;12:00;-;-;92
10.01.2023;12:00;13:00;-;-;92
10.01.2023;13:00;14:00;-;-;98
10.01.2023;14:00;15:00;-;-;98
10.01.2023;15:00;16:00;-;-;95
10.01.2023;16:00;17:00;-;-;102
10.01.2023;17:00;18:00;-;-;101
10.01.2023;18:00;19:00;-;-;98
10.01.2023;19:00;20:00;-;-;95
10.01.2023;20:00;21:00;-;-;103
10.01.2023;21:00;22:00;-;-;112
10.01.2023;22:00;23:00;-;-;105
10.01.2023;23:00;00:00;-;-;97
11.01.2023;00:00;01:00;-;-;-
11.01.2023;01:00;02:00;-;-;-
11.01.2023;02:00;03:00;-;-;-
11.01.2023;03:00;04:00;-;-;-
11.01.2023;04:00;05:00;-;-;-
11.01.2023;05:00;06:00;-;-;-
11.01.2023;06:00;07:00;-;-;-
11.01.2023;07:00;08:00;-;-;-
11.01.2023;08:00;09:00;-;-;-
11.01.2023;09:00;10:00;-;-;-
11.01.2023;10:00;11:00;-;-;-
11.01.2023;11:00;12:00;-;-;-
11.01.2023;12:00;13:00;-;-;-
11.01.2023;13:00;14:00;-;-;-
11.01.2023;14:00;15:00;-;-;-
11.01.2023;15:00;16:00;-;-;-
11.01.2023;16:00;17:00;-;-;-
11.01.2023;17:00;18:00;-;-;-
11.01.2023;18:00;19:00;-;-;-
11.01.2023;19:00;20:00;-;-;-
11.01.2023;20:00;21:00;-;-;-
11.01.2023;21:00;22:00;-;-;-
11.01.2023;22:00;23:00;-;-;-
11.01.2023;23:00;00:00;-;-;-
12.01.2023;00:00;01:00;-;-;0
12.01.2023;01:00;02:00;-;-;0
12.01.2023;02:00;03:00;-;-;0
12.01.2023;03:00;04:00;-;-;0
12.01.2023;04:00;05:00;-;-;0
12.01.2023;05:00;06:00;-;-;0
12.01.2023;06:00;07:00;-;-;0
12.01.2023;07:00;08:00;-;-;0
12.01.2023;08:00;09:00;-;-;0
12.01.2023;09:00;10:00;-;-;0
12.01.2023;10:00;11:00;-;-;22
12.01.2023;11:00;12:00;-;-;91
12.01.2023;12:00;13:00;-;-;104
12.01.2023;13:00;14:00;-;-;104
12.01.2023;14:00;15:00;-;-;97
12.01.2023;15:00;16:00;-;-;89
12.01.2023;16:00;17:00;-;-;105
12.01.2023;17:00;18:00;-;-;98
12.01.2023;18:00;19:00;-;-;115
12.01.2023;19:00;20:00;-;-;116
12.01.2023;20:00;21:00;-;-;119
12.01.2023;21:00;22:00;-;-;94
12.01.2023;22:00;23:00;-;-;120
12.01.2023;23:00;00:00;-;-;136
13.01.2023;00:00;01:00;-;-;126
13.01.2023;01:00;02:00;-;-;112
13.01.2023;02:00;03:00;-;-;135
13.01.2023;03:00;04:00;-;-;141
13.01.2023;04:00;05:00;-;-;126
13.01.2023;05:00;06:00;-;-;111
13.01.2023;06:00;07:00;-;-;113
13.01.2023;07:00;08:00;-;-;115
13.01.2023;08:00;09:00;-;-;119
13.01.2023;09:00;10:00;-;-;102
13.01.2023;10:00;11:00;-;-;96
13.01.2023;11:00;12:00;-;-;117
13.01.2023;12:00;13:00;-;-;114
13.01.2023;13:00;14:00;-;-;112
13.01.2023;14:00;15:00;-;-;119
13.01.2023;15:00;16:00;-;-;108
13.01.2023;16:00;17:00;-;-;108
13.01.2023;17:00;18:00;-;-;138
13.01.2023;18:00;19:00;-;-;123
13.01.2023;19:00;20:00;-;-;105
13.01.2023;20:00;21:00;-;-;99
13.01.2023;21:00;22:00;-;-;103
13.01.2023;22:00;23:00;-;-;131
13.01.2023;23:00;00:00;-;-;135
14.01.2023;00:00;01:00;-;-;122
14.01.2023;01:00;02:00;-;-;114
14.01.2023;02:00;03:00;-;-;99
14.01.2023;03:00;04:00;-;-;107
14.01.2023;04:00;05:00;-;-;101
14.01.2023;05:00;06:00;-;-;96
14.01.2023;06:00;07:00;-;-;103
14.01.2023;07:00;08:00;-;-;101
14.01.2023;08:00;09:00;-;-;120
14.01.2023;09:00;10:00;-;-;112
14.01.2023;10:00;11:00;-;-;104
14.01.2023;11:00;12:00;-;-;119
14.01.2023;12:00;13:00;-;-;105
14.01.2023;13:00;14:00;-;-;108
14.01.2023;14:00;15:00;-;-;119
14.01.2023;15:00;16:00;-;-;123
14.01.2023;16:00;17:00;-;-;111
14.01.2023;17:00;18:00;-;-;102
14.01.2023;18:00;19:00;-;-;103
14.01.2023;19:00;20:00;-;-;102
14.01.2023;20:00;21:00;-;-;102
14.01.2023;21:00;22:00;-;-;101
14.01.2023;22:00;23:00;-;-;99
14.01.2023;23:00;00:00;-;-;94
15.01.2023;00:00;01:00;-;-;93
15.01.2023;01:00;02:00;-;-;96
15.01.2023;02:00;03:00;-;-;97
15.01.2023;03:00;04:00;-;-;95
15.01.2023;04:00;05:00;-;-;96
15.01.2023;05:00;06:00;-;-;102
15.01.2023;06:00;07:00;-;-;125
15.01.2023;07:00;08:00;-;-;120
15.01.2023;08:00;09:00;-;-;106
15.01.2023;09:00;10:00;-;-;117
15.01.2023;10:00;11:00;-;-;121
15.01.2023;11:00;12:00;-;-;107
15.01.2023;12:00;13:00;-;-;107
15.01.2023;13:00;14:00;-;-;106
15.01.2023;14:00;15:00;-;-;104
15.01.2023;15:00;16:00;-;-;105
15.01.2023;16:00;17:00;-;-;105
15.01.2023;17:00;18:00;-;-;103
15.01.2023;18:00;19:00;-;-;105
15.01.2023;19:00;20:00;-;-;103
15.01.2023;20:00;21:00;-;-;104
15.01.2023;21:00;22:00;-;-;105
15.01.2023;22:00;23:00;-;-;121
15.01.2023;23:00;00:00;-;-;108
16.01.2023;00:00;01:00;-;-;123
16.01.2023;01:00;02:00;-;-;132
16.01.2023;02:00;03:00;-;-;127
16.01.2023;03:00;04:00;-;-;105
16.01.2023;04:00;05:00;-;-;106
16.01.2023;05:00;06:00;-;-;111
