Date;Start;End;Generation_DE Fab Frechen [MW] Original resolutions
01.01.2016;00:00;01:00;40
01.01.2016;01:00;02:00;40
01.01.2016;02:00;03:00;39
01.01.2016;03:00;04:00;40
01.01.2016;04:00;05:00;38
01.01.2016;05:00;06:00;38
01.01.2016;06:00;07:00;38
01.01.2016;07:00;08:00;39
01.01.2016;08:00;09:00;39
01.01.2016;09:00;10:00;39
01.01.2016;10:00;11:00;38
01.01.2016;11:00;12:00;38
01.01.2016;12:00;13:00;40
01.01.2016;13:00;14:00;40
01.01.2016;14:00;15:00;39
01.01.2016;15:00;16:00;39
01.01.2016;16:00;17:00;39
01.01.2016;17:00;18:00;39
01.01.2016;18:00;19:00;39
01.01.2016;19:00;20:00;39
01.01.2016;20:00;21:00;39
01.01.2016;21:00;22:00;41
01.01.2016;22:00;23:00;39
01.01.2016;23:00;00:00;39
02.01.2016;00:00;01:00;38
02.01.2016;01:00;02:00;40
02.01.2016;02:00;03:00;40
02.01.2016;03:00;04:00;40
02.01.2016;04:00;05:00;40
02.01.2016;05:00;06:00;40
02.01.2016;06:00;07:00;38
02.01.2016;07:00;08:00;37
02.01.2016;08:00;09:00;38
02.01.2016;09:00;10:00;38
02.01.2016;10:00;11:00;39
02.01.2016;11:00;12:00;37
02.01.2016;12:00;13:00;41
02.01.2016;13:00;14:00;39
02.01.2016;14:00;15:00;39
02.01.2016;15:00;16:00;39
02.01.2016;16:00;17:00;39
02.01.2016;17:00;18:00;40
02.01.2016;18:00;19:00;39
02.01.2016;19:00;20:00;39
02.01.2016;20:00;21:00;40
02.01.2016;21:00;22:00;38
02.01.2016;22:00;23:00;39
02.01.2016;23:00;00:00;37
03.01.2016;00:00;01:00;37
03.01.2016;01:00;02:00;38
03.01.2016;02:00;03:00;39
03.01.2016;03:00;04:00;38
03.01.2016;04:00;05:00;38
03.01.2016;05:00;06:00;38
03.01.2016;06:00;07:00;35
03.01.2016;07:00;08:00;39
03.01.2016;08:00;09:00;36
03.01.2016;09:00;10:00;35
03.01.2016;10:00;11:00;36
03.01.2016;11:00;12:00;38
03.01.2016;12:00;13:00;49
03.01.2016;13:00;14:00;69
03.01.2016;14:00;15:00;74
03.01.2016;15:00;16:00;75
03.01.2016;16:00;17:00;76
03.01.2016;17:00;18:00;77
03.01.2016;18:00;19:00;77
03.01.2016;19:00;20:00;72
03.01.2016;20:00;21:00;75
03.01.2016;21:00;22:00;74
03.01.2016;22:00;23:00;71
03.01.2016;23:00;00:00;72
04.01.2016;00:00;01:00;69
04.01.2016;01:00;02:00;68
04.01.2016;02:00;03:00;72
04.01.2016;03:00;04:00;70
04.01.2016;04:00;05:00;71
04.01.2016;05:00;06:00;61
04.01.2016;06:00;07:00;56
04.01.2016;07:00;08:00;49
04.01.2016;08:00;09:00;36
04.01.2016;09:00;10:00;38
04.01.2016;10:00;11:00;36
04.01.2016;11:00;12:00;30
04.01.2016;12:00;13:00;28
04.01.2016;13:00;14:00;26
04.01.2016;14:00;15:00;25
04.01.2016;15:00;16:00;25
04.01.2016;16:00;17:00;25
04.01.2016;17:00;18:00;26
04.01.2016;18:00;19:00;25
04.01.2016;19:00;20:00;24
04.01.2016;20:00;21:00;25
04.01.2016;21:00;22:00;22
04.01.2016;22:00;23:00;23
04.01.2016;23:00;00:00;23
05.01.2016;00:00;01:00;28
05.01.2016;01:00;02:00;28
05.01.2016;02:00;03:00;26
05.01.2016;03:00;04:00;24
05.01.2016;04:00;05:00;27
05.01.2016;05:00;06:00;26
05.01.2016;06:00;07:00;26
05.01.2016;07:00;08:00;24
05.01.2016;08:00;09:00;25
05.01.2016;09:00;10:00;25
05.01.2016;10:00;11:00;27
