Datum;Anfang;Ende;Generation_DE Gas-und-Dampfturbinen Mitte [MW] Originalauflösungen
01.01.2019;00:00;01:00;412
01.01.2019;01:00;02:00;319
01.01.2019;02:00;03:00;157
01.01.2019;03:00;04:00;146
01.01.2019;04:00;05:00;145
01.01.2019;05:00;06:00;144
01.01.2019;06:00;07:00;145
01.01.2019;07:00;08:00;145
01.01.2019;08:00;09:00;145
01.01.2019;09:00;10:00;144
01.01.2019;10:00;11:00;144
01.01.2019;11:00;12:00;144
01.01.2019;12:00;13:00;145
01.01.2019;13:00;14:00;145
01.01.2019;14:00;15:00;146
01.01.2019;15:00;16:00;145
01.01.2019;16:00;17:00;145
01.01.2019;17:00;18:00;145
01.01.2019;18:00;19:00;144
01.01.2019;19:00;20:00;144
01.01.2019;20:00;21:00;144
01.01.2019;21:00;22:00;145
01.01.2019;22:00;23:00;145
01.01.2019;23:00;00:00;144
02.01.2019;00:00;01:00;140
02.01.2019;01:00;02:00;140
02.01.2019;02:00;03:00;140
02.01.2019;03:00;04:00;140
02.01.2019;04:00;05:00;140
02.01.2019;05:00;06:00;158
02.01.2019;06:00;07:00;260
02.01.2019;07:00;08:00;400
02.01.2019;08:00;09:00;413
02.01.2019;09:00;10:00;413
02.01.2019;10:00;11:00;420
02.01.2019;11:00;12:00;433
02.01.2019;12:00;13:00;432
02.01.2019;13:00;14:00;432
02.01.2019;14:00;15:00;432
02.01.2019;15:00;16:00;433
02.01.2019;16:00;17:00;434
02.01.2019;17:00;18:00;434
02.01.2019;18:00;19:00;433
02.01.2019;19:00;20:00;434
02.01.2019;20:00;21:00;433
02.01.2019;21:00;22:00;434
02.01.2019;22:00;23:00;434
02.01.2019;23:00;00:00;432
03.01.2019;00:00;01:00;422
03.01.2019;01:00;02:00;419
03.01.2019;02:00;03:00;419
03.01.2019;03:00;04:00;420
03.01.2019;04:00;05:00;420
03.01.2019;05:00;06:00;420
03.01.2019;06:00;07:00;419
03.01.2019;07:00;08:00;428
03.01.2019;08:00;09:00;428
03.01.2019;09:00;10:00;427
03.01.2019;10:00;11:00;427
03.01.2019;11:00;12:00;427
