Date;Start;End;Generation_DE 5.0 [MW] Original resolutions;Generation_DE Irsching 3 [MW] Original resolutions;Generation_DE Irsching 4 [MW] Original resolutions
01.01.2021;00:00;01:00;260;0;3
01.01.2021;01:00;02:00;22;0;0
01.01.2021;02:00;03:00;0;0;0
01.01.2021;03:00;04:00;0;0;0
01.01.2021;04:00;05:00;0;0;0
01.01.2021;05:00;06:00;0;0;0
01.01.2021;06:00;07:00;0;0;0
01.01.2021;07:00;08:00;0;0;0
01.01.2021;08:00;09:00;0;0;0
01.01.2021;09:00;10:00;0;0;0
01.01.2021;10:00;11:00;0;0;42
01.01.2021;11:00;12:00;0;0;456
01.01.2021;12:00;13:00;0;0;549
01.01.2021;13:00;14:00;0;0;548
01.01.2021;14:00;15:00;239;0;532
01.01.2021;15:00;16:00;582;0;471
01.01.2021;16:00;17:00;796;0;548
01.01.2021;17:00;18:00;801;0;548
01.01.2021;18:00;19:00;819;0;548
01.01.2021;19:00;20:00;821;0;521
01.01.2021;20:00;21:00;755;0;495
01.01.2021;21:00;22:00;718;0;548
01.01.2021;22:00;23:00;583;0;508
01.01.2021;23:00;00:00;196;0;341
02.01.2021;00:00;01:00;0;0;133
02.01.2021;01:00;02:00;0;0;0
02.01.2021;02:00;03:00;0;0;0
02.01.2021;03:00;04:00;0;0;0
02.01.2021;04:00;05:00;0;0;0
02.01.2021;05:00;06:00;0;0;0
02.01.2021;06:00;07:00;0;0;0
02.01.2021;07:00;08:00;1;0;40
02.01.2021;08:00;09:00;347;0;313
02.01.2021;09:00;10:00;686;0;503
02.01.2021;10:00;11:00;811;0;549
02.01.2021;11:00;12:00;816;0;549
02.01.2021;12:00;13:00;819;0;549
02.01.2021;13:00;14:00;821;0;549
02.01.2021;14:00;15:00;821;0;549
02.01.2021;15:00;16:00;821;0;549
02.01.2021;16:00;17:00;801;0;549
02.01.2021;17:00;18:00;820;0;549
02.01.2021;18:00;19:00;822;0;549
02.01.2021;19:00;20:00;804;0;549
02.01.2021;20:00;21:00;794;0;549
02.01.2021;21:00;22:00;682;0;549
02.01.2021;22:00;23:00;601;0;548
02.01.2021;23:00;00:00;198;0;354
03.01.2021;00:00;01:00;0;0;143
03.01.2021;01:00;02:00;0;0;0
03.01.2021;02:00;03:00;0;0;0
03.01.2021;03:00;04:00;0;0;0
03.01.2021;04:00;05:00;0;0;0
03.01.2021;05:00;06:00;0;0;0
03.01.2021;06:00;07:00;0;0;0
03.01.2021;07:00;08:00;0;0;0
03.01.2021;08:00;09:00;0;0;0
03.01.2021;09:00;10:00;0;0;0
03.01.2021;10:00;11:00;0;0;0
03.01.2021;11:00;12:00;0;0;0
03.01.2021;12:00;13:00;0;0;0
03.01.2021;13:00;14:00;0;0;0
03.01.2021;14:00;15:00;0;0;0
03.01.2021;15:00;16:00;0;0;0
03.01.2021;16:00;17:00;0;0;0
03.01.2021;17:00;18:00;0;0;0
03.01.2021;18:00;19:00;0;0;0
03.01.2021;19:00;20:00;0;0;0
03.01.2021;20:00;21:00;0;0;0
03.01.2021;21:00;22:00;0;0;0
03.01.2021;22:00;23:00;0;0;0
03.01.2021;23:00;00:00;0;0;0
04.01.2021;00:00;01:00;0;0;0
04.01.2021;01:00;02:00;0;0;0
04.01.2021;02:00;03:00;0;0;0
04.01.2021;03:00;04:00;0;0;0
04.01.2021;04:00;05:00;0;0;0
04.01.2021;05:00;06:00;0;0;30
04.01.2021;06:00;07:00;90;0;120
04.01.2021;07:00;08:00;447;0;497
04.01.2021;08:00;09:00;792;0;543
04.01.2021;09:00;10:00;816;0;549
04.01.2021;10:00;11:00;821;0;549
04.01.2021;11:00;12:00;825;0;549
04.01.2021;12:00;13:00;827;0;549
04.01.2021;13:00;14:00;827;0;549
04.01.2021;14:00;15:00;827;0;549
04.01.2021;15:00;16:00;823;0;549
04.01.2021;16:00;17:00;825;0;549
04.01.2021;17:00;18:00;825;0;549
04.01.2021;18:00;19:00;824;0;549
04.01.2021;19:00;20:00;807;0;549
04.01.2021;20:00;21:00;806;0;549
04.01.2021;21:00;22:00;709;0;434
04.01.2021;22:00;23:00;718;0;100
04.01.2021;23:00;00:00;568;0;0
05.01.2021;00:00;01:00;89;0;0
05.01.2021;01:00;02:00;0;0;0
05.01.2021;02:00;03:00;0;0;0
05.01.2021;03:00;04:00;0;0;0
05.01.2021;04:00;05:00;0;0;0
05.01.2021;05:00;06:00;19;0;137
05.01.2021;06:00;07:00;398;0;355
05.01.2021;07:00;08:00;644;0;545
05.01.2021;08:00;09:00;784;0;549
05.01.2021;09:00;10:00;757;0;549
05.01.2021;10:00;11:00;814;0;549
05.01.2021;11:00;12:00;816;0;549
05.01.2021;12:00;13:00;818;0;549
05.01.2021;13:00;14:00;817;0;549
05.01.2021;14:00;15:00;817;0;549
05.01.2021;15:00;16:00;818;0;549
05.01.2021;16:00;17:00;817;0;549
05.01.2021;17:00;18:00;817;0;549
05.01.2021;18:00;19:00;816;0;549
05.01.2021;19:00;20:00;814;0;549
05.01.2021;20:00;21:00;797;0;549
05.01.2021;21:00;22:00;715;0;549
05.01.2021;22:00;23:00;662;0;549
05.01.2021;23:00;00:00;410;0;549
06.01.2021;00:00;01:00;69;0;517
06.01.2021;01:00;02:00;0;0;496
06.01.2021;02:00;03:00;0;0;405
06.01.2021;03:00;04:00;0;0;390
06.01.2021;04:00;05:00;0;0;340
06.01.2021;05:00;06:00;0;0;456
06.01.2021;06:00;07:00;96;0;549
06.01.2021;07:00;08:00;538;0;474
06.01.2021;08:00;09:00;752;0;549
06.01.2021;09:00;10:00;808;0;549
06.01.2021;10:00;11:00;812;0;549
06.01.2021;11:00;12:00;815;0;549
06.01.2021;12:00;13:00;760;0;549
06.01.2021;13:00;14:00;705;0;549
06.01.2021;14:00;15:00;810;0;549
06.01.2021;15:00;16:00;812;0;549
06.01.2021;16:00;17:00;812;0;549
06.01.2021;17:00;18:00;813;0;549
06.01.2021;18:00;19:00;813;0;549
06.01.2021;19:00;20:00;814;0;549
06.01.2021;20:00;21:00;814;0;549
06.01.2021;21:00;22:00;814;0;549
06.01.2021;22:00;23:00;814;0;549
06.01.2021;23:00;00:00;814;0;549
07.01.2021;00:00;01:00;714;0;494
07.01.2021;01:00;02:00;806;0;520
07.01.2021;02:00;03:00;725;0;481
07.01.2021;03:00;04:00;541;0;330
07.01.2021;04:00;05:00;562;0;358
07.01.2021;05:00;06:00;709;0;493
07.01.2021;06:00;07:00;814;0;549
07.01.2021;07:00;08:00;794;0;549
07.01.2021;08:00;09:00;797;0;549
07.01.2021;09:00;10:00;817;0;549
07.01.2021;10:00;11:00;818;0;549
07.01.2021;11:00;12:00;819;0;549
07.01.2021;12:00;13:00;820;0;549
07.01.2021;13:00;14:00;820;0;549
07.01.2021;14:00;15:00;820;0;549
07.01.2021;15:00;16:00;820;0;549
07.01.2021;16:00;17:00;821;0;549
07.01.2021;17:00;18:00;820;0;549
07.01.2021;18:00;19:00;819;0;549
07.01.2021;19:00;20:00;820;0;549
07.01.2021;20:00;21:00;818;0;549
07.01.2021;21:00;22:00;815;0;549
07.01.2021;22:00;23:00;818;0;549
