Datum;Anfang;Ende;Generation_DE GKN II [MW] Originalauflösungen
01.01.2017;00:00;01:00;1.316
01.01.2017;01:00;02:00;1.316
01.01.2017;02:00;03:00;1.315
01.01.2017;03:00;04:00;1.314
01.01.2017;04:00;05:00;1.316
01.01.2017;05:00;06:00;1.316
01.01.2017;06:00;07:00;1.314
01.01.2017;07:00;08:00;1.313
01.01.2017;08:00;09:00;1.312
01.01.2017;09:00;10:00;1.313
01.01.2017;10:00;11:00;1.307
01.01.2017;11:00;12:00;1.296
01.01.2017;12:00;13:00;1.305
01.01.2017;13:00;14:00;1.312
01.01.2017;14:00;15:00;1.311
01.01.2017;15:00;16:00;1.312
01.01.2017;16:00;17:00;1.312
01.01.2017;17:00;18:00;1.313
01.01.2017;18:00;19:00;1.314
01.01.2017;19:00;20:00;1.314
01.01.2017;20:00;21:00;1.315
01.01.2017;21:00;22:00;1.312
01.01.2017;22:00;23:00;1.313
01.01.2017;23:00;00:00;1.313
02.01.2017;00:00;01:00;1.308
02.01.2017;01:00;02:00;1.312
02.01.2017;02:00;03:00;1.312
02.01.2017;03:00;04:00;1.311
02.01.2017;04:00;05:00;1.312
02.01.2017;05:00;06:00;1.308
02.01.2017;06:00;07:00;1.311
02.01.2017;07:00;08:00;1.312
02.01.2017;08:00;09:00;1.313
02.01.2017;09:00;10:00;1.315
02.01.2017;10:00;11:00;1.315
02.01.2017;11:00;12:00;1.316
02.01.2017;12:00;13:00;1.316
02.01.2017;13:00;14:00;1.315
02.01.2017;14:00;15:00;1.315
02.01.2017;15:00;16:00;1.317
02.01.2017;16:00;17:00;1.316
02.01.2017;17:00;18:00;1.312
02.01.2017;18:00;19:00;1.306
02.01.2017;19:00;20:00;1.313
02.01.2017;20:00;21:00;1.309
02.01.2017;21:00;22:00;1.315
02.01.2017;22:00;23:00;1.316
02.01.2017;23:00;00:00;1.315
03.01.2017;00:00;01:00;1.312
03.01.2017;01:00;02:00;1.316
03.01.2017;02:00;03:00;1.314
03.01.2017;03:00;04:00;1.300
03.01.2017;04:00;05:00;1.316
03.01.2017;05:00;06:00;1.316
03.01.2017;06:00;07:00;1.314
03.01.2017;07:00;08:00;1.313
03.01.2017;08:00;09:00;1.314
03.01.2017;09:00;10:00;1.314
03.01.2017;10:00;11:00;1.319
03.01.2017;11:00;12:00;1.317
03.01.2017;12:00;13:00;1.312
03.01.2017;13:00;14:00;1.313
03.01.2017;14:00;15:00;1.314
03.01.2017;15:00;16:00;1.314
03.01.2017;16:00;17:00;1.313
03.01.2017;17:00;18:00;1.313
03.01.2017;18:00;19:00;1.312
03.01.2017;19:00;20:00;1.310
03.01.2017;20:00;21:00;1.307
03.01.2017;21:00;22:00;1.313
03.01.2017;22:00;23:00;1.309
03.01.2017;23:00;00:00;1.312
04.01.2017;00:00;01:00;1.314
04.01.2017;01:00;02:00;1.315
04.01.2017;02:00;03:00;1.316
04.01.2017;03:00;04:00;1.316
04.01.2017;04:00;05:00;1.316
04.01.2017;05:00;06:00;1.316
