Date;Start;End;Generation_DE  [MW] Original resolutions
01.01.2021;00:00;01:00;20
01.01.2021;01:00;02:00;35
01.01.2021;02:00;03:00;11
01.01.2021;03:00;04:00;11
01.01.2021;04:00;05:00;10
01.01.2021;05:00;06:00;17
01.01.2021;06:00;07:00;26
01.01.2021;07:00;08:00;18
01.01.2021;08:00;09:00;10
01.01.2021;09:00;10:00;10
01.01.2021;10:00;11:00;10
01.01.2021;11:00;12:00;13
01.01.2021;12:00;13:00;23
01.01.2021;13:00;14:00;12
01.01.2021;14:00;15:00;21
01.01.2021;15:00;16:00;28
01.01.2021;16:00;17:00;19
01.01.2021;17:00;18:00;10
01.01.2021;18:00;19:00;36
01.01.2021;19:00;20:00;10
01.01.2021;20:00;21:00;27
01.01.2021;21:00;22:00;34
01.01.2021;22:00;23:00;6
01.01.2021;23:00;00:00;7
02.01.2021;00:00;01:00;11
02.01.2021;01:00;02:00;10
02.01.2021;02:00;03:00;10
02.01.2021;03:00;04:00;14
02.01.2021;04:00;05:00;10
02.01.2021;05:00;06:00;13
02.01.2021;06:00;07:00;10
02.01.2021;07:00;08:00;10
02.01.2021;08:00;09:00;10
02.01.2021;09:00;10:00;10
02.01.2021;10:00;11:00;10
02.01.2021;11:00;12:00;10
02.01.2021;12:00;13:00;10
02.01.2021;13:00;14:00;10
02.01.2021;14:00;15:00;10
02.01.2021;15:00;16:00;10
02.01.2021;16:00;17:00;13
02.01.2021;17:00;18:00;11
02.01.2021;18:00;19:00;10
02.01.2021;19:00;20:00;7
02.01.2021;20:00;21:00;11
02.01.2021;21:00;22:00;10
02.01.2021;22:00;23:00;41
02.01.2021;23:00;00:00;10
03.01.2021;00:00;01:00;10
03.01.2021;01:00;02:00;10
03.01.2021;02:00;03:00;10
03.01.2021;03:00;04:00;10
03.01.2021;04:00;05:00;10
03.01.2021;05:00;06:00;10
03.01.2021;06:00;07:00;11
03.01.2021;07:00;08:00;10
03.01.2021;08:00;09:00;14
03.01.2021;09:00;10:00;21
03.01.2021;10:00;11:00;14
03.01.2021;11:00;12:00;67
03.01.2021;12:00;13:00;36
03.01.2021;13:00;14:00;27
03.01.2021;14:00;15:00;36
03.01.2021;15:00;16:00;52
03.01.2021;16:00;17:00;56
03.01.2021;17:00;18:00;89
03.01.2021;18:00;19:00;60
03.01.2021;19:00;20:00;15
03.01.2021;20:00;21:00;0
03.01.2021;21:00;22:00;0
03.01.2021;22:00;23:00;0
03.01.2021;23:00;00:00;0
04.01.2021;00:00;01:00;0
04.01.2021;01:00;02:00;0
04.01.2021;02:00;03:00;0
04.01.2021;03:00;04:00;0
04.01.2021;04:00;05:00;0
04.01.2021;05:00;06:00;0
04.01.2021;06:00;07:00;0
04.01.2021;07:00;08:00;0
04.01.2021;08:00;09:00;0
04.01.2021;09:00;10:00;0
04.01.2021;10:00;11:00;0
04.01.2021;11:00;12:00;0
04.01.2021;12:00;13:00;0
04.01.2021;13:00;14:00;0
04.01.2021;14:00;15:00;0
04.01.2021;15:00;16:00;28
04.01.2021;16:00;17:00;33
04.01.2021;17:00;18:00;64
04.01.2021;18:00;19:00;39
04.01.2021;19:00;20:00;41
04.01.2021;20:00;21:00;16
04.01.2021;21:00;22:00;39
04.01.2021;22:00;23:00;53
04.01.2021;23:00;00:00;45
05.01.2021;00:00;01:00;67
05.01.2021;01:00;02:00;58
05.01.2021;02:00;03:00;46
05.01.2021;03:00;04:00;9
05.01.2021;04:00;05:00;46
05.01.2021;05:00;06:00;31
05.01.2021;06:00;07:00;0
05.01.2021;07:00;08:00;0
05.01.2021;08:00;09:00;0
05.01.2021;09:00;10:00;0
05.01.2021;10:00;11:00;0
05.01.2021;11:00;12:00;0
05.01.2021;12:00;13:00;0
05.01.2021;13:00;14:00;0
05.01.2021;14:00;15:00;0
05.01.2021;15:00;16:00;0
05.01.2021;16:00;17:00;0
05.01.2021;17:00;18:00;0
05.01.2021;18:00;19:00;0
05.01.2021;19:00;20:00;0
05.01.2021;20:00;21:00;23
05.01.2021;21:00;22:00;28
05.01.2021;22:00;23:00;38
05.01.2021;23:00;00:00;32
06.01.2021;00:00;01:00;75
06.01.2021;01:00;02:00;19
06.01.2021;02:00;03:00;16
06.01.2021;03:00;04:00;18
06.01.2021;04:00;05:00;49
06.01.2021;05:00;06:00;52
06.01.2021;06:00;07:00;32
06.01.2021;07:00;08:00;6
06.01.2021;08:00;09:00;0
06.01.2021;09:00;10:00;0
06.01.2021;10:00;11:00;0
06.01.2021;11:00;12:00;0
06.01.2021;12:00;13:00;0
06.01.2021;13:00;14:00;0
06.01.2021;14:00;15:00;0
06.01.2021;15:00;16:00;0
06.01.2021;16:00;17:00;0
06.01.2021;17:00;18:00;0
06.01.2021;18:00;19:00;0
06.01.2021;19:00;20:00;0
06.01.2021;20:00;21:00;0
06.01.2021;21:00;22:00;0
06.01.2021;22:00;23:00;0
06.01.2021;23:00;00:00;0
07.01.2021;00:00;01:00;0
07.01.2021;01:00;02:00;0
07.01.2021;02:00;03:00;0
07.01.2021;03:00;04:00;0
07.01.2021;04:00;05:00;0
07.01.2021;05:00;06:00;0
07.01.2021;06:00;07:00;0
07.01.2021;07:00;08:00;0
07.01.2021;08:00;09:00;0
07.01.2021;09:00;10:00;0
07.01.2021;10:00;11:00;0
07.01.2021;11:00;12:00;0
07.01.2021;12:00;13:00;0
07.01.2021;13:00;14:00;0
07.01.2021;14:00;15:00;0
07.01.2021;15:00;16:00;0
07.01.2021;16:00;17:00;0
07.01.2021;17:00;18:00;0
07.01.2021;18:00;19:00;0
07.01.2021;19:00;20:00;77
07.01.2021;20:00;21:00;36
07.01.2021;21:00;22:00;45
07.01.2021;22:00;23:00;31
07.01.2021;23:00;00:00;56
08.01.2021;00:00;01:00;38
08.01.2021;01:00;02:00;72
08.01.2021;02:00;03:00;63
08.01.2021;03:00;04:00;21
08.01.2021;04:00;05:00;12
08.01.2021;05:00;06:00;10
08.01.2021;06:00;07:00;8
08.01.2021;07:00;08:00;0
08.01.2021;08:00;09:00;0
08.01.2021;09:00;10:00;130
08.01.2021;10:00;11:00;54
08.01.2021;11:00;12:00;54
08.01.2021;12:00;13:00;54
08.01.2021;13:00;14:00;54
08.01.2021;14:00;15:00;60
08.01.2021;15:00;16:00;55
08.01.2021;16:00;17:00;65
08.01.2021;17:00;18:00;0
08.01.2021;18:00;19:00;0
08.01.2021;19:00;20:00;0
08.01.2021;20:00;21:00;0
08.01.2021;21:00;22:00;0
08.01.2021;22:00;23:00;0
08.01.2021;23:00;00:00;0
09.01.2021;00:00;01:00;0
09.01.2021;01:00;02:00;0
09.01.2021;02:00;03:00;0
09.01.2021;03:00;04:00;0
09.01.2021;04:00;05:00;0
09.01.2021;05:00;06:00;0
09.01.2021;06:00;07:00;0
09.01.2021;07:00;08:00;0
09.01.2021;08:00;09:00;0
09.01.2021;09:00;10:00;13
09.01.2021;10:00;11:00;24
09.01.2021;11:00;12:00;37
09.01.2021;12:00;13:00;27
09.01.2021;13:00;14:00;8
09.01.2021;14:00;15:00;11
09.01.2021;15:00;16:00;11
09.01.2021;16:00;17:00;49
09.01.2021;17:00;18:00;51
09.01.2021;18:00;19:00;97
09.01.2021;19:00;20:00;32
09.01.2021;20:00;21:00;0
09.01.2021;21:00;22:00;0
09.01.2021;22:00;23:00;0
09.01.2021;23:00;00:00;0
10.01.2021;00:00;01:00;0
10.01.2021;01:00;02:00;0
10.01.2021;02:00;03:00;0
10.01.2021;03:00;04:00;0
10.01.2021;04:00;05:00;0
10.01.2021;05:00;06:00;0
10.01.2021;06:00;07:00;0
10.01.2021;07:00;08:00;0
10.01.2021;08:00;09:00;0
10.01.2021;09:00;10:00;0
10.01.2021;10:00;11:00;0
10.01.2021;11:00;12:00;0
10.01.2021;12:00;13:00;0
10.01.2021;13:00;14:00;0
10.01.2021;14:00;15:00;0
10.01.2021;15:00;16:00;0
10.01.2021;16:00;17:00;0
10.01.2021;17:00;18:00;0
10.01.2021;18:00;19:00;0
10.01.2021;19:00;20:00;0
10.01.2021;20:00;21:00;0
10.01.2021;21:00;22:00;0
10.01.2021;22:00;23:00;0
10.01.2021;23:00;00:00;0
11.01.2021;00:00;01:00;0
11.01.2021;01:00;02:00;0
11.01.2021;02:00;03:00;0
11.01.2021;03:00;04:00;0
11.01.2021;04:00;05:00;0
11.01.2021;05:00;06:00;0
11.01.2021;06:00;07:00;74
11.01.2021;07:00;08:00;44
11.01.2021;08:00;09:00;37
11.01.2021;09:00;10:00;7
11.01.2021;10:00;11:00;8
11.01.2021;11:00;12:00;8
11.01.2021;12:00;13:00;8
11.01.2021;13:00;14:00;8
11.01.2021;14:00;15:00;8
11.01.2021;15:00;16:00;8
11.01.2021;16:00;17:00;8
11.01.2021;17:00;18:00;8
11.01.2021;18:00;19:00;8
11.01.2021;19:00;20:00;8
11.01.2021;20:00;21:00;12
11.01.2021;21:00;22:00;14
11.01.2021;22:00;23:00;8
11.01.2021;23:00;00:00;12
12.01.2021;00:00;01:00;10
12.01.2021;01:00;02:00;7
12.01.2021;02:00;03:00;41
12.01.2021;03:00;04:00;25
12.01.2021;04:00;05:00;8
12.01.2021;05:00;06:00;7
12.01.2021;06:00;07:00;19
12.01.2021;07:00;08:00;15
12.01.2021;08:00;09:00;0
12.01.2021;09:00;10:00;0
12.01.2021;10:00;11:00;0
12.01.2021;11:00;12:00;0
12.01.2021;12:00;13:00;0
12.01.2021;13:00;14:00;0
12.01.2021;14:00;15:00;0
12.01.2021;15:00;16:00;0
12.01.2021;16:00;17:00;0
12.01.2021;17:00;18:00;2
12.01.2021;18:00;19:00;34
12.01.2021;19:00;20:00;34
12.01.2021;20:00;21:00;34
12.01.2021;21:00;22:00;33
12.01.2021;22:00;23:00;24
12.01.2021;23:00;00:00;15
13.01.2021;00:00;01:00;24
13.01.2021;01:00;02:00;22
13.01.2021;02:00;03:00;23
13.01.2021;03:00;04:00;28
13.01.2021;04:00;05:00;17
13.01.2021;05:00;06:00;28
13.01.2021;06:00;07:00;35
13.01.2021;07:00;08:00;31
13.01.2021;08:00;09:00;76
13.01.2021;09:00;10:00;50
13.01.2021;10:00;11:00;41
13.01.2021;11:00;12:00;42
13.01.2021;12:00;13:00;19
13.01.2021;13:00;14:00;9
13.01.2021;14:00;15:00;10
13.01.2021;15:00;16:00;10
13.01.2021;16:00;17:00;28
13.01.2021;17:00;18:00;52
13.01.2021;18:00;19:00;62
13.01.2021;19:00;20:00;18
13.01.2021;20:00;21:00;0
13.01.2021;21:00;22:00;3
13.01.2021;22:00;23:00;9
13.01.2021;23:00;00:00;6
14.01.2021;00:00;01:00;5
14.01.2021;01:00;02:00;5
14.01.2021;02:00;03:00;51
14.01.2021;03:00;04:00;36
14.01.2021;04:00;05:00;6
14.01.2021;05:00;06:00;6
14.01.2021;06:00;07:00;32
14.01.2021;07:00;08:00;75
14.01.2021;08:00;09:00;58
14.01.2021;09:00;10:00;21
14.01.2021;10:00;11:00;29
14.01.2021;11:00;12:00;33
14.01.2021;12:00;13:00;29
14.01.2021;13:00;14:00;29
14.01.2021;14:00;15:00;29
14.01.2021;15:00;16:00;21
14.01.2021;16:00;17:00;33
14.01.2021;17:00;18:00;42
14.01.2021;18:00;19:00;49
14.01.2021;19:00;20:00;60
14.01.2021;20:00;21:00;31
14.01.2021;21:00;22:00;29
14.01.2021;22:00;23:00;30
14.01.2021;23:00;00:00;6
15.01.2021;00:00;01:00;0
15.01.2021;01:00;02:00;0
15.01.2021;02:00;03:00;0
15.01.2021;03:00;04:00;0
15.01.2021;04:00;05:00;0
15.01.2021;05:00;06:00;14
15.01.2021;06:00;07:00;22
15.01.2021;07:00;08:00;32
15.01.2021;08:00;09:00;101
15.01.2021;09:00;10:00;100
