Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;82
01.01.2022;01:00;02:00;35
01.01.2022;02:00;03:00;15
01.01.2022;03:00;04:00;6
01.01.2022;04:00;05:00;5
01.01.2022;05:00;06:00;5
01.01.2022;06:00;07:00;5
01.01.2022;07:00;08:00;5
01.01.2022;08:00;09:00;5
01.01.2022;09:00;10:00;6
01.01.2022;10:00;11:00;5
01.01.2022;11:00;12:00;6
01.01.2022;12:00;13:00;6
01.01.2022;13:00;14:00;6
01.01.2022;14:00;15:00;6
01.01.2022;15:00;16:00;6
01.01.2022;16:00;17:00;6
01.01.2022;17:00;18:00;6
01.01.2022;18:00;19:00;6
01.01.2022;19:00;20:00;6
01.01.2022;20:00;21:00;6
01.01.2022;21:00;22:00;6
01.01.2022;22:00;23:00;6
01.01.2022;23:00;00:00;6
02.01.2022;00:00;01:00;5
02.01.2022;01:00;02:00;21
02.01.2022;02:00;03:00;12
02.01.2022;03:00;04:00;8
02.01.2022;04:00;05:00;6
02.01.2022;05:00;06:00;10
02.01.2022;06:00;07:00;40
02.01.2022;07:00;08:00;45
02.01.2022;08:00;09:00;6
02.01.2022;09:00;10:00;13
02.01.2022;10:00;11:00;16
02.01.2022;11:00;12:00;19
02.01.2022;12:00;13:00;10
02.01.2022;13:00;14:00;12
02.01.2022;14:00;15:00;17
02.01.2022;15:00;16:00;12
02.01.2022;16:00;17:00;16
02.01.2022;17:00;18:00;17
02.01.2022;18:00;19:00;15
02.01.2022;19:00;20:00;12
02.01.2022;20:00;21:00;9
02.01.2022;21:00;22:00;21
02.01.2022;22:00;23:00;24
02.01.2022;23:00;00:00;10
03.01.2022;00:00;01:00;10
03.01.2022;01:00;02:00;12
03.01.2022;02:00;03:00;8
03.01.2022;03:00;04:00;8
03.01.2022;04:00;05:00;14
03.01.2022;05:00;06:00;21
03.01.2022;06:00;07:00;14
03.01.2022;07:00;08:00;28
03.01.2022;08:00;09:00;26
03.01.2022;09:00;10:00;54
03.01.2022;10:00;11:00;33
03.01.2022;11:00;12:00;10
