Date;Start;End;Generation_DE PSW Goldisthal PSS D [MW] Original resolutions;Generation_DE PSW Goldisthal PSS C [MW] Original resolutions;Generation_DE PSW Goldisthal PSS B [MW] Original resolutions;Generation_DE PSW Goldisthal PSS A [MW] Original resolutions
01.01.2016;00:00;01:00;0;0;0;2
01.01.2016;01:00;02:00;0;0;0;0
01.01.2016;02:00;03:00;0;0;0;0
01.01.2016;03:00;04:00;0;0;0;0
01.01.2016;04:00;05:00;0;0;0;0
01.01.2016;05:00;06:00;0;0;0;0
01.01.2016;06:00;07:00;0;0;0;0
01.01.2016;07:00;08:00;0;0;0;0
01.01.2016;08:00;09:00;1;0;0;0
01.01.2016;09:00;10:00;97;0;0;0
01.01.2016;10:00;11:00;59;0;0;57
01.01.2016;11:00;12:00;54;0;0;53
01.01.2016;12:00;13:00;61;0;0;60
01.01.2016;13:00;14:00;95;0;0;0
01.01.2016;14:00;15:00;120;0;0;4
01.01.2016;15:00;16:00;149;0;226;149
01.01.2016;16:00;17:00;186;0;232;186
01.01.2016;17:00;18:00;204;230;235;203
01.01.2016;18:00;19:00;198;229;228;197
01.01.2016;19:00;20:00;142;221;220;141
01.01.2016;20:00;21:00;219;243;242;218
01.01.2016;21:00;22:00;159;209;208;158
01.01.2016;22:00;23:00;183;211;211;182
01.01.2016;23:00;00:00;0;192;193;124
02.01.2016;00:00;01:00;18;0;47;30
02.01.2016;01:00;02:00;50;0;0;0
02.01.2016;02:00;03:00;0;0;0;0
02.01.2016;03:00;04:00;0;0;0;0
02.01.2016;04:00;05:00;0;0;0;0
02.01.2016;05:00;06:00;0;0;0;0
02.01.2016;06:00;07:00;0;0;0;0
02.01.2016;07:00;08:00;0;0;0;0
02.01.2016;08:00;09:00;68;0;0;0
02.01.2016;09:00;10:00;89;0;0;0
02.01.2016;10:00;11:00;87;0;0;0
02.01.2016;11:00;12:00;85;0;0;0
02.01.2016;12:00;13:00;99;0;0;0
02.01.2016;13:00;14:00;107;0;0;0
02.01.2016;14:00;15:00;136;0;0;0
02.01.2016;15:00;16:00;126;0;0;0
02.01.2016;16:00;17:00;144;4;0;0
02.01.2016;17:00;18:00;116;208;0;0
02.01.2016;18:00;19:00;120;169;79;0
02.01.2016;19:00;20:00;102;64;0;0
02.01.2016;20:00;21:00;106;46;0;0
02.01.2016;21:00;22:00;0;0;0;0
02.01.2016;22:00;23:00;0;0;0;0
02.01.2016;23:00;00:00;0;0;0;0
03.01.2016;00:00;01:00;0;0;0;0
03.01.2016;01:00;02:00;0;0;0;0
03.01.2016;02:00;03:00;0;0;0;0
03.01.2016;03:00;04:00;0;0;0;0
03.01.2016;04:00;05:00;0;0;0;0
03.01.2016;05:00;06:00;0;0;0;0
03.01.2016;06:00;07:00;0;0;0;0
03.01.2016;07:00;08:00;0;0;0;0
03.01.2016;08:00;09:00;0;0;0;0
03.01.2016;09:00;10:00;58;0;0;0
03.01.2016;10:00;11:00;53;0;0;0
03.01.2016;11:00;12:00;85;0;0;0
03.01.2016;12:00;13:00;77;0;0;0
03.01.2016;13:00;14:00;106;0;0;0
03.01.2016;14:00;15:00;103;0;0;55
03.01.2016;15:00;16:00;59;0;0;0
03.01.2016;16:00;17:00;141;59;0;55
03.01.2016;17:00;18:00;240;257;256;240
03.01.2016;18:00;19:00;182;228;228;181
03.01.2016;19:00;20:00;207;233;233;206
03.01.2016;20:00;21:00;142;218;218;142
03.01.2016;21:00;22:00;72;0;0;29
03.01.2016;22:00;23:00;85;2;0;0
03.01.2016;23:00;00:00;122;148;0;0
04.01.2016;00:00;01:00;0;0;0;0
04.01.2016;01:00;02:00;0;0;0;0
04.01.2016;02:00;03:00;0;0;0;0
04.01.2016;03:00;04:00;0;0;0;0
04.01.2016;04:00;05:00;0;0;0;0
04.01.2016;05:00;06:00;0;0;0;0
04.01.2016;06:00;07:00;107;185;0;0
04.01.2016;07:00;08:00;162;2;0;0
04.01.2016;08:00;09:00;116;0;113;0
04.01.2016;09:00;10:00;125;0;153;0
04.01.2016;10:00;11:00;86;0;191;0
04.01.2016;11:00;12:00;114;0;198;0
04.01.2016;12:00;13:00;226;103;242;0
04.01.2016;13:00;14:00;213;234;234;0
04.01.2016;14:00;15:00;203;228;228;191
04.01.2016;15:00;16:00;196;227;227;195
04.01.2016;16:00;17:00;195;221;221;195
04.01.2016;17:00;18:00;189;213;212;189
04.01.2016;18:00;19:00;164;195;0;119
04.01.2016;19:00;20:00;100;99;0;34
04.01.2016;20:00;21:00;96;0;0;73
04.01.2016;21:00;22:00;96;40;25;5
04.01.2016;22:00;23:00;136;0;0;0
04.01.2016;23:00;00:00;31;0;0;0
05.01.2016;00:00;01:00;0;0;0;0
05.01.2016;01:00;02:00;0;0;0;0
05.01.2016;02:00;03:00;0;0;0;0
05.01.2016;03:00;04:00;0;0;0;0
05.01.2016;04:00;05:00;0;0;0;0
05.01.2016;05:00;06:00;0;0;0;0
05.01.2016;06:00;07:00;45;0;0;66
05.01.2016;07:00;08:00;0;0;0;112
05.01.2016;08:00;09:00;0;0;0;55
05.01.2016;09:00;10:00;0;0;0;76
05.01.2016;10:00;11:00;0;0;0;82
05.01.2016;11:00;12:00;0;0;0;81
05.01.2016;12:00;13:00;0;0;0;67
05.01.2016;13:00;14:00;0;0;2;73
05.01.2016;14:00;15:00;0;0;199;128
05.01.2016;15:00;16:00;0;0;202;128
05.01.2016;16:00;17:00;0;205;204;171
05.01.2016;17:00;18:00;0;191;188;106
05.01.2016;18:00;19:00;0;186;185;141
05.01.2016;19:00;20:00;0;0;180;136
05.01.2016;20:00;21:00;0;0;0;70
05.01.2016;21:00;22:00;0;0;0;88
05.01.2016;22:00;23:00;0;0;0;73
05.01.2016;23:00;00:00;0;0;0;0
06.01.2016;00:00;01:00;0;0;0;0
06.01.2016;01:00;02:00;0;0;0;0
06.01.2016;02:00;03:00;0;0;0;0
06.01.2016;03:00;04:00;0;0;0;0
06.01.2016;04:00;05:00;0;0;0;0
06.01.2016;05:00;06:00;0;0;0;0
06.01.2016;06:00;07:00;0;0;0;1
06.01.2016;07:00;08:00;0;33;0;114
06.01.2016;08:00;09:00;66;235;226;198
06.01.2016;09:00;10:00;0;252;253;251
