Datum;Anfang;Ende;Generation_DE PSW Goldisthal PSS D [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS C [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS B [MW] Originalauflösungen;Generation_DE PSW Goldisthal PSS A [MW] Originalauflösungen
01.01.2019;00:00;01:00;7;0;0;0
01.01.2019;01:00;02:00;0;0;0;0
01.01.2019;02:00;03:00;0;0;0;0
01.01.2019;03:00;04:00;0;0;0;0
01.01.2019;04:00;05:00;0;0;0;0
01.01.2019;05:00;06:00;0;0;0;0
01.01.2019;06:00;07:00;0;0;0;0
01.01.2019;07:00;08:00;0;0;0;0
01.01.2019;08:00;09:00;0;0;0;0
01.01.2019;09:00;10:00;0;0;0;0
01.01.2019;10:00;11:00;0;0;0;0
01.01.2019;11:00;12:00;0;0;0;0
01.01.2019;12:00;13:00;0;0;0;0
01.01.2019;13:00;14:00;0;0;0;0
01.01.2019;14:00;15:00;0;0;0;1
01.01.2019;15:00;16:00;0;0;0;49
01.01.2019;16:00;17:00;212;0;7;221
01.01.2019;17:00;18:00;260;77;265;262
01.01.2019;18:00;19:00;250;0;258;251
01.01.2019;19:00;20:00;273;0;261;275
01.01.2019;20:00;21:00;220;0;52;222
01.01.2019;21:00;22:00;1;0;0;0
01.01.2019;22:00;23:00;0;0;0;0
01.01.2019;23:00;00:00;0;0;0;0
02.01.2019;00:00;01:00;0;0;0;0
02.01.2019;01:00;02:00;0;0;0;0
02.01.2019;02:00;03:00;0;0;0;0
02.01.2019;03:00;04:00;0;0;0;0
02.01.2019;04:00;05:00;0;0;0;57
02.01.2019;05:00;06:00;0;0;171;111
02.01.2019;06:00;07:00;0;0;62;102
02.01.2019;07:00;08:00;66;0;3;96
02.01.2019;08:00;09:00;0;0;0;94
02.01.2019;09:00;10:00;0;0;0;81
02.01.2019;10:00;11:00;0;0;0;98
02.01.2019;11:00;12:00;0;0;0;121
02.01.2019;12:00;13:00;0;0;0;203
02.01.2019;13:00;14:00;0;0;0;204
02.01.2019;14:00;15:00;0;0;74;131
02.01.2019;15:00;16:00;0;0;0;124
02.01.2019;16:00;17:00;58;0;249;224
02.01.2019;17:00;18:00;222;4;246;223
02.01.2019;18:00;19:00;240;252;253;241
02.01.2019;19:00;20:00;258;254;254;258
02.01.2019;20:00;21:00;258;248;249;258
02.01.2019;21:00;22:00;1;0;0;0
02.01.2019;22:00;23:00;0;0;0;0
02.01.2019;23:00;00:00;0;0;0;0
03.01.2019;00:00;01:00;0;0;0;0
03.01.2019;01:00;02:00;0;0;0;0
03.01.2019;02:00;03:00;0;0;0;0
03.01.2019;03:00;04:00;0;0;0;0
03.01.2019;04:00;05:00;0;0;0;0
03.01.2019;05:00;06:00;0;0;0;0
03.01.2019;06:00;07:00;20;0;0;0
03.01.2019;07:00;08:00;139;222;0;2
03.01.2019;08:00;09:00;207;243;243;208
03.01.2019;09:00;10:00;179;0;2;146
03.01.2019;10:00;11:00;167;0;26;41
03.01.2019;11:00;12:00;175;0;7;170
03.01.2019;12:00;13:00;145;43;115;69
03.01.2019;13:00;14:00;145;0;0;28
03.01.2019;14:00;15:00;152;0;0;42
