Date;Start;End;Generation_DE GKM Block 9 [MW] Original resolutions
01.01.2016;00:00;01:00;187
01.01.2016;01:00;02:00;216
01.01.2016;02:00;03:00;210
01.01.2016;03:00;04:00;185
01.01.2016;04:00;05:00;119
01.01.2016;05:00;06:00;144
01.01.2016;06:00;07:00;173
01.01.2016;07:00;08:00;153
01.01.2016;08:00;09:00;158
01.01.2016;09:00;10:00;303
01.01.2016;10:00;11:00;333
01.01.2016;11:00;12:00;329
01.01.2016;12:00;13:00;330
01.01.2016;13:00;14:00;326
01.01.2016;14:00;15:00;341
01.01.2016;15:00;16:00;351
01.01.2016;16:00;17:00;381
01.01.2016;17:00;18:00;437
01.01.2016;18:00;19:00;438
01.01.2016;19:00;20:00;443
01.01.2016;20:00;21:00;306
01.01.2016;21:00;22:00;192
01.01.2016;22:00;23:00;190
01.01.2016;23:00;00:00;168
02.01.2016;00:00;01:00;170
02.01.2016;01:00;02:00;170
02.01.2016;02:00;03:00;171
02.01.2016;03:00;04:00;134
02.01.2016;04:00;05:00;98
02.01.2016;05:00;06:00;136
02.01.2016;06:00;07:00;138
02.01.2016;07:00;08:00;136
02.01.2016;08:00;09:00;181
02.01.2016;09:00;10:00;192
02.01.2016;10:00;11:00;192
02.01.2016;11:00;12:00;283
02.01.2016;12:00;13:00;340
02.01.2016;13:00;14:00;288
02.01.2016;14:00;15:00;288
02.01.2016;15:00;16:00;284
02.01.2016;16:00;17:00;354
02.01.2016;17:00;18:00;361
02.01.2016;18:00;19:00;367
02.01.2016;19:00;20:00;269
02.01.2016;20:00;21:00;245
02.01.2016;21:00;22:00;285
02.01.2016;22:00;23:00;286
02.01.2016;23:00;00:00;169
03.01.2016;00:00;01:00;124
03.01.2016;01:00;02:00;141
03.01.2016;02:00;03:00;140
03.01.2016;03:00;04:00;131
03.01.2016;04:00;05:00;131
03.01.2016;05:00;06:00;134
03.01.2016;06:00;07:00;139
03.01.2016;07:00;08:00;137
03.01.2016;08:00;09:00;113
03.01.2016;09:00;10:00;100
03.01.2016;10:00;11:00;110
03.01.2016;11:00;12:00;144
03.01.2016;12:00;13:00;119
03.01.2016;13:00;14:00;166
03.01.2016;14:00;15:00;241
03.01.2016;15:00;16:00;245
03.01.2016;16:00;17:00;291
03.01.2016;17:00;18:00;395
03.01.2016;18:00;19:00;395
03.01.2016;19:00;20:00;337
03.01.2016;20:00;21:00;243
03.01.2016;21:00;22:00;293
03.01.2016;22:00;23:00;260
03.01.2016;23:00;00:00;189
04.01.2016;00:00;01:00;121
04.01.2016;01:00;02:00;137
04.01.2016;02:00;03:00;155
04.01.2016;03:00;04:00;126
04.01.2016;04:00;05:00;133
04.01.2016;05:00;06:00;213
04.01.2016;06:00;07:00;355
04.01.2016;07:00;08:00;434
04.01.2016;08:00;09:00;491
04.01.2016;09:00;10:00;538
04.01.2016;10:00;11:00;541
04.01.2016;11:00;12:00;541
04.01.2016;12:00;13:00;544
04.01.2016;13:00;14:00;545
04.01.2016;14:00;15:00;527
04.01.2016;15:00;16:00;535
04.01.2016;16:00;17:00;531
04.01.2016;17:00;18:00;535
04.01.2016;18:00;19:00;537
04.01.2016;19:00;20:00;532
04.01.2016;20:00;21:00;534
04.01.2016;21:00;22:00;438
04.01.2016;22:00;23:00;398
04.01.2016;23:00;00:00;306
05.01.2016;00:00;01:00;197
05.01.2016;01:00;02:00;159
05.01.2016;02:00;03:00;120
05.01.2016;03:00;04:00;89
05.01.2016;04:00;05:00;136
05.01.2016;05:00;06:00;216
05.01.2016;06:00;07:00;335
05.01.2016;07:00;08:00;513
05.01.2016;08:00;09:00;541
05.01.2016;09:00;10:00;541
05.01.2016;10:00;11:00;543
05.01.2016;11:00;12:00;536
