Datum;Anfang;Ende;Generation_DE Heizkraftwerk Dresden-Nossener Brücke 
(3 GT + 1 DT, Sammelschiene) [MW] Originalauflösungen
01.01.2018;00:00;01:00;116
01.01.2018;01:00;02:00;116
01.01.2018;02:00;03:00;116
01.01.2018;03:00;04:00;116
01.01.2018;04:00;05:00;116
01.01.2018;05:00;06:00;116
01.01.2018;06:00;07:00;116
01.01.2018;07:00;08:00;116
01.01.2018;08:00;09:00;116
01.01.2018;09:00;10:00;116
01.01.2018;10:00;11:00;116
01.01.2018;11:00;12:00;116
01.01.2018;12:00;13:00;116
01.01.2018;13:00;14:00;116
01.01.2018;14:00;15:00;132
01.01.2018;15:00;16:00;150
01.01.2018;16:00;17:00;150
01.01.2018;17:00;18:00;152
01.01.2018;18:00;19:00;152
01.01.2018;19:00;20:00;153
01.01.2018;20:00;21:00;189
01.01.2018;21:00;22:00;230
01.01.2018;22:00;23:00;231
01.01.2018;23:00;00:00;230
02.01.2018;00:00;01:00;228
02.01.2018;01:00;02:00;227
02.01.2018;02:00;03:00;228
02.01.2018;03:00;04:00;228
02.01.2018;04:00;05:00;228
02.01.2018;05:00;06:00;230
02.01.2018;06:00;07:00;232
02.01.2018;07:00;08:00;234
02.01.2018;08:00;09:00;235
02.01.2018;09:00;10:00;235
02.01.2018;10:00;11:00;235
02.01.2018;11:00;12:00;238
02.01.2018;12:00;13:00;241
02.01.2018;13:00;14:00;240
02.01.2018;14:00;15:00;241
02.01.2018;15:00;16:00;242
02.01.2018;16:00;17:00;243
02.01.2018;17:00;18:00;243
02.01.2018;18:00;19:00;244
02.01.2018;19:00;20:00;243
02.01.2018;20:00;21:00;242
02.01.2018;21:00;22:00;243
02.01.2018;22:00;23:00;236
02.01.2018;23:00;00:00;233
03.01.2018;00:00;01:00;202
03.01.2018;01:00;02:00;170
03.01.2018;02:00;03:00;170
03.01.2018;03:00;04:00;170
03.01.2018;04:00;05:00;170
03.01.2018;05:00;06:00;170
03.01.2018;06:00;07:00;214
03.01.2018;07:00;08:00;229
03.01.2018;08:00;09:00;230
03.01.2018;09:00;10:00;236
03.01.2018;10:00;11:00;237
03.01.2018;11:00;12:00;237
03.01.2018;12:00;13:00;237
03.01.2018;13:00;14:00;237
03.01.2018;14:00;15:00;232
03.01.2018;15:00;16:00;238
03.01.2018;16:00;17:00;241
03.01.2018;17:00;18:00;239
03.01.2018;18:00;19:00;240
03.01.2018;19:00;20:00;240
03.01.2018;20:00;21:00;235
03.01.2018;21:00;22:00;226
03.01.2018;22:00;23:00;224
03.01.2018;23:00;00:00;208
04.01.2018;00:00;01:00;170
04.01.2018;01:00;02:00;170
04.01.2018;02:00;03:00;170
04.01.2018;03:00;04:00;170
04.01.2018;04:00;05:00;170
04.01.2018;05:00;06:00;209
04.01.2018;06:00;07:00;221
04.01.2018;07:00;08:00;221
04.01.2018;08:00;09:00;221
04.01.2018;09:00;10:00;220
04.01.2018;10:00;11:00;221
04.01.2018;11:00;12:00;221
04.01.2018;12:00;13:00;220
04.01.2018;13:00;14:00;222
04.01.2018;14:00;15:00;232
04.01.2018;15:00;16:00;231
04.01.2018;16:00;17:00;232
04.01.2018;17:00;18:00;232
04.01.2018;18:00;19:00;236
04.01.2018;19:00;20:00;235
04.01.2018;20:00;21:00;236
04.01.2018;21:00;22:00;227
04.01.2018;22:00;23:00;225
04.01.2018;23:00;00:00;217
05.01.2018;00:00;01:00;210
05.01.2018;01:00;02:00;181
05.01.2018;02:00;03:00;181
05.01.2018;03:00;04:00;181
05.01.2018;04:00;05:00;181
05.01.2018;05:00;06:00;201
05.01.2018;06:00;07:00;220
05.01.2018;07:00;08:00;220
05.01.2018;08:00;09:00;221
05.01.2018;09:00;10:00;219
05.01.2018;10:00;11:00;218
05.01.2018;11:00;12:00;218
05.01.2018;12:00;13:00;217
05.01.2018;13:00;14:00;218
05.01.2018;14:00;15:00;219
05.01.2018;15:00;16:00;220
05.01.2018;16:00;17:00;221
05.01.2018;17:00;18:00;230
05.01.2018;18:00;19:00;233
05.01.2018;19:00;20:00;234
05.01.2018;20:00;21:00;235
05.01.2018;21:00;22:00;235
05.01.2018;22:00;23:00;224
05.01.2018;23:00;00:00;223
06.01.2018;00:00;01:00;201
06.01.2018;01:00;02:00;201
06.01.2018;02:00;03:00;201
06.01.2018;03:00;04:00;201
06.01.2018;04:00;05:00;201
06.01.2018;05:00;06:00;201
06.01.2018;06:00;07:00;223
06.01.2018;07:00;08:00;226
06.01.2018;08:00;09:00;235
06.01.2018;09:00;10:00;233
06.01.2018;10:00;11:00;233
06.01.2018;11:00;12:00;229
06.01.2018;12:00;13:00;229
06.01.2018;13:00;14:00;229
06.01.2018;14:00;15:00;231
06.01.2018;15:00;16:00;231
06.01.2018;16:00;17:00;231
06.01.2018;17:00;18:00;232
06.01.2018;18:00;19:00;234
06.01.2018;19:00;20:00;235
06.01.2018;20:00;21:00;235
06.01.2018;21:00;22:00;236
06.01.2018;22:00;23:00;235
06.01.2018;23:00;00:00;226
07.01.2018;00:00;01:00;201
07.01.2018;01:00;02:00;201
07.01.2018;02:00;03:00;201
07.01.2018;03:00;04:00;201
07.01.2018;04:00;05:00;202
07.01.2018;05:00;06:00;231
07.01.2018;06:00;07:00;233
07.01.2018;07:00;08:00;239
07.01.2018;08:00;09:00;240
07.01.2018;09:00;10:00;249
07.01.2018;10:00;11:00;250
07.01.2018;11:00;12:00;251
07.01.2018;12:00;13:00;252
07.01.2018;13:00;14:00;252
07.01.2018;14:00;15:00;252
07.01.2018;15:00;16:00;252
07.01.2018;16:00;17:00;251
07.01.2018;17:00;18:00;252
07.01.2018;18:00;19:00;252
07.01.2018;19:00;20:00;253
07.01.2018;20:00;21:00;253
07.01.2018;21:00;22:00;253
07.01.2018;22:00;23:00;253
07.01.2018;23:00;00:00;244
08.01.2018;00:00;01:00;240
08.01.2018;01:00;02:00;240
08.01.2018;02:00;03:00;240
08.01.2018;03:00;04:00;240
08.01.2018;04:00;05:00;242
08.01.2018;05:00;06:00;253
08.01.2018;06:00;07:00;253
08.01.2018;07:00;08:00;252
08.01.2018;08:00;09:00;253
08.01.2018;09:00;10:00;253
08.01.2018;10:00;11:00;252
08.01.2018;11:00;12:00;252
08.01.2018;12:00;13:00;251
08.01.2018;13:00;14:00;251
08.01.2018;14:00;15:00;252
08.01.2018;15:00;16:00;252
08.01.2018;16:00;17:00;252
08.01.2018;17:00;18:00;252
08.01.2018;18:00;19:00;252
08.01.2018;19:00;20:00;250
08.01.2018;20:00;21:00;250
08.01.2018;21:00;22:00;252
08.01.2018;22:00;23:00;251
08.01.2018;23:00;00:00;234
09.01.2018;00:00;01:00;221
09.01.2018;01:00;02:00;221
09.01.2018;02:00;03:00;221
09.01.2018;03:00;04:00;221
09.01.2018;04:00;05:00;221
09.01.2018;05:00;06:00;221
09.01.2018;06:00;07:00;229
09.01.2018;07:00;08:00;232
09.01.2018;08:00;09:00;242
09.01.2018;09:00;10:00;243
09.01.2018;10:00;11:00;241
09.01.2018;11:00;12:00;240
09.01.2018;12:00;13:00;240
09.01.2018;13:00;14:00;240
09.01.2018;14:00;15:00;240
09.01.2018;15:00;16:00;240
09.01.2018;16:00;17:00;241
09.01.2018;17:00;18:00;240
09.01.2018;18:00;19:00;241
09.01.2018;19:00;20:00;242
09.01.2018;20:00;21:00;242
09.01.2018;21:00;22:00;242
09.01.2018;22:00;23:00;242
09.01.2018;23:00;00:00;229
10.01.2018;00:00;01:00;229
10.01.2018;01:00;02:00;230
10.01.2018;02:00;03:00;231
10.01.2018;03:00;04:00;231
10.01.2018;04:00;05:00;233
10.01.2018;05:00;06:00;236
10.01.2018;06:00;07:00;246
10.01.2018;07:00;08:00;247
10.01.2018;08:00;09:00;247
10.01.2018;09:00;10:00;247
10.01.2018;10:00;11:00;247
10.01.2018;11:00;12:00;245
10.01.2018;12:00;13:00;244
10.01.2018;13:00;14:00;244
10.01.2018;14:00;15:00;244
10.01.2018;15:00;16:00;244
10.01.2018;16:00;17:00;244
10.01.2018;17:00;18:00;245
10.01.2018;18:00;19:00;245
10.01.2018;19:00;20:00;246
10.01.2018;20:00;21:00;246
10.01.2018;21:00;22:00;247
10.01.2018;22:00;23:00;245
10.01.2018;23:00;00:00;239
11.01.2018;00:00;01:00;238
11.01.2018;01:00;02:00;238
11.01.2018;02:00;03:00;239
11.01.2018;03:00;04:00;242
11.01.2018;04:00;05:00;247
11.01.2018;05:00;06:00;249
11.01.2018;06:00;07:00;249
11.01.2018;07:00;08:00;249
11.01.2018;08:00;09:00;249
11.01.2018;09:00;10:00;249
11.01.2018;10:00;11:00;248
11.01.2018;11:00;12:00;247
11.01.2018;12:00;13:00;246
11.01.2018;13:00;14:00;246
11.01.2018;14:00;15:00;246
11.01.2018;15:00;16:00;246
11.01.2018;16:00;17:00;246
11.01.2018;17:00;18:00;247
11.01.2018;18:00;19:00;248
11.01.2018;19:00;20:00;249
11.01.2018;20:00;21:00;249
11.01.2018;21:00;22:00;250
11.01.2018;22:00;23:00;249
11.01.2018;23:00;00:00;250
12.01.2018;00:00;01:00;245
12.01.2018;01:00;02:00;245
12.01.2018;02:00;03:00;245
12.01.2018;03:00;04:00;245
12.01.2018;04:00;05:00;245
12.01.2018;05:00;06:00;250
12.01.2018;06:00;07:00;250
12.01.2018;07:00;08:00;250
12.01.2018;08:00;09:00;250
12.01.2018;09:00;10:00;250
12.01.2018;10:00;11:00;250
12.01.2018;11:00;12:00;250
12.01.2018;12:00;13:00;249
12.01.2018;13:00;14:00;249
12.01.2018;14:00;15:00;250
12.01.2018;15:00;16:00;251
12.01.2018;16:00;17:00;251
12.01.2018;17:00;18:00;251
12.01.2018;18:00;19:00;251
12.01.2018;19:00;20:00;252
12.01.2018;20:00;21:00;252
12.01.2018;21:00;22:00;252
12.01.2018;22:00;23:00;251
12.01.2018;23:00;00:00;248
13.01.2018;00:00;01:00;249
13.01.2018;01:00;02:00;249
13.01.2018;02:00;03:00;249
13.01.2018;03:00;04:00;249
13.01.2018;04:00;05:00;249
13.01.2018;05:00;06:00;251
13.01.2018;06:00;07:00;252
13.01.2018;07:00;08:00;253
13.01.2018;08:00;09:00;253
13.01.2018;09:00;10:00;254
13.01.2018;10:00;11:00;254
13.01.2018;11:00;12:00;254
13.01.2018;12:00;13:00;254
13.01.2018;13:00;14:00;253
13.01.2018;14:00;15:00;253
13.01.2018;15:00;16:00;253
13.01.2018;16:00;17:00;253
13.01.2018;17:00;18:00;253
13.01.2018;18:00;19:00;253
13.01.2018;19:00;20:00;253
13.01.2018;20:00;21:00;254
13.01.2018;21:00;22:00;254
13.01.2018;22:00;23:00;253
13.01.2018;23:00;00:00;254
14.01.2018;00:00;01:00;254
14.01.2018;01:00;02:00;254
14.01.2018;02:00;03:00;254
14.01.2018;03:00;04:00;254
14.01.2018;04:00;05:00;254
14.01.2018;05:00;06:00;254
14.01.2018;06:00;07:00;254
14.01.2018;07:00;08:00;254
14.01.2018;08:00;09:00;254
14.01.2018;09:00;10:00;254
14.01.2018;10:00;11:00;253
14.01.2018;11:00;12:00;253
14.01.2018;12:00;13:00;253
14.01.2018;13:00;14:00;252
14.01.2018;14:00;15:00;252
14.01.2018;15:00;16:00;252
14.01.2018;16:00;17:00;252
14.01.2018;17:00;18:00;252
14.01.2018;18:00;19:00;252
14.01.2018;19:00;20:00;252
14.01.2018;20:00;21:00;251
14.01.2018;21:00;22:00;252
14.01.2018;22:00;23:00;252
14.01.2018;23:00;00:00;252
15.01.2018;00:00;01:00;252
15.01.2018;01:00;02:00;252
15.01.2018;02:00;03:00;252
15.01.2018;03:00;04:00;252
15.01.2018;04:00;05:00;251
15.01.2018;05:00;06:00;251
15.01.2018;06:00;07:00;251
