Datum;Anfang;Ende;Generation_DE Block E [MW] Originalauflösungen;Generation_DE SWD KWL AGuD [MW] Originalauflösungen;Generation_DE SWD KWL GTE1 [MW] Originalauflösungen;Generation_DE SWD KWL GTE2 [MW] Originalauflösungen;Generation_DE SWD KWL GuD F [MW] Originalauflösungen
01.01.2020;00:00;01:00;-;0;-;-;351
01.01.2020;01:00;02:00;-;0;-;-;348
01.01.2020;02:00;03:00;-;0;-;-;353
01.01.2020;03:00;04:00;-;0;-;-;366
01.01.2020;04:00;05:00;-;0;-;-;353
01.01.2020;05:00;06:00;-;0;-;-;350
01.01.2020;06:00;07:00;-;0;-;-;350
01.01.2020;07:00;08:00;-;0;-;-;373
01.01.2020;08:00;09:00;-;0;-;-;453
01.01.2020;09:00;10:00;-;0;-;-;499
01.01.2020;10:00;11:00;-;0;-;-;499
01.01.2020;11:00;12:00;-;0;-;-;488
01.01.2020;12:00;13:00;-;0;-;-;460
01.01.2020;13:00;14:00;-;0;-;-;467
01.01.2020;14:00;15:00;-;0;-;-;496
01.01.2020;15:00;16:00;-;0;-;-;504
01.01.2020;16:00;17:00;-;0;-;-;569
01.01.2020;17:00;18:00;-;0;-;-;568
01.01.2020;18:00;19:00;-;0;-;-;570
01.01.2020;19:00;20:00;-;0;-;-;563
01.01.2020;20:00;21:00;-;0;-;-;563
01.01.2020;21:00;22:00;-;0;-;-;567
01.01.2020;22:00;23:00;-;0;-;-;565
01.01.2020;23:00;00:00;-;0;-;-;416
02.01.2020;00:00;01:00;-;0;-;-;365
02.01.2020;01:00;02:00;-;0;-;-;362
02.01.2020;02:00;03:00;-;0;-;-;364
02.01.2020;03:00;04:00;-;0;-;-;352
02.01.2020;04:00;05:00;-;0;-;-;360
02.01.2020;05:00;06:00;-;0;-;-;400
02.01.2020;06:00;07:00;-;3;-;-;361
02.01.2020;07:00;08:00;-;22;-;-;502
02.01.2020;08:00;09:00;-;70;-;-;551
02.01.2020;09:00;10:00;-;76;-;-;563
02.01.2020;10:00;11:00;-;76;-;-;565
02.01.2020;11:00;12:00;-;76;-;-;565
02.01.2020;12:00;13:00;-;76;-;-;565
02.01.2020;13:00;14:00;-;76;-;-;565
02.01.2020;14:00;15:00;-;76;-;-;579
02.01.2020;15:00;16:00;-;76;-;-;580
02.01.2020;16:00;17:00;-;76;-;-;564
02.01.2020;17:00;18:00;-;76;-;-;564
02.01.2020;18:00;19:00;-;76;-;-;564
02.01.2020;19:00;20:00;-;76;-;-;563
02.01.2020;20:00;21:00;-;76;-;-;508
02.01.2020;21:00;22:00;-;76;-;-;454
02.01.2020;22:00;23:00;-;69;-;-;242
02.01.2020;23:00;00:00;-;68;-;-;0
03.01.2020;00:00;01:00;-;68;-;-;0
03.01.2020;01:00;02:00;-;68;-;-;0
03.01.2020;02:00;03:00;-;68;-;-;0
03.01.2020;03:00;04:00;-;68;-;-;0
03.01.2020;04:00;05:00;-;68;-;-;0
03.01.2020;05:00;06:00;-;69;-;-;0
03.01.2020;06:00;07:00;-;68;-;-;0
03.01.2020;07:00;08:00;-;82;-;-;0
03.01.2020;08:00;09:00;-;87;-;-;0
03.01.2020;09:00;10:00;-;87;-;-;0
03.01.2020;10:00;11:00;-;87;-;-;0
03.01.2020;11:00;12:00;-;87;-;-;0
03.01.2020;12:00;13:00;-;88;-;-;0
03.01.2020;13:00;14:00;-;88;-;-;0
03.01.2020;14:00;15:00;-;87;-;-;0
03.01.2020;15:00;16:00;-;82;-;-;0
03.01.2020;16:00;17:00;-;82;-;-;0
03.01.2020;17:00;18:00;-;88;-;-;0
03.01.2020;18:00;19:00;-;87;-;-;0
03.01.2020;19:00;20:00;-;87;-;-;0
03.01.2020;20:00;21:00;-;86;-;-;0
03.01.2020;21:00;22:00;-;86;-;-;0
03.01.2020;22:00;23:00;-;86;-;-;0
03.01.2020;23:00;00:00;-;85;-;-;0
04.01.2020;00:00;01:00;-;78;-;-;0
04.01.2020;01:00;02:00;-;78;-;-;0
04.01.2020;02:00;03:00;-;78;-;-;0
04.01.2020;03:00;04:00;-;77;-;-;0
04.01.2020;04:00;05:00;-;76;-;-;0
04.01.2020;05:00;06:00;-;77;-;-;0
04.01.2020;06:00;07:00;-;78;-;-;0
04.01.2020;07:00;08:00;-;77;-;-;0
04.01.2020;08:00;09:00;-;79;-;-;0
04.01.2020;09:00;10:00;-;79;-;-;0
04.01.2020;10:00;11:00;-;79;-;-;0
04.01.2020;11:00;12:00;-;79;-;-;0
04.01.2020;12:00;13:00;-;84;-;-;0
04.01.2020;13:00;14:00;-;86;-;-;0
04.01.2020;14:00;15:00;-;86;-;-;0
04.01.2020;15:00;16:00;-;86;-;-;0
04.01.2020;16:00;17:00;-;86;-;-;0
04.01.2020;17:00;18:00;-;86;-;-;0
04.01.2020;18:00;19:00;-;85;-;-;0
04.01.2020;19:00;20:00;-;85;-;-;0
04.01.2020;20:00;21:00;-;84;-;-;0
04.01.2020;21:00;22:00;-;83;-;-;0
04.01.2020;22:00;23:00;-;83;-;-;0
04.01.2020;23:00;00:00;-;83;-;-;0
05.01.2020;00:00;01:00;-;83;-;-;0
05.01.2020;01:00;02:00;-;83;-;-;0
05.01.2020;02:00;03:00;-;83;-;-;0
05.01.2020;03:00;04:00;-;83;-;-;0
05.01.2020;04:00;05:00;-;82;-;-;0
05.01.2020;05:00;06:00;-;79;-;-;0
05.01.2020;06:00;07:00;-;79;-;-;0
05.01.2020;07:00;08:00;-;78;-;-;0
05.01.2020;08:00;09:00;-;72;-;-;0
05.01.2020;09:00;10:00;-;72;-;-;0
05.01.2020;10:00;11:00;-;72;-;-;0
05.01.2020;11:00;12:00;-;72;-;-;0
05.01.2020;12:00;13:00;-;79;-;-;0
05.01.2020;13:00;14:00;-;80;-;-;0
05.01.2020;14:00;15:00;-;80;-;-;0
05.01.2020;15:00;16:00;-;80;-;-;0
05.01.2020;16:00;17:00;-;80;-;-;0
05.01.2020;17:00;18:00;-;80;-;-;0
05.01.2020;18:00;19:00;-;80;-;-;41
05.01.2020;19:00;20:00;-;72;-;-;98
05.01.2020;20:00;21:00;-;73;-;-;100
05.01.2020;21:00;22:00;-;80;-;-;452
05.01.2020;22:00;23:00;-;70;-;-;548
05.01.2020;23:00;00:00;-;68;-;-;543
06.01.2020;00:00;01:00;-;23;-;-;541
06.01.2020;01:00;02:00;-;0;-;-;544
06.01.2020;02:00;03:00;-;0;-;-;534
06.01.2020;03:00;04:00;-;0;-;-;542
06.01.2020;04:00;05:00;-;0;-;-;541
06.01.2020;05:00;06:00;-;0;-;-;560
