Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2017;00:00;01:00;71
01.01.2017;01:00;02:00;57
01.01.2017;02:00;03:00;35
01.01.2017;03:00;04:00;34
01.01.2017;04:00;05:00;34
01.01.2017;05:00;06:00;53
01.01.2017;06:00;07:00;73
01.01.2017;07:00;08:00;78
01.01.2017;08:00;09:00;79
01.01.2017;09:00;10:00;78
01.01.2017;10:00;11:00;78
01.01.2017;11:00;12:00;78
01.01.2017;12:00;13:00;77
01.01.2017;13:00;14:00;77
01.01.2017;14:00;15:00;77
01.01.2017;15:00;16:00;77
01.01.2017;16:00;17:00;77
01.01.2017;17:00;18:00;77
01.01.2017;18:00;19:00;78
01.01.2017;19:00;20:00;78
01.01.2017;20:00;21:00;78
01.01.2017;21:00;22:00;78
01.01.2017;22:00;23:00;78
01.01.2017;23:00;00:00;74
02.01.2017;00:00;01:00;67
02.01.2017;01:00;02:00;67
02.01.2017;02:00;03:00;67
02.01.2017;03:00;04:00;67
02.01.2017;04:00;05:00;68
02.01.2017;05:00;06:00;94
02.01.2017;06:00;07:00;116
02.01.2017;07:00;08:00;143
02.01.2017;08:00;09:00;146
02.01.2017;09:00;10:00;150
02.01.2017;10:00;11:00;157
02.01.2017;11:00;12:00;157
02.01.2017;12:00;13:00;157
02.01.2017;13:00;14:00;156
02.01.2017;14:00;15:00;156
02.01.2017;15:00;16:00;157
02.01.2017;16:00;17:00;156
02.01.2017;17:00;18:00;156
02.01.2017;18:00;19:00;149
02.01.2017;19:00;20:00;157
02.01.2017;20:00;21:00;157
02.01.2017;21:00;22:00;149
02.01.2017;22:00;23:00;146
02.01.2017;23:00;00:00;128
03.01.2017;00:00;01:00;88
03.01.2017;01:00;02:00;72
03.01.2017;02:00;03:00;72
03.01.2017;03:00;04:00;72
03.01.2017;04:00;05:00;72
03.01.2017;05:00;06:00;94
03.01.2017;06:00;07:00;133
03.01.2017;07:00;08:00;146
03.01.2017;08:00;09:00;145
03.01.2017;09:00;10:00;144
03.01.2017;10:00;11:00;148
03.01.2017;11:00;12:00;156
03.01.2017;12:00;13:00;157
03.01.2017;13:00;14:00;157
03.01.2017;14:00;15:00;157
03.01.2017;15:00;16:00;157
03.01.2017;16:00;17:00;157
03.01.2017;17:00;18:00;157
03.01.2017;18:00;19:00;156
03.01.2017;19:00;20:00;154
03.01.2017;20:00;21:00;156
03.01.2017;21:00;22:00;148
03.01.2017;22:00;23:00;104
03.01.2017;23:00;00:00;75
04.01.2017;00:00;01:00;73
04.01.2017;01:00;02:00;73
04.01.2017;02:00;03:00;72
04.01.2017;03:00;04:00;72
04.01.2017;04:00;05:00;76
04.01.2017;05:00;06:00;108
04.01.2017;06:00;07:00;144
04.01.2017;07:00;08:00;154
04.01.2017;08:00;09:00;155
04.01.2017;09:00;10:00;155
04.01.2017;10:00;11:00;155
04.01.2017;11:00;12:00;155
04.01.2017;12:00;13:00;155
04.01.2017;13:00;14:00;154
04.01.2017;14:00;15:00;155
04.01.2017;15:00;16:00;154
04.01.2017;16:00;17:00;155
04.01.2017;17:00;18:00;155
04.01.2017;18:00;19:00;149
04.01.2017;19:00;20:00;151
04.01.2017;20:00;21:00;156
04.01.2017;21:00;22:00;157
04.01.2017;22:00;23:00;158
04.01.2017;23:00;00:00;148
05.01.2017;00:00;01:00;145
05.01.2017;01:00;02:00;145
05.01.2017;02:00;03:00;146
05.01.2017;03:00;04:00;146
05.01.2017;04:00;05:00;146
05.01.2017;05:00;06:00;146
05.01.2017;06:00;07:00;149
05.01.2017;07:00;08:00;158
05.01.2017;08:00;09:00;156
05.01.2017;09:00;10:00;160
05.01.2017;10:00;11:00;160
05.01.2017;11:00;12:00;158
05.01.2017;12:00;13:00;159
05.01.2017;13:00;14:00;158
05.01.2017;14:00;15:00;159
05.01.2017;15:00;16:00;161
05.01.2017;16:00;17:00;155
05.01.2017;17:00;18:00;161
05.01.2017;18:00;19:00;161
05.01.2017;19:00;20:00;161
05.01.2017;20:00;21:00;161
05.01.2017;21:00;22:00;164
05.01.2017;22:00;23:00;159
05.01.2017;23:00;00:00;152
06.01.2017;00:00;01:00;153
06.01.2017;01:00;02:00;152
06.01.2017;02:00;03:00;153
06.01.2017;03:00;04:00;153
06.01.2017;04:00;05:00;153
06.01.2017;05:00;06:00;156
06.01.2017;06:00;07:00;162
06.01.2017;07:00;08:00;166
06.01.2017;08:00;09:00;166
06.01.2017;09:00;10:00;166
06.01.2017;10:00;11:00;165
06.01.2017;11:00;12:00;165
06.01.2017;12:00;13:00;165
06.01.2017;13:00;14:00;165
06.01.2017;14:00;15:00;164
06.01.2017;15:00;16:00;164
06.01.2017;16:00;17:00;165
06.01.2017;17:00;18:00;165
06.01.2017;18:00;19:00;166
06.01.2017;19:00;20:00;165
06.01.2017;20:00;21:00;166
06.01.2017;21:00;22:00;160
06.01.2017;22:00;23:00;153
06.01.2017;23:00;00:00;153
07.01.2017;00:00;01:00;154
07.01.2017;01:00;02:00;154
07.01.2017;02:00;03:00;154
07.01.2017;03:00;04:00;154
07.01.2017;04:00;05:00;153
07.01.2017;05:00;06:00;156
07.01.2017;06:00;07:00;162
07.01.2017;07:00;08:00;167
07.01.2017;08:00;09:00;167
07.01.2017;09:00;10:00;166
07.01.2017;10:00;11:00;166
07.01.2017;11:00;12:00;165
07.01.2017;12:00;13:00;165
07.01.2017;13:00;14:00;164
07.01.2017;14:00;15:00;164
07.01.2017;15:00;16:00;164
07.01.2017;16:00;17:00;164
07.01.2017;17:00;18:00;164
07.01.2017;18:00;19:00;164
07.01.2017;19:00;20:00;164
07.01.2017;20:00;21:00;163
07.01.2017;21:00;22:00;164
07.01.2017;22:00;23:00;164
07.01.2017;23:00;00:00;163
08.01.2017;00:00;01:00;153
08.01.2017;01:00;02:00;149
08.01.2017;02:00;03:00;148
08.01.2017;03:00;04:00;148
08.01.2017;04:00;05:00;148
08.01.2017;05:00;06:00;148
08.01.2017;06:00;07:00;149
08.01.2017;07:00;08:00;157
08.01.2017;08:00;09:00;161
08.01.2017;09:00;10:00;161
08.01.2017;10:00;11:00;161
08.01.2017;11:00;12:00;160
08.01.2017;12:00;13:00;160
08.01.2017;13:00;14:00;160
08.01.2017;14:00;15:00;160
08.01.2017;15:00;16:00;160
08.01.2017;16:00;17:00;160
08.01.2017;17:00;18:00;160
08.01.2017;18:00;19:00;160
08.01.2017;19:00;20:00;160
08.01.2017;20:00;21:00;160
08.01.2017;21:00;22:00;160
08.01.2017;22:00;23:00;153
08.01.2017;23:00;00:00;146
09.01.2017;00:00;01:00;150
09.01.2017;01:00;02:00;150
09.01.2017;02:00;03:00;152
09.01.2017;03:00;04:00;153
09.01.2017;04:00;05:00;152
09.01.2017;05:00;06:00;155
09.01.2017;06:00;07:00;163
09.01.2017;07:00;08:00;165
09.01.2017;08:00;09:00;165
09.01.2017;09:00;10:00;165
09.01.2017;10:00;11:00;165
09.01.2017;11:00;12:00;165
09.01.2017;12:00;13:00;165
09.01.2017;13:00;14:00;165
09.01.2017;14:00;15:00;165
09.01.2017;15:00;16:00;165
09.01.2017;16:00;17:00;165
09.01.2017;17:00;18:00;165
09.01.2017;18:00;19:00;165
09.01.2017;19:00;20:00;165
09.01.2017;20:00;21:00;165
09.01.2017;21:00;22:00;165
09.01.2017;22:00;23:00;165
09.01.2017;23:00;00:00;156
10.01.2017;00:00;01:00;151
10.01.2017;01:00;02:00;151
10.01.2017;02:00;03:00;151
10.01.2017;03:00;04:00;152
10.01.2017;04:00;05:00;152
10.01.2017;05:00;06:00;152
10.01.2017;06:00;07:00;154
10.01.2017;07:00;08:00;163
10.01.2017;08:00;09:00;165
10.01.2017;09:00;10:00;165
10.01.2017;10:00;11:00;164
10.01.2017;11:00;12:00;164
10.01.2017;12:00;13:00;164
10.01.2017;13:00;14:00;164
10.01.2017;14:00;15:00;164
10.01.2017;15:00;16:00;164
10.01.2017;16:00;17:00;165
10.01.2017;17:00;18:00;165
10.01.2017;18:00;19:00;165
10.01.2017;19:00;20:00;165
10.01.2017;20:00;21:00;166
10.01.2017;21:00;22:00;166
10.01.2017;22:00;23:00;158
10.01.2017;23:00;00:00;153
11.01.2017;00:00;01:00;153
11.01.2017;01:00;02:00;153
11.01.2017;02:00;03:00;153
11.01.2017;03:00;04:00;153
11.01.2017;04:00;05:00;153
11.01.2017;05:00;06:00;159
11.01.2017;06:00;07:00;166
11.01.2017;07:00;08:00;166
11.01.2017;08:00;09:00;166
11.01.2017;09:00;10:00;165
11.01.2017;10:00;11:00;165
11.01.2017;11:00;12:00;164
11.01.2017;12:00;13:00;164
11.01.2017;13:00;14:00;164
11.01.2017;14:00;15:00;163
11.01.2017;15:00;16:00;162
11.01.2017;16:00;17:00;162
11.01.2017;17:00;18:00;162
11.01.2017;18:00;19:00;161
11.01.2017;19:00;20:00;161
11.01.2017;20:00;21:00;161
11.01.2017;21:00;22:00;161
11.01.2017;22:00;23:00;155
11.01.2017;23:00;00:00;147
12.01.2017;00:00;01:00;125
12.01.2017;01:00;02:00;88
12.01.2017;02:00;03:00;87
12.01.2017;03:00;04:00;87
12.01.2017;04:00;05:00;90
12.01.2017;05:00;06:00;136
12.01.2017;06:00;07:00;157
12.01.2017;07:00;08:00;160
12.01.2017;08:00;09:00;160
12.01.2017;09:00;10:00;160
12.01.2017;10:00;11:00;160
12.01.2017;11:00;12:00;159
12.01.2017;12:00;13:00;159
12.01.2017;13:00;14:00;159
12.01.2017;14:00;15:00;159
12.01.2017;15:00;16:00;159
12.01.2017;16:00;17:00;159
12.01.2017;17:00;18:00;159
12.01.2017;18:00;19:00;159
12.01.2017;19:00;20:00;159
12.01.2017;20:00;21:00;159
12.01.2017;21:00;22:00;159
12.01.2017;22:00;23:00;158
12.01.2017;23:00;00:00;158
13.01.2017;00:00;01:00;156
13.01.2017;01:00;02:00;145
13.01.2017;02:00;03:00;145
13.01.2017;03:00;04:00;146
13.01.2017;04:00;05:00;154
13.01.2017;05:00;06:00;156
13.01.2017;06:00;07:00;155
13.01.2017;07:00;08:00;156
13.01.2017;08:00;09:00;157
13.01.2017;09:00;10:00;157
13.01.2017;10:00;11:00;157
13.01.2017;11:00;12:00;158
13.01.2017;12:00;13:00;159
13.01.2017;13:00;14:00;159
13.01.2017;14:00;15:00;159
13.01.2017;15:00;16:00;159
13.01.2017;16:00;17:00;160
13.01.2017;17:00;18:00;160
13.01.2017;18:00;19:00;160
13.01.2017;19:00;20:00;160
13.01.2017;20:00;21:00;160
13.01.2017;21:00;22:00;160
13.01.2017;22:00;23:00;156
13.01.2017;23:00;00:00;147
14.01.2017;00:00;01:00;147
14.01.2017;01:00;02:00;148
14.01.2017;02:00;03:00;148
14.01.2017;03:00;04:00;148
14.01.2017;04:00;05:00;150
14.01.2017;05:00;06:00;158
14.01.2017;06:00;07:00;160
14.01.2017;07:00;08:00;160
14.01.2017;08:00;09:00;160
14.01.2017;09:00;10:00;160
14.01.2017;10:00;11:00;161
14.01.2017;11:00;12:00;161
14.01.2017;12:00;13:00;161
14.01.2017;13:00;14:00;161
14.01.2017;14:00;15:00;160
14.01.2017;15:00;16:00;160
14.01.2017;16:00;17:00;161
14.01.2017;17:00;18:00;161
14.01.2017;18:00;19:00;161
14.01.2017;19:00;20:00;162
14.01.2017;20:00;21:00;162
14.01.2017;21:00;22:00;162
14.01.2017;22:00;23:00;159
14.01.2017;23:00;00:00;85
15.01.2017;00:00;01:00;26
15.01.2017;01:00;02:00;1
15.01.2017;02:00;03:00;1
15.01.2017;03:00;04:00;1
15.01.2017;04:00;05:00;1
15.01.2017;05:00;06:00;1
15.01.2017;06:00;07:00;6
15.01.2017;07:00;08:00;28
15.01.2017;08:00;09:00;42
15.01.2017;09:00;10:00;108
15.01.2017;10:00;11:00;157
15.01.2017;11:00;12:00;163
15.01.2017;12:00;13:00;162
15.01.2017;13:00;14:00;162
15.01.2017;14:00;15:00;163
15.01.2017;15:00;16:00;152
15.01.2017;16:00;17:00;52
15.01.2017;17:00;18:00;10
15.01.2017;18:00;19:00;1
15.01.2017;19:00;20:00;1
15.01.2017;20:00;21:00;1
15.01.2017;21:00;22:00;1
15.01.2017;22:00;23:00;1
15.01.2017;23:00;00:00;1
