Date;Start;End;Generation_DE  [MW] Original resolutions
01.01.2021;00:00;01:00;69
01.01.2021;01:00;02:00;62
01.01.2021;02:00;03:00;44
01.01.2021;03:00;04:00;40
01.01.2021;04:00;05:00;47
01.01.2021;05:00;06:00;61
01.01.2021;06:00;07:00;70
01.01.2021;07:00;08:00;71
01.01.2021;08:00;09:00;71
01.01.2021;09:00;10:00;71
01.01.2021;10:00;11:00;70
01.01.2021;11:00;12:00;70
01.01.2021;12:00;13:00;69
01.01.2021;13:00;14:00;68
01.01.2021;14:00;15:00;68
01.01.2021;15:00;16:00;69
01.01.2021;16:00;17:00;70
01.01.2021;17:00;18:00;70
01.01.2021;18:00;19:00;71
01.01.2021;19:00;20:00;71
01.01.2021;20:00;21:00;71
01.01.2021;21:00;22:00;71
01.01.2021;22:00;23:00;71
01.01.2021;23:00;00:00;71
02.01.2021;00:00;01:00;63
02.01.2021;01:00;02:00;43
02.01.2021;02:00;03:00;35
02.01.2021;03:00;04:00;42
02.01.2021;04:00;05:00;65
02.01.2021;05:00;06:00;72
02.01.2021;06:00;07:00;103
02.01.2021;07:00;08:00;140
02.01.2021;08:00;09:00;151
02.01.2021;09:00;10:00;151
02.01.2021;10:00;11:00;151
02.01.2021;11:00;12:00;151
02.01.2021;12:00;13:00;151
02.01.2021;13:00;14:00;151
02.01.2021;14:00;15:00;150
02.01.2021;15:00;16:00;150
02.01.2021;16:00;17:00;150
02.01.2021;17:00;18:00;150
02.01.2021;18:00;19:00;151
02.01.2021;19:00;20:00;151
02.01.2021;20:00;21:00;151
02.01.2021;21:00;22:00;151
02.01.2021;22:00;23:00;137
02.01.2021;23:00;00:00;119
03.01.2021;00:00;01:00;101
03.01.2021;01:00;02:00;65
03.01.2021;02:00;03:00;42
03.01.2021;03:00;04:00;44
03.01.2021;04:00;05:00;55
03.01.2021;05:00;06:00;68
03.01.2021;06:00;07:00;72
03.01.2021;07:00;08:00;77
03.01.2021;08:00;09:00;80
03.01.2021;09:00;10:00;80
03.01.2021;10:00;11:00;80
03.01.2021;11:00;12:00;80
03.01.2021;12:00;13:00;80
03.01.2021;13:00;14:00;80
03.01.2021;14:00;15:00;80
03.01.2021;15:00;16:00;80
03.01.2021;16:00;17:00;79
03.01.2021;17:00;18:00;80
03.01.2021;18:00;19:00;80
03.01.2021;19:00;20:00;80
03.01.2021;20:00;21:00;80
03.01.2021;21:00;22:00;80
03.01.2021;22:00;23:00;74
03.01.2021;23:00;00:00;60
04.01.2021;00:00;01:00;46
04.01.2021;01:00;02:00;49
04.01.2021;02:00;03:00;73
04.01.2021;03:00;04:00;83
04.01.2021;04:00;05:00;111
04.01.2021;05:00;06:00;140
04.01.2021;06:00;07:00;154
04.01.2021;07:00;08:00;159
04.01.2021;08:00;09:00;161
04.01.2021;09:00;10:00;161
04.01.2021;10:00;11:00;161
04.01.2021;11:00;12:00;161
04.01.2021;12:00;13:00;161
04.01.2021;13:00;14:00;160
04.01.2021;14:00;15:00;160
04.01.2021;15:00;16:00;160
04.01.2021;16:00;17:00;161
04.01.2021;17:00;18:00;161
04.01.2021;18:00;19:00;161
04.01.2021;19:00;20:00;161
04.01.2021;20:00;21:00;157
04.01.2021;21:00;22:00;154
04.01.2021;22:00;23:00;153
04.01.2021;23:00;00:00;135
05.01.2021;00:00;01:00;96
05.01.2021;01:00;02:00;64
05.01.2021;02:00;03:00;59
05.01.2021;03:00;04:00;60
05.01.2021;04:00;05:00;74
05.01.2021;05:00;06:00;112
05.01.2021;06:00;07:00;144
05.01.2021;07:00;08:00;160
05.01.2021;08:00;09:00;160
05.01.2021;09:00;10:00;161
05.01.2021;10:00;11:00;162
05.01.2021;11:00;12:00;162
05.01.2021;12:00;13:00;161
05.01.2021;13:00;14:00;151
05.01.2021;14:00;15:00;154
05.01.2021;15:00;16:00;158
05.01.2021;16:00;17:00;160
05.01.2021;17:00;18:00;160
05.01.2021;18:00;19:00;160
05.01.2021;19:00;20:00;160
05.01.2021;20:00;21:00;156
05.01.2021;21:00;22:00;152
05.01.2021;22:00;23:00;132
05.01.2021;23:00;00:00;119
06.01.2021;00:00;01:00;119
06.01.2021;01:00;02:00;88
06.01.2021;02:00;03:00;61
06.01.2021;03:00;04:00;60
06.01.2021;04:00;05:00;61
06.01.2021;05:00;06:00;83
06.01.2021;06:00;07:00;122
06.01.2021;07:00;08:00;153
06.01.2021;08:00;09:00;159
06.01.2021;09:00;10:00;156
06.01.2021;10:00;11:00;152
06.01.2021;11:00;12:00;153
06.01.2021;12:00;13:00;153
06.01.2021;13:00;14:00;153
06.01.2021;14:00;15:00;154
06.01.2021;15:00;16:00;154
06.01.2021;16:00;17:00;154
06.01.2021;17:00;18:00;154
06.01.2021;18:00;19:00;154
06.01.2021;19:00;20:00;154
06.01.2021;20:00;21:00;154
06.01.2021;21:00;22:00;154
06.01.2021;22:00;23:00;154
06.01.2021;23:00;00:00;153
07.01.2021;00:00;01:00;153
07.01.2021;01:00;02:00;152
07.01.2021;02:00;03:00;152
07.01.2021;03:00;04:00;152
07.01.2021;04:00;05:00;153
07.01.2021;05:00;06:00;153
07.01.2021;06:00;07:00;157
07.01.2021;07:00;08:00;160
07.01.2021;08:00;09:00;160
07.01.2021;09:00;10:00;160
07.01.2021;10:00;11:00;160
07.01.2021;11:00;12:00;160
07.01.2021;12:00;13:00;160
07.01.2021;13:00;14:00;160
07.01.2021;14:00;15:00;160
07.01.2021;15:00;16:00;159
07.01.2021;16:00;17:00;160
07.01.2021;17:00;18:00;159
07.01.2021;18:00;19:00;159
07.01.2021;19:00;20:00;159
07.01.2021;20:00;21:00;155
07.01.2021;21:00;22:00;154
07.01.2021;22:00;23:00;154
07.01.2021;23:00;00:00;154
08.01.2021;00:00;01:00;152
08.01.2021;01:00;02:00;152
08.01.2021;02:00;03:00;152
08.01.2021;03:00;04:00;152
08.01.2021;04:00;05:00;153
08.01.2021;05:00;06:00;154
08.01.2021;06:00;07:00;154
08.01.2021;07:00;08:00;159
08.01.2021;08:00;09:00;160
08.01.2021;09:00;10:00;160
08.01.2021;10:00;11:00;160
08.01.2021;11:00;12:00;159
08.01.2021;12:00;13:00;159
08.01.2021;13:00;14:00;160
08.01.2021;14:00;15:00;160
08.01.2021;15:00;16:00;159
08.01.2021;16:00;17:00;160
08.01.2021;17:00;18:00;160
08.01.2021;18:00;19:00;160
08.01.2021;19:00;20:00;160
08.01.2021;20:00;21:00;156
08.01.2021;21:00;22:00;155
08.01.2021;22:00;23:00;155
08.01.2021;23:00;00:00;153
09.01.2021;00:00;01:00;153
09.01.2021;01:00;02:00;153
09.01.2021;02:00;03:00;153
09.01.2021;03:00;04:00;153
09.01.2021;04:00;05:00;153
09.01.2021;05:00;06:00;153
09.01.2021;06:00;07:00;154
09.01.2021;07:00;08:00;154
09.01.2021;08:00;09:00;155
09.01.2021;09:00;10:00;155
09.01.2021;10:00;11:00;155
09.01.2021;11:00;12:00;155
09.01.2021;12:00;13:00;155
09.01.2021;13:00;14:00;155
09.01.2021;14:00;15:00;155
09.01.2021;15:00;16:00;155
09.01.2021;16:00;17:00;155
09.01.2021;17:00;18:00;155
09.01.2021;18:00;19:00;156
09.01.2021;19:00;20:00;156
09.01.2021;20:00;21:00;156
09.01.2021;21:00;22:00;156
09.01.2021;22:00;23:00;149
09.01.2021;23:00;00:00;129
10.01.2021;00:00;01:00;120
10.01.2021;01:00;02:00;118
10.01.2021;02:00;03:00;118
10.01.2021;03:00;04:00;119
10.01.2021;04:00;05:00;119
10.01.2021;05:00;06:00;119
10.01.2021;06:00;07:00;122
10.01.2021;07:00;08:00;140
10.01.2021;08:00;09:00;150
10.01.2021;09:00;10:00;154
10.01.2021;10:00;11:00;154
10.01.2021;11:00;12:00;153
10.01.2021;12:00;13:00;153
10.01.2021;13:00;14:00;153
10.01.2021;14:00;15:00;153
10.01.2021;15:00;16:00;154
10.01.2021;16:00;17:00;154
10.01.2021;17:00;18:00;154
10.01.2021;18:00;19:00;154
10.01.2021;19:00;20:00;154
10.01.2021;20:00;21:00;154
10.01.2021;21:00;22:00;154
10.01.2021;22:00;23:00;154
10.01.2021;23:00;00:00;146
11.01.2021;00:00;01:00;127
11.01.2021;01:00;02:00;111
11.01.2021;02:00;03:00;109
11.01.2021;03:00;04:00;109
11.01.2021;04:00;05:00;112
11.01.2021;05:00;06:00;130
11.01.2021;06:00;07:00;149
11.01.2021;07:00;08:00;155
11.01.2021;08:00;09:00;157
11.01.2021;09:00;10:00;161
11.01.2021;10:00;11:00;161
11.01.2021;11:00;12:00;160
11.01.2021;12:00;13:00;160
11.01.2021;13:00;14:00;159
11.01.2021;14:00;15:00;159
11.01.2021;15:00;16:00;157
11.01.2021;16:00;17:00;153
11.01.2021;17:00;18:00;153
11.01.2021;18:00;19:00;153
11.01.2021;19:00;20:00;153
11.01.2021;20:00;21:00;153
11.01.2021;21:00;22:00;137
11.01.2021;22:00;23:00;116
11.01.2021;23:00;00:00;90
12.01.2021;00:00;01:00;60
12.01.2021;01:00;02:00;41
12.01.2021;02:00;03:00;33
12.01.2021;03:00;04:00;33
12.01.2021;04:00;05:00;40
12.01.2021;05:00;06:00;59
12.01.2021;06:00;07:00;73
12.01.2021;07:00;08:00;76
12.01.2021;08:00;09:00;78
12.01.2021;09:00;10:00;79
12.01.2021;10:00;11:00;78
12.01.2021;11:00;12:00;78
12.01.2021;12:00;13:00;78
12.01.2021;13:00;14:00;75
12.01.2021;14:00;15:00;75
12.01.2021;15:00;16:00;77
12.01.2021;16:00;17:00;77
12.01.2021;17:00;18:00;77
12.01.2021;18:00;19:00;78
12.01.2021;19:00;20:00;78
12.01.2021;20:00;21:00;79
12.01.2021;21:00;22:00;78
12.01.2021;22:00;23:00;65
12.01.2021;23:00;00:00;46
13.01.2021;00:00;01:00;35
13.01.2021;01:00;02:00;34
13.01.2021;02:00;03:00;34
13.01.2021;03:00;04:00;35
13.01.2021;04:00;05:00;42
13.01.2021;05:00;06:00;59
13.01.2021;06:00;07:00;73
13.01.2021;07:00;08:00;79
13.01.2021;08:00;09:00;79
13.01.2021;09:00;10:00;80
13.01.2021;10:00;11:00;79
