Datum;Anfang;Ende;Generation_DE SWM HKW Sued GuD1 DT1 [MW] Originalauflösungen;Generation_DE SWM HKW Sued GuD1 GT3 [MW] Originalauflösungen;Generation_DE SWM HKW Sued GuD1 GT2 [MW] Originalauflösungen
01.01.2019;00:00;01:00;-;0;0
01.01.2019;01:00;02:00;-;0;0
01.01.2019;02:00;03:00;-;0;0
01.01.2019;03:00;04:00;-;0;0
01.01.2019;04:00;05:00;-;0;0
01.01.2019;05:00;06:00;-;0;0
01.01.2019;06:00;07:00;-;0;0
01.01.2019;07:00;08:00;-;0;0
01.01.2019;08:00;09:00;-;0;0
01.01.2019;09:00;10:00;-;0;0
01.01.2019;10:00;11:00;-;0;0
01.01.2019;11:00;12:00;-;0;0
01.01.2019;12:00;13:00;-;0;0
01.01.2019;13:00;14:00;-;0;0
01.01.2019;14:00;15:00;-;0;0
01.01.2019;15:00;16:00;-;0;0
01.01.2019;16:00;17:00;-;0;0
01.01.2019;17:00;18:00;-;0;0
01.01.2019;18:00;19:00;-;0;0
01.01.2019;19:00;20:00;-;0;0
01.01.2019;20:00;21:00;-;0;0
01.01.2019;21:00;22:00;-;0;0
01.01.2019;22:00;23:00;-;0;0
01.01.2019;23:00;00:00;-;0;0
02.01.2019;00:00;01:00;-;0;0
02.01.2019;01:00;02:00;-;0;0
02.01.2019;02:00;03:00;-;0;0
02.01.2019;03:00;04:00;-;0;0
02.01.2019;04:00;05:00;-;0;0
02.01.2019;05:00;06:00;-;0;0
02.01.2019;06:00;07:00;-;0;0
02.01.2019;07:00;08:00;-;0;0
02.01.2019;08:00;09:00;-;0;0
02.01.2019;09:00;10:00;-;0;0
02.01.2019;10:00;11:00;-;0;0
02.01.2019;11:00;12:00;-;0;0
02.01.2019;12:00;13:00;-;0;0
02.01.2019;13:00;14:00;-;0;0
02.01.2019;14:00;15:00;-;0;0
02.01.2019;15:00;16:00;-;0;0
02.01.2019;16:00;17:00;-;0;0
02.01.2019;17:00;18:00;-;0;0
02.01.2019;18:00;19:00;-;0;0
02.01.2019;19:00;20:00;-;0;0
02.01.2019;20:00;21:00;-;0;0
02.01.2019;21:00;22:00;-;0;0
02.01.2019;22:00;23:00;-;0;0
02.01.2019;23:00;00:00;-;0;0
03.01.2019;00:00;01:00;-;0;0
03.01.2019;01:00;02:00;-;0;0
03.01.2019;02:00;03:00;-;0;0
03.01.2019;03:00;04:00;-;0;0
03.01.2019;04:00;05:00;-;0;0
03.01.2019;05:00;06:00;-;0;71
03.01.2019;06:00;07:00;-;0;80
03.01.2019;07:00;08:00;-;0;94
03.01.2019;08:00;09:00;-;0;94
03.01.2019;09:00;10:00;-;0;94
03.01.2019;10:00;11:00;-;34;63
03.01.2019;11:00;12:00;-;97;0
03.01.2019;12:00;13:00;-;97;0
03.01.2019;13:00;14:00;-;97;0
03.01.2019;14:00;15:00;-;87;0
03.01.2019;15:00;16:00;-;94;0
03.01.2019;16:00;17:00;-;94;0
03.01.2019;17:00;18:00;-;94;0
03.01.2019;18:00;19:00;-;94;0
03.01.2019;19:00;20:00;-;94;0
03.01.2019;20:00;21:00;-;76;0
03.01.2019;21:00;22:00;-;72;0
03.01.2019;22:00;23:00;-;14;0
03.01.2019;23:00;00:00;-;0;0
04.01.2019;00:00;01:00;-;0;0
04.01.2019;01:00;02:00;-;0;0
04.01.2019;02:00;03:00;-;0;0
04.01.2019;03:00;04:00;-;0;0
04.01.2019;04:00;05:00;-;3;0
04.01.2019;05:00;06:00;-;69;0
04.01.2019;06:00;07:00;-;69;72
04.01.2019;07:00;08:00;-;75;90
04.01.2019;08:00;09:00;-;80;90
04.01.2019;09:00;10:00;-;83;90
04.01.2019;10:00;11:00;-;82;90
04.01.2019;11:00;12:00;-;80;85
04.01.2019;12:00;13:00;-;70;84
04.01.2019;13:00;14:00;-;78;88
04.01.2019;14:00;15:00;-;85;90
04.01.2019;15:00;16:00;-;89;90
04.01.2019;16:00;17:00;-;89;90
04.01.2019;17:00;18:00;-;90;90
04.01.2019;18:00;19:00;-;77;90
04.01.2019;19:00;20:00;-;0;90
04.01.2019;20:00;21:00;-;0;22
04.01.2019;21:00;22:00;-;0;0
04.01.2019;22:00;23:00;-;0;0
04.01.2019;23:00;00:00;-;0;0
05.01.2019;00:00;01:00;-;0;0
05.01.2019;01:00;02:00;-;0;0
05.01.2019;02:00;03:00;-;0;0
05.01.2019;03:00;04:00;-;0;0
05.01.2019;04:00;05:00;-;0;0
05.01.2019;05:00;06:00;-;0;0
05.01.2019;06:00;07:00;-;0;0
05.01.2019;07:00;08:00;-;0;0
05.01.2019;08:00;09:00;-;0;0
05.01.2019;09:00;10:00;-;0;0
05.01.2019;10:00;11:00;-;0;0
05.01.2019;11:00;12:00;-;0;0
05.01.2019;12:00;13:00;-;0;0
05.01.2019;13:00;14:00;-;0;0
05.01.2019;14:00;15:00;-;0;0
05.01.2019;15:00;16:00;-;0;0
05.01.2019;16:00;17:00;-;0;0
05.01.2019;17:00;18:00;-;0;0
05.01.2019;18:00;19:00;-;0;0
05.01.2019;19:00;20:00;-;0;0
05.01.2019;20:00;21:00;-;0;0
05.01.2019;21:00;22:00;-;0;0
05.01.2019;22:00;23:00;-;0;0
05.01.2019;23:00;00:00;-;0;0
06.01.2019;00:00;01:00;-;0;0
06.01.2019;01:00;02:00;-;0;0
06.01.2019;02:00;03:00;-;0;0
06.01.2019;03:00;04:00;-;0;0
06.01.2019;04:00;05:00;-;0;0
06.01.2019;05:00;06:00;-;0;0
06.01.2019;06:00;07:00;-;0;0
06.01.2019;07:00;08:00;-;0;0
06.01.2019;08:00;09:00;-;0;0
06.01.2019;09:00;10:00;-;0;0
06.01.2019;10:00;11:00;-;0;0
06.01.2019;11:00;12:00;-;0;0
06.01.2019;12:00;13:00;-;0;0
06.01.2019;13:00;14:00;-;0;0
06.01.2019;14:00;15:00;-;0;0
06.01.2019;15:00;16:00;-;0;0
06.01.2019;16:00;17:00;-;55;0
06.01.2019;17:00;18:00;-;69;0
06.01.2019;18:00;19:00;-;70;0
06.01.2019;19:00;20:00;-;70;0
06.01.2019;20:00;21:00;-;36;0
06.01.2019;21:00;22:00;-;0;0
06.01.2019;22:00;23:00;-;0;0
06.01.2019;23:00;00:00;-;0;0
07.01.2019;00:00;01:00;-;0;0
