Date;Start;End;Generation_DE SWM HKW Sued GuD2 GT61 [MW] Original resolutions;Generation_DE SWM HKW Sued GuD2 GT62 [MW] Original resolutions;Generation_DE SWM HKW Sued GuD2 DT60 [MW] Original resolutions
01.01.2016;00:00;01:00;75;74;65
01.01.2016;01:00;02:00;74;74;65
01.01.2016;02:00;03:00;75;75;66
01.01.2016;03:00;04:00;71;71;65
01.01.2016;04:00;05:00;69;69;66
01.01.2016;05:00;06:00;70;69;68
01.01.2016;06:00;07:00;71;70;68
01.01.2016;07:00;08:00;71;71;67
01.01.2016;08:00;09:00;69;69;65
01.01.2016;09:00;10:00;68;68;62
01.01.2016;10:00;11:00;72;72;64
01.01.2016;11:00;12:00;68;68;65
01.01.2016;12:00;13:00;72;72;65
01.01.2016;13:00;14:00;76;76;64
01.01.2016;14:00;15:00;77;77;66
01.01.2016;15:00;16:00;78;78;66
01.01.2016;16:00;17:00;80;79;66
01.01.2016;17:00;18:00;98;98;70
01.01.2016;18:00;19:00;98;97;69
01.01.2016;19:00;20:00;98;98;71
01.01.2016;20:00;21:00;74;74;64
01.01.2016;21:00;22:00;73;73;64
01.01.2016;22:00;23:00;74;73;63
01.01.2016;23:00;00:00;71;71;64
02.01.2016;00:00;01:00;68;67;62
02.01.2016;01:00;02:00;69;65;53
02.01.2016;02:00;03:00;69;64;55
02.01.2016;03:00;04:00;69;66;44
02.01.2016;04:00;05:00;73;71;61
02.01.2016;05:00;06:00;75;72;62
02.01.2016;06:00;07:00;74;70;63
02.01.2016;07:00;08:00;89;88;67
02.01.2016;08:00;09:00;97;96;68
02.01.2016;09:00;10:00;99;98;68
02.01.2016;10:00;11:00;99;99;69
02.01.2016;11:00;12:00;100;99;69
02.01.2016;12:00;13:00;101;101;70
02.01.2016;13:00;14:00;100;100;70
02.01.2016;14:00;15:00;101;100;70
02.01.2016;15:00;16:00;102;102;70
02.01.2016;16:00;17:00;103;102;72
02.01.2016;17:00;18:00;102;102;73
02.01.2016;18:00;19:00;104;104;71
02.01.2016;19:00;20:00;100;100;67
02.01.2016;20:00;21:00;85;86;64
02.01.2016;21:00;22:00;80;80;63
02.01.2016;22:00;23:00;84;84;64
02.01.2016;23:00;00:00;75;73;62
