Datum;Anfang;Ende;Generation_DE SWM HKW Sued GuD2 GT61 [MW] Originalauflösungen;Generation_DE SWM HKW Sued GuD2 GT62 [MW] Originalauflösungen;Generation_DE SWM HKW Sued GuD2 DT60 [MW] Originalauflösungen
01.01.2018;00:00;01:00;66;0;0
01.01.2018;01:00;02:00;72;0;0
01.01.2018;02:00;03:00;71;0;0
01.01.2018;03:00;04:00;65;0;0
01.01.2018;04:00;05:00;64;0;0
01.01.2018;05:00;06:00;67;0;0
01.01.2018;06:00;07:00;64;0;0
01.01.2018;07:00;08:00;62;0;0
01.01.2018;08:00;09:00;60;0;0
01.01.2018;09:00;10:00;63;0;0
01.01.2018;10:00;11:00;62;0;0
01.01.2018;11:00;12:00;62;0;0
01.01.2018;12:00;13:00;70;0;0
01.01.2018;13:00;14:00;76;0;0
01.01.2018;14:00;15:00;76;0;0
01.01.2018;15:00;16:00;79;0;0
01.01.2018;16:00;17:00;87;0;0
01.01.2018;17:00;18:00;107;0;0
01.01.2018;18:00;19:00;108;0;0
01.01.2018;19:00;20:00;107;0;0
01.01.2018;20:00;21:00;103;0;0
01.01.2018;21:00;22:00;102;0;0
01.01.2018;22:00;23:00;102;0;0
01.01.2018;23:00;00:00;73;0;0
02.01.2018;00:00;01:00;63;0;1
02.01.2018;01:00;02:00;63;0;7
02.01.2018;02:00;03:00;63;0;14
02.01.2018;03:00;04:00;66;0;22
02.01.2018;04:00;05:00;67;0;23
02.01.2018;05:00;06:00;94;0;30
02.01.2018;06:00;07:00;97;0;34
02.01.2018;07:00;08:00;102;0;35
02.01.2018;08:00;09:00;103;24;41
02.01.2018;09:00;10:00;104;108;83
02.01.2018;10:00;11:00;102;116;87
02.01.2018;11:00;12:00;104;112;86
02.01.2018;12:00;13:00;106;109;83
02.01.2018;13:00;14:00;102;110;83
02.01.2018;14:00;15:00;102;116;92
02.01.2018;15:00;16:00;105;116;94
02.01.2018;16:00;17:00;112;115;108
02.01.2018;17:00;18:00;112;116;111
02.01.2018;18:00;19:00;112;113;106
02.01.2018;19:00;20:00;113;110;89
02.01.2018;20:00;21:00;95;95;63
02.01.2018;21:00;22:00;71;68;55
02.01.2018;22:00;23:00;67;42;42
02.01.2018;23:00;00:00;70;0;21
03.01.2018;00:00;01:00;79;0;20
03.01.2018;01:00;02:00;72;0;18
03.01.2018;02:00;03:00;71;0;19
03.01.2018;03:00;04:00;74;0;19
03.01.2018;04:00;05:00;71;0;23
03.01.2018;05:00;06:00;88;0;25
03.01.2018;06:00;07:00;77;20;30
03.01.2018;07:00;08:00;66;62;61
03.01.2018;08:00;09:00;64;65;61
03.01.2018;09:00;10:00;92;94;70
03.01.2018;10:00;11:00;81;83;73
03.01.2018;11:00;12:00;92;94;79
03.01.2018;12:00;13:00;88;89;77
03.01.2018;13:00;14:00;93;95;77
