Datum;Anfang;Ende;Generation_DE Gas-und-Dampfturbinen [MW] Originalauflösungen;Generation_DE Niehl 3 [MW] Originalauflösungen
01.01.2019;00:00;01:00;0;167
01.01.2019;01:00;02:00;0;101
01.01.2019;02:00;03:00;0;100
01.01.2019;03:00;04:00;0;100
01.01.2019;04:00;05:00;0;100
01.01.2019;05:00;06:00;0;100
01.01.2019;06:00;07:00;0;103
01.01.2019;07:00;08:00;0;169
01.01.2019;08:00;09:00;0;169
01.01.2019;09:00;10:00;0;169
01.01.2019;10:00;11:00;0;173
01.01.2019;11:00;12:00;0;248
01.01.2019;12:00;13:00;0;239
01.01.2019;13:00;14:00;0;169
01.01.2019;14:00;15:00;0;169
01.01.2019;15:00;16:00;0;173
01.01.2019;16:00;17:00;0;223
01.01.2019;17:00;18:00;0;228
01.01.2019;18:00;19:00;0;169
01.01.2019;19:00;20:00;0;169
01.01.2019;20:00;21:00;0;169
01.01.2019;21:00;22:00;0;169
01.01.2019;22:00;23:00;0;169
01.01.2019;23:00;00:00;0;169
02.01.2019;00:00;01:00;128;71
02.01.2019;01:00;02:00;124;74
02.01.2019;02:00;03:00;123;76
02.01.2019;03:00;04:00;105;75
02.01.2019;04:00;05:00;0;72
02.01.2019;05:00;06:00;0;77
02.01.2019;06:00;07:00;0;240
02.01.2019;07:00;08:00;0;271
02.01.2019;08:00;09:00;0;273
02.01.2019;09:00;10:00;0;302
02.01.2019;10:00;11:00;0;248
02.01.2019;11:00;12:00;0;284
02.01.2019;12:00;13:00;0;267
02.01.2019;13:00;14:00;0;269
02.01.2019;14:00;15:00;0;272
02.01.2019;15:00;16:00;0;269
02.01.2019;16:00;17:00;0;269
02.01.2019;17:00;18:00;0;269
02.01.2019;18:00;19:00;0;310
02.01.2019;19:00;20:00;0;313
02.01.2019;20:00;21:00;31;318
02.01.2019;21:00;22:00;64;324
02.01.2019;22:00;23:00;64;325
02.01.2019;23:00;00:00;64;197
03.01.2019;00:00;01:00;235;259
03.01.2019;01:00;02:00;266;258
03.01.2019;02:00;03:00;217;246
03.01.2019;03:00;04:00;243;248
03.01.2019;04:00;05:00;218;243
03.01.2019;05:00;06:00;249;252
03.01.2019;06:00;07:00;272;317
03.01.2019;07:00;08:00;267;248
03.01.2019;08:00;09:00;273;274
03.01.2019;09:00;10:00;272;277
03.01.2019;10:00;11:00;272;278
03.01.2019;11:00;12:00;272;278
03.01.2019;12:00;13:00;272;280
03.01.2019;13:00;14:00;271;280
03.01.2019;14:00;15:00;271;283
03.01.2019;15:00;16:00;271;281
03.01.2019;16:00;17:00;271;319
03.01.2019;17:00;18:00;271;334
03.01.2019;18:00;19:00;272;333
03.01.2019;19:00;20:00;272;285
03.01.2019;20:00;21:00;272;291
03.01.2019;21:00;22:00;272;301
03.01.2019;22:00;23:00;243;300
03.01.2019;23:00;00:00;122;302
04.01.2019;00:00;01:00;118;433
04.01.2019;01:00;02:00;81;430
04.01.2019;02:00;03:00;0;367
04.01.2019;03:00;04:00;0;367
04.01.2019;04:00;05:00;0;369
04.01.2019;05:00;06:00;0;422
04.01.2019;06:00;07:00;0;420
04.01.2019;07:00;08:00;0;418
04.01.2019;08:00;09:00;0;416
04.01.2019;09:00;10:00;0;414
04.01.2019;10:00;11:00;0;412
04.01.2019;11:00;12:00;0;407
04.01.2019;12:00;13:00;0;408
04.01.2019;13:00;14:00;0;398
04.01.2019;14:00;15:00;0;417
04.01.2019;15:00;16:00;0;418
04.01.2019;16:00;17:00;0;413
04.01.2019;17:00;18:00;0;407
04.01.2019;18:00;19:00;0;387
04.01.2019;19:00;20:00;0;352
04.01.2019;20:00;21:00;0;352
04.01.2019;21:00;22:00;0;346
04.01.2019;22:00;23:00;0;347
04.01.2019;23:00;00:00;0;315
05.01.2019;00:00;01:00;0;280
05.01.2019;01:00;02:00;0;276
05.01.2019;02:00;03:00;0;275
05.01.2019;03:00;04:00;0;273
05.01.2019;04:00;05:00;0;287
05.01.2019;05:00;06:00;0;315
05.01.2019;06:00;07:00;0;345
05.01.2019;07:00;08:00;0;355
05.01.2019;08:00;09:00;0;362
05.01.2019;09:00;10:00;0;362
05.01.2019;10:00;11:00;0;363
05.01.2019;11:00;12:00;0;409
05.01.2019;12:00;13:00;0;410
05.01.2019;13:00;14:00;0;369
05.01.2019;14:00;15:00;0;381
05.01.2019;15:00;16:00;0;413
05.01.2019;16:00;17:00;0;414
05.01.2019;17:00;18:00;0;412
05.01.2019;18:00;19:00;0;362
05.01.2019;19:00;20:00;0;402
05.01.2019;20:00;21:00;0;409
05.01.2019;21:00;22:00;0;302
05.01.2019;22:00;23:00;0;327
05.01.2019;23:00;00:00;0;302
06.01.2019;00:00;01:00;0;211
06.01.2019;01:00;02:00;0;145
06.01.2019;02:00;03:00;0;194
06.01.2019;03:00;04:00;0;147
06.01.2019;04:00;05:00;0;162
06.01.2019;05:00;06:00;0;211
06.01.2019;06:00;07:00;0;222
06.01.2019;07:00;08:00;0;244
06.01.2019;08:00;09:00;0;307
06.01.2019;09:00;10:00;0;312
06.01.2019;10:00;11:00;0;309
06.01.2019;11:00;12:00;0;309
06.01.2019;12:00;13:00;0;310
06.01.2019;13:00;14:00;0;314
06.01.2019;14:00;15:00;0;258
06.01.2019;15:00;16:00;0;320
06.01.2019;16:00;17:00;0;318
06.01.2019;17:00;18:00;0;315
06.01.2019;18:00;19:00;0;315
06.01.2019;19:00;20:00;0;318
06.01.2019;20:00;21:00;0;326
06.01.2019;21:00;22:00;0;327
06.01.2019;22:00;23:00;0;328
06.01.2019;23:00;00:00;0;256
07.01.2019;00:00;01:00;0;422
07.01.2019;01:00;02:00;0;301
07.01.2019;02:00;03:00;0;285
07.01.2019;03:00;04:00;0;294
07.01.2019;04:00;05:00;0;362
07.01.2019;05:00;06:00;0;348
07.01.2019;06:00;07:00;0;386
07.01.2019;07:00;08:00;0;409
07.01.2019;08:00;09:00;0;414
07.01.2019;09:00;10:00;0;416
07.01.2019;10:00;11:00;0;416
07.01.2019;11:00;12:00;0;416
07.01.2019;12:00;13:00;0;413
07.01.2019;13:00;14:00;0;410
07.01.2019;14:00;15:00;0;410
07.01.2019;15:00;16:00;0;411
07.01.2019;16:00;17:00;0;411
07.01.2019;17:00;18:00;0;411
07.01.2019;18:00;19:00;0;412
07.01.2019;19:00;20:00;0;411
07.01.2019;20:00;21:00;0;359
07.01.2019;21:00;22:00;0;326
07.01.2019;22:00;23:00;0;299
07.01.2019;23:00;00:00;0;274
08.01.2019;00:00;01:00;0;236
08.01.2019;01:00;02:00;0;232
08.01.2019;02:00;03:00;0;232
08.01.2019;03:00;04:00;0;236
08.01.2019;04:00;05:00;0;256
08.01.2019;05:00;06:00;0;296
08.01.2019;06:00;07:00;0;401
08.01.2019;07:00;08:00;0;398
08.01.2019;08:00;09:00;0;397
08.01.2019;09:00;10:00;0;367
08.01.2019;10:00;11:00;0;360
08.01.2019;11:00;12:00;0;352
08.01.2019;12:00;13:00;0;349
08.01.2019;13:00;14:00;0;349
08.01.2019;14:00;15:00;0;373
08.01.2019;15:00;16:00;0;376
08.01.2019;16:00;17:00;0;340
08.01.2019;17:00;18:00;0;347
