Datum;Anfang;Ende;Generation_DE Gas-und-Dampfturbinen-Anlage [MW] Originalauflösungen;Generation_DE HKW-Römerbrücke Dampfturbinenanlage DT2 [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;0
01.01.2023;01:00;02:00;-;0
01.01.2023;02:00;03:00;-;0
01.01.2023;03:00;04:00;-;0
01.01.2023;04:00;05:00;-;0
01.01.2023;05:00;06:00;-;0
01.01.2023;06:00;07:00;-;0
01.01.2023;07:00;08:00;-;0
01.01.2023;08:00;09:00;-;0
01.01.2023;09:00;10:00;-;0
01.01.2023;10:00;11:00;-;0
01.01.2023;11:00;12:00;-;0
01.01.2023;12:00;13:00;-;0
01.01.2023;13:00;14:00;-;0
01.01.2023;14:00;15:00;-;0
01.01.2023;15:00;16:00;-;0
01.01.2023;16:00;17:00;-;0
01.01.2023;17:00;18:00;-;0
01.01.2023;18:00;19:00;-;0
01.01.2023;19:00;20:00;-;0
01.01.2023;20:00;21:00;-;0
01.01.2023;21:00;22:00;-;0
01.01.2023;22:00;23:00;-;0
01.01.2023;23:00;00:00;-;0
02.01.2023;00:00;01:00;-;0
02.01.2023;01:00;02:00;-;0
02.01.2023;02:00;03:00;-;0
02.01.2023;03:00;04:00;-;0
02.01.2023;04:00;05:00;-;0
02.01.2023;05:00;06:00;-;0
02.01.2023;06:00;07:00;-;0
02.01.2023;07:00;08:00;-;0
02.01.2023;08:00;09:00;-;0
02.01.2023;09:00;10:00;-;1
02.01.2023;10:00;11:00;-;5
02.01.2023;11:00;12:00;-;6
02.01.2023;12:00;13:00;-;8
02.01.2023;13:00;14:00;-;50
02.01.2023;14:00;15:00;-;50
02.01.2023;15:00;16:00;-;50
02.01.2023;16:00;17:00;-;50
02.01.2023;17:00;18:00;-;49
02.01.2023;18:00;19:00;-;49
02.01.2023;19:00;20:00;-;50
02.01.2023;20:00;21:00;-;52
02.01.2023;21:00;22:00;-;51
02.01.2023;22:00;23:00;-;51
02.01.2023;23:00;00:00;-;51
03.01.2023;00:00;01:00;-;50
03.01.2023;01:00;02:00;-;50
03.01.2023;02:00;03:00;-;50
03.01.2023;03:00;04:00;-;50
03.01.2023;04:00;05:00;-;50
03.01.2023;05:00;06:00;-;49
03.01.2023;06:00;07:00;-;51
03.01.2023;07:00;08:00;-;51
03.01.2023;08:00;09:00;-;51
03.01.2023;09:00;10:00;-;52
03.01.2023;10:00;11:00;-;52
03.01.2023;11:00;12:00;-;51
03.01.2023;12:00;13:00;-;51
03.01.2023;13:00;14:00;-;50
03.01.2023;14:00;15:00;-;50
03.01.2023;15:00;16:00;-;50
03.01.2023;16:00;17:00;-;52
03.01.2023;17:00;18:00;-;52
03.01.2023;18:00;19:00;-;52
03.01.2023;19:00;20:00;-;52
03.01.2023;20:00;21:00;-;12
03.01.2023;21:00;22:00;-;12
03.01.2023;22:00;23:00;-;11
03.01.2023;23:00;00:00;-;11
04.01.2023;00:00;01:00;-;9
04.01.2023;01:00;02:00;-;6
04.01.2023;02:00;03:00;-;6
04.01.2023;03:00;04:00;-;5
04.01.2023;04:00;05:00;-;5
04.01.2023;05:00;06:00;-;5
04.01.2023;06:00;07:00;-;5
04.01.2023;07:00;08:00;-;5
04.01.2023;08:00;09:00;-;5
04.01.2023;09:00;10:00;-;5
04.01.2023;10:00;11:00;-;5
04.01.2023;11:00;12:00;-;5
04.01.2023;12:00;13:00;-;5
04.01.2023;13:00;14:00;-;5
04.01.2023;14:00;15:00;-;4
04.01.2023;15:00;16:00;-;5
04.01.2023;16:00;17:00;-;5
04.01.2023;17:00;18:00;-;4
04.01.2023;18:00;19:00;-;5
04.01.2023;19:00;20:00;-;5
04.01.2023;20:00;21:00;-;5
04.01.2023;21:00;22:00;-;5
04.01.2023;22:00;23:00;-;5
04.01.2023;23:00;00:00;-;6
05.01.2023;00:00;01:00;-;5
05.01.2023;01:00;02:00;-;5
05.01.2023;02:00;03:00;-;5
05.01.2023;03:00;04:00;-;5
05.01.2023;04:00;05:00;-;5
05.01.2023;05:00;06:00;-;5
05.01.2023;06:00;07:00;-;6
05.01.2023;07:00;08:00;-;5
05.01.2023;08:00;09:00;-;5
05.01.2023;09:00;10:00;-;5
05.01.2023;10:00;11:00;-;46
05.01.2023;11:00;12:00;-;46
05.01.2023;12:00;13:00;-;45
05.01.2023;13:00;14:00;-;48
05.01.2023;14:00;15:00;-;48
05.01.2023;15:00;16:00;-;50
05.01.2023;16:00;17:00;-;50
05.01.2023;17:00;18:00;-;52
05.01.2023;18:00;19:00;-;52
05.01.2023;19:00;20:00;-;52
05.01.2023;20:00;21:00;-;51
05.01.2023;21:00;22:00;-;51
05.01.2023;22:00;23:00;-;50
05.01.2023;23:00;00:00;-;47
06.01.2023;00:00;01:00;-;7
06.01.2023;01:00;02:00;-;5
06.01.2023;02:00;03:00;-;5
06.01.2023;03:00;04:00;-;5
06.01.2023;04:00;05:00;-;5
06.01.2023;05:00;06:00;-;5
06.01.2023;06:00;07:00;-;5
06.01.2023;07:00;08:00;-;5
06.01.2023;08:00;09:00;-;5
06.01.2023;09:00;10:00;-;5
06.01.2023;10:00;11:00;-;4
06.01.2023;11:00;12:00;-;0
06.01.2023;12:00;13:00;-;0
06.01.2023;13:00;14:00;-;0
06.01.2023;14:00;15:00;-;0
06.01.2023;15:00;16:00;-;0
06.01.2023;16:00;17:00;-;0
06.01.2023;17:00;18:00;-;0
06.01.2023;18:00;19:00;-;0
06.01.2023;19:00;20:00;-;0
06.01.2023;20:00;21:00;-;0
06.01.2023;21:00;22:00;-;0
06.01.2023;22:00;23:00;-;0
06.01.2023;23:00;00:00;-;0
07.01.2023;00:00;01:00;-;0
07.01.2023;01:00;02:00;-;0
07.01.2023;02:00;03:00;-;0
07.01.2023;03:00;04:00;-;0
07.01.2023;04:00;05:00;-;0
07.01.2023;05:00;06:00;-;0
07.01.2023;06:00;07:00;-;0
07.01.2023;07:00;08:00;-;0
07.01.2023;08:00;09:00;-;0
07.01.2023;09:00;10:00;-;0
07.01.2023;10:00;11:00;-;0
07.01.2023;11:00;12:00;-;0
07.01.2023;12:00;13:00;-;0
07.01.2023;13:00;14:00;-;0
07.01.2023;14:00;15:00;-;0
07.01.2023;15:00;16:00;-;0
07.01.2023;16:00;17:00;-;0
07.01.2023;17:00;18:00;-;0
07.01.2023;18:00;19:00;-;0
07.01.2023;19:00;20:00;-;0
07.01.2023;20:00;21:00;-;0
07.01.2023;21:00;22:00;-;0
07.01.2023;22:00;23:00;-;0
07.01.2023;23:00;00:00;-;0
08.01.2023;00:00;01:00;-;0
08.01.2023;01:00;02:00;-;0
08.01.2023;02:00;03:00;-;0
08.01.2023;03:00;04:00;-;0
08.01.2023;04:00;05:00;-;0
08.01.2023;05:00;06:00;-;0
08.01.2023;06:00;07:00;-;0
08.01.2023;07:00;08:00;-;0
08.01.2023;08:00;09:00;-;0
08.01.2023;09:00;10:00;-;0
08.01.2023;10:00;11:00;-;0
08.01.2023;11:00;12:00;-;0
08.01.2023;12:00;13:00;-;0
08.01.2023;13:00;14:00;-;0
08.01.2023;14:00;15:00;-;0
08.01.2023;15:00;16:00;-;0
08.01.2023;16:00;17:00;-;0
08.01.2023;17:00;18:00;-;0
08.01.2023;18:00;19:00;-;0
08.01.2023;19:00;20:00;-;0
08.01.2023;20:00;21:00;-;0
08.01.2023;21:00;22:00;-;0
08.01.2023;22:00;23:00;-;0
08.01.2023;23:00;00:00;-;0
09.01.2023;00:00;01:00;-;0
09.01.2023;01:00;02:00;-;0
09.01.2023;02:00;03:00;-;0
09.01.2023;03:00;04:00;-;0
09.01.2023;04:00;05:00;-;0
09.01.2023;05:00;06:00;-;0
09.01.2023;06:00;07:00;-;0
09.01.2023;07:00;08:00;-;0
09.01.2023;08:00;09:00;-;0
09.01.2023;09:00;10:00;-;0
09.01.2023;10:00;11:00;-;0
09.01.2023;11:00;12:00;-;0
09.01.2023;12:00;13:00;-;0
