Datum;Anfang;Ende;Generation_DE Heizkraftwerk West Block 1 [MW] Originalauflösungen;Generation_DE Heizkraftwerk West Block 2 [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;63
01.01.2023;01:00;02:00;0;63
01.01.2023;02:00;03:00;0;63
01.01.2023;03:00;04:00;0;63
01.01.2023;04:00;05:00;0;63
01.01.2023;05:00;06:00;0;61
01.01.2023;06:00;07:00;0;64
01.01.2023;07:00;08:00;0;64
01.01.2023;08:00;09:00;0;62
01.01.2023;09:00;10:00;0;63
01.01.2023;10:00;11:00;0;63
01.01.2023;11:00;12:00;0;63
01.01.2023;12:00;13:00;0;63
01.01.2023;13:00;14:00;0;62
01.01.2023;14:00;15:00;0;63
01.01.2023;15:00;16:00;0;64
01.01.2023;16:00;17:00;0;63
01.01.2023;17:00;18:00;0;62
01.01.2023;18:00;19:00;0;63
01.01.2023;19:00;20:00;0;68
01.01.2023;20:00;21:00;0;62
01.01.2023;21:00;22:00;0;56
01.01.2023;22:00;23:00;0;56
01.01.2023;23:00;00:00;0;60
02.01.2023;00:00;01:00;0;61
02.01.2023;01:00;02:00;6;61
02.01.2023;02:00;03:00;44;63
02.01.2023;03:00;04:00;67;61
02.01.2023;04:00;05:00;46;58
02.01.2023;05:00;06:00;59;58
02.01.2023;06:00;07:00;64;58
02.01.2023;07:00;08:00;64;54
02.01.2023;08:00;09:00;61;39
02.01.2023;09:00;10:00;59;40
02.01.2023;10:00;11:00;60;41
02.01.2023;11:00;12:00;60;42
02.01.2023;12:00;13:00;60;42
02.01.2023;13:00;14:00;60;42
02.01.2023;14:00;15:00;60;42
02.01.2023;15:00;16:00;60;42
02.01.2023;16:00;17:00;60;41
02.01.2023;17:00;18:00;59;42
02.01.2023;18:00;19:00;60;42
02.01.2023;19:00;20:00;59;42
02.01.2023;20:00;21:00;59;42
02.01.2023;21:00;22:00;59;42
02.01.2023;22:00;23:00;60;42
02.01.2023;23:00;00:00;59;42
03.01.2023;00:00;01:00;59;41
03.01.2023;01:00;02:00;58;42
03.01.2023;02:00;03:00;59;42
03.01.2023;03:00;04:00;59;42
