Datum;Anfang;Ende;Generation_DE Heyden 4 [MW] Originalauflösungen
29.08.2022;00:00;01:00;0
29.08.2022;01:00;02:00;0
29.08.2022;02:00;03:00;0
29.08.2022;03:00;04:00;0
29.08.2022;04:00;05:00;0
29.08.2022;05:00;06:00;0
29.08.2022;06:00;07:00;0
29.08.2022;07:00;08:00;0
29.08.2022;08:00;09:00;0
29.08.2022;09:00;10:00;0
29.08.2022;10:00;11:00;0
29.08.2022;11:00;12:00;0
29.08.2022;12:00;13:00;0
29.08.2022;13:00;14:00;0
29.08.2022;14:00;15:00;0
29.08.2022;15:00;16:00;0
29.08.2022;16:00;17:00;0
29.08.2022;17:00;18:00;0
29.08.2022;18:00;19:00;0
29.08.2022;19:00;20:00;0
29.08.2022;20:00;21:00;0
29.08.2022;21:00;22:00;0
29.08.2022;22:00;23:00;0
29.08.2022;23:00;00:00;0
30.08.2022;00:00;01:00;0
30.08.2022;01:00;02:00;0
30.08.2022;02:00;03:00;0
30.08.2022;03:00;04:00;0
30.08.2022;04:00;05:00;0
30.08.2022;05:00;06:00;0
30.08.2022;06:00;07:00;0
30.08.2022;07:00;08:00;0
30.08.2022;08:00;09:00;0
30.08.2022;09:00;10:00;0
30.08.2022;10:00;11:00;0
30.08.2022;11:00;12:00;0
30.08.2022;12:00;13:00;0
30.08.2022;13:00;14:00;0
30.08.2022;14:00;15:00;0
30.08.2022;15:00;16:00;0
30.08.2022;16:00;17:00;0
30.08.2022;17:00;18:00;0
30.08.2022;18:00;19:00;0
30.08.2022;19:00;20:00;0
30.08.2022;20:00;21:00;151
30.08.2022;21:00;22:00;151
30.08.2022;22:00;23:00;0
30.08.2022;23:00;00:00;0
31.08.2022;00:00;01:00;604
31.08.2022;01:00;02:00;588
31.08.2022;02:00;03:00;501
31.08.2022;03:00;04:00;467
31.08.2022;04:00;05:00;509
31.08.2022;05:00;06:00;603
31.08.2022;06:00;07:00;606
31.08.2022;07:00;08:00;606
31.08.2022;08:00;09:00;602
31.08.2022;09:00;10:00;605
31.08.2022;10:00;11:00;603
31.08.2022;11:00;12:00;603
31.08.2022;12:00;13:00;588
31.08.2022;13:00;14:00;401
31.08.2022;14:00;15:00;239
31.08.2022;15:00;16:00;201
31.08.2022;16:00;17:00;196
31.08.2022;17:00;18:00;207
31.08.2022;18:00;19:00;210
31.08.2022;19:00;20:00;293
31.08.2022;20:00;21:00;539
31.08.2022;21:00;22:00;599
31.08.2022;22:00;23:00;605
31.08.2022;23:00;00:00;609
01.09.2022;00:00;01:00;607
01.09.2022;01:00;02:00;611
01.09.2022;02:00;03:00;0
01.09.2022;03:00;04:00;0
01.09.2022;04:00;05:00;0
01.09.2022;05:00;06:00;0
01.09.2022;06:00;07:00;0
01.09.2022;07:00;08:00;0
01.09.2022;08:00;09:00;0
01.09.2022;09:00;10:00;0
01.09.2022;10:00;11:00;0
01.09.2022;11:00;12:00;0
01.09.2022;12:00;13:00;0
01.09.2022;13:00;14:00;0
01.09.2022;14:00;15:00;0
01.09.2022;15:00;16:00;0
01.09.2022;16:00;17:00;0
01.09.2022;17:00;18:00;0
