Date;Start;End;Generation_DE Huckingen A [MW] Original resolutions;Generation_DE Huckingen B [MW] Original resolutions
01.01.2016;00:00;01:00;81;140
01.01.2016;01:00;02:00;80;147
01.01.2016;02:00;03:00;81;145
01.01.2016;03:00;04:00;81;137
01.01.2016;04:00;05:00;81;140
01.01.2016;05:00;06:00;81;140
01.01.2016;06:00;07:00;81;134
01.01.2016;07:00;08:00;83;138
01.01.2016;08:00;09:00;86;138
01.01.2016;09:00;10:00;87;135
01.01.2016;10:00;11:00;86;148
01.01.2016;11:00;12:00;85;150
01.01.2016;12:00;13:00;85;137
01.01.2016;13:00;14:00;85;136
01.01.2016;14:00;15:00;85;134
01.01.2016;15:00;16:00;85;113
01.01.2016;16:00;17:00;85;122
01.01.2016;17:00;18:00;85;122
01.01.2016;18:00;19:00;86;113
01.01.2016;19:00;20:00;86;137
01.01.2016;20:00;21:00;85;143
01.01.2016;21:00;22:00;85;141
01.01.2016;22:00;23:00;85;142
01.01.2016;23:00;00:00;85;136
02.01.2016;00:00;01:00;85;125
02.01.2016;01:00;02:00;85;132
02.01.2016;02:00;03:00;85;135
02.01.2016;03:00;04:00;86;134
02.01.2016;04:00;05:00;58;134
02.01.2016;05:00;06:00;81;132
02.01.2016;06:00;07:00;85;132
02.01.2016;07:00;08:00;85;139
02.01.2016;08:00;09:00;85;145
02.01.2016;09:00;10:00;85;135
02.01.2016;10:00;11:00;85;134
02.01.2016;11:00;12:00;84;125
02.01.2016;12:00;13:00;85;122
02.01.2016;13:00;14:00;89;116
02.01.2016;14:00;15:00;89;120
02.01.2016;15:00;16:00;90;114
02.01.2016;16:00;17:00;90;130
02.01.2016;17:00;18:00;89;135
02.01.2016;18:00;19:00;90;134
02.01.2016;19:00;20:00;89;128
02.01.2016;20:00;21:00;90;128
02.01.2016;21:00;22:00;90;124
02.01.2016;22:00;23:00;90;119
02.01.2016;23:00;00:00;89;116
03.01.2016;00:00;01:00;89;108
03.01.2016;01:00;02:00;90;114
03.01.2016;02:00;03:00;90;122
03.01.2016;03:00;04:00;90;127
03.01.2016;04:00;05:00;90;137
03.01.2016;05:00;06:00;90;145
03.01.2016;06:00;07:00;91;148
03.01.2016;07:00;08:00;90;142
03.01.2016;08:00;09:00;89;132
03.01.2016;09:00;10:00;89;128
03.01.2016;10:00;11:00;83;126
03.01.2016;11:00;12:00;76;127
