Datum;Anfang;Ende;Generation_DE 5MKA [MW] Originalauflösungen;Generation_DE 6MKA [MW] Originalauflösungen;Generation_DE 1MKA [MW] Originalauflösungen;Generation_DE 2MKA [MW] Originalauflösungen;Generation_DE 4MKA [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;101;104;-
01.01.2023;01:00;02:00;-;-;101;103;-
01.01.2023;02:00;03:00;-;-;101;103;-
01.01.2023;03:00;04:00;-;-;98;103;-
01.01.2023;04:00;05:00;-;-;96;103;-
01.01.2023;05:00;06:00;-;-;96;103;-
01.01.2023;06:00;07:00;-;-;96;102;-
01.01.2023;07:00;08:00;-;-;96;102;-
01.01.2023;08:00;09:00;-;-;96;103;-
01.01.2023;09:00;10:00;-;-;95;102;-
01.01.2023;10:00;11:00;-;-;95;102;-
01.01.2023;11:00;12:00;-;-;95;102;-
01.01.2023;12:00;13:00;-;-;95;103;-
01.01.2023;13:00;14:00;-;-;95;103;-
01.01.2023;14:00;15:00;-;-;96;103;-
01.01.2023;15:00;16:00;-;-;96;103;-
01.01.2023;16:00;17:00;-;-;96;103;-
01.01.2023;17:00;18:00;-;-;96;103;-
01.01.2023;18:00;19:00;-;-;96;103;-
01.01.2023;19:00;20:00;-;-;96;103;-
01.01.2023;20:00;21:00;-;-;96;103;-
01.01.2023;21:00;22:00;-;-;96;103;-
01.01.2023;22:00;23:00;-;-;96;103;-
01.01.2023;23:00;00:00;-;-;96;103;-
02.01.2023;00:00;01:00;-;-;96;104;-
02.01.2023;01:00;02:00;-;-;96;103;-
02.01.2023;02:00;03:00;-;-;96;103;-
02.01.2023;03:00;04:00;-;-;97;103;-
02.01.2023;04:00;05:00;-;-;97;104;-
02.01.2023;05:00;06:00;-;-;97;103;-
02.01.2023;06:00;07:00;-;-;97;103;-
02.01.2023;07:00;08:00;-;-;97;103;-
02.01.2023;08:00;09:00;-;-;95;103;-
02.01.2023;09:00;10:00;-;-;95;102;-
02.01.2023;10:00;11:00;-;-;95;102;-
02.01.2023;11:00;12:00;-;-;89;91;-
02.01.2023;12:00;13:00;-;-;87;88;-
02.01.2023;13:00;14:00;-;-;87;88;-
02.01.2023;14:00;15:00;-;-;88;89;-
02.01.2023;15:00;16:00;-;-;88;90;-
02.01.2023;16:00;17:00;-;-;88;89;-
02.01.2023;17:00;18:00;-;-;88;89;-
02.01.2023;18:00;19:00;-;-;88;89;-
02.01.2023;19:00;20:00;-;-;88;89;-
02.01.2023;20:00;21:00;-;-;88;89;-
02.01.2023;21:00;22:00;-;-;88;89;-
02.01.2023;22:00;23:00;-;-;88;89;-
02.01.2023;23:00;00:00;-;-;88;89;-
03.01.2023;00:00;01:00;-;-;88;89;-
03.01.2023;01:00;02:00;-;-;88;89;-
03.01.2023;02:00;03:00;-;-;88;89;-
03.01.2023;03:00;04:00;-;-;88;89;-
03.01.2023;04:00;05:00;-;-;88;89;-
03.01.2023;05:00;06:00;-;-;88;89;-
03.01.2023;06:00;07:00;-;-;88;89;-
03.01.2023;07:00;08:00;-;-;88;89;-
03.01.2023;08:00;09:00;-;-;88;89;-
03.01.2023;09:00;10:00;-;-;88;89;-
03.01.2023;10:00;11:00;-;-;88;89;-
03.01.2023;11:00;12:00;-;-;88;89;-
03.01.2023;12:00;13:00;-;-;88;89;-
03.01.2023;13:00;14:00;-;-;88;89;-
03.01.2023;14:00;15:00;-;-;88;89;-
03.01.2023;15:00;16:00;-;-;88;89;-
03.01.2023;16:00;17:00;-;-;88;89;-
03.01.2023;17:00;18:00;-;-;88;89;-
03.01.2023;18:00;19:00;-;-;88;89;-
03.01.2023;19:00;20:00;-;-;88;89;-
03.01.2023;20:00;21:00;-;-;88;88;-
03.01.2023;21:00;22:00;-;-;88;89;-
03.01.2023;22:00;23:00;-;-;88;89;-
03.01.2023;23:00;00:00;-;-;88;89;-
04.01.2023;00:00;01:00;-;-;88;89;-
04.01.2023;01:00;02:00;-;-;88;89;-
04.01.2023;02:00;03:00;-;-;88;89;-
04.01.2023;03:00;04:00;-;-;88;89;-
04.01.2023;04:00;05:00;-;-;87;89;-
04.01.2023;05:00;06:00;-;-;87;89;-
04.01.2023;06:00;07:00;-;-;87;89;-
04.01.2023;07:00;08:00;-;-;86;89;-
04.01.2023;08:00;09:00;-;-;85;89;-
04.01.2023;09:00;10:00;-;-;86;89;-
04.01.2023;10:00;11:00;-;-;85;89;-
04.01.2023;11:00;12:00;-;-;84;88;-
04.01.2023;12:00;13:00;-;-;83;85;-
04.01.2023;13:00;14:00;-;-;83;85;-
04.01.2023;14:00;15:00;-;-;83;85;-
04.01.2023;15:00;16:00;-;-;83;85;-
04.01.2023;16:00;17:00;-;-;83;85;-
04.01.2023;17:00;18:00;-;-;83;85;-
04.01.2023;18:00;19:00;-;-;83;85;-
04.01.2023;19:00;20:00;-;-;83;85;-
04.01.2023;20:00;21:00;-;-;83;85;-
04.01.2023;21:00;22:00;-;-;83;85;-
04.01.2023;22:00;23:00;-;-;83;85;-
04.01.2023;23:00;00:00;-;-;83;85;-
05.01.2023;00:00;01:00;-;-;83;85;-
05.01.2023;01:00;02:00;-;-;83;85;-
05.01.2023;02:00;03:00;-;-;83;85;-
05.01.2023;03:00;04:00;-;-;83;85;-
05.01.2023;04:00;05:00;-;-;83;85;-
05.01.2023;05:00;06:00;-;-;83;85;-
05.01.2023;06:00;07:00;-;-;83;85;-
05.01.2023;07:00;08:00;-;-;83;85;-
05.01.2023;08:00;09:00;-;-;86;87;-
05.01.2023;09:00;10:00;-;-;86;87;-
05.01.2023;10:00;11:00;-;-;86;87;-
05.01.2023;11:00;12:00;-;-;86;87;-
05.01.2023;12:00;13:00;-;-;86;87;-
05.01.2023;13:00;14:00;-;-;86;87;-
05.01.2023;14:00;15:00;-;-;86;87;-
05.01.2023;15:00;16:00;-;-;86;87;-
05.01.2023;16:00;17:00;-;-;86;87;-
05.01.2023;17:00;18:00;-;-;86;87;-
05.01.2023;18:00;19:00;-;-;86;85;-
05.01.2023;19:00;20:00;-;-;86;85;-
05.01.2023;20:00;21:00;-;-;86;85;-
05.01.2023;21:00;22:00;-;-;86;85;-
05.01.2023;22:00;23:00;-;-;86;85;-
05.01.2023;23:00;00:00;-;-;86;85;-
06.01.2023;00:00;01:00;-;-;85;85;-
06.01.2023;01:00;02:00;-;-;85;85;-
06.01.2023;02:00;03:00;-;-;84;85;-
06.01.2023;03:00;04:00;-;-;84;85;-
06.01.2023;04:00;05:00;-;-;84;85;-
06.01.2023;05:00;06:00;-;-;84;85;-
06.01.2023;06:00;07:00;-;-;84;85;-
06.01.2023;07:00;08:00;-;-;84;83;-
06.01.2023;08:00;09:00;-;-;84;82;-
06.01.2023;09:00;10:00;-;-;84;81;-
06.01.2023;10:00;11:00;-;-;84;79;-
06.01.2023;11:00;12:00;-;-;84;79;-
06.01.2023;12:00;13:00;-;-;84;79;-
06.01.2023;13:00;14:00;-;-;84;79;-
06.01.2023;14:00;15:00;-;-;84;78;-
06.01.2023;15:00;16:00;-;-;84;77;-
06.01.2023;16:00;17:00;-;-;84;77;-
06.01.2023;17:00;18:00;-;-;84;77;-
06.01.2023;18:00;19:00;-;-;84;77;-
06.01.2023;19:00;20:00;-;-;84;77;-
06.01.2023;20:00;21:00;-;-;84;77;-
06.01.2023;21:00;22:00;-;-;84;77;-
06.01.2023;22:00;23:00;-;-;84;77;-
06.01.2023;23:00;00:00;-;-;84;77;-
07.01.2023;00:00;01:00;-;-;75;72;-
07.01.2023;01:00;02:00;-;-;69;70;-
07.01.2023;02:00;03:00;-;-;69;69;-
07.01.2023;03:00;04:00;-;-;69;69;-
07.01.2023;04:00;05:00;-;-;69;69;-
07.01.2023;05:00;06:00;-;-;69;69;-
07.01.2023;06:00;07:00;-;-;69;69;-
07.01.2023;07:00;08:00;-;-;69;69;-
07.01.2023;08:00;09:00;-;-;69;69;-
07.01.2023;09:00;10:00;-;-;69;69;-
07.01.2023;10:00;11:00;-;-;69;69;-
07.01.2023;11:00;12:00;-;-;69;69;-
07.01.2023;12:00;13:00;-;-;69;69;-
07.01.2023;13:00;14:00;-;-;69;69;-
07.01.2023;14:00;15:00;-;-;69;69;-
07.01.2023;15:00;16:00;-;-;69;69;-
07.01.2023;16:00;17:00;-;-;69;69;-
07.01.2023;17:00;18:00;-;-;69;69;-
07.01.2023;18:00;19:00;-;-;69;69;-
07.01.2023;19:00;20:00;-;-;69;69;-
07.01.2023;20:00;21:00;-;-;69;69;-
07.01.2023;21:00;22:00;-;-;69;69;-
07.01.2023;22:00;23:00;-;-;69;69;-
07.01.2023;23:00;00:00;-;-;69;69;-
08.01.2023;00:00;01:00;-;-;69;69;-
08.01.2023;01:00;02:00;-;-;69;69;-
08.01.2023;02:00;03:00;-;-;69;69;-
08.01.2023;03:00;04:00;-;-;69;69;-
08.01.2023;04:00;05:00;-;-;69;69;-
08.01.2023;05:00;06:00;-;-;69;69;-
08.01.2023;06:00;07:00;-;-;67;69;-
08.01.2023;07:00;08:00;-;-;67;69;-
08.01.2023;08:00;09:00;-;-;67;69;-
08.01.2023;09:00;10:00;-;-;67;69;-
08.01.2023;10:00;11:00;-;-;67;69;-
08.01.2023;11:00;12:00;-;-;67;69;-
08.01.2023;12:00;13:00;-;-;67;69;-
08.01.2023;13:00;14:00;-;-;68;69;-
08.01.2023;14:00;15:00;-;-;68;69;-
08.01.2023;15:00;16:00;-;-;68;69;-
08.01.2023;16:00;17:00;-;-;68;69;-
08.01.2023;17:00;18:00;-;-;68;69;-
08.01.2023;18:00;19:00;-;-;68;69;-
08.01.2023;19:00;20:00;-;-;68;69;-
08.01.2023;20:00;21:00;-;-;68;69;-
08.01.2023;21:00;22:00;-;-;68;69;-
08.01.2023;22:00;23:00;-;-;68;69;-
08.01.2023;23:00;00:00;-;-;68;69;-
09.01.2023;00:00;01:00;-;-;68;69;-
09.01.2023;01:00;02:00;-;-;68;69;-
09.01.2023;02:00;03:00;-;-;68;69;-
09.01.2023;03:00;04:00;-;-;68;69;-
09.01.2023;04:00;05:00;-;-;68;69;-
09.01.2023;05:00;06:00;-;-;68;69;-
09.01.2023;06:00;07:00;-;-;68;69;-
09.01.2023;07:00;08:00;-;-;68;69;-
09.01.2023;08:00;09:00;-;-;67;68;-
09.01.2023;09:00;10:00;-;-;67;68;-
09.01.2023;10:00;11:00;-;-;67;68;-
09.01.2023;11:00;12:00;-;-;67;68;-
09.01.2023;12:00;13:00;-;-;67;68;-
09.01.2023;13:00;14:00;-;-;67;68;-
09.01.2023;14:00;15:00;-;-;67;68;-
09.01.2023;15:00;16:00;-;-;67;68;-
09.01.2023;16:00;17:00;-;-;67;68;-
09.01.2023;17:00;18:00;-;-;68;68;-
09.01.2023;18:00;19:00;-;-;72;67;-
09.01.2023;19:00;20:00;-;-;76;61;-
09.01.2023;20:00;21:00;-;-;85;39;-
09.01.2023;21:00;22:00;-;-;86;37;-
09.01.2023;22:00;23:00;-;-;86;37;-
09.01.2023;23:00;00:00;-;-;86;37;-
10.01.2023;00:00;01:00;-;-;101;28;-
10.01.2023;01:00;02:00;-;-;101;3;-
10.01.2023;02:00;03:00;-;-;101;0;-
10.01.2023;03:00;04:00;-;-;101;0;-
10.01.2023;04:00;05:00;-;-;101;0;-
10.01.2023;05:00;06:00;-;-;100;0;-
10.01.2023;06:00;07:00;-;-;101;0;-
10.01.2023;07:00;08:00;-;-;101;0;-
10.01.2023;08:00;09:00;-;-;101;0;-
10.01.2023;09:00;10:00;-;-;100;0;-
10.01.2023;10:00;11:00;-;-;100;0;-
10.01.2023;11:00;12:00;-;-;99;0;-
10.01.2023;12:00;13:00;-;-;90;17;-
10.01.2023;13:00;14:00;-;-;89;18;-
10.01.2023;14:00;15:00;-;-;88;18;-
10.01.2023;15:00;16:00;-;-;83;17;-
10.01.2023;16:00;17:00;-;-;90;39;-
10.01.2023;17:00;18:00;-;-;90;57;-
10.01.2023;18:00;19:00;-;-;90;69;-
10.01.2023;19:00;20:00;-;-;80;72;-
10.01.2023;20:00;21:00;-;-;73;70;-
10.01.2023;21:00;22:00;-;-;70;69;-
10.01.2023;22:00;23:00;-;-;71;69;-
10.01.2023;23:00;00:00;-;-;71;69;-
11.01.2023;00:00;01:00;-;-;71;69;-
11.01.2023;01:00;02:00;-;-;71;69;-
11.01.2023;02:00;03:00;-;-;71;69;-
11.01.2023;03:00;04:00;-;-;71;69;-
11.01.2023;04:00;05:00;-;-;71;69;-
11.01.2023;05:00;06:00;-;-;71;69;-
11.01.2023;06:00;07:00;-;-;70;69;-
11.01.2023;07:00;08:00;-;-;70;69;-
11.01.2023;08:00;09:00;-;-;70;69;-
11.01.2023;09:00;10:00;-;-;70;69;-
11.01.2023;10:00;11:00;-;-;70;69;-
11.01.2023;11:00;12:00;-;-;70;69;-
11.01.2023;12:00;13:00;-;-;70;69;-
11.01.2023;13:00;14:00;-;-;70;69;-
11.01.2023;14:00;15:00;-;-;70;69;-
11.01.2023;15:00;16:00;-;-;70;69;-
11.01.2023;16:00;17:00;-;-;70;69;-
11.01.2023;17:00;18:00;-;-;70;69;-
11.01.2023;18:00;19:00;-;-;70;69;-
11.01.2023;19:00;20:00;-;-;70;69;-
11.01.2023;20:00;21:00;-;-;70;69;-
11.01.2023;21:00;22:00;-;-;70;69;-
11.01.2023;22:00;23:00;-;-;70;69;-
11.01.2023;23:00;00:00;-;-;70;69;-
12.01.2023;00:00;01:00;-;-;70;69;-
12.01.2023;01:00;02:00;-;-;70;69;-
12.01.2023;02:00;03:00;-;-;70;69;-
12.01.2023;03:00;04:00;-;-;70;69;-
12.01.2023;04:00;05:00;-;-;70;69;-
12.01.2023;05:00;06:00;-;-;70;69;-
12.01.2023;06:00;07:00;-;-;70;69;-
12.01.2023;07:00;08:00;-;-;70;69;-
12.01.2023;08:00;09:00;-;-;70;69;-
12.01.2023;09:00;10:00;-;-;70;69;-
12.01.2023;10:00;11:00;-;-;70;69;-
12.01.2023;11:00;12:00;-;-;70;69;-
12.01.2023;12:00;13:00;-;-;70;69;-
12.01.2023;13:00;14:00;-;-;70;69;-
12.01.2023;14:00;15:00;-;-;70;69;-
12.01.2023;15:00;16:00;-;-;70;69;-
12.01.2023;16:00;17:00;-;-;72;69;-
12.01.2023;17:00;18:00;-;-;72;69;-
12.01.2023;18:00;19:00;-;-;72;69;-
12.01.2023;19:00;20:00;-;-;71;69;-
12.01.2023;20:00;21:00;-;-;72;69;-
12.01.2023;21:00;22:00;-;-;72;69;-
12.01.2023;22:00;23:00;-;-;72;69;-
12.01.2023;23:00;00:00;-;-;72;69;-
13.01.2023;00:00;01:00;-;-;72;70;-
13.01.2023;01:00;02:00;-;-;72;70;-
