Date;Start;End;Generation_DE B [MW] Original resolutions
01.01.2016;00:00;01:00;0
01.01.2016;01:00;02:00;0
01.01.2016;02:00;03:00;0
01.01.2016;03:00;04:00;0
01.01.2016;04:00;05:00;0
01.01.2016;05:00;06:00;0
01.01.2016;06:00;07:00;0
01.01.2016;07:00;08:00;0
01.01.2016;08:00;09:00;0
01.01.2016;09:00;10:00;0
01.01.2016;10:00;11:00;0
01.01.2016;11:00;12:00;0
01.01.2016;12:00;13:00;0
01.01.2016;13:00;14:00;0
01.01.2016;14:00;15:00;0
01.01.2016;15:00;16:00;0
01.01.2016;16:00;17:00;0
01.01.2016;17:00;18:00;0
01.01.2016;18:00;19:00;0
01.01.2016;19:00;20:00;0
01.01.2016;20:00;21:00;0
01.01.2016;21:00;22:00;0
01.01.2016;22:00;23:00;0
01.01.2016;23:00;00:00;0
02.01.2016;00:00;01:00;0
02.01.2016;01:00;02:00;0
02.01.2016;02:00;03:00;0
02.01.2016;03:00;04:00;0
02.01.2016;04:00;05:00;0
02.01.2016;05:00;06:00;0
02.01.2016;06:00;07:00;0
02.01.2016;07:00;08:00;0
02.01.2016;08:00;09:00;0
02.01.2016;09:00;10:00;0
02.01.2016;10:00;11:00;0
02.01.2016;11:00;12:00;0
02.01.2016;12:00;13:00;0
02.01.2016;13:00;14:00;0
02.01.2016;14:00;15:00;0
02.01.2016;15:00;16:00;0
02.01.2016;16:00;17:00;0
02.01.2016;17:00;18:00;0
02.01.2016;18:00;19:00;0
02.01.2016;19:00;20:00;0
02.01.2016;20:00;21:00;0
02.01.2016;21:00;22:00;0
02.01.2016;22:00;23:00;0
02.01.2016;23:00;00:00;0
03.01.2016;00:00;01:00;0
03.01.2016;01:00;02:00;0
03.01.2016;02:00;03:00;0
03.01.2016;03:00;04:00;0
03.01.2016;04:00;05:00;0
03.01.2016;05:00;06:00;0
03.01.2016;06:00;07:00;0
03.01.2016;07:00;08:00;0
03.01.2016;08:00;09:00;0
03.01.2016;09:00;10:00;0
03.01.2016;10:00;11:00;0
03.01.2016;11:00;12:00;0
03.01.2016;12:00;13:00;0
03.01.2016;13:00;14:00;0
03.01.2016;14:00;15:00;0
03.01.2016;15:00;16:00;0
03.01.2016;16:00;17:00;0
03.01.2016;17:00;18:00;0
03.01.2016;18:00;19:00;0
03.01.2016;19:00;20:00;0
03.01.2016;20:00;21:00;0
03.01.2016;21:00;22:00;0
03.01.2016;22:00;23:00;0
03.01.2016;23:00;00:00;0
04.01.2016;00:00;01:00;0
04.01.2016;01:00;02:00;0
04.01.2016;02:00;03:00;0
04.01.2016;03:00;04:00;0
04.01.2016;04:00;05:00;0
04.01.2016;05:00;06:00;0
04.01.2016;06:00;07:00;0
04.01.2016;07:00;08:00;0
04.01.2016;08:00;09:00;0
04.01.2016;09:00;10:00;0
04.01.2016;10:00;11:00;0
04.01.2016;11:00;12:00;0
04.01.2016;12:00;13:00;0
04.01.2016;13:00;14:00;0
04.01.2016;14:00;15:00;0
04.01.2016;15:00;16:00;0
04.01.2016;16:00;17:00;0
04.01.2016;17:00;18:00;0
04.01.2016;18:00;19:00;0
04.01.2016;19:00;20:00;0
04.01.2016;20:00;21:00;0
04.01.2016;21:00;22:00;0
04.01.2016;22:00;23:00;0
04.01.2016;23:00;00:00;0
05.01.2016;00:00;01:00;0
05.01.2016;01:00;02:00;0
05.01.2016;02:00;03:00;0
05.01.2016;03:00;04:00;0
05.01.2016;04:00;05:00;0
05.01.2016;05:00;06:00;0
05.01.2016;06:00;07:00;0
05.01.2016;07:00;08:00;0
05.01.2016;08:00;09:00;0
05.01.2016;09:00;10:00;0
05.01.2016;10:00;11:00;0
05.01.2016;11:00;12:00;0
05.01.2016;12:00;13:00;0
05.01.2016;13:00;14:00;0
05.01.2016;14:00;15:00;0
05.01.2016;15:00;16:00;0
05.01.2016;16:00;17:00;0
05.01.2016;17:00;18:00;0
05.01.2016;18:00;19:00;0
05.01.2016;19:00;20:00;0
05.01.2016;20:00;21:00;0
05.01.2016;21:00;22:00;0
05.01.2016;22:00;23:00;0
05.01.2016;23:00;00:00;0
06.01.2016;00:00;01:00;0
06.01.2016;01:00;02:00;0
06.01.2016;02:00;03:00;25
06.01.2016;03:00;04:00;377
06.01.2016;04:00;05:00;454
06.01.2016;05:00;06:00;432
06.01.2016;06:00;07:00;593
06.01.2016;07:00;08:00;757
06.01.2016;08:00;09:00;778
06.01.2016;09:00;10:00;784
06.01.2016;10:00;11:00;790
06.01.2016;11:00;12:00;787
06.01.2016;12:00;13:00;791
06.01.2016;13:00;14:00;787
06.01.2016;14:00;15:00;783
06.01.2016;15:00;16:00;785
06.01.2016;16:00;17:00;790
06.01.2016;17:00;18:00;781
06.01.2016;18:00;19:00;791
06.01.2016;19:00;20:00;783
06.01.2016;20:00;21:00;790
06.01.2016;21:00;22:00;761
06.01.2016;22:00;23:00;760
06.01.2016;23:00;00:00;760
07.01.2016;00:00;01:00;761
07.01.2016;01:00;02:00;663
