Date;Start;End;Generation_DE Isar 2 [MW] Original resolutions
01.01.2021;00:00;01:00;1.423
01.01.2021;01:00;02:00;1.424
01.01.2021;02:00;03:00;1.423
01.01.2021;03:00;04:00;1.423
01.01.2021;04:00;05:00;1.428
01.01.2021;05:00;06:00;1.423
01.01.2021;06:00;07:00;1.427
01.01.2021;07:00;08:00;1.429
01.01.2021;08:00;09:00;1.429
01.01.2021;09:00;10:00;1.429
01.01.2021;10:00;11:00;1.429
01.01.2021;11:00;12:00;1.429
01.01.2021;12:00;13:00;1.428
01.01.2021;13:00;14:00;1.427
01.01.2021;14:00;15:00;1.426
01.01.2021;15:00;16:00;1.426
01.01.2021;16:00;17:00;1.425
01.01.2021;17:00;18:00;1.425
01.01.2021;18:00;19:00;1.425
01.01.2021;19:00;20:00;1.425
01.01.2021;20:00;21:00;1.425
01.01.2021;21:00;22:00;1.425
01.01.2021;22:00;23:00;1.422
01.01.2021;23:00;00:00;1.425
02.01.2021;00:00;01:00;1.421
02.01.2021;01:00;02:00;1.416
02.01.2021;02:00;03:00;1.391
02.01.2021;03:00;04:00;1.378
02.01.2021;04:00;05:00;1.418
02.01.2021;05:00;06:00;1.423
02.01.2021;06:00;07:00;1.420
02.01.2021;07:00;08:00;1.414
02.01.2021;08:00;09:00;1.420
02.01.2021;09:00;10:00;1.421
02.01.2021;10:00;11:00;1.429
02.01.2021;11:00;12:00;1.429
02.01.2021;12:00;13:00;1.430
02.01.2021;13:00;14:00;1.430
02.01.2021;14:00;15:00;1.429
02.01.2021;15:00;16:00;1.428
02.01.2021;16:00;17:00;1.429
02.01.2021;17:00;18:00;1.429
02.01.2021;18:00;19:00;1.429
02.01.2021;19:00;20:00;1.428
02.01.2021;20:00;21:00;1.427
02.01.2021;21:00;22:00;1.428
02.01.2021;22:00;23:00;1.427
02.01.2021;23:00;00:00;1.416
03.01.2021;00:00;01:00;1.412
03.01.2021;01:00;02:00;1.375
03.01.2021;02:00;03:00;1.320
03.01.2021;03:00;04:00;1.391
03.01.2021;04:00;05:00;1.363
03.01.2021;05:00;06:00;1.337
03.01.2021;06:00;07:00;1.350
03.01.2021;07:00;08:00;1.427
03.01.2021;08:00;09:00;1.428
03.01.2021;09:00;10:00;1.428
03.01.2021;10:00;11:00;1.428
03.01.2021;11:00;12:00;1.427
03.01.2021;12:00;13:00;1.427
03.01.2021;13:00;14:00;1.427
03.01.2021;14:00;15:00;1.426
03.01.2021;15:00;16:00;1.427
03.01.2021;16:00;17:00;1.426
03.01.2021;17:00;18:00;1.426
03.01.2021;18:00;19:00;1.426
03.01.2021;19:00;20:00;1.426
03.01.2021;20:00;21:00;1.427
03.01.2021;21:00;22:00;1.427
03.01.2021;22:00;23:00;1.427
03.01.2021;23:00;00:00;1.422
04.01.2021;00:00;01:00;1.425
04.01.2021;01:00;02:00;1.421
04.01.2021;02:00;03:00;1.387
04.01.2021;03:00;04:00;1.422
04.01.2021;04:00;05:00;1.421
04.01.2021;05:00;06:00;1.425
04.01.2021;06:00;07:00;1.426
04.01.2021;07:00;08:00;1.426
04.01.2021;08:00;09:00;1.426
04.01.2021;09:00;10:00;1.427
04.01.2021;10:00;11:00;1.427
04.01.2021;11:00;12:00;1.425
04.01.2021;12:00;13:00;1.426
04.01.2021;13:00;14:00;1.426
04.01.2021;14:00;15:00;1.425
04.01.2021;15:00;16:00;1.424
04.01.2021;16:00;17:00;1.427
04.01.2021;17:00;18:00;1.428
04.01.2021;18:00;19:00;1.429
04.01.2021;19:00;20:00;1.428
04.01.2021;20:00;21:00;1.427
04.01.2021;21:00;22:00;1.426
04.01.2021;22:00;23:00;1.427
04.01.2021;23:00;00:00;1.427
05.01.2021;00:00;01:00;1.427
05.01.2021;01:00;02:00;1.426
05.01.2021;02:00;03:00;1.427
05.01.2021;03:00;04:00;1.427
05.01.2021;04:00;05:00;1.426
05.01.2021;05:00;06:00;1.426
05.01.2021;06:00;07:00;1.381
05.01.2021;07:00;08:00;1.427
05.01.2021;08:00;09:00;1.426
05.01.2021;09:00;10:00;1.426
05.01.2021;10:00;11:00;1.426
05.01.2021;11:00;12:00;1.426
05.01.2021;12:00;13:00;1.426
05.01.2021;13:00;14:00;1.427
05.01.2021;14:00;15:00;1.427
05.01.2021;15:00;16:00;1.428
05.01.2021;16:00;17:00;1.427
05.01.2021;17:00;18:00;1.427
05.01.2021;18:00;19:00;1.426
05.01.2021;19:00;20:00;1.427
05.01.2021;20:00;21:00;1.427
05.01.2021;21:00;22:00;1.426
05.01.2021;22:00;23:00;1.426
05.01.2021;23:00;00:00;1.426
06.01.2021;00:00;01:00;1.425
06.01.2021;01:00;02:00;1.426
06.01.2021;02:00;03:00;1.426
06.01.2021;03:00;04:00;1.420
06.01.2021;04:00;05:00;1.411
06.01.2021;05:00;06:00;1.410
06.01.2021;06:00;07:00;1.422
06.01.2021;07:00;08:00;1.417
06.01.2021;08:00;09:00;1.426
06.01.2021;09:00;10:00;1.426
06.01.2021;10:00;11:00;1.426
06.01.2021;11:00;12:00;1.426
06.01.2021;12:00;13:00;1.426
06.01.2021;13:00;14:00;1.426
06.01.2021;14:00;15:00;1.425
06.01.2021;15:00;16:00;1.425
06.01.2021;16:00;17:00;1.426
06.01.2021;17:00;18:00;1.425
06.01.2021;18:00;19:00;1.425
06.01.2021;19:00;20:00;1.425
06.01.2021;20:00;21:00;1.425
06.01.2021;21:00;22:00;1.425
06.01.2021;22:00;23:00;1.425
06.01.2021;23:00;00:00;1.425
07.01.2021;00:00;01:00;1.426
07.01.2021;01:00;02:00;1.422
07.01.2021;02:00;03:00;1.426
07.01.2021;03:00;04:00;1.426
07.01.2021;04:00;05:00;1.419
07.01.2021;05:00;06:00;1.425
07.01.2021;06:00;07:00;1.424
07.01.2021;07:00;08:00;1.423
07.01.2021;08:00;09:00;1.422
07.01.2021;09:00;10:00;1.425
07.01.2021;10:00;11:00;1.425
07.01.2021;11:00;12:00;1.425
07.01.2021;12:00;13:00;1.424
07.01.2021;13:00;14:00;1.425
07.01.2021;14:00;15:00;1.423
07.01.2021;15:00;16:00;1.424
07.01.2021;16:00;17:00;1.424
07.01.2021;17:00;18:00;1.424
07.01.2021;18:00;19:00;1.424
07.01.2021;19:00;20:00;1.424
07.01.2021;20:00;21:00;1.426
07.01.2021;21:00;22:00;1.418
07.01.2021;22:00;23:00;1.416
07.01.2021;23:00;00:00;1.414
08.01.2021;00:00;01:00;1.412
08.01.2021;01:00;02:00;1.425
08.01.2021;02:00;03:00;1.425
08.01.2021;03:00;04:00;1.425
08.01.2021;04:00;05:00;1.422
08.01.2021;05:00;06:00;1.425
08.01.2021;06:00;07:00;1.421
08.01.2021;07:00;08:00;1.418
08.01.2021;08:00;09:00;1.428
08.01.2021;09:00;10:00;1.428
08.01.2021;10:00;11:00;1.425
08.01.2021;11:00;12:00;1.424
08.01.2021;12:00;13:00;1.424
08.01.2021;13:00;14:00;1.424
08.01.2021;14:00;15:00;1.424
08.01.2021;15:00;16:00;1.425
08.01.2021;16:00;17:00;1.424
08.01.2021;17:00;18:00;1.424
08.01.2021;18:00;19:00;1.424
08.01.2021;19:00;20:00;1.425
08.01.2021;20:00;21:00;1.425
08.01.2021;21:00;22:00;1.425
08.01.2021;22:00;23:00;1.424
08.01.2021;23:00;00:00;1.425
09.01.2021;00:00;01:00;1.414
09.01.2021;01:00;02:00;1.415
09.01.2021;02:00;03:00;1.414
09.01.2021;03:00;04:00;1.412
09.01.2021;04:00;05:00;1.425
09.01.2021;05:00;06:00;1.428
09.01.2021;06:00;07:00;1.428
09.01.2021;07:00;08:00;1.428
09.01.2021;08:00;09:00;1.424
09.01.2021;09:00;10:00;1.424
09.01.2021;10:00;11:00;1.425
09.01.2021;11:00;12:00;1.424
09.01.2021;12:00;13:00;1.424
09.01.2021;13:00;14:00;1.424
09.01.2021;14:00;15:00;1.424
09.01.2021;15:00;16:00;1.425
09.01.2021;16:00;17:00;1.426
09.01.2021;17:00;18:00;1.428
09.01.2021;18:00;19:00;1.428
09.01.2021;19:00;20:00;1.428
09.01.2021;20:00;21:00;1.428
09.01.2021;21:00;22:00;1.429
09.01.2021;22:00;23:00;1.430
09.01.2021;23:00;00:00;1.430
10.01.2021;00:00;01:00;1.431
10.01.2021;01:00;02:00;1.430
10.01.2021;02:00;03:00;1.431
10.01.2021;03:00;04:00;1.430
10.01.2021;04:00;05:00;1.431
10.01.2021;05:00;06:00;1.431
10.01.2021;06:00;07:00;1.430
10.01.2021;07:00;08:00;1.430
10.01.2021;08:00;09:00;1.430
10.01.2021;09:00;10:00;1.431
10.01.2021;10:00;11:00;1.430
10.01.2021;11:00;12:00;1.431
10.01.2021;12:00;13:00;1.426
10.01.2021;13:00;14:00;1.425
10.01.2021;14:00;15:00;1.428
10.01.2021;15:00;16:00;1.426
10.01.2021;16:00;17:00;1.426
10.01.2021;17:00;18:00;1.422
10.01.2021;18:00;19:00;1.421
10.01.2021;19:00;20:00;1.417
10.01.2021;20:00;21:00;1.414
10.01.2021;21:00;22:00;1.422
10.01.2021;22:00;23:00;1.419
10.01.2021;23:00;00:00;1.415
11.01.2021;00:00;01:00;1.416
11.01.2021;01:00;02:00;1.412
11.01.2021;02:00;03:00;1.420
11.01.2021;03:00;04:00;1.429
11.01.2021;04:00;05:00;1.427
11.01.2021;05:00;06:00;1.430
11.01.2021;06:00;07:00;1.430
11.01.2021;07:00;08:00;1.430
11.01.2021;08:00;09:00;1.430
11.01.2021;09:00;10:00;1.430
11.01.2021;10:00;11:00;1.429
11.01.2021;11:00;12:00;1.427
11.01.2021;12:00;13:00;1.418
11.01.2021;13:00;14:00;1.416
11.01.2021;14:00;15:00;1.414
11.01.2021;15:00;16:00;1.417
11.01.2021;16:00;17:00;1.419
11.01.2021;17:00;18:00;1.419
11.01.2021;18:00;19:00;1.413
11.01.2021;19:00;20:00;1.418
11.01.2021;20:00;21:00;1.403
11.01.2021;21:00;22:00;1.411
11.01.2021;22:00;23:00;1.376
11.01.2021;23:00;00:00;1.302
12.01.2021;00:00;01:00;1.224
12.01.2021;01:00;02:00;1.222
12.01.2021;02:00;03:00;1.323
12.01.2021;03:00;04:00;1.248
12.01.2021;04:00;05:00;1.133
12.01.2021;05:00;06:00;1.077
12.01.2021;06:00;07:00;1.213
12.01.2021;07:00;08:00;1.376
12.01.2021;08:00;09:00;1.425
12.01.2021;09:00;10:00;1.425
12.01.2021;10:00;11:00;1.423
12.01.2021;11:00;12:00;1.421
12.01.2021;12:00;13:00;1.420
12.01.2021;13:00;14:00;1.413
12.01.2021;14:00;15:00;1.409
12.01.2021;15:00;16:00;1.414
12.01.2021;16:00;17:00;1.417
12.01.2021;17:00;18:00;1.417
12.01.2021;18:00;19:00;1.421
12.01.2021;19:00;20:00;1.420
12.01.2021;20:00;21:00;1.419
12.01.2021;21:00;22:00;1.421
12.01.2021;22:00;23:00;1.421
12.01.2021;23:00;00:00;1.420
13.01.2021;00:00;01:00;1.420
13.01.2021;01:00;02:00;1.422
13.01.2021;02:00;03:00;1.423
