Date;Start;End;Generation_DE Kraftwerk Mehrum Block 3 [MW] Original resolutions
01.01.2016;00:00;01:00;0
01.01.2016;01:00;02:00;0
01.01.2016;02:00;03:00;0
01.01.2016;03:00;04:00;0
01.01.2016;04:00;05:00;0
01.01.2016;05:00;06:00;0
01.01.2016;06:00;07:00;0
01.01.2016;07:00;08:00;0
01.01.2016;08:00;09:00;0
01.01.2016;09:00;10:00;0
01.01.2016;10:00;11:00;0
01.01.2016;11:00;12:00;0
01.01.2016;12:00;13:00;0
01.01.2016;13:00;14:00;0
01.01.2016;14:00;15:00;0
01.01.2016;15:00;16:00;0
01.01.2016;16:00;17:00;0
01.01.2016;17:00;18:00;0
01.01.2016;18:00;19:00;0
01.01.2016;19:00;20:00;0
01.01.2016;20:00;21:00;0
01.01.2016;21:00;22:00;0
01.01.2016;22:00;23:00;0
01.01.2016;23:00;00:00;0
02.01.2016;00:00;01:00;0
02.01.2016;01:00;02:00;0
02.01.2016;02:00;03:00;0
02.01.2016;03:00;04:00;0
02.01.2016;04:00;05:00;0
02.01.2016;05:00;06:00;0
02.01.2016;06:00;07:00;0
02.01.2016;07:00;08:00;0
02.01.2016;08:00;09:00;0
02.01.2016;09:00;10:00;0
02.01.2016;10:00;11:00;0
02.01.2016;11:00;12:00;0
02.01.2016;12:00;13:00;0
02.01.2016;13:00;14:00;0
02.01.2016;14:00;15:00;0
02.01.2016;15:00;16:00;0
02.01.2016;16:00;17:00;0
02.01.2016;17:00;18:00;0
02.01.2016;18:00;19:00;0
02.01.2016;19:00;20:00;0
02.01.2016;20:00;21:00;0
02.01.2016;21:00;22:00;0
02.01.2016;22:00;23:00;0
02.01.2016;23:00;00:00;0
03.01.2016;00:00;01:00;0
03.01.2016;01:00;02:00;0
03.01.2016;02:00;03:00;0
03.01.2016;03:00;04:00;0
03.01.2016;04:00;05:00;0
03.01.2016;05:00;06:00;0
03.01.2016;06:00;07:00;0
03.01.2016;07:00;08:00;0
03.01.2016;08:00;09:00;0
03.01.2016;09:00;10:00;0
03.01.2016;10:00;11:00;0
03.01.2016;11:00;12:00;0
03.01.2016;12:00;13:00;0
03.01.2016;13:00;14:00;0
03.01.2016;14:00;15:00;0
03.01.2016;15:00;16:00;0
03.01.2016;16:00;17:00;0
03.01.2016;17:00;18:00;0
03.01.2016;18:00;19:00;0
03.01.2016;19:00;20:00;0
03.01.2016;20:00;21:00;0
03.01.2016;21:00;22:00;0
03.01.2016;22:00;23:00;0
03.01.2016;23:00;00:00;0
04.01.2016;00:00;01:00;0
04.01.2016;01:00;02:00;0
04.01.2016;02:00;03:00;0
04.01.2016;03:00;04:00;7
04.01.2016;04:00;05:00;136
04.01.2016;05:00;06:00;230
04.01.2016;06:00;07:00;348
04.01.2016;07:00;08:00;454
04.01.2016;08:00;09:00;566
04.01.2016;09:00;10:00;504
04.01.2016;10:00;11:00;502
04.01.2016;11:00;12:00;500
04.01.2016;12:00;13:00;517
04.01.2016;13:00;14:00;648
04.01.2016;14:00;15:00;671
04.01.2016;15:00;16:00;689
04.01.2016;16:00;17:00;690
04.01.2016;17:00;18:00;689
04.01.2016;18:00;19:00;687
04.01.2016;19:00;20:00;690
04.01.2016;20:00;21:00;686
04.01.2016;21:00;22:00;654
04.01.2016;22:00;23:00;625
04.01.2016;23:00;00:00;498
05.01.2016;00:00;01:00;403
05.01.2016;01:00;02:00;383
05.01.2016;02:00;03:00;297
05.01.2016;03:00;04:00;264
05.01.2016;04:00;05:00;269
05.01.2016;05:00;06:00;414
05.01.2016;06:00;07:00;592
05.01.2016;07:00;08:00;688
05.01.2016;08:00;09:00;692
05.01.2016;09:00;10:00;689
05.01.2016;10:00;11:00;688
05.01.2016;11:00;12:00;690
05.01.2016;12:00;13:00;691
05.01.2016;13:00;14:00;692
05.01.2016;14:00;15:00;688
05.01.2016;15:00;16:00;641
05.01.2016;16:00;17:00;641
05.01.2016;17:00;18:00;685
05.01.2016;18:00;19:00;691
05.01.2016;19:00;20:00;691
05.01.2016;20:00;21:00;684
05.01.2016;21:00;22:00;649
05.01.2016;22:00;23:00;606
05.01.2016;23:00;00:00;555
06.01.2016;00:00;01:00;417
06.01.2016;01:00;02:00;329
06.01.2016;02:00;03:00;302
06.01.2016;03:00;04:00;273
06.01.2016;04:00;05:00;304
06.01.2016;05:00;06:00;389
06.01.2016;06:00;07:00;543
06.01.2016;07:00;08:00;653
06.01.2016;08:00;09:00;689
06.01.2016;09:00;10:00;689
06.01.2016;10:00;11:00;691
06.01.2016;11:00;12:00;692
06.01.2016;12:00;13:00;692
06.01.2016;13:00;14:00;693
06.01.2016;14:00;15:00;692
06.01.2016;15:00;16:00;692
06.01.2016;16:00;17:00;692
06.01.2016;17:00;18:00;695
06.01.2016;18:00;19:00;692
06.01.2016;19:00;20:00;691
06.01.2016;20:00;21:00;691
06.01.2016;21:00;22:00;693
06.01.2016;22:00;23:00;691
06.01.2016;23:00;00:00;652
07.01.2016;00:00;01:00;544
