Datum;Anfang;Ende;Generation_DE BHKW Modul 1-20
 [MW] Originalauflösungen
01.01.2023;00:00;01:00;0
01.01.2023;01:00;02:00;0
01.01.2023;02:00;03:00;0
01.01.2023;03:00;04:00;0
01.01.2023;04:00;05:00;0
01.01.2023;05:00;06:00;0
01.01.2023;06:00;07:00;0
01.01.2023;07:00;08:00;0
01.01.2023;08:00;09:00;0
01.01.2023;09:00;10:00;0
01.01.2023;10:00;11:00;0
01.01.2023;11:00;12:00;0
01.01.2023;12:00;13:00;0
01.01.2023;13:00;14:00;0
01.01.2023;14:00;15:00;0
01.01.2023;15:00;16:00;0
01.01.2023;16:00;17:00;0
01.01.2023;17:00;18:00;0
01.01.2023;18:00;19:00;0
01.01.2023;19:00;20:00;0
01.01.2023;20:00;21:00;0
01.01.2023;21:00;22:00;0
01.01.2023;22:00;23:00;0
01.01.2023;23:00;00:00;0
02.01.2023;00:00;01:00;0
02.01.2023;01:00;02:00;0
02.01.2023;02:00;03:00;0
02.01.2023;03:00;04:00;0
02.01.2023;04:00;05:00;0
02.01.2023;05:00;06:00;0
02.01.2023;06:00;07:00;0
02.01.2023;07:00;08:00;26
02.01.2023;08:00;09:00;49
02.01.2023;09:00;10:00;48
02.01.2023;10:00;11:00;121
02.01.2023;11:00;12:00;149
02.01.2023;12:00;13:00;150
02.01.2023;13:00;14:00;149
02.01.2023;14:00;15:00;149
02.01.2023;15:00;16:00;149
02.01.2023;16:00;17:00;149
02.01.2023;17:00;18:00;148
02.01.2023;18:00;19:00;141
02.01.2023;19:00;20:00;151
02.01.2023;20:00;21:00;159
02.01.2023;21:00;22:00;159
02.01.2023;22:00;23:00;159
02.01.2023;23:00;00:00;161
03.01.2023;00:00;01:00;152
03.01.2023;01:00;02:00;150
03.01.2023;02:00;03:00;73
03.01.2023;03:00;04:00;78
03.01.2023;04:00;05:00;149
03.01.2023;05:00;06:00;158
03.01.2023;06:00;07:00;168
03.01.2023;07:00;08:00;168
03.01.2023;08:00;09:00;168
03.01.2023;09:00;10:00;168
03.01.2023;10:00;11:00;168
03.01.2023;11:00;12:00;158
03.01.2023;12:00;13:00;166
03.01.2023;13:00;14:00;166
03.01.2023;14:00;15:00;166
03.01.2023;15:00;16:00;163
03.01.2023;16:00;17:00;157
03.01.2023;17:00;18:00;157
03.01.2023;18:00;19:00;156
03.01.2023;19:00;20:00;156
03.01.2023;20:00;21:00;149
03.01.2023;21:00;22:00;53
03.01.2023;22:00;23:00;0
03.01.2023;23:00;00:00;0
04.01.2023;00:00;01:00;0
04.01.2023;01:00;02:00;0
04.01.2023;02:00;03:00;0
04.01.2023;03:00;04:00;0
04.01.2023;04:00;05:00;0
04.01.2023;05:00;06:00;0
04.01.2023;06:00;07:00;0
04.01.2023;07:00;08:00;0
04.01.2023;08:00;09:00;0
04.01.2023;09:00;10:00;0
04.01.2023;10:00;11:00;0
04.01.2023;11:00;12:00;0
04.01.2023;12:00;13:00;0
04.01.2023;13:00;14:00;0
04.01.2023;14:00;15:00;0
04.01.2023;15:00;16:00;0
04.01.2023;16:00;17:00;0
04.01.2023;17:00;18:00;0
04.01.2023;18:00;19:00;0
04.01.2023;19:00;20:00;0
04.01.2023;20:00;21:00;0
04.01.2023;21:00;22:00;0
04.01.2023;22:00;23:00;0
04.01.2023;23:00;00:00;0
05.01.2023;00:00;01:00;0
05.01.2023;01:00;02:00;0
05.01.2023;02:00;03:00;0
05.01.2023;03:00;04:00;0
05.01.2023;04:00;05:00;0
05.01.2023;05:00;06:00;0
05.01.2023;06:00;07:00;0
05.01.2023;07:00;08:00;100
05.01.2023;08:00;09:00;126
05.01.2023;09:00;10:00;76
05.01.2023;10:00;11:00;102
05.01.2023;11:00;12:00;104
05.01.2023;12:00;13:00;103
05.01.2023;13:00;14:00;112
05.01.2023;14:00;15:00;112
05.01.2023;15:00;16:00;122
05.01.2023;16:00;17:00;122
05.01.2023;17:00;18:00;121
05.01.2023;18:00;19:00;122
05.01.2023;19:00;20:00;119
05.01.2023;20:00;21:00;122
05.01.2023;21:00;22:00;122
05.01.2023;22:00;23:00;122
05.01.2023;23:00;00:00;108
06.01.2023;00:00;01:00;102
06.01.2023;01:00;02:00;101
06.01.2023;02:00;03:00;55
06.01.2023;03:00;04:00;0
06.01.2023;04:00;05:00;0
06.01.2023;05:00;06:00;0
06.01.2023;06:00;07:00;36
06.01.2023;07:00;08:00;96
06.01.2023;08:00;09:00;113
06.01.2023;09:00;10:00;113
06.01.2023;10:00;11:00;113
06.01.2023;11:00;12:00;110
06.01.2023;12:00;13:00;85
06.01.2023;13:00;14:00;26
06.01.2023;14:00;15:00;87
06.01.2023;15:00;16:00;113
06.01.2023;16:00;17:00;113
06.01.2023;17:00;18:00;113
06.01.2023;18:00;19:00;111
06.01.2023;19:00;20:00;113
06.01.2023;20:00;21:00;113
06.01.2023;21:00;22:00;113
06.01.2023;22:00;23:00;113
06.01.2023;23:00;00:00;57
07.01.2023;00:00;01:00;9
07.01.2023;01:00;02:00;9
07.01.2023;02:00;03:00;5
07.01.2023;03:00;04:00;0
07.01.2023;04:00;05:00;0
07.01.2023;05:00;06:00;0
07.01.2023;06:00;07:00;0
07.01.2023;07:00;08:00;0
07.01.2023;08:00;09:00;0
07.01.2023;09:00;10:00;0
07.01.2023;10:00;11:00;0
07.01.2023;11:00;12:00;0
07.01.2023;12:00;13:00;0
07.01.2023;13:00;14:00;0
07.01.2023;14:00;15:00;0
07.01.2023;15:00;16:00;0
07.01.2023;16:00;17:00;0
07.01.2023;17:00;18:00;7
07.01.2023;18:00;19:00;20
07.01.2023;19:00;20:00;0
07.01.2023;20:00;21:00;0
07.01.2023;21:00;22:00;0
07.01.2023;22:00;23:00;0
07.01.2023;23:00;00:00;0
08.01.2023;00:00;01:00;0
08.01.2023;01:00;02:00;0
08.01.2023;02:00;03:00;0
08.01.2023;03:00;04:00;0
08.01.2023;04:00;05:00;0
08.01.2023;05:00;06:00;0
08.01.2023;06:00;07:00;0
08.01.2023;07:00;08:00;0
08.01.2023;08:00;09:00;0
08.01.2023;09:00;10:00;0
08.01.2023;10:00;11:00;0
08.01.2023;11:00;12:00;0
08.01.2023;12:00;13:00;0
08.01.2023;13:00;14:00;0
08.01.2023;14:00;15:00;29
08.01.2023;15:00;16:00;122
08.01.2023;16:00;17:00;122
08.01.2023;17:00;18:00;122
08.01.2023;18:00;19:00;123
08.01.2023;19:00;20:00;123
08.01.2023;20:00;21:00;123
08.01.2023;21:00;22:00;122
08.01.2023;22:00;23:00;105
08.01.2023;23:00;00:00;21
09.01.2023;00:00;01:00;0
09.01.2023;01:00;02:00;0
09.01.2023;02:00;03:00;0
09.01.2023;03:00;04:00;0
09.01.2023;04:00;05:00;0
09.01.2023;05:00;06:00;0
09.01.2023;06:00;07:00;24
09.01.2023;07:00;08:00;114
09.01.2023;08:00;09:00;117
09.01.2023;09:00;10:00;121
09.01.2023;10:00;11:00;121
09.01.2023;11:00;12:00;121
09.01.2023;12:00;13:00;121
09.01.2023;13:00;14:00;121
09.01.2023;14:00;15:00;121
09.01.2023;15:00;16:00;121
09.01.2023;16:00;17:00;121
09.01.2023;17:00;18:00;122
09.01.2023;18:00;19:00;118
09.01.2023;19:00;20:00;114
09.01.2023;20:00;21:00;108
09.01.2023;21:00;22:00;111
09.01.2023;22:00;23:00;114
09.01.2023;23:00;00:00;115
10.01.2023;00:00;01:00;112
10.01.2023;01:00;02:00;45
10.01.2023;02:00;03:00;9
10.01.2023;03:00;04:00;0
10.01.2023;04:00;05:00;0
10.01.2023;05:00;06:00;41
10.01.2023;06:00;07:00;107
10.01.2023;07:00;08:00;112
10.01.2023;08:00;09:00;112
10.01.2023;09:00;10:00;112
10.01.2023;10:00;11:00;112
10.01.2023;11:00;12:00;112
10.01.2023;12:00;13:00;111
10.01.2023;13:00;14:00;121
10.01.2023;14:00;15:00;121
10.01.2023;15:00;16:00;122
10.01.2023;16:00;17:00;121
10.01.2023;17:00;18:00;122
10.01.2023;18:00;19:00;122
10.01.2023;19:00;20:00;122
10.01.2023;20:00;21:00;33
10.01.2023;21:00;22:00;0
10.01.2023;22:00;23:00;0
10.01.2023;23:00;00:00;0
11.01.2023;00:00;01:00;0
11.01.2023;01:00;02:00;0
11.01.2023;02:00;03:00;0
11.01.2023;03:00;04:00;0
11.01.2023;04:00;05:00;0
11.01.2023;05:00;06:00;0
11.01.2023;06:00;07:00;0
11.01.2023;07:00;08:00;103
11.01.2023;08:00;09:00;132
11.01.2023;09:00;10:00;132
11.01.2023;10:00;11:00;132
11.01.2023;11:00;12:00;132
11.01.2023;12:00;13:00;132
11.01.2023;13:00;14:00;129
11.01.2023;14:00;15:00;132
11.01.2023;15:00;16:00;132
11.01.2023;16:00;17:00;132
11.01.2023;17:00;18:00;113
11.01.2023;18:00;19:00;73
11.01.2023;19:00;20:00;13
11.01.2023;20:00;21:00;0
11.01.2023;21:00;22:00;0
11.01.2023;22:00;23:00;0
11.01.2023;23:00;00:00;0
12.01.2023;00:00;01:00;0
12.01.2023;01:00;02:00;0
12.01.2023;02:00;03:00;0
12.01.2023;03:00;04:00;0
12.01.2023;04:00;05:00;0
12.01.2023;05:00;06:00;0
12.01.2023;06:00;07:00;0
12.01.2023;07:00;08:00;0
12.01.2023;08:00;09:00;0
12.01.2023;09:00;10:00;0
12.01.2023;10:00;11:00;0
12.01.2023;11:00;12:00;2
12.01.2023;12:00;13:00;9
12.01.2023;13:00;14:00;3
12.01.2023;14:00;15:00;0
12.01.2023;15:00;16:00;46
12.01.2023;16:00;17:00;105
12.01.2023;17:00;18:00;108
12.01.2023;18:00;19:00;110
12.01.2023;19:00;20:00;37
12.01.2023;20:00;21:00;0
12.01.2023;21:00;22:00;0
12.01.2023;22:00;23:00;0
12.01.2023;23:00;00:00;0
13.01.2023;00:00;01:00;0
13.01.2023;01:00;02:00;0
13.01.2023;02:00;03:00;0
13.01.2023;03:00;04:00;0
13.01.2023;04:00;05:00;0
13.01.2023;05:00;06:00;0
13.01.2023;06:00;07:00;0
13.01.2023;07:00;08:00;39
13.01.2023;08:00;09:00;111
13.01.2023;09:00;10:00;112
13.01.2023;10:00;11:00;113
13.01.2023;11:00;12:00;69
13.01.2023;12:00;13:00;9
13.01.2023;13:00;14:00;0
13.01.2023;14:00;15:00;0
13.01.2023;15:00;16:00;0
13.01.2023;16:00;17:00;0
13.01.2023;17:00;18:00;32
13.01.2023;18:00;19:00;121
13.01.2023;19:00;20:00;122
13.01.2023;20:00;21:00;116
13.01.2023;21:00;22:00;93
13.01.2023;22:00;23:00;46
13.01.2023;23:00;00:00;0
14.01.2023;00:00;01:00;0
14.01.2023;01:00;02:00;0
14.01.2023;02:00;03:00;0
14.01.2023;03:00;04:00;0
14.01.2023;04:00;05:00;0
14.01.2023;05:00;06:00;0
14.01.2023;06:00;07:00;0
14.01.2023;07:00;08:00;0
14.01.2023;08:00;09:00;0
14.01.2023;09:00;10:00;0
14.01.2023;10:00;11:00;0
14.01.2023;11:00;12:00;0
14.01.2023;12:00;13:00;0
14.01.2023;13:00;14:00;0
14.01.2023;14:00;15:00;0
14.01.2023;15:00;16:00;0
14.01.2023;16:00;17:00;0
14.01.2023;17:00;18:00;0
14.01.2023;18:00;19:00;0
14.01.2023;19:00;20:00;0
14.01.2023;20:00;21:00;0
14.01.2023;21:00;22:00;0
14.01.2023;22:00;23:00;0
14.01.2023;23:00;00:00;0
15.01.2023;00:00;01:00;0
15.01.2023;01:00;02:00;0
15.01.2023;02:00;03:00;0
15.01.2023;03:00;04:00;0
15.01.2023;04:00;05:00;0
15.01.2023;05:00;06:00;0
15.01.2023;06:00;07:00;0
15.01.2023;07:00;08:00;0
15.01.2023;08:00;09:00;0
15.01.2023;09:00;10:00;0
15.01.2023;10:00;11:00;0
15.01.2023;11:00;12:00;0
15.01.2023;12:00;13:00;0
15.01.2023;13:00;14:00;0
15.01.2023;14:00;15:00;0
15.01.2023;15:00;16:00;0
15.01.2023;16:00;17:00;0
15.01.2023;17:00;18:00;0
15.01.2023;18:00;19:00;0
15.01.2023;19:00;20:00;0
15.01.2023;20:00;21:00;0
15.01.2023;21:00;22:00;4
15.01.2023;22:00;23:00;3
15.01.2023;23:00;00:00;0
16.01.2023;00:00;01:00;0
16.01.2023;01:00;02:00;0
16.01.2023;02:00;03:00;0
16.01.2023;03:00;04:00;0
16.01.2023;04:00;05:00;0
16.01.2023;05:00;06:00;0
16.01.2023;06:00;07:00;69
16.01.2023;07:00;08:00;100
16.01.2023;08:00;09:00;102
16.01.2023;09:00;10:00;110
16.01.2023;10:00;11:00;110
16.01.2023;11:00;12:00;108
16.01.2023;12:00;13:00;110
16.01.2023;13:00;14:00;110
16.01.2023;14:00;15:00;110
16.01.2023;15:00;16:00;109
16.01.2023;16:00;17:00;117
16.01.2023;17:00;18:00;119
16.01.2023;18:00;19:00;119
16.01.2023;19:00;20:00;119
16.01.2023;20:00;21:00;119
16.01.2023;21:00;22:00;120
16.01.2023;22:00;23:00;120
16.01.2023;23:00;00:00;112
17.01.2023;00:00;01:00;64
17.01.2023;01:00;02:00;6
17.01.2023;02:00;03:00;0
17.01.2023;03:00;04:00;0
17.01.2023;04:00;05:00;0
17.01.2023;05:00;06:00;58
17.01.2023;06:00;07:00;119
17.01.2023;07:00;08:00;119
17.01.2023;08:00;09:00;119
17.01.2023;09:00;10:00;119
17.01.2023;10:00;11:00;119
17.01.2023;11:00;12:00;118
17.01.2023;12:00;13:00;116
17.01.2023;13:00;14:00;119
17.01.2023;14:00;15:00;117
17.01.2023;15:00;16:00;110
17.01.2023;16:00;17:00;110
17.01.2023;17:00;18:00;110
17.01.2023;18:00;19:00;110
17.01.2023;19:00;20:00;109
17.01.2023;20:00;21:00;110
17.01.2023;21:00;22:00;116
17.01.2023;22:00;23:00;122
17.01.2023;23:00;00:00;122
18.01.2023;00:00;01:00;122
18.01.2023;01:00;02:00;122
18.01.2023;02:00;03:00;122
18.01.2023;03:00;04:00;122
18.01.2023;04:00;05:00;122
18.01.2023;05:00;06:00;122
18.01.2023;06:00;07:00;122
18.01.2023;07:00;08:00;122
18.01.2023;08:00;09:00;122
18.01.2023;09:00;10:00;122
18.01.2023;10:00;11:00;122
18.01.2023;11:00;12:00;122
18.01.2023;12:00;13:00;122
18.01.2023;13:00;14:00;122
18.01.2023;14:00;15:00;122
18.01.2023;15:00;16:00;123
18.01.2023;16:00;17:00;122
18.01.2023;17:00;18:00;122
18.01.2023;18:00;19:00;122
18.01.2023;19:00;20:00;122
18.01.2023;20:00;21:00;122
18.01.2023;21:00;22:00;114
18.01.2023;22:00;23:00;113
18.01.2023;23:00;00:00;121
19.01.2023;00:00;01:00;76
19.01.2023;01:00;02:00;102
19.01.2023;02:00;03:00;86
19.01.2023;03:00;04:00;111
19.01.2023;04:00;05:00;111
19.01.2023;05:00;06:00;113
19.01.2023;06:00;07:00;113
19.01.2023;07:00;08:00;112
19.01.2023;08:00;09:00;112
19.01.2023;09:00;10:00;112
19.01.2023;10:00;11:00;113
19.01.2023;11:00;12:00;112
19.01.2023;12:00;13:00;112
19.01.2023;13:00;14:00;112
19.01.2023;14:00;15:00;112
19.01.2023;15:00;16:00;112
19.01.2023;16:00;17:00;112
19.01.2023;17:00;18:00;113
19.01.2023;18:00;19:00;113
19.01.2023;19:00;20:00;113
19.01.2023;20:00;21:00;113
19.01.2023;21:00;22:00;113
19.01.2023;22:00;23:00;113
19.01.2023;23:00;00:00;113
20.01.2023;00:00;01:00;108
20.01.2023;01:00;02:00;104
20.01.2023;02:00;03:00;94
20.01.2023;03:00;04:00;96
20.01.2023;04:00;05:00;101
20.01.2023;05:00;06:00;101
20.01.2023;06:00;07:00;98
20.01.2023;07:00;08:00;95
20.01.2023;08:00;09:00;102
20.01.2023;09:00;10:00;102
20.01.2023;10:00;11:00;112
20.01.2023;11:00;12:00;112
20.01.2023;12:00;13:00;111
20.01.2023;13:00;14:00;107
20.01.2023;14:00;15:00;113
20.01.2023;15:00;16:00;112
20.01.2023;16:00;17:00;112
20.01.2023;17:00;18:00;113
20.01.2023;18:00;19:00;113
20.01.2023;19:00;20:00;113
20.01.2023;20:00;21:00;108
20.01.2023;21:00;22:00;107
20.01.2023;22:00;23:00;113
20.01.2023;23:00;00:00;113
21.01.2023;00:00;01:00;113
21.01.2023;01:00;02:00;112
21.01.2023;02:00;03:00;112
21.01.2023;03:00;04:00;112
21.01.2023;04:00;05:00;112
21.01.2023;05:00;06:00;112
21.01.2023;06:00;07:00;113
21.01.2023;07:00;08:00;112
21.01.2023;08:00;09:00;112
21.01.2023;09:00;10:00;113
21.01.2023;10:00;11:00;112
21.01.2023;11:00;12:00;112
21.01.2023;12:00;13:00;112
21.01.2023;13:00;14:00;112
21.01.2023;14:00;15:00;113
21.01.2023;15:00;16:00;113
21.01.2023;16:00;17:00;113
21.01.2023;17:00;18:00;113
21.01.2023;18:00;19:00;113
21.01.2023;19:00;20:00;113
21.01.2023;20:00;21:00;112
21.01.2023;21:00;22:00;106
21.01.2023;22:00;23:00;109
21.01.2023;23:00;00:00;110
22.01.2023;00:00;01:00;111
22.01.2023;01:00;02:00;112
22.01.2023;02:00;03:00;113
22.01.2023;03:00;04:00;113
22.01.2023;04:00;05:00;113
22.01.2023;05:00;06:00;110
22.01.2023;06:00;07:00;100
22.01.2023;07:00;08:00;100
22.01.2023;08:00;09:00;110
22.01.2023;09:00;10:00;110
22.01.2023;10:00;11:00;110
22.01.2023;11:00;12:00;109
22.01.2023;12:00;13:00;111
22.01.2023;13:00;14:00;112
22.01.2023;14:00;15:00;113
22.01.2023;15:00;16:00;113
22.01.2023;16:00;17:00;112
22.01.2023;17:00;18:00;117
22.01.2023;18:00;19:00;110
22.01.2023;19:00;20:00;103
22.01.2023;20:00;21:00;103
22.01.2023;21:00;22:00;112
22.01.2023;22:00;23:00;112
22.01.2023;23:00;00:00;112
23.01.2023;00:00;01:00;112
23.01.2023;01:00;02:00;112
23.01.2023;02:00;03:00;112
23.01.2023;03:00;04:00;112
23.01.2023;04:00;05:00;112
23.01.2023;05:00;06:00;112
23.01.2023;06:00;07:00;112
23.01.2023;07:00;08:00;113
23.01.2023;08:00;09:00;116
23.01.2023;09:00;10:00;112
23.01.2023;10:00;11:00;107
23.01.2023;11:00;12:00;108
23.01.2023;12:00;13:00;119
23.01.2023;13:00;14:00;120
23.01.2023;14:00;15:00;122
23.01.2023;15:00;16:00;122
23.01.2023;16:00;17:00;119
23.01.2023;17:00;18:00;112
23.01.2023;18:00;19:00;112
23.01.2023;19:00;20:00;122
23.01.2023;20:00;21:00;122
23.01.2023;21:00;22:00;122
23.01.2023;22:00;23:00;122
23.01.2023;23:00;00:00;122
24.01.2023;00:00;01:00;122
24.01.2023;01:00;02:00;122
24.01.2023;02:00;03:00;122
24.01.2023;03:00;04:00;122
24.01.2023;04:00;05:00;122
24.01.2023;05:00;06:00;122
24.01.2023;06:00;07:00;122
24.01.2023;07:00;08:00;120
24.01.2023;08:00;09:00;117
24.01.2023;09:00;10:00;122
24.01.2023;10:00;11:00;122
24.01.2023;11:00;12:00;121
24.01.2023;12:00;13:00;122
24.01.2023;13:00;14:00;122
24.01.2023;14:00;15:00;122
24.01.2023;15:00;16:00;122
24.01.2023;16:00;17:00;122
24.01.2023;17:00;18:00;122
24.01.2023;18:00;19:00;122
24.01.2023;19:00;20:00;122
24.01.2023;20:00;21:00;122
24.01.2023;21:00;22:00;122
24.01.2023;22:00;23:00;122
24.01.2023;23:00;00:00;122
25.01.2023;00:00;01:00;122
25.01.2023;01:00;02:00;122
25.01.2023;02:00;03:00;122
25.01.2023;03:00;04:00;122
25.01.2023;04:00;05:00;122
