Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;62
01.01.2022;01:00;02:00;43
01.01.2022;02:00;03:00;17
01.01.2022;03:00;04:00;11
01.01.2022;04:00;05:00;0
01.01.2022;05:00;06:00;0
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;0
01.01.2022;08:00;09:00;0
01.01.2022;09:00;10:00;0
01.01.2022;10:00;11:00;0
01.01.2022;11:00;12:00;0
01.01.2022;12:00;13:00;0
01.01.2022;13:00;14:00;0
01.01.2022;14:00;15:00;0
01.01.2022;15:00;16:00;0
01.01.2022;16:00;17:00;0
01.01.2022;17:00;18:00;0
01.01.2022;18:00;19:00;0
01.01.2022;19:00;20:00;0
01.01.2022;20:00;21:00;0
01.01.2022;21:00;22:00;0
01.01.2022;22:00;23:00;0
01.01.2022;23:00;00:00;0
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;0
02.01.2022;02:00;03:00;0
02.01.2022;03:00;04:00;0
02.01.2022;04:00;05:00;0
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;0
02.01.2022;09:00;10:00;46
02.01.2022;10:00;11:00;22
02.01.2022;11:00;12:00;28
02.01.2022;12:00;13:00;13
02.01.2022;13:00;14:00;18
02.01.2022;14:00;15:00;30
02.01.2022;15:00;16:00;17
02.01.2022;16:00;17:00;26
02.01.2022;17:00;18:00;28
02.01.2022;18:00;19:00;24
02.01.2022;19:00;20:00;16
02.01.2022;20:00;21:00;11
02.01.2022;21:00;22:00;28
02.01.2022;22:00;23:00;41
02.01.2022;23:00;00:00;16
03.01.2022;00:00;01:00;13
03.01.2022;01:00;02:00;9
03.01.2022;02:00;03:00;9
03.01.2022;03:00;04:00;9
03.01.2022;04:00;05:00;11
03.01.2022;05:00;06:00;9
03.01.2022;06:00;07:00;11
03.01.2022;07:00;08:00;8
03.01.2022;08:00;09:00;0
03.01.2022;09:00;10:00;0
03.01.2022;10:00;11:00;0
03.01.2022;11:00;12:00;0
03.01.2022;12:00;13:00;0
03.01.2022;13:00;14:00;0
03.01.2022;14:00;15:00;16
03.01.2022;15:00;16:00;41
03.01.2022;16:00;17:00;33
03.01.2022;17:00;18:00;38
03.01.2022;18:00;19:00;51
03.01.2022;19:00;20:00;51
03.01.2022;20:00;21:00;96
03.01.2022;21:00;22:00;76
03.01.2022;22:00;23:00;27
03.01.2022;23:00;00:00;36
04.01.2022;00:00;01:00;46
04.01.2022;01:00;02:00;24
04.01.2022;02:00;03:00;38
04.01.2022;03:00;04:00;63
04.01.2022;04:00;05:00;64
04.01.2022;05:00;06:00;55
04.01.2022;06:00;07:00;55
04.01.2022;07:00;08:00;121
04.01.2022;08:00;09:00;149
04.01.2022;09:00;10:00;191
04.01.2022;10:00;11:00;191
04.01.2022;11:00;12:00;138
04.01.2022;12:00;13:00;147
04.01.2022;13:00;14:00;107
04.01.2022;14:00;15:00;119
04.01.2022;15:00;16:00;198
04.01.2022;16:00;17:00;137
04.01.2022;17:00;18:00;164
04.01.2022;18:00;19:00;147
04.01.2022;19:00;20:00;127
04.01.2022;20:00;21:00;100
04.01.2022;21:00;22:00;96
04.01.2022;22:00;23:00;74
04.01.2022;23:00;00:00;78
05.01.2022;00:00;01:00;4
05.01.2022;01:00;02:00;0
05.01.2022;02:00;03:00;0
05.01.2022;03:00;04:00;0
05.01.2022;04:00;05:00;0
05.01.2022;05:00;06:00;0
05.01.2022;06:00;07:00;14
05.01.2022;07:00;08:00;103
05.01.2022;08:00;09:00;60
05.01.2022;09:00;10:00;48
05.01.2022;10:00;11:00;6
05.01.2022;11:00;12:00;0
05.01.2022;12:00;13:00;0
05.01.2022;13:00;14:00;0
05.01.2022;14:00;15:00;0
05.01.2022;15:00;16:00;0
05.01.2022;16:00;17:00;0
05.01.2022;17:00;18:00;32
05.01.2022;18:00;19:00;14
05.01.2022;19:00;20:00;14
05.01.2022;20:00;21:00;31
05.01.2022;21:00;22:00;9
05.01.2022;22:00;23:00;10
05.01.2022;23:00;00:00;12
06.01.2022;00:00;01:00;1
06.01.2022;01:00;02:00;14
06.01.2022;02:00;03:00;15
06.01.2022;03:00;04:00;12
06.01.2022;04:00;05:00;40
06.01.2022;05:00;06:00;18
06.01.2022;06:00;07:00;71
06.01.2022;07:00;08:00;87
06.01.2022;08:00;09:00;118
06.01.2022;09:00;10:00;80
06.01.2022;10:00;11:00;96
06.01.2022;11:00;12:00;93
06.01.2022;12:00;13:00;36
06.01.2022;13:00;14:00;32
06.01.2022;14:00;15:00;39
06.01.2022;15:00;16:00;65
06.01.2022;16:00;17:00;97
06.01.2022;17:00;18:00;106
06.01.2022;18:00;19:00;99
06.01.2022;19:00;20:00;97
06.01.2022;20:00;21:00;69
06.01.2022;21:00;22:00;37
06.01.2022;22:00;23:00;19
06.01.2022;23:00;00:00;19
07.01.2022;00:00;01:00;18
07.01.2022;01:00;02:00;16
07.01.2022;02:00;03:00;10
07.01.2022;03:00;04:00;3
07.01.2022;04:00;05:00;0
07.01.2022;05:00;06:00;0
07.01.2022;06:00;07:00;36
07.01.2022;07:00;08:00;44
07.01.2022;08:00;09:00;60
07.01.2022;09:00;10:00;49
07.01.2022;10:00;11:00;45
07.01.2022;11:00;12:00;46
07.01.2022;12:00;13:00;40
07.01.2022;13:00;14:00;45
07.01.2022;14:00;15:00;51
07.01.2022;15:00;16:00;42
07.01.2022;16:00;17:00;51
07.01.2022;17:00;18:00;119
07.01.2022;18:00;19:00;168
07.01.2022;19:00;20:00;172
07.01.2022;20:00;21:00;67
07.01.2022;21:00;22:00;26
07.01.2022;22:00;23:00;21
07.01.2022;23:00;00:00;22
08.01.2022;00:00;01:00;80
08.01.2022;01:00;02:00;35
08.01.2022;02:00;03:00;44
08.01.2022;03:00;04:00;37
08.01.2022;04:00;05:00;56
08.01.2022;05:00;06:00;15
08.01.2022;06:00;07:00;55
08.01.2022;07:00;08:00;27
08.01.2022;08:00;09:00;0
08.01.2022;09:00;10:00;0
08.01.2022;10:00;11:00;0
08.01.2022;11:00;12:00;0
08.01.2022;12:00;13:00;0
08.01.2022;13:00;14:00;0
08.01.2022;14:00;15:00;0
08.01.2022;15:00;16:00;0
08.01.2022;16:00;17:00;36
08.01.2022;17:00;18:00;52
08.01.2022;18:00;19:00;40
08.01.2022;19:00;20:00;1
08.01.2022;20:00;21:00;0
08.01.2022;21:00;22:00;0
08.01.2022;22:00;23:00;0
08.01.2022;23:00;00:00;0
09.01.2022;00:00;01:00;0
09.01.2022;01:00;02:00;0
09.01.2022;02:00;03:00;0
09.01.2022;03:00;04:00;0
09.01.2022;04:00;05:00;0
09.01.2022;05:00;06:00;0
09.01.2022;06:00;07:00;0
09.01.2022;07:00;08:00;0
09.01.2022;08:00;09:00;0
09.01.2022;09:00;10:00;0
09.01.2022;10:00;11:00;0
09.01.2022;11:00;12:00;0
09.01.2022;12:00;13:00;0
09.01.2022;13:00;14:00;0
09.01.2022;14:00;15:00;0
09.01.2022;15:00;16:00;0
09.01.2022;16:00;17:00;0
09.01.2022;17:00;18:00;0
09.01.2022;18:00;19:00;0
09.01.2022;19:00;20:00;0
09.01.2022;20:00;21:00;0
09.01.2022;21:00;22:00;0
09.01.2022;22:00;23:00;0
09.01.2022;23:00;00:00;0
10.01.2022;00:00;01:00;0
10.01.2022;01:00;02:00;0
10.01.2022;02:00;03:00;0
10.01.2022;03:00;04:00;2
10.01.2022;04:00;05:00;45
10.01.2022;05:00;06:00;63
10.01.2022;06:00;07:00;107
10.01.2022;07:00;08:00;139
10.01.2022;08:00;09:00;171
10.01.2022;09:00;10:00;173
10.01.2022;10:00;11:00;155
10.01.2022;11:00;12:00;151
10.01.2022;12:00;13:00;171
10.01.2022;13:00;14:00;187
10.01.2022;14:00;15:00;183
10.01.2022;15:00;16:00;169
10.01.2022;16:00;17:00;114
10.01.2022;17:00;18:00;162
10.01.2022;18:00;19:00;124
10.01.2022;19:00;20:00;108
10.01.2022;20:00;21:00;112
10.01.2022;21:00;22:00;107
10.01.2022;22:00;23:00;13
10.01.2022;23:00;00:00;0
11.01.2022;00:00;01:00;0
11.01.2022;01:00;02:00;0
11.01.2022;02:00;03:00;0
