Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2017;00:00;01:00;0
01.01.2017;01:00;02:00;0
01.01.2017;02:00;03:00;0
01.01.2017;03:00;04:00;0
01.01.2017;04:00;05:00;0
01.01.2017;05:00;06:00;0
01.01.2017;06:00;07:00;0
01.01.2017;07:00;08:00;0
01.01.2017;08:00;09:00;0
01.01.2017;09:00;10:00;0
01.01.2017;10:00;11:00;0
01.01.2017;11:00;12:00;0
01.01.2017;12:00;13:00;0
01.01.2017;13:00;14:00;0
01.01.2017;14:00;15:00;0
01.01.2017;15:00;16:00;19
01.01.2017;16:00;17:00;376
01.01.2017;17:00;18:00;371
01.01.2017;18:00;19:00;400
01.01.2017;19:00;20:00;205
01.01.2017;20:00;21:00;2
01.01.2017;21:00;22:00;0
01.01.2017;22:00;23:00;0
01.01.2017;23:00;00:00;0
02.01.2017;00:00;01:00;0
02.01.2017;01:00;02:00;0
02.01.2017;02:00;03:00;0
02.01.2017;03:00;04:00;0
02.01.2017;04:00;05:00;0
02.01.2017;05:00;06:00;0
02.01.2017;06:00;07:00;0
02.01.2017;07:00;08:00;177
02.01.2017;08:00;09:00;346
02.01.2017;09:00;10:00;374
02.01.2017;10:00;11:00;399
02.01.2017;11:00;12:00;392
02.01.2017;12:00;13:00;399
02.01.2017;13:00;14:00;396
02.01.2017;14:00;15:00;410
02.01.2017;15:00;16:00;403
02.01.2017;16:00;17:00;388
02.01.2017;17:00;18:00;401
02.01.2017;18:00;19:00;383
02.01.2017;19:00;20:00;179
02.01.2017;20:00;21:00;0
02.01.2017;21:00;22:00;0
02.01.2017;22:00;23:00;0
02.01.2017;23:00;00:00;0
03.01.2017;00:00;01:00;0
03.01.2017;01:00;02:00;0
03.01.2017;02:00;03:00;0
03.01.2017;03:00;04:00;0
03.01.2017;04:00;05:00;0
03.01.2017;05:00;06:00;0
03.01.2017;06:00;07:00;0
03.01.2017;07:00;08:00;0
03.01.2017;08:00;09:00;0
03.01.2017;09:00;10:00;0
03.01.2017;10:00;11:00;0
03.01.2017;11:00;12:00;0
03.01.2017;12:00;13:00;0
03.01.2017;13:00;14:00;0
03.01.2017;14:00;15:00;0
03.01.2017;15:00;16:00;0
03.01.2017;16:00;17:00;0
03.01.2017;17:00;18:00;0
03.01.2017;18:00;19:00;0
03.01.2017;19:00;20:00;0
03.01.2017;20:00;21:00;0
03.01.2017;21:00;22:00;0
