Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2017;00:00;01:00;0
01.01.2017;01:00;02:00;0
01.01.2017;02:00;03:00;0
01.01.2017;03:00;04:00;0
01.01.2017;04:00;05:00;0
01.01.2017;05:00;06:00;0
01.01.2017;06:00;07:00;0
01.01.2017;07:00;08:00;0
01.01.2017;08:00;09:00;0
01.01.2017;09:00;10:00;0
01.01.2017;10:00;11:00;0
01.01.2017;11:00;12:00;0
01.01.2017;12:00;13:00;0
01.01.2017;13:00;14:00;0
01.01.2017;14:00;15:00;0
01.01.2017;15:00;16:00;7
01.01.2017;16:00;17:00;52
01.01.2017;17:00;18:00;51
01.01.2017;18:00;19:00;94
01.01.2017;19:00;20:00;93
01.01.2017;20:00;21:00;84
01.01.2017;21:00;22:00;75
01.01.2017;22:00;23:00;51
01.01.2017;23:00;00:00;0
02.01.2017;00:00;01:00;0
02.01.2017;01:00;02:00;0
02.01.2017;02:00;03:00;0
02.01.2017;03:00;04:00;0
02.01.2017;04:00;05:00;0
02.01.2017;05:00;06:00;0
02.01.2017;06:00;07:00;14
02.01.2017;07:00;08:00;81
02.01.2017;08:00;09:00;84
02.01.2017;09:00;10:00;90
02.01.2017;10:00;11:00;95
02.01.2017;11:00;12:00;96
02.01.2017;12:00;13:00;97
02.01.2017;13:00;14:00;95
02.01.2017;14:00;15:00;96
02.01.2017;15:00;16:00;97
02.01.2017;16:00;17:00;93
02.01.2017;17:00;18:00;97
02.01.2017;18:00;19:00;90
02.01.2017;19:00;20:00;75
02.01.2017;20:00;21:00;23
02.01.2017;21:00;22:00;69
02.01.2017;22:00;23:00;53
02.01.2017;23:00;00:00;8
03.01.2017;00:00;01:00;0
03.01.2017;01:00;02:00;0
03.01.2017;02:00;03:00;0
03.01.2017;03:00;04:00;0
03.01.2017;04:00;05:00;0
03.01.2017;05:00;06:00;0
03.01.2017;06:00;07:00;15
03.01.2017;07:00;08:00;43
03.01.2017;08:00;09:00;81
03.01.2017;09:00;10:00;89
03.01.2017;10:00;11:00;19
03.01.2017;11:00;12:00;23
03.01.2017;12:00;13:00;38
03.01.2017;13:00;14:00;25
03.01.2017;14:00;15:00;41
03.01.2017;15:00;16:00;43
03.01.2017;16:00;17:00;49
03.01.2017;17:00;18:00;46
03.01.2017;18:00;19:00;17
03.01.2017;19:00;20:00;2
03.01.2017;20:00;21:00;0
03.01.2017;21:00;22:00;0
