Date;Start;End;Generation_DE  [MW] Original resolutions
01.01.2021;00:00;01:00;42
01.01.2021;01:00;02:00;46
01.01.2021;02:00;03:00;41
01.01.2021;03:00;04:00;43
01.01.2021;04:00;05:00;35
01.01.2021;05:00;06:00;37
01.01.2021;06:00;07:00;41
01.01.2021;07:00;08:00;41
01.01.2021;08:00;09:00;42
01.01.2021;09:00;10:00;43
01.01.2021;10:00;11:00;42
01.01.2021;11:00;12:00;43
01.01.2021;12:00;13:00;42
01.01.2021;13:00;14:00;42
01.01.2021;14:00;15:00;42
01.01.2021;15:00;16:00;42
01.01.2021;16:00;17:00;43
01.01.2021;17:00;18:00;44
01.01.2021;18:00;19:00;44
01.01.2021;19:00;20:00;43
01.01.2021;20:00;21:00;43
01.01.2021;21:00;22:00;42
01.01.2021;22:00;23:00;37
01.01.2021;23:00;00:00;40
02.01.2021;00:00;01:00;38
02.01.2021;01:00;02:00;28
02.01.2021;02:00;03:00;0
02.01.2021;03:00;04:00;0
02.01.2021;04:00;05:00;0
02.01.2021;05:00;06:00;0
02.01.2021;06:00;07:00;24
02.01.2021;07:00;08:00;39
02.01.2021;08:00;09:00;41
02.01.2021;09:00;10:00;42
02.01.2021;10:00;11:00;44
02.01.2021;11:00;12:00;43
02.01.2021;12:00;13:00;43
02.01.2021;13:00;14:00;43
02.01.2021;14:00;15:00;42
02.01.2021;15:00;16:00;35
02.01.2021;16:00;17:00;0
02.01.2021;17:00;18:00;42
02.01.2021;18:00;19:00;44
02.01.2021;19:00;20:00;43
02.01.2021;20:00;21:00;40
02.01.2021;21:00;22:00;36
02.01.2021;22:00;23:00;45
02.01.2021;23:00;00:00;32
03.01.2021;00:00;01:00;41
03.01.2021;01:00;02:00;41
03.01.2021;02:00;03:00;0
03.01.2021;03:00;04:00;0
03.01.2021;04:00;05:00;0
03.01.2021;05:00;06:00;0
03.01.2021;06:00;07:00;0
03.01.2021;07:00;08:00;0
03.01.2021;08:00;09:00;0
03.01.2021;09:00;10:00;0
03.01.2021;10:00;11:00;0
03.01.2021;11:00;12:00;0
03.01.2021;12:00;13:00;0
03.01.2021;13:00;14:00;0
03.01.2021;14:00;15:00;0
03.01.2021;15:00;16:00;0
03.01.2021;16:00;17:00;4
03.01.2021;17:00;18:00;45
03.01.2021;18:00;19:00;45
03.01.2021;19:00;20:00;43
03.01.2021;20:00;21:00;44
03.01.2021;21:00;22:00;45
03.01.2021;22:00;23:00;27
03.01.2021;23:00;00:00;0
04.01.2021;00:00;01:00;0
04.01.2021;01:00;02:00;0
04.01.2021;02:00;03:00;0
04.01.2021;03:00;04:00;0
04.01.2021;04:00;05:00;0
04.01.2021;05:00;06:00;0
04.01.2021;06:00;07:00;0
04.01.2021;07:00;08:00;10
04.01.2021;08:00;09:00;48
04.01.2021;09:00;10:00;47
04.01.2021;10:00;11:00;44
04.01.2021;11:00;12:00;47
04.01.2021;12:00;13:00;43
04.01.2021;13:00;14:00;45
04.01.2021;14:00;15:00;45
04.01.2021;15:00;16:00;42
04.01.2021;16:00;17:00;42
04.01.2021;17:00;18:00;46
04.01.2021;18:00;19:00;44
04.01.2021;19:00;20:00;42
04.01.2021;20:00;21:00;19
04.01.2021;21:00;22:00;0
04.01.2021;22:00;23:00;0
04.01.2021;23:00;00:00;0
05.01.2021;00:00;01:00;0
05.01.2021;01:00;02:00;0
05.01.2021;02:00;03:00;0
05.01.2021;03:00;04:00;0
05.01.2021;04:00;05:00;0
05.01.2021;05:00;06:00;0
05.01.2021;06:00;07:00;11
05.01.2021;07:00;08:00;45
05.01.2021;08:00;09:00;44
05.01.2021;09:00;10:00;35
05.01.2021;10:00;11:00;38
05.01.2021;11:00;12:00;39
05.01.2021;12:00;13:00;38
05.01.2021;13:00;14:00;36
05.01.2021;14:00;15:00;39
05.01.2021;15:00;16:00;35
05.01.2021;16:00;17:00;40
05.01.2021;17:00;18:00;41
05.01.2021;18:00;19:00;36
05.01.2021;19:00;20:00;37
05.01.2021;20:00;21:00;1
05.01.2021;21:00;22:00;0
05.01.2021;22:00;23:00;0
05.01.2021;23:00;00:00;0
06.01.2021;00:00;01:00;0
06.01.2021;01:00;02:00;0
06.01.2021;02:00;03:00;0
06.01.2021;03:00;04:00;0
06.01.2021;04:00;05:00;0
06.01.2021;05:00;06:00;0
06.01.2021;06:00;07:00;35
06.01.2021;07:00;08:00;30
06.01.2021;08:00;09:00;37
06.01.2021;09:00;10:00;42
06.01.2021;10:00;11:00;41
06.01.2021;11:00;12:00;42
06.01.2021;12:00;13:00;41
06.01.2021;13:00;14:00;42
06.01.2021;14:00;15:00;41
06.01.2021;15:00;16:00;42
06.01.2021;16:00;17:00;43
06.01.2021;17:00;18:00;44
06.01.2021;18:00;19:00;43
06.01.2021;19:00;20:00;33
06.01.2021;20:00;21:00;0
06.01.2021;21:00;22:00;0
06.01.2021;22:00;23:00;0
06.01.2021;23:00;00:00;0
07.01.2021;00:00;01:00;0
07.01.2021;01:00;02:00;0
07.01.2021;02:00;03:00;0
07.01.2021;03:00;04:00;0
07.01.2021;04:00;05:00;0
07.01.2021;05:00;06:00;0
07.01.2021;06:00;07:00;1
07.01.2021;07:00;08:00;45
07.01.2021;08:00;09:00;42
07.01.2021;09:00;10:00;43
07.01.2021;10:00;11:00;42
07.01.2021;11:00;12:00;41
07.01.2021;12:00;13:00;44
07.01.2021;13:00;14:00;45
07.01.2021;14:00;15:00;42
07.01.2021;15:00;16:00;43
07.01.2021;16:00;17:00;39
07.01.2021;17:00;18:00;40
07.01.2021;18:00;19:00;40
07.01.2021;19:00;20:00;40
07.01.2021;20:00;21:00;40
07.01.2021;21:00;22:00;7
07.01.2021;22:00;23:00;0
07.01.2021;23:00;00:00;0
08.01.2021;00:00;01:00;0
08.01.2021;01:00;02:00;0
08.01.2021;02:00;03:00;0
08.01.2021;03:00;04:00;0
08.01.2021;04:00;05:00;0
08.01.2021;05:00;06:00;0
08.01.2021;06:00;07:00;0
08.01.2021;07:00;08:00;19
08.01.2021;08:00;09:00;41
08.01.2021;09:00;10:00;41
08.01.2021;10:00;11:00;39
08.01.2021;11:00;12:00;42
08.01.2021;12:00;13:00;39
08.01.2021;13:00;14:00;38
08.01.2021;14:00;15:00;38
08.01.2021;15:00;16:00;38
08.01.2021;16:00;17:00;38
08.01.2021;17:00;18:00;39
08.01.2021;18:00;19:00;38
08.01.2021;19:00;20:00;38
08.01.2021;20:00;21:00;39
08.01.2021;21:00;22:00;38
08.01.2021;22:00;23:00;1
08.01.2021;23:00;00:00;0
09.01.2021;00:00;01:00;0
09.01.2021;01:00;02:00;0
09.01.2021;02:00;03:00;0
09.01.2021;03:00;04:00;0
09.01.2021;04:00;05:00;0
09.01.2021;05:00;06:00;0
09.01.2021;06:00;07:00;0
09.01.2021;07:00;08:00;0
09.01.2021;08:00;09:00;0
09.01.2021;09:00;10:00;36
09.01.2021;10:00;11:00;1
09.01.2021;11:00;12:00;0
09.01.2021;12:00;13:00;0
09.01.2021;13:00;14:00;0
09.01.2021;14:00;15:00;0
09.01.2021;15:00;16:00;0
09.01.2021;16:00;17:00;0
09.01.2021;17:00;18:00;42
09.01.2021;18:00;19:00;44
09.01.2021;19:00;20:00;39
09.01.2021;20:00;21:00;0
09.01.2021;21:00;22:00;0
