Date;Start;End;Generation_DE C [MW] Original resolutions;Generation_DE B [MW] Original resolutions
01.01.2021;00:00;01:00;1.294;-
01.01.2021;01:00;02:00;1.294;-
01.01.2021;02:00;03:00;1.295;-
01.01.2021;03:00;04:00;1.295;-
01.01.2021;04:00;05:00;1.295;-
01.01.2021;05:00;06:00;1.295;-
01.01.2021;06:00;07:00;1.295;-
01.01.2021;07:00;08:00;1.295;-
01.01.2021;08:00;09:00;1.295;-
01.01.2021;09:00;10:00;1.296;-
01.01.2021;10:00;11:00;1.295;-
01.01.2021;11:00;12:00;1.295;-
01.01.2021;12:00;13:00;1.295;-
01.01.2021;13:00;14:00;1.294;-
01.01.2021;14:00;15:00;1.294;-
01.01.2021;15:00;16:00;1.295;-
01.01.2021;16:00;17:00;1.294;-
01.01.2021;17:00;18:00;1.294;-
01.01.2021;18:00;19:00;1.294;-
01.01.2021;19:00;20:00;1.294;-
01.01.2021;20:00;21:00;1.295;-
01.01.2021;21:00;22:00;1.293;-
01.01.2021;22:00;23:00;1.294;-
01.01.2021;23:00;00:00;1.294;-
02.01.2021;00:00;01:00;1.295;-
02.01.2021;01:00;02:00;1.296;-
02.01.2021;02:00;03:00;1.294;-
02.01.2021;03:00;04:00;1.295;-
02.01.2021;04:00;05:00;1.295;-
02.01.2021;05:00;06:00;1.295;-
02.01.2021;06:00;07:00;1.296;-
02.01.2021;07:00;08:00;1.295;-
02.01.2021;08:00;09:00;1.296;-
02.01.2021;09:00;10:00;1.296;-
02.01.2021;10:00;11:00;1.295;-
02.01.2021;11:00;12:00;1.296;-
02.01.2021;12:00;13:00;1.296;-
02.01.2021;13:00;14:00;1.297;-
02.01.2021;14:00;15:00;1.296;-
02.01.2021;15:00;16:00;1.296;-
02.01.2021;16:00;17:00;1.296;-
02.01.2021;17:00;18:00;1.297;-
02.01.2021;18:00;19:00;1.297;-
02.01.2021;19:00;20:00;1.296;-
02.01.2021;20:00;21:00;1.296;-
02.01.2021;21:00;22:00;1.296;-
02.01.2021;22:00;23:00;1.296;-
02.01.2021;23:00;00:00;1.296;-
03.01.2021;00:00;01:00;1.298;-
03.01.2021;01:00;02:00;1.298;-
03.01.2021;02:00;03:00;1.298;-
03.01.2021;03:00;04:00;1.297;-
03.01.2021;04:00;05:00;1.297;-
03.01.2021;05:00;06:00;1.297;-
03.01.2021;06:00;07:00;1.296;-
03.01.2021;07:00;08:00;1.296;-
03.01.2021;08:00;09:00;1.297;-
03.01.2021;09:00;10:00;1.297;-
03.01.2021;10:00;11:00;1.297;-
03.01.2021;11:00;12:00;1.297;-
03.01.2021;12:00;13:00;1.296;-
03.01.2021;13:00;14:00;1.296;-
03.01.2021;14:00;15:00;1.296;-
03.01.2021;15:00;16:00;1.295;-
03.01.2021;16:00;17:00;1.294;-
03.01.2021;17:00;18:00;1.295;-
03.01.2021;18:00;19:00;1.296;-
03.01.2021;19:00;20:00;1.296;-
03.01.2021;20:00;21:00;1.296;-
03.01.2021;21:00;22:00;1.295;-
03.01.2021;22:00;23:00;1.296;-
03.01.2021;23:00;00:00;1.295;-
04.01.2021;00:00;01:00;1.295;-
04.01.2021;01:00;02:00;1.295;-
04.01.2021;02:00;03:00;1.295;-
04.01.2021;03:00;04:00;1.296;-
04.01.2021;04:00;05:00;1.295;-
04.01.2021;05:00;06:00;1.294;-
04.01.2021;06:00;07:00;1.294;-
04.01.2021;07:00;08:00;1.294;-
04.01.2021;08:00;09:00;1.294;-
04.01.2021;09:00;10:00;1.294;-
04.01.2021;10:00;11:00;1.294;-
04.01.2021;11:00;12:00;1.294;-
04.01.2021;12:00;13:00;1.296;-
04.01.2021;13:00;14:00;1.297;-
04.01.2021;14:00;15:00;1.297;-
04.01.2021;15:00;16:00;1.296;-
04.01.2021;16:00;17:00;1.296;-
04.01.2021;17:00;18:00;1.296;-
04.01.2021;18:00;19:00;1.297;-
04.01.2021;19:00;20:00;1.296;-
04.01.2021;20:00;21:00;1.296;-
04.01.2021;21:00;22:00;1.295;-
04.01.2021;22:00;23:00;1.295;-
04.01.2021;23:00;00:00;1.295;-
05.01.2021;00:00;01:00;1.295;-
05.01.2021;01:00;02:00;1.295;-
05.01.2021;02:00;03:00;1.294;-
05.01.2021;03:00;04:00;1.297;-
05.01.2021;04:00;05:00;1.297;-
05.01.2021;05:00;06:00;1.297;-
05.01.2021;06:00;07:00;1.296;-
05.01.2021;07:00;08:00;1.295;-
05.01.2021;08:00;09:00;1.295;-
05.01.2021;09:00;10:00;1.295;-
05.01.2021;10:00;11:00;1.293;-
05.01.2021;11:00;12:00;1.295;-
05.01.2021;12:00;13:00;1.295;-
05.01.2021;13:00;14:00;1.295;-
05.01.2021;14:00;15:00;1.295;-
05.01.2021;15:00;16:00;1.295;-
05.01.2021;16:00;17:00;1.295;-
05.01.2021;17:00;18:00;1.295;-
05.01.2021;18:00;19:00;1.295;-
05.01.2021;19:00;20:00;1.295;-
05.01.2021;20:00;21:00;1.295;-
05.01.2021;21:00;22:00;1.295;-
05.01.2021;22:00;23:00;1.295;-
05.01.2021;23:00;00:00;1.296;-
06.01.2021;00:00;01:00;1.297;-
06.01.2021;01:00;02:00;1.296;-
06.01.2021;02:00;03:00;1.296;-
06.01.2021;03:00;04:00;1.296;-
06.01.2021;04:00;05:00;1.296;-
06.01.2021;05:00;06:00;1.296;-
06.01.2021;06:00;07:00;1.295;-
06.01.2021;07:00;08:00;1.295;-
06.01.2021;08:00;09:00;1.295;-
06.01.2021;09:00;10:00;1.295;-
06.01.2021;10:00;11:00;1.295;-
06.01.2021;11:00;12:00;1.295;-
06.01.2021;12:00;13:00;1.295;-
06.01.2021;13:00;14:00;1.295;-
06.01.2021;14:00;15:00;1.295;-
06.01.2021;15:00;16:00;1.296;-
06.01.2021;16:00;17:00;1.296;-
06.01.2021;17:00;18:00;1.296;-
06.01.2021;18:00;19:00;1.296;-
06.01.2021;19:00;20:00;1.296;-
06.01.2021;20:00;21:00;1.296;-
06.01.2021;21:00;22:00;1.296;-
06.01.2021;22:00;23:00;1.295;-
06.01.2021;23:00;00:00;1.295;-
07.01.2021;00:00;01:00;1.293;-
07.01.2021;01:00;02:00;1.295;-
07.01.2021;02:00;03:00;1.295;-
07.01.2021;03:00;04:00;1.294;-
07.01.2021;04:00;05:00;1.295;-
07.01.2021;05:00;06:00;1.295;-
07.01.2021;06:00;07:00;1.295;-
07.01.2021;07:00;08:00;1.296;-
07.01.2021;08:00;09:00;1.298;-
07.01.2021;09:00;10:00;1.295;-
07.01.2021;10:00;11:00;1.295;-
07.01.2021;11:00;12:00;1.295;-
07.01.2021;12:00;13:00;1.294;-
07.01.2021;13:00;14:00;1.294;-
07.01.2021;14:00;15:00;1.294;-
07.01.2021;15:00;16:00;1.292;-
07.01.2021;16:00;17:00;1.294;-
07.01.2021;17:00;18:00;1.294;-
07.01.2021;18:00;19:00;1.294;-
07.01.2021;19:00;20:00;1.294;-
07.01.2021;20:00;21:00;1.294;-
07.01.2021;21:00;22:00;1.294;-
07.01.2021;22:00;23:00;1.294;-
07.01.2021;23:00;00:00;1.294;-
08.01.2021;00:00;01:00;1.294;-
08.01.2021;01:00;02:00;1.295;-
08.01.2021;02:00;03:00;1.295;-
08.01.2021;03:00;04:00;1.295;-
08.01.2021;04:00;05:00;1.295;-
08.01.2021;05:00;06:00;1.295;-
08.01.2021;06:00;07:00;1.295;-
08.01.2021;07:00;08:00;1.295;-
08.01.2021;08:00;09:00;1.295;-
08.01.2021;09:00;10:00;1.295;-
08.01.2021;10:00;11:00;1.296;-
08.01.2021;11:00;12:00;1.295;-
08.01.2021;12:00;13:00;1.295;-
08.01.2021;13:00;14:00;1.295;-
08.01.2021;14:00;15:00;1.294;-
08.01.2021;15:00;16:00;1.294;-
08.01.2021;16:00;17:00;1.295;-
08.01.2021;17:00;18:00;1.295;-
08.01.2021;18:00;19:00;1.295;-
08.01.2021;19:00;20:00;1.295;-
08.01.2021;20:00;21:00;1.296;-
08.01.2021;21:00;22:00;1.295;-
08.01.2021;22:00;23:00;1.296;-
08.01.2021;23:00;00:00;1.296;-
09.01.2021;00:00;01:00;1.297;-
09.01.2021;01:00;02:00;1.297;-
09.01.2021;02:00;03:00;1.297;-
09.01.2021;03:00;04:00;1.297;-
09.01.2021;04:00;05:00;1.296;-
09.01.2021;05:00;06:00;1.296;-
09.01.2021;06:00;07:00;1.296;-
09.01.2021;07:00;08:00;1.296;-
09.01.2021;08:00;09:00;1.297;-
09.01.2021;09:00;10:00;1.297;-
09.01.2021;10:00;11:00;1.296;-
09.01.2021;11:00;12:00;1.297;-
09.01.2021;12:00;13:00;1.298;-
09.01.2021;13:00;14:00;1.298;-
