Date;Start;End;Generation_DE Emsland A [MW] Original resolutions
01.01.2016;00:00;01:00;1.321
01.01.2016;01:00;02:00;1.323
01.01.2016;02:00;03:00;1.322
01.01.2016;03:00;04:00;1.322
01.01.2016;04:00;05:00;1.322
01.01.2016;05:00;06:00;1.305
01.01.2016;06:00;07:00;1.306
01.01.2016;07:00;08:00;1.320
01.01.2016;08:00;09:00;1.322
01.01.2016;09:00;10:00;1.322
01.01.2016;10:00;11:00;1.321
01.01.2016;11:00;12:00;1.321
01.01.2016;12:00;13:00;1.322
01.01.2016;13:00;14:00;1.320
01.01.2016;14:00;15:00;1.321
01.01.2016;15:00;16:00;1.322
01.01.2016;16:00;17:00;1.323
01.01.2016;17:00;18:00;1.320
01.01.2016;18:00;19:00;1.321
01.01.2016;19:00;20:00;1.322
01.01.2016;20:00;21:00;1.322
01.01.2016;21:00;22:00;1.322
01.01.2016;22:00;23:00;1.322
01.01.2016;23:00;00:00;1.321
02.01.2016;00:00;01:00;1.325
02.01.2016;01:00;02:00;1.328
02.01.2016;02:00;03:00;1.290
02.01.2016;03:00;04:00;1.290
02.01.2016;04:00;05:00;1.290
02.01.2016;05:00;06:00;1.230
02.01.2016;06:00;07:00;1.120
02.01.2016;07:00;08:00;1.124
02.01.2016;08:00;09:00;1.283
02.01.2016;09:00;10:00;1.310
02.01.2016;10:00;11:00;1.329
02.01.2016;11:00;12:00;1.329
02.01.2016;12:00;13:00;1.329
02.01.2016;13:00;14:00;1.327
02.01.2016;14:00;15:00;1.328
02.01.2016;15:00;16:00;1.332
02.01.2016;16:00;17:00;1.332
02.01.2016;17:00;18:00;1.331
02.01.2016;18:00;19:00;1.333
02.01.2016;19:00;20:00;1.333
02.01.2016;20:00;21:00;1.337
02.01.2016;21:00;22:00;1.334
02.01.2016;22:00;23:00;1.335
02.01.2016;23:00;00:00;1.330
03.01.2016;00:00;01:00;1.285
03.01.2016;01:00;02:00;1.323
03.01.2016;02:00;03:00;1.265
03.01.2016;03:00;04:00;1.264
03.01.2016;04:00;05:00;1.265
03.01.2016;05:00;06:00;1.265
03.01.2016;06:00;07:00;1.264
03.01.2016;07:00;08:00;1.265
03.01.2016;08:00;09:00;1.264
03.01.2016;09:00;10:00;1.265
03.01.2016;10:00;11:00;1.308
03.01.2016;11:00;12:00;1.313
03.01.2016;12:00;13:00;1.313
03.01.2016;13:00;14:00;1.313
03.01.2016;14:00;15:00;1.314
03.01.2016;15:00;16:00;1.314
03.01.2016;16:00;17:00;1.314
03.01.2016;17:00;18:00;1.321
03.01.2016;18:00;19:00;1.332
03.01.2016;19:00;20:00;1.328
03.01.2016;20:00;21:00;1.329
03.01.2016;21:00;22:00;1.329
03.01.2016;22:00;23:00;1.331
03.01.2016;23:00;00:00;1.327
04.01.2016;00:00;01:00;1.323
04.01.2016;01:00;02:00;1.305
04.01.2016;02:00;03:00;1.307
04.01.2016;03:00;04:00;1.306
04.01.2016;04:00;05:00;1.305
04.01.2016;05:00;06:00;1.306
04.01.2016;06:00;07:00;1.313
04.01.2016;07:00;08:00;1.354
04.01.2016;08:00;09:00;1.355
04.01.2016;09:00;10:00;1.355
04.01.2016;10:00;11:00;1.356
04.01.2016;11:00;12:00;1.356
04.01.2016;12:00;13:00;1.353
04.01.2016;13:00;14:00;1.353
04.01.2016;14:00;15:00;1.355
04.01.2016;15:00;16:00;1.354
04.01.2016;16:00;17:00;1.354
04.01.2016;17:00;18:00;1.355
04.01.2016;18:00;19:00;1.358
04.01.2016;19:00;20:00;1.354
04.01.2016;20:00;21:00;1.356
04.01.2016;21:00;22:00;1.355
04.01.2016;22:00;23:00;1.355
04.01.2016;23:00;00:00;1.355
05.01.2016;00:00;01:00;1.355
05.01.2016;01:00;02:00;1.355
05.01.2016;02:00;03:00;1.355
05.01.2016;03:00;04:00;1.354
05.01.2016;04:00;05:00;1.353
05.01.2016;05:00;06:00;1.353
05.01.2016;06:00;07:00;1.352
05.01.2016;07:00;08:00;1.349
05.01.2016;08:00;09:00;1.349
05.01.2016;09:00;10:00;1.348
05.01.2016;10:00;11:00;1.354
05.01.2016;11:00;12:00;1.354
05.01.2016;12:00;13:00;1.352
05.01.2016;13:00;14:00;1.352
05.01.2016;14:00;15:00;1.352
05.01.2016;15:00;16:00;1.351
05.01.2016;16:00;17:00;1.352
05.01.2016;17:00;18:00;1.353
05.01.2016;18:00;19:00;1.353
05.01.2016;19:00;20:00;1.352
05.01.2016;20:00;21:00;1.352
05.01.2016;21:00;22:00;1.352
05.01.2016;22:00;23:00;1.352
05.01.2016;23:00;00:00;1.352
06.01.2016;00:00;01:00;1.353
06.01.2016;01:00;02:00;1.353
06.01.2016;02:00;03:00;1.353
06.01.2016;03:00;04:00;1.353
06.01.2016;04:00;05:00;1.355
06.01.2016;05:00;06:00;1.357
06.01.2016;06:00;07:00;1.354
06.01.2016;07:00;08:00;1.351
06.01.2016;08:00;09:00;1.352
06.01.2016;09:00;10:00;1.351
06.01.2016;10:00;11:00;1.352
06.01.2016;11:00;12:00;1.353
06.01.2016;12:00;13:00;1.354
06.01.2016;13:00;14:00;1.353
06.01.2016;14:00;15:00;1.353
06.01.2016;15:00;16:00;1.353
06.01.2016;16:00;17:00;1.352
06.01.2016;17:00;18:00;1.353
06.01.2016;18:00;19:00;1.353
06.01.2016;19:00;20:00;1.353
06.01.2016;20:00;21:00;1.354
06.01.2016;21:00;22:00;1.354
06.01.2016;22:00;23:00;1.354
06.01.2016;23:00;00:00;1.353
07.01.2016;00:00;01:00;1.354
07.01.2016;01:00;02:00;1.354
07.01.2016;02:00;03:00;1.355
07.01.2016;03:00;04:00;1.353
07.01.2016;04:00;05:00;1.354
07.01.2016;05:00;06:00;1.352
07.01.2016;06:00;07:00;1.349
07.01.2016;07:00;08:00;1.352
07.01.2016;08:00;09:00;1.351
07.01.2016;09:00;10:00;462
07.01.2016;10:00;11:00;0
07.01.2016;11:00;12:00;0
07.01.2016;12:00;13:00;0
07.01.2016;13:00;14:00;0
07.01.2016;14:00;15:00;0
07.01.2016;15:00;16:00;310
07.01.2016;16:00;17:00;991
07.01.2016;17:00;18:00;1.319
07.01.2016;18:00;19:00;1.330
07.01.2016;19:00;20:00;1.336
07.01.2016;20:00;21:00;1.342
07.01.2016;21:00;22:00;1.343
07.01.2016;22:00;23:00;1.342
07.01.2016;23:00;00:00;1.343
08.01.2016;00:00;01:00;1.333
08.01.2016;01:00;02:00;1.330
08.01.2016;02:00;03:00;1.336
08.01.2016;03:00;04:00;1.332
08.01.2016;04:00;05:00;1.333
08.01.2016;05:00;06:00;1.332
08.01.2016;06:00;07:00;1.330
08.01.2016;07:00;08:00;1.339
08.01.2016;08:00;09:00;1.338
08.01.2016;09:00;10:00;1.339
08.01.2016;10:00;11:00;1.340
08.01.2016;11:00;12:00;1.340
08.01.2016;12:00;13:00;1.340
08.01.2016;13:00;14:00;1.341
08.01.2016;14:00;15:00;1.342
08.01.2016;15:00;16:00;1.341
08.01.2016;16:00;17:00;1.343
08.01.2016;17:00;18:00;1.344
08.01.2016;18:00;19:00;1.344
08.01.2016;19:00;20:00;1.344
08.01.2016;20:00;21:00;1.346
08.01.2016;21:00;22:00;1.345
08.01.2016;22:00;23:00;1.345
08.01.2016;23:00;00:00;1.345
09.01.2016;00:00;01:00;1.346
09.01.2016;01:00;02:00;1.347
09.01.2016;02:00;03:00;1.348
09.01.2016;03:00;04:00;1.350
09.01.2016;04:00;05:00;1.351
09.01.2016;05:00;06:00;1.349
09.01.2016;06:00;07:00;1.349
09.01.2016;07:00;08:00;1.348
09.01.2016;08:00;09:00;1.348
09.01.2016;09:00;10:00;1.348
09.01.2016;10:00;11:00;1.349
09.01.2016;11:00;12:00;1.350
09.01.2016;12:00;13:00;1.348
09.01.2016;13:00;14:00;1.348
09.01.2016;14:00;15:00;1.349
09.01.2016;15:00;16:00;1.348
09.01.2016;16:00;17:00;1.348
09.01.2016;17:00;18:00;1.343
09.01.2016;18:00;19:00;1.339
09.01.2016;19:00;20:00;1.342
09.01.2016;20:00;21:00;1.345
09.01.2016;21:00;22:00;1.347
09.01.2016;22:00;23:00;1.351
09.01.2016;23:00;00:00;1.348
10.01.2016;00:00;01:00;1.338
10.01.2016;01:00;02:00;1.329
10.01.2016;02:00;03:00;1.329
10.01.2016;03:00;04:00;1.330
10.01.2016;04:00;05:00;1.330
10.01.2016;05:00;06:00;1.329
10.01.2016;06:00;07:00;1.328
10.01.2016;07:00;08:00;1.330
10.01.2016;08:00;09:00;1.328
10.01.2016;09:00;10:00;1.331
10.01.2016;10:00;11:00;1.329
10.01.2016;11:00;12:00;1.330
10.01.2016;12:00;13:00;1.329
10.01.2016;13:00;14:00;1.326
10.01.2016;14:00;15:00;1.328
10.01.2016;15:00;16:00;1.326
