Datum;Anfang;Ende;Generation_DE Emsland A [MW] Originalauflösungen
01.01.2019;00:00;01:00;1.347
01.01.2019;01:00;02:00;1.347
01.01.2019;02:00;03:00;1.311
01.01.2019;03:00;04:00;1.081
01.01.2019;04:00;05:00;1.051
01.01.2019;05:00;06:00;1.051
01.01.2019;06:00;07:00;1.051
01.01.2019;07:00;08:00;1.051
01.01.2019;08:00;09:00;1.018
01.01.2019;09:00;10:00;840
01.01.2019;10:00;11:00;608
01.01.2019;11:00;12:00;747
01.01.2019;12:00;13:00;756
01.01.2019;13:00;14:00;756
01.01.2019;14:00;15:00;757
01.01.2019;15:00;16:00;869
01.01.2019;16:00;17:00;1.052
01.01.2019;17:00;18:00;1.051
01.01.2019;18:00;19:00;1.051
01.01.2019;19:00;20:00;886
01.01.2019;20:00;21:00;587
01.01.2019;21:00;22:00;388
01.01.2019;22:00;23:00;388
01.01.2019;23:00;00:00;388
02.01.2019;00:00;01:00;388
02.01.2019;01:00;02:00;388
02.01.2019;02:00;03:00;388
02.01.2019;03:00;04:00;388
02.01.2019;04:00;05:00;388
02.01.2019;05:00;06:00;599
02.01.2019;06:00;07:00;1.150
02.01.2019;07:00;08:00;1.339
02.01.2019;08:00;09:00;1.354
02.01.2019;09:00;10:00;1.358
02.01.2019;10:00;11:00;1.351
02.01.2019;11:00;12:00;1.351
02.01.2019;12:00;13:00;1.352
02.01.2019;13:00;14:00;1.355
02.01.2019;14:00;15:00;1.356
02.01.2019;15:00;16:00;1.355
02.01.2019;16:00;17:00;1.354
02.01.2019;17:00;18:00;1.358
02.01.2019;18:00;19:00;1.357
02.01.2019;19:00;20:00;1.359
02.01.2019;20:00;21:00;1.359
02.01.2019;21:00;22:00;1.358
02.01.2019;22:00;23:00;1.355
02.01.2019;23:00;00:00;1.358
03.01.2019;00:00;01:00;1.357
03.01.2019;01:00;02:00;1.354
03.01.2019;02:00;03:00;1.352
03.01.2019;03:00;04:00;1.352
03.01.2019;04:00;05:00;1.352
03.01.2019;05:00;06:00;1.354
03.01.2019;06:00;07:00;1.354
03.01.2019;07:00;08:00;1.352
03.01.2019;08:00;09:00;1.355
03.01.2019;09:00;10:00;1.355
03.01.2019;10:00;11:00;1.354
03.01.2019;11:00;12:00;1.354
03.01.2019;12:00;13:00;1.354
03.01.2019;13:00;14:00;1.353
03.01.2019;14:00;15:00;1.351
03.01.2019;15:00;16:00;1.354
03.01.2019;16:00;17:00;1.353
03.01.2019;17:00;18:00;1.352
03.01.2019;18:00;19:00;1.354
03.01.2019;19:00;20:00;1.353
03.01.2019;20:00;21:00;1.354
03.01.2019;21:00;22:00;1.356
03.01.2019;22:00;23:00;1.358
03.01.2019;23:00;00:00;1.357
04.01.2019;00:00;01:00;1.358
04.01.2019;01:00;02:00;1.359
04.01.2019;02:00;03:00;1.359
04.01.2019;03:00;04:00;1.357
04.01.2019;04:00;05:00;1.355
04.01.2019;05:00;06:00;1.354
04.01.2019;06:00;07:00;1.353
04.01.2019;07:00;08:00;1.352
04.01.2019;08:00;09:00;1.352
04.01.2019;09:00;10:00;1.352
04.01.2019;10:00;11:00;1.352
04.01.2019;11:00;12:00;1.353
04.01.2019;12:00;13:00;1.352
04.01.2019;13:00;14:00;1.352
04.01.2019;14:00;15:00;1.353
04.01.2019;15:00;16:00;1.351
04.01.2019;16:00;17:00;1.351
04.01.2019;17:00;18:00;1.349
04.01.2019;18:00;19:00;1.349
04.01.2019;19:00;20:00;1.349
04.01.2019;20:00;21:00;1.350
04.01.2019;21:00;22:00;1.348
04.01.2019;22:00;23:00;1.348
04.01.2019;23:00;00:00;1.348
05.01.2019;00:00;01:00;1.348
05.01.2019;01:00;02:00;1.348
05.01.2019;02:00;03:00;1.348
05.01.2019;03:00;04:00;1.347
05.01.2019;04:00;05:00;1.344
05.01.2019;05:00;06:00;1.343
05.01.2019;06:00;07:00;1.343
05.01.2019;07:00;08:00;1.343
05.01.2019;08:00;09:00;1.343
05.01.2019;09:00;10:00;1.343
05.01.2019;10:00;11:00;1.344
05.01.2019;11:00;12:00;1.346
05.01.2019;12:00;13:00;1.346
05.01.2019;13:00;14:00;1.346
05.01.2019;14:00;15:00;1.344
