Datum;Anfang;Ende;Generation_DE KKP 2 [MW] Originalauflösungen
01.01.2020;00:00;01:00;-
01.01.2020;01:00;02:00;-
01.01.2020;02:00;03:00;-
01.01.2020;03:00;04:00;-
01.01.2020;04:00;05:00;-
01.01.2020;05:00;06:00;-
01.01.2020;06:00;07:00;-
01.01.2020;07:00;08:00;-
01.01.2020;08:00;09:00;-
01.01.2020;09:00;10:00;-
01.01.2020;10:00;11:00;-
01.01.2020;11:00;12:00;-
01.01.2020;12:00;13:00;-
01.01.2020;13:00;14:00;-
01.01.2020;14:00;15:00;-
01.01.2020;15:00;16:00;-
01.01.2020;16:00;17:00;-
01.01.2020;17:00;18:00;-
01.01.2020;18:00;19:00;-
01.01.2020;19:00;20:00;-
01.01.2020;20:00;21:00;-
01.01.2020;21:00;22:00;-
01.01.2020;22:00;23:00;-
01.01.2020;23:00;00:00;-
02.01.2020;00:00;01:00;-
02.01.2020;01:00;02:00;-
02.01.2020;02:00;03:00;-
02.01.2020;03:00;04:00;-
02.01.2020;04:00;05:00;-
02.01.2020;05:00;06:00;-
02.01.2020;06:00;07:00;-
02.01.2020;07:00;08:00;-
02.01.2020;08:00;09:00;-
02.01.2020;09:00;10:00;-
02.01.2020;10:00;11:00;-
02.01.2020;11:00;12:00;-
02.01.2020;12:00;13:00;-
02.01.2020;13:00;14:00;-
02.01.2020;14:00;15:00;-
02.01.2020;15:00;16:00;-
02.01.2020;16:00;17:00;-
02.01.2020;17:00;18:00;-
02.01.2020;18:00;19:00;-
02.01.2020;19:00;20:00;-
02.01.2020;20:00;21:00;-
02.01.2020;21:00;22:00;-
02.01.2020;22:00;23:00;-
02.01.2020;23:00;00:00;-
03.01.2020;00:00;01:00;-
03.01.2020;01:00;02:00;-
03.01.2020;02:00;03:00;-
03.01.2020;03:00;04:00;-
03.01.2020;04:00;05:00;-
03.01.2020;05:00;06:00;-
03.01.2020;06:00;07:00;-
03.01.2020;07:00;08:00;-
03.01.2020;08:00;09:00;-
03.01.2020;09:00;10:00;-
03.01.2020;10:00;11:00;-
03.01.2020;11:00;12:00;-
03.01.2020;12:00;13:00;-
03.01.2020;13:00;14:00;-
03.01.2020;14:00;15:00;-
03.01.2020;15:00;16:00;-
03.01.2020;16:00;17:00;-
03.01.2020;17:00;18:00;-
03.01.2020;18:00;19:00;-
03.01.2020;19:00;20:00;-
03.01.2020;20:00;21:00;-
03.01.2020;21:00;22:00;-
03.01.2020;22:00;23:00;-
03.01.2020;23:00;00:00;-
04.01.2020;00:00;01:00;-
04.01.2020;01:00;02:00;-
04.01.2020;02:00;03:00;-
04.01.2020;03:00;04:00;-
04.01.2020;04:00;05:00;-
04.01.2020;05:00;06:00;-
04.01.2020;06:00;07:00;-
04.01.2020;07:00;08:00;-
04.01.2020;08:00;09:00;-
04.01.2020;09:00;10:00;-
04.01.2020;10:00;11:00;-
04.01.2020;11:00;12:00;-
04.01.2020;12:00;13:00;-
04.01.2020;13:00;14:00;-
04.01.2020;14:00;15:00;-
04.01.2020;15:00;16:00;-
04.01.2020;16:00;17:00;-
04.01.2020;17:00;18:00;-
04.01.2020;18:00;19:00;-
04.01.2020;19:00;20:00;-
04.01.2020;20:00;21:00;-
04.01.2020;21:00;22:00;-
04.01.2020;22:00;23:00;-
04.01.2020;23:00;00:00;-
05.01.2020;00:00;01:00;-
05.01.2020;01:00;02:00;-
05.01.2020;02:00;03:00;-
05.01.2020;03:00;04:00;-
05.01.2020;04:00;05:00;-
05.01.2020;05:00;06:00;-
05.01.2020;06:00;07:00;-
05.01.2020;07:00;08:00;-
05.01.2020;08:00;09:00;-
05.01.2020;09:00;10:00;-
05.01.2020;10:00;11:00;-
05.01.2020;11:00;12:00;-
05.01.2020;12:00;13:00;-
05.01.2020;13:00;14:00;-
05.01.2020;14:00;15:00;-
05.01.2020;15:00;16:00;-
05.01.2020;16:00;17:00;-
05.01.2020;17:00;18:00;-
05.01.2020;18:00;19:00;-
05.01.2020;19:00;20:00;-
05.01.2020;20:00;21:00;-
05.01.2020;21:00;22:00;-
05.01.2020;22:00;23:00;-
05.01.2020;23:00;00:00;-
