Date;Start;End;Generation_DE GUD C 200
GT 1, GT 2, DT 1 [MW] Original resolutions
01.01.2016;00:00;01:00;131
01.01.2016;01:00;02:00;131
01.01.2016;02:00;03:00;131
01.01.2016;03:00;04:00;131
01.01.2016;04:00;05:00;131
01.01.2016;05:00;06:00;131
01.01.2016;06:00;07:00;131
01.01.2016;07:00;08:00;131
01.01.2016;08:00;09:00;131
01.01.2016;09:00;10:00;131
01.01.2016;10:00;11:00;131
01.01.2016;11:00;12:00;131
01.01.2016;12:00;13:00;131
01.01.2016;13:00;14:00;131
01.01.2016;14:00;15:00;131
01.01.2016;15:00;16:00;131
01.01.2016;16:00;17:00;137
01.01.2016;17:00;18:00;157
01.01.2016;18:00;19:00;158
01.01.2016;19:00;20:00;157
01.01.2016;20:00;21:00;139
01.01.2016;21:00;22:00;139
01.01.2016;22:00;23:00;139
01.01.2016;23:00;00:00;139
02.01.2016;00:00;01:00;139
02.01.2016;01:00;02:00;139
02.01.2016;02:00;03:00;139
02.01.2016;03:00;04:00;139
02.01.2016;04:00;05:00;139
02.01.2016;05:00;06:00;139
02.01.2016;06:00;07:00;139
02.01.2016;07:00;08:00;139
02.01.2016;08:00;09:00;139
02.01.2016;09:00;10:00;139
02.01.2016;10:00;11:00;139
02.01.2016;11:00;12:00;139
02.01.2016;12:00;13:00;139
02.01.2016;13:00;14:00;139
02.01.2016;14:00;15:00;139
02.01.2016;15:00;16:00;139
02.01.2016;16:00;17:00;139
02.01.2016;17:00;18:00;139
02.01.2016;18:00;19:00;139
02.01.2016;19:00;20:00;-
02.01.2016;20:00;21:00;-
02.01.2016;21:00;22:00;-
02.01.2016;22:00;23:00;-
02.01.2016;23:00;00:00;-
03.01.2016;00:00;01:00;139
03.01.2016;01:00;02:00;139
03.01.2016;02:00;03:00;139
03.01.2016;03:00;04:00;139
03.01.2016;04:00;05:00;139
03.01.2016;05:00;06:00;139
03.01.2016;06:00;07:00;139
03.01.2016;07:00;08:00;139
03.01.2016;08:00;09:00;139
03.01.2016;09:00;10:00;139
03.01.2016;10:00;11:00;139
03.01.2016;11:00;12:00;139
03.01.2016;12:00;13:00;139
03.01.2016;13:00;14:00;139
03.01.2016;14:00;15:00;139
03.01.2016;15:00;16:00;139
03.01.2016;16:00;17:00;139
03.01.2016;17:00;18:00;139
03.01.2016;18:00;19:00;139
03.01.2016;19:00;20:00;139
03.01.2016;20:00;21:00;139
03.01.2016;21:00;22:00;139
03.01.2016;22:00;23:00;139
03.01.2016;23:00;00:00;139
04.01.2016;00:00;01:00;139
04.01.2016;01:00;02:00;139
04.01.2016;02:00;03:00;139
04.01.2016;03:00;04:00;139
04.01.2016;04:00;05:00;139
04.01.2016;05:00;06:00;140
04.01.2016;06:00;07:00;155
04.01.2016;07:00;08:00;156
04.01.2016;08:00;09:00;156
04.01.2016;09:00;10:00;156
04.01.2016;10:00;11:00;155
04.01.2016;11:00;12:00;154
