Datum;Anfang;Ende;Generation_DE Bexbach [MW] Originalauflösungen
01.01.2017;00:00;01:00;358
01.01.2017;01:00;02:00;380
01.01.2017;02:00;03:00;248
01.01.2017;03:00;04:00;257
01.01.2017;04:00;05:00;257
01.01.2017;05:00;06:00;305
01.01.2017;06:00;07:00;267
01.01.2017;07:00;08:00;255
01.01.2017;08:00;09:00;256
01.01.2017;09:00;10:00;257
01.01.2017;10:00;11:00;256
01.01.2017;11:00;12:00;255
01.01.2017;12:00;13:00;257
01.01.2017;13:00;14:00;255
01.01.2017;14:00;15:00;275
01.01.2017;15:00;16:00;541
01.01.2017;16:00;17:00;652
01.01.2017;17:00;18:00;724
01.01.2017;18:00;19:00;722
01.01.2017;19:00;20:00;723
01.01.2017;20:00;21:00;714
01.01.2017;21:00;22:00;691
01.01.2017;22:00;23:00;486
01.01.2017;23:00;00:00;323
02.01.2017;00:00;01:00;246
02.01.2017;01:00;02:00;254
02.01.2017;02:00;03:00;259
02.01.2017;03:00;04:00;260
02.01.2017;04:00;05:00;251
02.01.2017;05:00;06:00;328
02.01.2017;06:00;07:00;491
02.01.2017;07:00;08:00;638
02.01.2017;08:00;09:00;726
02.01.2017;09:00;10:00;722
02.01.2017;10:00;11:00;718
02.01.2017;11:00;12:00;722
02.01.2017;12:00;13:00;725
02.01.2017;13:00;14:00;724
02.01.2017;14:00;15:00;726
02.01.2017;15:00;16:00;725
02.01.2017;16:00;17:00;725
02.01.2017;17:00;18:00;726
02.01.2017;18:00;19:00;729
02.01.2017;19:00;20:00;725
02.01.2017;20:00;21:00;727
02.01.2017;21:00;22:00;572
02.01.2017;22:00;23:00;677
02.01.2017;23:00;00:00;727
03.01.2017;00:00;01:00;588
03.01.2017;01:00;02:00;566
03.01.2017;02:00;03:00;612
03.01.2017;03:00;04:00;564
03.01.2017;04:00;05:00;564
03.01.2017;05:00;06:00;566
03.01.2017;06:00;07:00;710
03.01.2017;07:00;08:00;722
03.01.2017;08:00;09:00;724
03.01.2017;09:00;10:00;725
03.01.2017;10:00;11:00;728
03.01.2017;11:00;12:00;724
03.01.2017;12:00;13:00;723
03.01.2017;13:00;14:00;725
03.01.2017;14:00;15:00;727
03.01.2017;15:00;16:00;728
03.01.2017;16:00;17:00;728
03.01.2017;17:00;18:00;727
03.01.2017;18:00;19:00;729
03.01.2017;19:00;20:00;730
03.01.2017;20:00;21:00;731
03.01.2017;21:00;22:00;563
03.01.2017;22:00;23:00;288
03.01.2017;23:00;00:00;259
04.01.2017;00:00;01:00;255
04.01.2017;01:00;02:00;255
04.01.2017;02:00;03:00;255
04.01.2017;03:00;04:00;256
04.01.2017;04:00;05:00;255
04.01.2017;05:00;06:00;279
04.01.2017;06:00;07:00;532
04.01.2017;07:00;08:00;713
04.01.2017;08:00;09:00;726
