Date;Start;End;Generation_DE MKK [MW] Original resolutions;Generation_DE Block 5 [MW] Original resolutions;Generation_DE Block 6 [MW] Original resolutions
01.01.2016;00:00;01:00;-;0;0
01.01.2016;01:00;02:00;-;0;229
01.01.2016;02:00;03:00;-;0;215
01.01.2016;03:00;04:00;-;0;198
01.01.2016;04:00;05:00;-;0;196
01.01.2016;05:00;06:00;-;0;166
01.01.2016;06:00;07:00;-;0;183
01.01.2016;07:00;08:00;-;0;207
01.01.2016;08:00;09:00;-;0;218
01.01.2016;09:00;10:00;-;0;216
01.01.2016;10:00;11:00;-;0;216
01.01.2016;11:00;12:00;-;0;227
01.01.2016;12:00;13:00;-;0;231
01.01.2016;13:00;14:00;-;0;222
01.01.2016;14:00;15:00;-;0;224
01.01.2016;15:00;16:00;-;0;240
01.01.2016;16:00;17:00;-;0;249
01.01.2016;17:00;18:00;-;0;250
01.01.2016;18:00;19:00;-;0;246
01.01.2016;19:00;20:00;-;0;210
01.01.2016;20:00;21:00;-;0;232
01.01.2016;21:00;22:00;-;0;249
01.01.2016;22:00;23:00;-;0;245
01.01.2016;23:00;00:00;-;0;193
02.01.2016;00:00;01:00;-;0;0
02.01.2016;01:00;02:00;-;0;165
02.01.2016;02:00;03:00;-;0;162
02.01.2016;03:00;04:00;-;0;130
02.01.2016;04:00;05:00;-;0;163
02.01.2016;05:00;06:00;-;0;168
02.01.2016;06:00;07:00;-;0;148
02.01.2016;07:00;08:00;-;0;160
02.01.2016;08:00;09:00;-;0;171
02.01.2016;09:00;10:00;-;0;176
02.01.2016;10:00;11:00;-;0;192
02.01.2016;11:00;12:00;-;0;225
02.01.2016;12:00;13:00;-;0;248
02.01.2016;13:00;14:00;-;0;245
02.01.2016;14:00;15:00;-;0;245
02.01.2016;15:00;16:00;-;0;250
02.01.2016;16:00;17:00;-;0;247
02.01.2016;17:00;18:00;-;0;249
02.01.2016;18:00;19:00;-;0;247
02.01.2016;19:00;20:00;-;0;250
02.01.2016;20:00;21:00;-;0;226
02.01.2016;21:00;22:00;-;0;177
02.01.2016;22:00;23:00;-;0;165
02.01.2016;23:00;00:00;-;0;150
03.01.2016;00:00;01:00;-;0;0
03.01.2016;01:00;02:00;-;0;96
03.01.2016;02:00;03:00;-;0;98
03.01.2016;03:00;04:00;-;0;95
03.01.2016;04:00;05:00;-;0;95
03.01.2016;05:00;06:00;-;0;95
03.01.2016;06:00;07:00;-;0;98
03.01.2016;07:00;08:00;-;0;97
03.01.2016;08:00;09:00;-;0;140
03.01.2016;09:00;10:00;-;0;179
03.01.2016;10:00;11:00;-;0;196
03.01.2016;11:00;12:00;-;0;207
03.01.2016;12:00;13:00;-;0;185
