Datum;Anfang;Ende;Generation_DE Block 14 [MW] Originalauflösungen;Generation_DE KW Hastedt Block 15 [MW] Originalauflösungen
01.01.2017;00:00;01:00;-;86
01.01.2017;01:00;02:00;-;81
01.01.2017;02:00;03:00;-;75
01.01.2017;03:00;04:00;-;76
01.01.2017;04:00;05:00;-;82
01.01.2017;05:00;06:00;-;75
01.01.2017;06:00;07:00;-;72
01.01.2017;07:00;08:00;-;81
01.01.2017;08:00;09:00;-;81
01.01.2017;09:00;10:00;-;72
01.01.2017;10:00;11:00;-;73
01.01.2017;11:00;12:00;-;73
01.01.2017;12:00;13:00;-;73
01.01.2017;13:00;14:00;-;77
01.01.2017;14:00;15:00;-;79
01.01.2017;15:00;16:00;-;91
01.01.2017;16:00;17:00;-;90
01.01.2017;17:00;18:00;-;90
01.01.2017;18:00;19:00;-;91
01.01.2017;19:00;20:00;-;91
01.01.2017;20:00;21:00;-;84
01.01.2017;21:00;22:00;-;77
01.01.2017;22:00;23:00;-;76
01.01.2017;23:00;00:00;-;0
02.01.2017;00:00;01:00;-;76
02.01.2017;01:00;02:00;-;77
02.01.2017;02:00;03:00;-;79
02.01.2017;03:00;04:00;-;78
02.01.2017;04:00;05:00;-;78
02.01.2017;05:00;06:00;-;78
02.01.2017;06:00;07:00;-;78
02.01.2017;07:00;08:00;-;79
02.01.2017;08:00;09:00;-;89
02.01.2017;09:00;10:00;-;88
02.01.2017;10:00;11:00;-;90
02.01.2017;11:00;12:00;-;92
02.01.2017;12:00;13:00;-;92
02.01.2017;13:00;14:00;-;90
02.01.2017;14:00;15:00;-;88
02.01.2017;15:00;16:00;-;88
02.01.2017;16:00;17:00;-;91
02.01.2017;17:00;18:00;-;91
02.01.2017;18:00;19:00;-;92
02.01.2017;19:00;20:00;-;88
02.01.2017;20:00;21:00;-;85
02.01.2017;21:00;22:00;-;89
02.01.2017;22:00;23:00;-;93
02.01.2017;23:00;00:00;-;0
03.01.2017;00:00;01:00;-;80
03.01.2017;01:00;02:00;-;77
03.01.2017;02:00;03:00;-;77
03.01.2017;03:00;04:00;-;76
03.01.2017;04:00;05:00;-;77
03.01.2017;05:00;06:00;-;85
03.01.2017;06:00;07:00;-;89
03.01.2017;07:00;08:00;-;89
03.01.2017;08:00;09:00;-;90
03.01.2017;09:00;10:00;-;90
03.01.2017;10:00;11:00;-;90
03.01.2017;11:00;12:00;-;88
03.01.2017;12:00;13:00;-;88
03.01.2017;13:00;14:00;-;91
03.01.2017;14:00;15:00;-;93
03.01.2017;15:00;16:00;-;93
03.01.2017;16:00;17:00;-;93
03.01.2017;17:00;18:00;-;91
03.01.2017;18:00;19:00;-;90
03.01.2017;19:00;20:00;-;94
03.01.2017;20:00;21:00;-;92
03.01.2017;21:00;22:00;-;81
03.01.2017;22:00;23:00;-;83
03.01.2017;23:00;00:00;-;0
04.01.2017;00:00;01:00;-;99
04.01.2017;01:00;02:00;-;101
04.01.2017;02:00;03:00;-;100
04.01.2017;03:00;04:00;-;100
04.01.2017;04:00;05:00;-;97
04.01.2017;05:00;06:00;-;93
04.01.2017;06:00;07:00;-;90
04.01.2017;07:00;08:00;-;90
04.01.2017;08:00;09:00;-;90
04.01.2017;09:00;10:00;-;89
04.01.2017;10:00;11:00;-;90
04.01.2017;11:00;12:00;-;92
04.01.2017;12:00;13:00;-;88
04.01.2017;13:00;14:00;-;88
04.01.2017;14:00;15:00;-;91
04.01.2017;15:00;16:00;-;93
04.01.2017;16:00;17:00;-;93
04.01.2017;17:00;18:00;-;89
04.01.2017;18:00;19:00;-;89
04.01.2017;19:00;20:00;-;88
04.01.2017;20:00;21:00;-;88
04.01.2017;21:00;22:00;-;89
04.01.2017;22:00;23:00;-;88
04.01.2017;23:00;00:00;-;0
05.01.2017;00:00;01:00;-;88
05.01.2017;01:00;02:00;-;89
05.01.2017;02:00;03:00;-;90
05.01.2017;03:00;04:00;-;89
05.01.2017;04:00;05:00;-;88
05.01.2017;05:00;06:00;-;85
05.01.2017;06:00;07:00;-;86
05.01.2017;07:00;08:00;-;87
05.01.2017;08:00;09:00;-;88
05.01.2017;09:00;10:00;-;88
05.01.2017;10:00;11:00;-;88
05.01.2017;11:00;12:00;-;86
05.01.2017;12:00;13:00;-;86
05.01.2017;13:00;14:00;-;87
05.01.2017;14:00;15:00;-;88
05.01.2017;15:00;16:00;-;89
05.01.2017;16:00;17:00;-;88
05.01.2017;17:00;18:00;-;85
05.01.2017;18:00;19:00;-;84
05.01.2017;19:00;20:00;-;88
05.01.2017;20:00;21:00;-;90
05.01.2017;21:00;22:00;-;89
05.01.2017;22:00;23:00;-;88
05.01.2017;23:00;00:00;-;0
06.01.2017;00:00;01:00;-;88
06.01.2017;01:00;02:00;-;90
06.01.2017;02:00;03:00;-;87
06.01.2017;03:00;04:00;-;91
06.01.2017;04:00;05:00;-;89
06.01.2017;05:00;06:00;-;88
06.01.2017;06:00;07:00;-;90
06.01.2017;07:00;08:00;-;91
06.01.2017;08:00;09:00;-;87
06.01.2017;09:00;10:00;-;87
06.01.2017;10:00;11:00;-;90
06.01.2017;11:00;12:00;-;88
06.01.2017;12:00;13:00;-;87
06.01.2017;13:00;14:00;-;89
06.01.2017;14:00;15:00;-;91
06.01.2017;15:00;16:00;-;90
06.01.2017;16:00;17:00;-;83
06.01.2017;17:00;18:00;-;84
06.01.2017;18:00;19:00;-;89
06.01.2017;19:00;20:00;-;90
06.01.2017;20:00;21:00;-;91
06.01.2017;21:00;22:00;-;89
06.01.2017;22:00;23:00;-;87
06.01.2017;23:00;00:00;-;0
07.01.2017;00:00;01:00;-;90
07.01.2017;01:00;02:00;-;92
07.01.2017;02:00;03:00;-;92
07.01.2017;03:00;04:00;-;93
07.01.2017;04:00;05:00;-;91
07.01.2017;05:00;06:00;-;88
07.01.2017;06:00;07:00;-;89
07.01.2017;07:00;08:00;-;89
07.01.2017;08:00;09:00;-;89
07.01.2017;09:00;10:00;-;89
07.01.2017;10:00;11:00;-;88
07.01.2017;11:00;12:00;-;86
07.01.2017;12:00;13:00;-;89
07.01.2017;13:00;14:00;-;92
07.01.2017;14:00;15:00;-;91
07.01.2017;15:00;16:00;-;90
07.01.2017;16:00;17:00;-;91
07.01.2017;17:00;18:00;-;92
07.01.2017;18:00;19:00;-;94
07.01.2017;19:00;20:00;-;99
07.01.2017;20:00;21:00;-;98
07.01.2017;21:00;22:00;-;90
07.01.2017;22:00;23:00;-;92
07.01.2017;23:00;00:00;-;0
08.01.2017;00:00;01:00;-;101
08.01.2017;01:00;02:00;-;101
08.01.2017;02:00;03:00;-;98
08.01.2017;03:00;04:00;-;101
08.01.2017;04:00;05:00;-;100
08.01.2017;05:00;06:00;-;97
08.01.2017;06:00;07:00;-;94
08.01.2017;07:00;08:00;-;95
08.01.2017;08:00;09:00;-;96
08.01.2017;09:00;10:00;-;94
08.01.2017;10:00;11:00;-;91
08.01.2017;11:00;12:00;-;93
08.01.2017;12:00;13:00;-;96
08.01.2017;13:00;14:00;-;94
08.01.2017;14:00;15:00;-;93
08.01.2017;15:00;16:00;-;92
08.01.2017;16:00;17:00;-;95
08.01.2017;17:00;18:00;-;91
08.01.2017;18:00;19:00;-;90
08.01.2017;19:00;20:00;-;90
08.01.2017;20:00;21:00;-;92
08.01.2017;21:00;22:00;-;96
08.01.2017;22:00;23:00;-;96
08.01.2017;23:00;00:00;-;0
09.01.2017;00:00;01:00;-;94
09.01.2017;01:00;02:00;-;96
09.01.2017;02:00;03:00;-;94
09.01.2017;03:00;04:00;-;91
09.01.2017;04:00;05:00;-;91
09.01.2017;05:00;06:00;-;91
09.01.2017;06:00;07:00;-;89
09.01.2017;07:00;08:00;-;88
09.01.2017;08:00;09:00;-;90
09.01.2017;09:00;10:00;-;93
09.01.2017;10:00;11:00;-;91
09.01.2017;11:00;12:00;-;88
09.01.2017;12:00;13:00;-;90
09.01.2017;13:00;14:00;-;92
09.01.2017;14:00;15:00;-;94
09.01.2017;15:00;16:00;-;90
09.01.2017;16:00;17:00;-;93
09.01.2017;17:00;18:00;-;95
