Date;Start;End;Generation_DE Block 14 [MW] Original resolutions;Generation_DE KW Hastedt Block 15 [MW] Original resolutions
01.01.2021;00:00;01:00;-;0
01.01.2021;01:00;02:00;-;77
01.01.2021;02:00;03:00;-;77
01.01.2021;03:00;04:00;-;74
01.01.2021;04:00;05:00;-;75
01.01.2021;05:00;06:00;-;73
01.01.2021;06:00;07:00;-;75
01.01.2021;07:00;08:00;-;75
01.01.2021;08:00;09:00;-;75
01.01.2021;09:00;10:00;-;75
01.01.2021;10:00;11:00;-;75
01.01.2021;11:00;12:00;-;74
01.01.2021;12:00;13:00;-;78
01.01.2021;13:00;14:00;-;75
01.01.2021;14:00;15:00;-;77
01.01.2021;15:00;16:00;-;78
01.01.2021;16:00;17:00;-;81
01.01.2021;17:00;18:00;-;82
01.01.2021;18:00;19:00;-;83
01.01.2021;19:00;20:00;-;78
01.01.2021;20:00;21:00;-;76
01.01.2021;21:00;22:00;-;73
01.01.2021;22:00;23:00;-;74
01.01.2021;23:00;00:00;-;0
02.01.2021;00:00;01:00;-;0
02.01.2021;01:00;02:00;-;74
02.01.2021;02:00;03:00;-;73
02.01.2021;03:00;04:00;-;74
02.01.2021;04:00;05:00;-;74
02.01.2021;05:00;06:00;-;73
02.01.2021;06:00;07:00;-;73
02.01.2021;07:00;08:00;-;72
02.01.2021;08:00;09:00;-;71
02.01.2021;09:00;10:00;-;75
02.01.2021;10:00;11:00;-;77
02.01.2021;11:00;12:00;-;79
02.01.2021;12:00;13:00;-;79
02.01.2021;13:00;14:00;-;77
02.01.2021;14:00;15:00;-;78
02.01.2021;15:00;16:00;-;81
02.01.2021;16:00;17:00;-;84
02.01.2021;17:00;18:00;-;82
02.01.2021;18:00;19:00;-;77
02.01.2021;19:00;20:00;-;78
02.01.2021;20:00;21:00;-;77
02.01.2021;21:00;22:00;-;77
02.01.2021;22:00;23:00;-;75
02.01.2021;23:00;00:00;-;0
03.01.2021;00:00;01:00;-;0
03.01.2021;01:00;02:00;-;77
03.01.2021;02:00;03:00;-;75
03.01.2021;03:00;04:00;-;76
03.01.2021;04:00;05:00;-;75
03.01.2021;05:00;06:00;-;74
03.01.2021;06:00;07:00;-;75
03.01.2021;07:00;08:00;-;75
03.01.2021;08:00;09:00;-;86
03.01.2021;09:00;10:00;-;85
03.01.2021;10:00;11:00;-;86
03.01.2021;11:00;12:00;-;87
03.01.2021;12:00;13:00;-;88
03.01.2021;13:00;14:00;-;75
03.01.2021;14:00;15:00;-;77
03.01.2021;15:00;16:00;-;76
03.01.2021;16:00;17:00;-;78
03.01.2021;17:00;18:00;-;82
03.01.2021;18:00;19:00;-;90
03.01.2021;19:00;20:00;-;103
03.01.2021;20:00;21:00;-;96
03.01.2021;21:00;22:00;-;89
03.01.2021;22:00;23:00;-;90
03.01.2021;23:00;00:00;-;0
04.01.2021;00:00;01:00;-;0
04.01.2021;01:00;02:00;-;85
04.01.2021;02:00;03:00;-;77
04.01.2021;03:00;04:00;-;79
04.01.2021;04:00;05:00;-;78
04.01.2021;05:00;06:00;-;78
04.01.2021;06:00;07:00;-;79
04.01.2021;07:00;08:00;-;78
04.01.2021;08:00;09:00;-;80
04.01.2021;09:00;10:00;-;80
04.01.2021;10:00;11:00;-;80
04.01.2021;11:00;12:00;-;80
04.01.2021;12:00;13:00;-;80
04.01.2021;13:00;14:00;-;80
04.01.2021;14:00;15:00;-;81
04.01.2021;15:00;16:00;-;78
04.01.2021;16:00;17:00;-;79
04.01.2021;17:00;18:00;-;79
04.01.2021;18:00;19:00;-;80
04.01.2021;19:00;20:00;-;80
04.01.2021;20:00;21:00;-;86
04.01.2021;21:00;22:00;-;86
04.01.2021;22:00;23:00;-;87
04.01.2021;23:00;00:00;-;0
05.01.2021;00:00;01:00;-;0
05.01.2021;01:00;02:00;-;75
05.01.2021;02:00;03:00;-;75
05.01.2021;03:00;04:00;-;75
05.01.2021;04:00;05:00;-;74
05.01.2021;05:00;06:00;-;75
05.01.2021;06:00;07:00;-;74
05.01.2021;07:00;08:00;-;74
05.01.2021;08:00;09:00;-;74
05.01.2021;09:00;10:00;-;74
05.01.2021;10:00;11:00;-;80
05.01.2021;11:00;12:00;-;80
05.01.2021;12:00;13:00;-;75
05.01.2021;13:00;14:00;-;75
05.01.2021;14:00;15:00;-;74
05.01.2021;15:00;16:00;-;75
05.01.2021;16:00;17:00;-;77
05.01.2021;17:00;18:00;-;84
05.01.2021;18:00;19:00;-;85
05.01.2021;19:00;20:00;-;85
05.01.2021;20:00;21:00;-;85
05.01.2021;21:00;22:00;-;86
05.01.2021;22:00;23:00;-;84
05.01.2021;23:00;00:00;-;0
06.01.2021;00:00;01:00;-;0
06.01.2021;01:00;02:00;-;74
06.01.2021;02:00;03:00;-;76
06.01.2021;03:00;04:00;-;78
06.01.2021;04:00;05:00;-;75
06.01.2021;05:00;06:00;-;76
06.01.2021;06:00;07:00;-;78
06.01.2021;07:00;08:00;-;78
06.01.2021;08:00;09:00;-;78
06.01.2021;09:00;10:00;-;79
06.01.2021;10:00;11:00;-;79
06.01.2021;11:00;12:00;-;79
06.01.2021;12:00;13:00;-;83
06.01.2021;13:00;14:00;-;79
06.01.2021;14:00;15:00;-;81
06.01.2021;15:00;16:00;-;84
06.01.2021;16:00;17:00;-;82
06.01.2021;17:00;18:00;-;84
06.01.2021;18:00;19:00;-;81
06.01.2021;19:00;20:00;-;81
06.01.2021;20:00;21:00;-;81
06.01.2021;21:00;22:00;-;80
06.01.2021;22:00;23:00;-;80
06.01.2021;23:00;00:00;-;0
07.01.2021;00:00;01:00;-;0
07.01.2021;01:00;02:00;-;78
07.01.2021;02:00;03:00;-;77
07.01.2021;03:00;04:00;-;75
07.01.2021;04:00;05:00;-;77
07.01.2021;05:00;06:00;-;76
07.01.2021;06:00;07:00;-;76
07.01.2021;07:00;08:00;-;79
07.01.2021;08:00;09:00;-;81
07.01.2021;09:00;10:00;-;80
07.01.2021;10:00;11:00;-;78
07.01.2021;11:00;12:00;-;79
07.01.2021;12:00;13:00;-;78
07.01.2021;13:00;14:00;-;79
07.01.2021;14:00;15:00;-;77
07.01.2021;15:00;16:00;-;78
07.01.2021;16:00;17:00;-;78
07.01.2021;17:00;18:00;-;78
07.01.2021;18:00;19:00;-;77
07.01.2021;19:00;20:00;-;77
07.01.2021;20:00;21:00;-;77
07.01.2021;21:00;22:00;-;76
07.01.2021;22:00;23:00;-;76
07.01.2021;23:00;00:00;-;0
08.01.2021;00:00;01:00;-;75
08.01.2021;01:00;02:00;-;74
08.01.2021;02:00;03:00;-;78
08.01.2021;03:00;04:00;-;79
08.01.2021;04:00;05:00;-;79
08.01.2021;05:00;06:00;-;78
08.01.2021;06:00;07:00;-;81
08.01.2021;07:00;08:00;-;79
08.01.2021;08:00;09:00;-;79
08.01.2021;09:00;10:00;-;79
08.01.2021;10:00;11:00;-;78
08.01.2021;11:00;12:00;-;79
08.01.2021;12:00;13:00;-;82
08.01.2021;13:00;14:00;-;76
08.01.2021;14:00;15:00;-;79
08.01.2021;15:00;16:00;-;78
08.01.2021;16:00;17:00;-;79
08.01.2021;17:00;18:00;-;76
08.01.2021;18:00;19:00;-;79
08.01.2021;19:00;20:00;-;78
08.01.2021;20:00;21:00;-;78
08.01.2021;21:00;22:00;-;76
08.01.2021;22:00;23:00;-;75
08.01.2021;23:00;00:00;-;0
09.01.2021;00:00;01:00;-;76
09.01.2021;01:00;02:00;-;76
09.01.2021;02:00;03:00;-;77
09.01.2021;03:00;04:00;-;78
09.01.2021;04:00;05:00;-;76
09.01.2021;05:00;06:00;-;76
09.01.2021;06:00;07:00;-;79
09.01.2021;07:00;08:00;-;79
09.01.2021;08:00;09:00;-;79
09.01.2021;09:00;10:00;-;80
09.01.2021;10:00;11:00;-;80
09.01.2021;11:00;12:00;-;79
09.01.2021;12:00;13:00;-;79
09.01.2021;13:00;14:00;-;79
09.01.2021;14:00;15:00;-;79
09.01.2021;15:00;16:00;-;78
09.01.2021;16:00;17:00;-;77
