Datum;Anfang;Ende;Generation_DE Herne 2 [MW] Originalauflösungen;Generation_DE Herne 3 [MW] Originalauflösungen;Generation_DE Herne 4 [MW] Originalauflösungen
01.01.2018;00:00;01:00;-;-;112
01.01.2018;01:00;02:00;-;-;107
01.01.2018;02:00;03:00;-;-;108
01.01.2018;03:00;04:00;-;-;108
01.01.2018;04:00;05:00;-;-;107
01.01.2018;05:00;06:00;-;-;109
01.01.2018;06:00;07:00;-;-;117
01.01.2018;07:00;08:00;-;-;117
01.01.2018;08:00;09:00;-;-;114
01.01.2018;09:00;10:00;-;-;118
01.01.2018;10:00;11:00;-;-;112
01.01.2018;11:00;12:00;-;-;111
01.01.2018;12:00;13:00;-;-;112
01.01.2018;13:00;14:00;-;-;116
01.01.2018;14:00;15:00;-;-;112
01.01.2018;15:00;16:00;-;-;114
01.01.2018;16:00;17:00;-;-;109
01.01.2018;17:00;18:00;-;-;119
01.01.2018;18:00;19:00;-;-;125
01.01.2018;19:00;20:00;-;-;122
01.01.2018;20:00;21:00;-;-;116
01.01.2018;21:00;22:00;-;-;116
01.01.2018;22:00;23:00;-;-;119
01.01.2018;23:00;00:00;-;-;114
02.01.2018;00:00;01:00;-;-;111
02.01.2018;01:00;02:00;-;-;115
02.01.2018;02:00;03:00;-;-;115
02.01.2018;03:00;04:00;-;-;120
02.01.2018;04:00;05:00;-;-;139
02.01.2018;05:00;06:00;-;-;159
02.01.2018;06:00;07:00;-;-;201
02.01.2018;07:00;08:00;-;-;202
02.01.2018;08:00;09:00;-;-;177
02.01.2018;09:00;10:00;-;-;181
02.01.2018;10:00;11:00;-;-;178
02.01.2018;11:00;12:00;-;-;192
02.01.2018;12:00;13:00;-;-;177
02.01.2018;13:00;14:00;-;-;182
02.01.2018;14:00;15:00;-;-;204
02.01.2018;15:00;16:00;-;-;377
02.01.2018;16:00;17:00;-;-;375
02.01.2018;17:00;18:00;-;-;325
02.01.2018;18:00;19:00;-;-;345
02.01.2018;19:00;20:00;-;-;254
02.01.2018;20:00;21:00;-;-;223
02.01.2018;21:00;22:00;-;-;162
02.01.2018;22:00;23:00;-;-;127
02.01.2018;23:00;00:00;-;-;121
03.01.2018;00:00;01:00;-;-;110
03.01.2018;01:00;02:00;-;-;109
03.01.2018;02:00;03:00;-;-;111
03.01.2018;03:00;04:00;-;-;106
03.01.2018;04:00;05:00;-;-;108
03.01.2018;05:00;06:00;-;-;112
03.01.2018;06:00;07:00;-;-;155
03.01.2018;07:00;08:00;-;-;179
03.01.2018;08:00;09:00;-;-;152
03.01.2018;09:00;10:00;-;-;150
03.01.2018;10:00;11:00;-;-;148
03.01.2018;11:00;12:00;-;-;150
03.01.2018;12:00;13:00;-;-;153
03.01.2018;13:00;14:00;-;-;164
03.01.2018;14:00;15:00;-;-;160
03.01.2018;15:00;16:00;-;-;162
03.01.2018;16:00;17:00;-;-;158
03.01.2018;17:00;18:00;-;-;166
