Datum;Anfang;Ende;Generation_DE Kraftwerk Jänschwalde Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block B [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block C [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block D [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block E [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block F [MW] Originalauflösungen
01.01.2020;00:00;01:00;0;473;488;491;-;-
01.01.2020;01:00;02:00;0;477;492;494;-;-
01.01.2020;02:00;03:00;0;478;490;495;-;-
01.01.2020;03:00;04:00;0;476;492;497;-;-
01.01.2020;04:00;05:00;0;476;494;490;-;-
01.01.2020;05:00;06:00;0;478;493;494;-;-
01.01.2020;06:00;07:00;0;472;494;493;-;-
01.01.2020;07:00;08:00;0;470;493;495;-;-
01.01.2020;08:00;09:00;0;457;482;482;-;-
01.01.2020;09:00;10:00;0;462;482;480;-;-
01.01.2020;10:00;11:00;0;455;478;478;-;-
01.01.2020;11:00;12:00;0;425;461;407;-;-
01.01.2020;12:00;13:00;0;449;471;468;-;-
01.01.2020;13:00;14:00;0;435;468;405;-;-
01.01.2020;14:00;15:00;0;474;497;490;-;-
01.01.2020;15:00;16:00;0;475;496;494;-;-
01.01.2020;16:00;17:00;0;475;496;496;-;-
01.01.2020;17:00;18:00;0;461;484;481;-;-
01.01.2020;18:00;19:00;0;454;475;473;-;-
01.01.2020;19:00;20:00;0;408;451;387;-;-
01.01.2020;20:00;21:00;0;459;481;482;-;-
01.01.2020;21:00;22:00;0;475;494;491;-;-
01.01.2020;22:00;23:00;0;479;497;494;-;-
01.01.2020;23:00;00:00;0;477;496;494;-;-
02.01.2020;00:00;01:00;0;469;489;486;-;-
02.01.2020;01:00;02:00;0;477;497;495;-;-
02.01.2020;02:00;03:00;0;474;495;495;-;-
02.01.2020;03:00;04:00;0;455;484;433;-;-
02.01.2020;04:00;05:00;0;427;435;366;-;-
