Date;Start;End;Generation_DE Kraftwerk Jänschwalde Block A [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block B [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block C [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block D [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block E [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block F [MW] Original resolutions
01.01.2021;00:00;01:00;228;426;494;493;-;-
01.01.2021;01:00;02:00;235;428;497;496;-;-
01.01.2021;02:00;03:00;231;428;490;488;-;-
01.01.2021;03:00;04:00;230;427;488;487;-;-
01.01.2021;04:00;05:00;229;428;488;487;-;-
01.01.2021;05:00;06:00;232;427;492;491;-;-
01.01.2021;06:00;07:00;235;421;496;495;-;-
01.01.2021;07:00;08:00;230;418;495;492;-;-
01.01.2021;08:00;09:00;223;418;476;474;-;-
01.01.2021;09:00;10:00;228;419;485;481;-;-
01.01.2021;10:00;11:00;231;418;488;487;-;-
01.01.2021;11:00;12:00;235;419;501;497;-;-
01.01.2021;12:00;13:00;235;423;495;492;-;-
01.01.2021;13:00;14:00;233;428;496;493;-;-
01.01.2021;14:00;15:00;233;416;497;495;-;-
01.01.2021;15:00;16:00;232;419;496;498;-;-
01.01.2021;16:00;17:00;233;416;497;494;-;-
01.01.2021;17:00;18:00;230;417;495;490;-;-
01.01.2021;18:00;19:00;208;416;489;486;-;-
01.01.2021;19:00;20:00;226;416;487;490;-;-
01.01.2021;20:00;21:00;227;426;492;491;-;-
01.01.2021;21:00;22:00;234;428;490;489;-;-
01.01.2021;22:00;23:00;230;426;473;469;-;-
01.01.2021;23:00;00:00;290;425;468;465;-;-
02.01.2021;00:00;01:00;376;426;439;438;-;-
02.01.2021;01:00;02:00;396;426;462;459;-;-
02.01.2021;02:00;03:00;421;426;439;435;-;-
02.01.2021;03:00;04:00;417;427;437;433;-;-
02.01.2021;04:00;05:00;430;427;445;439;-;-
02.01.2021;05:00;06:00;490;426;500;496;-;-
02.01.2021;06:00;07:00;473;414;481;481;-;-
02.01.2021;07:00;08:00;469;404;472;470;-;-
02.01.2021;08:00;09:00;479;404;486;484;-;-
02.01.2021;09:00;10:00;486;409;492;491;-;-
02.01.2021;10:00;11:00;494;403;499;499;-;-
02.01.2021;11:00;12:00;494;402;500;498;-;-
02.01.2021;12:00;13:00;494;407;500;498;-;-
02.01.2021;13:00;14:00;497;409;501;502;-;-
02.01.2021;14:00;15:00;496;406;499;501;-;-
02.01.2021;15:00;16:00;493;408;499;498;-;-
02.01.2021;16:00;17:00;494;409;500;500;-;-
02.01.2021;17:00;18:00;490;409;498;500;-;-
02.01.2021;18:00;19:00;487;422;493;497;-;-
02.01.2021;19:00;20:00;486;415;498;498;-;-
02.01.2021;20:00;21:00;481;412;495;495;-;-
02.01.2021;21:00;22:00;480;414;492;494;-;-
02.01.2021;22:00;23:00;476;413;487;488;-;-
02.01.2021;23:00;00:00;469;415;482;481;-;-
03.01.2021;00:00;01:00;454;414;456;452;-;-
03.01.2021;01:00;02:00;487;417;479;477;-;-
03.01.2021;02:00;03:00;412;415;408;405;-;-
03.01.2021;03:00;04:00;325;416;313;326;-;-
03.01.2021;04:00;05:00;312;426;299;324;-;-
03.01.2021;05:00;06:00;303;427;299;314;-;-
03.01.2021;06:00;07:00;303;423;299;335;-;-
03.01.2021;07:00;08:00;303;417;302;334;-;-
03.01.2021;08:00;09:00;309;419;312;323;-;-
03.01.2021;09:00;10:00;305;419;310;314;-;-
03.01.2021;10:00;11:00;345;418;299;324;-;-
03.01.2021;11:00;12:00;404;419;426;430;-;-
03.01.2021;12:00;13:00;435;419;458;456;-;-
03.01.2021;13:00;14:00;490;420;491;490;-;-
03.01.2021;14:00;15:00;411;419;426;423;-;-
03.01.2021;15:00;16:00;392;417;428;426;-;-
03.01.2021;16:00;17:00;393;422;345;341;-;-
03.01.2021;17:00;18:00;427;427;443;437;-;-
03.01.2021;18:00;19:00;395;427;417;415;-;-
03.01.2021;19:00;20:00;423;427;442;440;-;-
03.01.2021;20:00;21:00;311;424;318;313;-;-
03.01.2021;21:00;22:00;307;425;304;298;-;-
03.01.2021;22:00;23:00;307;424;322;314;-;-
03.01.2021;23:00;00:00;306;427;302;298;-;-
04.01.2021;00:00;01:00;378;428;404;375;-;-
04.01.2021;01:00;02:00;387;427;414;372;-;-
04.01.2021;02:00;03:00;466;425;477;391;-;-
04.01.2021;03:00;04:00;422;425;443;374;-;-
04.01.2021;04:00;05:00;362;427;380;349;-;-
04.01.2021;05:00;06:00;309;426;305;327;-;-
04.01.2021;06:00;07:00;319;413;339;335;-;-
04.01.2021;07:00;08:00;430;405;451;448;-;-
04.01.2021;08:00;09:00;484;415;483;484;-;-
04.01.2021;09:00;10:00;488;410;481;483;-;-
04.01.2021;10:00;11:00;497;407;482;483;-;-
04.01.2021;11:00;12:00;495;404;495;494;-;-
04.01.2021;12:00;13:00;499;403;489;490;-;-
04.01.2021;13:00;14:00;493;413;497;495;-;-
04.01.2021;14:00;15:00;496;420;499;498;-;-
04.01.2021;15:00;16:00;484;429;491;490;-;-
04.01.2021;16:00;17:00;492;421;495;493;-;-
04.01.2021;17:00;18:00;493;424;496;492;-;-
04.01.2021;18:00;19:00;496;426;496;492;-;-
04.01.2021;19:00;20:00;494;423;496;494;-;-
04.01.2021;20:00;21:00;494;426;497;495;-;-
04.01.2021;21:00;22:00;493;425;495;495;-;-
04.01.2021;22:00;23:00;496;422;497;495;-;-
04.01.2021;23:00;00:00;496;422;496;495;-;-
05.01.2021;00:00;01:00;497;421;498;496;-;-
05.01.2021;01:00;02:00;496;421;499;497;-;-
05.01.2021;02:00;03:00;495;422;499;497;-;-
05.01.2021;03:00;04:00;494;425;498;495;-;-
05.01.2021;04:00;05:00;496;424;499;498;-;-
05.01.2021;05:00;06:00;494;424;497;495;-;-
05.01.2021;06:00;07:00;493;428;495;493;-;-
05.01.2021;07:00;08:00;486;416;495;494;-;-
