Datum;Anfang;Ende;Generation_DE KW Kühtai - Maschine 1 [MW] Originalauflösungen;Generation_DE KW Kühtai - Maschine 2 [MW] Originalauflösungen
01.01.2023;00:00;01:00;0;0
01.01.2023;01:00;02:00;0;0
01.01.2023;02:00;03:00;0;0
01.01.2023;03:00;04:00;0;0
01.01.2023;04:00;05:00;0;0
01.01.2023;05:00;06:00;0;0
01.01.2023;06:00;07:00;0;0
01.01.2023;07:00;08:00;0;0
01.01.2023;08:00;09:00;0;0
01.01.2023;09:00;10:00;0;0
01.01.2023;10:00;11:00;0;0
01.01.2023;11:00;12:00;0;0
01.01.2023;12:00;13:00;0;0
01.01.2023;13:00;14:00;0;0
01.01.2023;14:00;15:00;0;0
01.01.2023;15:00;16:00;0;0
01.01.2023;16:00;17:00;4;24
01.01.2023;17:00;18:00;120;89
01.01.2023;18:00;19:00;100;27
01.01.2023;19:00;20:00;88;0
01.01.2023;20:00;21:00;90;0
01.01.2023;21:00;22:00;75;0
01.01.2023;22:00;23:00;66;32
01.01.2023;23:00;00:00;20;129
02.01.2023;00:00;01:00;0;1
02.01.2023;01:00;02:00;0;0
02.01.2023;02:00;03:00;0;0
02.01.2023;03:00;04:00;0;0
02.01.2023;04:00;05:00;0;0
02.01.2023;05:00;06:00;0;0
02.01.2023;06:00;07:00;0;0
02.01.2023;07:00;08:00;0;0
02.01.2023;08:00;09:00;0;0
02.01.2023;09:00;10:00;59;0
02.01.2023;10:00;11:00;2;0
02.01.2023;11:00;12:00;0;124
02.01.2023;12:00;13:00;37;1
02.01.2023;13:00;14:00;40;0
02.01.2023;14:00;15:00;21;0
02.01.2023;15:00;16:00;0;0
02.01.2023;16:00;17:00;38;0
02.01.2023;17:00;18:00;65;125
02.01.2023;18:00;19:00;93;1
02.01.2023;19:00;20:00;100;0
02.01.2023;20:00;21:00;8;0
02.01.2023;21:00;22:00;0;0
02.01.2023;22:00;23:00;0;0
02.01.2023;23:00;00:00;0;0
03.01.2023;00:00;01:00;0;0
03.01.2023;01:00;02:00;0;0
03.01.2023;02:00;03:00;0;0
03.01.2023;03:00;04:00;0;0
03.01.2023;04:00;05:00;0;0
03.01.2023;05:00;06:00;0;0
03.01.2023;06:00;07:00;34;25
03.01.2023;07:00;08:00;88;81
03.01.2023;08:00;09:00;47;128
03.01.2023;09:00;10:00;21;123
03.01.2023;10:00;11:00;0;71
03.01.2023;11:00;12:00;42;118
03.01.2023;12:00;13:00;46;123
03.01.2023;13:00;14:00;0;128
03.01.2023;14:00;15:00;28;127
03.01.2023;15:00;16:00;94;127
03.01.2023;16:00;17:00;108;127
03.01.2023;17:00;18:00;107;129
03.01.2023;18:00;19:00;13;92
03.01.2023;19:00;20:00;0;63
03.01.2023;20:00;21:00;0;80
03.01.2023;21:00;22:00;0;0
03.01.2023;22:00;23:00;0;0
03.01.2023;23:00;00:00;0;0
04.01.2023;00:00;01:00;0;0
04.01.2023;01:00;02:00;0;0
04.01.2023;02:00;03:00;0;0
04.01.2023;03:00;04:00;0;0
04.01.2023;04:00;05:00;0;0
04.01.2023;05:00;06:00;0;0
04.01.2023;06:00;07:00;0;0
04.01.2023;07:00;08:00;56;0
04.01.2023;08:00;09:00;6;0
04.01.2023;09:00;10:00;0;0
04.01.2023;10:00;11:00;0;0
04.01.2023;11:00;12:00;0;48
04.01.2023;12:00;13:00;0;0
04.01.2023;13:00;14:00;0;0
04.01.2023;14:00;15:00;0;0
04.01.2023;15:00;16:00;0;0
04.01.2023;16:00;17:00;0;0
04.01.2023;17:00;18:00;39;53
04.01.2023;18:00;19:00;101;0
04.01.2023;19:00;20:00;103;0
04.01.2023;20:00;21:00;0;0
04.01.2023;21:00;22:00;0;0
04.01.2023;22:00;23:00;0;0
04.01.2023;23:00;00:00;0;0
05.01.2023;00:00;01:00;0;0
05.01.2023;01:00;02:00;0;0
05.01.2023;02:00;03:00;0;0
05.01.2023;03:00;04:00;0;0
05.01.2023;04:00;05:00;0;0
05.01.2023;05:00;06:00;0;0
05.01.2023;06:00;07:00;0;0
05.01.2023;07:00;08:00;27;0
05.01.2023;08:00;09:00;11;21
05.01.2023;09:00;10:00;0;132
05.01.2023;10:00;11:00;0;109
05.01.2023;11:00;12:00;0;14
05.01.2023;12:00;13:00;0;38
05.01.2023;13:00;14:00;0;128
05.01.2023;14:00;15:00;0;129
05.01.2023;15:00;16:00;63;1
05.01.2023;16:00;17:00;87;0
05.01.2023;17:00;18:00;84;43
05.01.2023;18:00;19:00;123;44
05.01.2023;19:00;20:00;101;76
05.01.2023;20:00;21:00;83;15
05.01.2023;21:00;22:00;89;0
05.01.2023;22:00;23:00;67;0
05.01.2023;23:00;00:00;0;0
06.01.2023;00:00;01:00;0;0
06.01.2023;01:00;02:00;0;0
06.01.2023;02:00;03:00;0;0
06.01.2023;03:00;04:00;0;0
06.01.2023;04:00;05:00;0;0
06.01.2023;05:00;06:00;0;0
06.01.2023;06:00;07:00;0;0
06.01.2023;07:00;08:00;0;59
06.01.2023;08:00;09:00;0;35
06.01.2023;09:00;10:00;0;0
06.01.2023;10:00;11:00;0;0
06.01.2023;11:00;12:00;0;0
06.01.2023;12:00;13:00;0;0
06.01.2023;13:00;14:00;0;0
06.01.2023;14:00;15:00;0;16
06.01.2023;15:00;16:00;57;76
06.01.2023;16:00;17:00;95;61
06.01.2023;17:00;18:00;106;130
06.01.2023;18:00;19:00;3;58
06.01.2023;19:00;20:00;0;41
06.01.2023;20:00;21:00;0;69
06.01.2023;21:00;22:00;0;0
06.01.2023;22:00;23:00;0;0
06.01.2023;23:00;00:00;0;0
07.01.2023;00:00;01:00;0;0
07.01.2023;01:00;02:00;0;0
07.01.2023;02:00;03:00;0;0
07.01.2023;03:00;04:00;0;0
07.01.2023;04:00;05:00;0;0
07.01.2023;05:00;06:00;0;0
07.01.2023;06:00;07:00;0;0
07.01.2023;07:00;08:00;17;0
07.01.2023;08:00;09:00;14;0
07.01.2023;09:00;10:00;43;0
07.01.2023;10:00;11:00;72;98
07.01.2023;11:00;12:00;0;39
07.01.2023;12:00;13:00;0;0
07.01.2023;13:00;14:00;0;0
07.01.2023;14:00;15:00;0;0
07.01.2023;15:00;16:00;0;0
07.01.2023;16:00;17:00;13;64
07.01.2023;17:00;18:00;104;89
07.01.2023;18:00;19:00;77;0
07.01.2023;19:00;20:00;89;0
07.01.2023;20:00;21:00;19;0
07.01.2023;21:00;22:00;0;0
07.01.2023;22:00;23:00;0;0
07.01.2023;23:00;00:00;0;0
08.01.2023;00:00;01:00;0;0
08.01.2023;01:00;02:00;0;0
08.01.2023;02:00;03:00;0;0
08.01.2023;03:00;04:00;0;0
08.01.2023;04:00;05:00;0;0
08.01.2023;05:00;06:00;0;0
08.01.2023;06:00;07:00;0;0
08.01.2023;07:00;08:00;0;0
08.01.2023;08:00;09:00;0;0
08.01.2023;09:00;10:00;0;0
08.01.2023;10:00;11:00;13;37
08.01.2023;11:00;12:00;95;40
08.01.2023;12:00;13:00;1;0
08.01.2023;13:00;14:00;0;0
08.01.2023;14:00;15:00;0;0
08.01.2023;15:00;16:00;0;9
08.01.2023;16:00;17:00;0;20
08.01.2023;17:00;18:00;1;0
08.01.2023;18:00;19:00;110;0
08.01.2023;19:00;20:00;112;28
08.01.2023;20:00;21:00;102;35
08.01.2023;21:00;22:00;87;0
08.01.2023;22:00;23:00;0;0
08.01.2023;23:00;00:00;0;0
09.01.2023;00:00;01:00;0;0
09.01.2023;01:00;02:00;0;0
09.01.2023;02:00;03:00;0;0
09.01.2023;03:00;04:00;0;0
09.01.2023;04:00;05:00;0;0
09.01.2023;05:00;06:00;0;0
09.01.2023;06:00;07:00;0;17
09.01.2023;07:00;08:00;35;60
09.01.2023;08:00;09:00;65;71
09.01.2023;09:00;10:00;81;102
09.01.2023;10:00;11:00;30;40
09.01.2023;11:00;12:00;0;0
09.01.2023;12:00;13:00;0;0
09.01.2023;13:00;14:00;0;20
09.01.2023;14:00;15:00;0;127
09.01.2023;15:00;16:00;0;127
09.01.2023;16:00;17:00;35;128
09.01.2023;17:00;18:00;97;128
09.01.2023;18:00;19:00;66;105
