Datum;Anfang;Ende;Generation_DE Lünen 7 [MW] Originalauflösungen;Generation_DE Lünen 6 [MW] Originalauflösungen
01.01.2017;00:00;01:00;1;0
01.01.2017;01:00;02:00;0;0
01.01.2017;02:00;03:00;0;0
01.01.2017;03:00;04:00;0;0
01.01.2017;04:00;05:00;1;0
01.01.2017;05:00;06:00;0;0
01.01.2017;06:00;07:00;0;0
01.01.2017;07:00;08:00;0;0
01.01.2017;08:00;09:00;0;0
01.01.2017;09:00;10:00;0;0
01.01.2017;10:00;11:00;0;0
01.01.2017;11:00;12:00;1;0
01.01.2017;12:00;13:00;0;0
01.01.2017;13:00;14:00;1;0
01.01.2017;14:00;15:00;1;0
01.01.2017;15:00;16:00;0;0
01.01.2017;16:00;17:00;0;0
01.01.2017;17:00;18:00;1;0
01.01.2017;18:00;19:00;0;0
01.01.2017;19:00;20:00;0;0
01.01.2017;20:00;21:00;0;0
01.01.2017;21:00;22:00;1;0
01.01.2017;22:00;23:00;1;0
01.01.2017;23:00;00:00;1;0
02.01.2017;00:00;01:00;0;0
02.01.2017;01:00;02:00;0;14
02.01.2017;02:00;03:00;0;48
02.01.2017;03:00;04:00;1;46
02.01.2017;04:00;05:00;0;52
02.01.2017;05:00;06:00;0;52
02.01.2017;06:00;07:00;0;46
02.01.2017;07:00;08:00;0;50
02.01.2017;08:00;09:00;0;49
02.01.2017;09:00;10:00;1;50
02.01.2017;10:00;11:00;1;50
02.01.2017;11:00;12:00;1;88
02.01.2017;12:00;13:00;0;98
02.01.2017;13:00;14:00;0;90
02.01.2017;14:00;15:00;0;52
02.01.2017;15:00;16:00;1;47
02.01.2017;16:00;17:00;1;49
02.01.2017;17:00;18:00;1;50
02.01.2017;18:00;19:00;1;48
02.01.2017;19:00;20:00;1;47
02.01.2017;20:00;21:00;0;56
02.01.2017;21:00;22:00;0;72
02.01.2017;22:00;23:00;0;47
02.01.2017;23:00;00:00;0;46
03.01.2017;00:00;01:00;1;47
03.01.2017;01:00;02:00;1;45
03.01.2017;02:00;03:00;1;45
03.01.2017;03:00;04:00;0;46
03.01.2017;04:00;05:00;1;45
03.01.2017;05:00;06:00;1;45
03.01.2017;06:00;07:00;0;50
