Datum;Anfang;Ende;Generation_DE Block 3 [MW] Originalauflösungen;Generation_DE KW Mittelsbüren Block 4 [MW] Originalauflösungen;Generation_DE Mittelsbüren GT3 [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;134;-
01.01.2023;01:00;02:00;-;142;-
01.01.2023;02:00;03:00;-;138;-
01.01.2023;03:00;04:00;-;133;-
01.01.2023;04:00;05:00;-;156;-
01.01.2023;05:00;06:00;-;157;-
01.01.2023;06:00;07:00;-;161;-
01.01.2023;07:00;08:00;-;147;-
01.01.2023;08:00;09:00;-;147;-
01.01.2023;09:00;10:00;-;138;-
01.01.2023;10:00;11:00;-;143;-
01.01.2023;11:00;12:00;-;141;-
01.01.2023;12:00;13:00;-;136;-
01.01.2023;13:00;14:00;-;143;-
01.01.2023;14:00;15:00;-;147;-
01.01.2023;15:00;16:00;-;129;-
01.01.2023;16:00;17:00;-;106;-
01.01.2023;17:00;18:00;-;131;-
01.01.2023;18:00;19:00;-;136;-
01.01.2023;19:00;20:00;-;135;-
01.01.2023;20:00;21:00;-;117;-
01.01.2023;21:00;22:00;-;93;-
01.01.2023;22:00;23:00;-;62;-
01.01.2023;23:00;00:00;-;55;-
02.01.2023;00:00;01:00;-;52;-
02.01.2023;01:00;02:00;-;53;-
02.01.2023;02:00;03:00;-;53;-
02.01.2023;03:00;04:00;-;53;-
02.01.2023;04:00;05:00;-;54;-
02.01.2023;05:00;06:00;-;53;-
02.01.2023;06:00;07:00;-;53;-
02.01.2023;07:00;08:00;-;53;-
02.01.2023;08:00;09:00;-;52;-
02.01.2023;09:00;10:00;-;53;-
02.01.2023;10:00;11:00;-;53;-
02.01.2023;11:00;12:00;-;53;-
02.01.2023;12:00;13:00;-;54;-
02.01.2023;13:00;14:00;-;53;-
02.01.2023;14:00;15:00;-;57;-
02.01.2023;15:00;16:00;-;57;-
02.01.2023;16:00;17:00;-;57;-
02.01.2023;17:00;18:00;-;74;-
02.01.2023;18:00;19:00;-;88;-
02.01.2023;19:00;20:00;-;65;-
02.01.2023;20:00;21:00;-;69;-
02.01.2023;21:00;22:00;-;100;-
02.01.2023;22:00;23:00;-;104;-
02.01.2023;23:00;00:00;-;85;-
03.01.2023;00:00;01:00;-;102;-
03.01.2023;01:00;02:00;-;110;-
03.01.2023;02:00;03:00;-;103;-
03.01.2023;03:00;04:00;-;95;-
03.01.2023;04:00;05:00;-;129;-
03.01.2023;05:00;06:00;-;136;-
03.01.2023;06:00;07:00;-;134;-
03.01.2023;07:00;08:00;-;143;-
03.01.2023;08:00;09:00;-;158;-
03.01.2023;09:00;10:00;-;163;-
03.01.2023;10:00;11:00;-;162;-
03.01.2023;11:00;12:00;-;152;-
03.01.2023;12:00;13:00;-;152;-
03.01.2023;13:00;14:00;-;152;-
03.01.2023;14:00;15:00;-;138;-
03.01.2023;15:00;16:00;-;126;-
03.01.2023;16:00;17:00;-;138;-
03.01.2023;17:00;18:00;-;115;-
03.01.2023;18:00;19:00;-;112;-
03.01.2023;19:00;20:00;-;118;-
03.01.2023;20:00;21:00;-;123;-
03.01.2023;21:00;22:00;-;123;-
03.01.2023;22:00;23:00;-;124;-
03.01.2023;23:00;00:00;-;123;-
04.01.2023;00:00;01:00;-;121;-
04.01.2023;01:00;02:00;-;116;-
04.01.2023;02:00;03:00;-;119;-
04.01.2023;03:00;04:00;-;121;-
04.01.2023;04:00;05:00;-;113;-
04.01.2023;05:00;06:00;-;118;-
04.01.2023;06:00;07:00;-;122;-
04.01.2023;07:00;08:00;-;114;-
04.01.2023;08:00;09:00;-;132;-
04.01.2023;09:00;10:00;-;143;-
04.01.2023;10:00;11:00;-;141;-
04.01.2023;11:00;12:00;-;121;-
04.01.2023;12:00;13:00;-;111;-
04.01.2023;13:00;14:00;-;111;-
04.01.2023;14:00;15:00;-;112;-
04.01.2023;15:00;16:00;-;113;-
04.01.2023;16:00;17:00;-;122;-
04.01.2023;17:00;18:00;-;123;-
04.01.2023;18:00;19:00;-;106;-
04.01.2023;19:00;20:00;-;85;-
04.01.2023;20:00;21:00;-;105;-
04.01.2023;21:00;22:00;-;110;-
04.01.2023;22:00;23:00;-;84;-
04.01.2023;23:00;00:00;-;82;-
05.01.2023;00:00;01:00;-;93;-
05.01.2023;01:00;02:00;-;96;-
05.01.2023;02:00;03:00;-;91;-
05.01.2023;03:00;04:00;-;84;-
05.01.2023;04:00;05:00;-;84;-
05.01.2023;05:00;06:00;-;94;-
05.01.2023;06:00;07:00;-;105;-
05.01.2023;07:00;08:00;-;107;-
05.01.2023;08:00;09:00;-;109;-
05.01.2023;09:00;10:00;-;102;-
05.01.2023;10:00;11:00;-;103;-
05.01.2023;11:00;12:00;-;124;-
05.01.2023;12:00;13:00;-;117;-
05.01.2023;13:00;14:00;-;101;-
05.01.2023;14:00;15:00;-;113;-
05.01.2023;15:00;16:00;-;113;-
05.01.2023;16:00;17:00;-;118;-
05.01.2023;17:00;18:00;-;124;-
05.01.2023;18:00;19:00;-;115;-
05.01.2023;19:00;20:00;-;116;-
05.01.2023;20:00;21:00;-;117;-
