Datum;Anfang;Ende;Generation_DE Walsum 9 [MW] Originalauflösungen;Generation_DE Walsum 7 [MW] Originalauflösungen;Generation_DE Walsum 10 [MW] Originalauflösungen
01.01.2022;00:00;01:00;0;-;0
01.01.2022;01:00;02:00;0;-;0
01.01.2022;02:00;03:00;0;-;0
01.01.2022;03:00;04:00;0;-;0
01.01.2022;04:00;05:00;0;-;0
01.01.2022;05:00;06:00;0;-;0
01.01.2022;06:00;07:00;0;-;0
01.01.2022;07:00;08:00;0;-;0
01.01.2022;08:00;09:00;0;-;0
01.01.2022;09:00;10:00;0;-;0
01.01.2022;10:00;11:00;0;-;0
01.01.2022;11:00;12:00;0;-;0
01.01.2022;12:00;13:00;0;-;0
01.01.2022;13:00;14:00;0;-;0
01.01.2022;14:00;15:00;0;-;0
01.01.2022;15:00;16:00;0;-;0
01.01.2022;16:00;17:00;0;-;0
01.01.2022;17:00;18:00;0;-;0
01.01.2022;18:00;19:00;0;-;0
01.01.2022;19:00;20:00;0;-;0
01.01.2022;20:00;21:00;0;-;0
01.01.2022;21:00;22:00;0;-;0
01.01.2022;22:00;23:00;0;-;0
01.01.2022;23:00;00:00;0;-;0
02.01.2022;00:00;01:00;0;-;0
02.01.2022;01:00;02:00;0;-;0
02.01.2022;02:00;03:00;0;-;0
02.01.2022;03:00;04:00;0;-;0
02.01.2022;04:00;05:00;0;-;0
02.01.2022;05:00;06:00;0;-;0
02.01.2022;06:00;07:00;0;-;0
02.01.2022;07:00;08:00;0;-;0
02.01.2022;08:00;09:00;0;-;0
02.01.2022;09:00;10:00;0;-;0
02.01.2022;10:00;11:00;0;-;0
02.01.2022;11:00;12:00;0;-;0
02.01.2022;12:00;13:00;0;-;0
02.01.2022;13:00;14:00;0;-;0
02.01.2022;14:00;15:00;0;-;0
02.01.2022;15:00;16:00;0;-;0
02.01.2022;16:00;17:00;0;-;0
02.01.2022;17:00;18:00;0;-;0
02.01.2022;18:00;19:00;0;-;0
02.01.2022;19:00;20:00;0;-;0
02.01.2022;20:00;21:00;0;-;0
02.01.2022;21:00;22:00;0;-;0
02.01.2022;22:00;23:00;0;-;0
02.01.2022;23:00;00:00;0;-;0
03.01.2022;00:00;01:00;0;-;0
03.01.2022;01:00;02:00;0;-;0
03.01.2022;02:00;03:00;0;-;0
03.01.2022;03:00;04:00;0;-;0
03.01.2022;04:00;05:00;0;-;0
03.01.2022;05:00;06:00;0;-;0
03.01.2022;06:00;07:00;0;-;0
03.01.2022;07:00;08:00;0;-;0
03.01.2022;08:00;09:00;0;-;0
03.01.2022;09:00;10:00;0;-;0
03.01.2022;10:00;11:00;0;-;0
03.01.2022;11:00;12:00;0;-;0
03.01.2022;12:00;13:00;0;-;0
03.01.2022;13:00;14:00;0;-;0
03.01.2022;14:00;15:00;0;-;0
03.01.2022;15:00;16:00;0;-;0
03.01.2022;16:00;17:00;0;-;0
03.01.2022;17:00;18:00;0;-;0
03.01.2022;18:00;19:00;0;-;0
03.01.2022;19:00;20:00;0;-;0
03.01.2022;20:00;21:00;0;-;0
03.01.2022;21:00;22:00;0;-;0
03.01.2022;22:00;23:00;0;-;0
03.01.2022;23:00;00:00;0;-;0
04.01.2022;00:00;01:00;0;-;0
04.01.2022;01:00;02:00;0;-;0
04.01.2022;02:00;03:00;0;-;0
04.01.2022;03:00;04:00;0;-;16
04.01.2022;04:00;05:00;0;-;208
04.01.2022;05:00;06:00;0;-;316
04.01.2022;06:00;07:00;0;-;435
04.01.2022;07:00;08:00;0;-;677
04.01.2022;08:00;09:00;0;-;695
04.01.2022;09:00;10:00;0;-;691
04.01.2022;10:00;11:00;0;-;688
04.01.2022;11:00;12:00;0;-;688
04.01.2022;12:00;13:00;0;-;693
04.01.2022;13:00;14:00;0;-;704
04.01.2022;14:00;15:00;0;-;706
04.01.2022;15:00;16:00;0;-;702
04.01.2022;16:00;17:00;0;-;706
04.01.2022;17:00;18:00;0;-;695
04.01.2022;18:00;19:00;0;-;703
04.01.2022;19:00;20:00;0;-;703
04.01.2022;20:00;21:00;0;-;692
04.01.2022;21:00;22:00;0;-;696
04.01.2022;22:00;23:00;0;-;700
04.01.2022;23:00;00:00;0;-;691
05.01.2022;00:00;01:00;0;-;605
05.01.2022;01:00;02:00;0;-;519
05.01.2022;02:00;03:00;0;-;384
05.01.2022;03:00;04:00;0;-;302
05.01.2022;04:00;05:00;0;-;322
05.01.2022;05:00;06:00;0;-;536
05.01.2022;06:00;07:00;0;-;666
05.01.2022;07:00;08:00;0;-;683
05.01.2022;08:00;09:00;0;-;692
05.01.2022;09:00;10:00;0;-;689
05.01.2022;10:00;11:00;0;-;680
05.01.2022;11:00;12:00;0;-;664
05.01.2022;12:00;13:00;0;-;604
05.01.2022;13:00;14:00;0;-;496
05.01.2022;14:00;15:00;0;-;650
05.01.2022;15:00;16:00;0;-;665
05.01.2022;16:00;17:00;0;-;666
05.01.2022;17:00;18:00;0;-;665
05.01.2022;18:00;19:00;0;-;664
05.01.2022;19:00;20:00;0;-;662
05.01.2022;20:00;21:00;0;-;665
05.01.2022;21:00;22:00;0;-;627
05.01.2022;22:00;23:00;0;-;566
05.01.2022;23:00;00:00;0;-;394
06.01.2022;00:00;01:00;0;-;211
06.01.2022;01:00;02:00;0;-;199
06.01.2022;02:00;03:00;0;-;318
06.01.2022;03:00;04:00;0;-;431
06.01.2022;04:00;05:00;0;-;562
06.01.2022;05:00;06:00;0;-;620
06.01.2022;06:00;07:00;0;-;680
06.01.2022;07:00;08:00;0;-;681
06.01.2022;08:00;09:00;0;-;680
06.01.2022;09:00;10:00;0;-;680
06.01.2022;10:00;11:00;0;-;687
06.01.2022;11:00;12:00;0;-;686
06.01.2022;12:00;13:00;0;-;681
06.01.2022;13:00;14:00;0;-;679
06.01.2022;14:00;15:00;0;-;682
06.01.2022;15:00;16:00;0;-;681
06.01.2022;16:00;17:00;0;-;683
06.01.2022;17:00;18:00;0;-;681
06.01.2022;18:00;19:00;0;-;682
06.01.2022;19:00;20:00;0;-;681
06.01.2022;20:00;21:00;0;-;677
06.01.2022;21:00;22:00;0;-;683
06.01.2022;22:00;23:00;0;-;689
