Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2017;00:00;01:00;32
01.01.2017;01:00;02:00;32
01.01.2017;02:00;03:00;32
01.01.2017;03:00;04:00;32
01.01.2017;04:00;05:00;32
01.01.2017;05:00;06:00;32
01.01.2017;06:00;07:00;32
01.01.2017;07:00;08:00;32
01.01.2017;08:00;09:00;32
01.01.2017;09:00;10:00;33
01.01.2017;10:00;11:00;33
01.01.2017;11:00;12:00;33
01.01.2017;12:00;13:00;32
01.01.2017;13:00;14:00;32
01.01.2017;14:00;15:00;31
01.01.2017;15:00;16:00;33
01.01.2017;16:00;17:00;33
01.01.2017;17:00;18:00;33
01.01.2017;18:00;19:00;32
01.01.2017;19:00;20:00;32
01.01.2017;20:00;21:00;33
01.01.2017;21:00;22:00;33
01.01.2017;22:00;23:00;32
01.01.2017;23:00;00:00;32
02.01.2017;00:00;01:00;32
02.01.2017;01:00;02:00;29
02.01.2017;02:00;03:00;32
02.01.2017;03:00;04:00;33
02.01.2017;04:00;05:00;33
02.01.2017;05:00;06:00;33
02.01.2017;06:00;07:00;31
02.01.2017;07:00;08:00;31
02.01.2017;08:00;09:00;33
02.01.2017;09:00;10:00;33
02.01.2017;10:00;11:00;33
02.01.2017;11:00;12:00;31
02.01.2017;12:00;13:00;30
02.01.2017;13:00;14:00;32
02.01.2017;14:00;15:00;32
02.01.2017;15:00;16:00;35
02.01.2017;16:00;17:00;38
02.01.2017;17:00;18:00;38
02.01.2017;18:00;19:00;35
02.01.2017;19:00;20:00;36
02.01.2017;20:00;21:00;39
02.01.2017;21:00;22:00;35
02.01.2017;22:00;23:00;31
02.01.2017;23:00;00:00;31
03.01.2017;00:00;01:00;31
03.01.2017;01:00;02:00;31
03.01.2017;02:00;03:00;32
03.01.2017;03:00;04:00;32
03.01.2017;04:00;05:00;31
03.01.2017;05:00;06:00;32
03.01.2017;06:00;07:00;31
03.01.2017;07:00;08:00;32
03.01.2017;08:00;09:00;32
03.01.2017;09:00;10:00;32
03.01.2017;10:00;11:00;32
03.01.2017;11:00;12:00;32
03.01.2017;12:00;13:00;32
03.01.2017;13:00;14:00;32
03.01.2017;14:00;15:00;32
03.01.2017;15:00;16:00;32
03.01.2017;16:00;17:00;32
03.01.2017;17:00;18:00;32
03.01.2017;18:00;19:00;38
03.01.2017;19:00;20:00;37
03.01.2017;20:00;21:00;33
03.01.2017;21:00;22:00;32
03.01.2017;22:00;23:00;31
03.01.2017;23:00;00:00;31
04.01.2017;00:00;01:00;32
04.01.2017;01:00;02:00;32
04.01.2017;02:00;03:00;32
04.01.2017;03:00;04:00;32
04.01.2017;04:00;05:00;32
04.01.2017;05:00;06:00;30
04.01.2017;06:00;07:00;31
04.01.2017;07:00;08:00;33
04.01.2017;08:00;09:00;33
04.01.2017;09:00;10:00;33
04.01.2017;10:00;11:00;32
04.01.2017;11:00;12:00;31
04.01.2017;12:00;13:00;31
04.01.2017;13:00;14:00;32
04.01.2017;14:00;15:00;32
04.01.2017;15:00;16:00;32
04.01.2017;16:00;17:00;32
04.01.2017;17:00;18:00;33
04.01.2017;18:00;19:00;33
04.01.2017;19:00;20:00;32
04.01.2017;20:00;21:00;32
04.01.2017;21:00;22:00;28
04.01.2017;22:00;23:00;32
04.01.2017;23:00;00:00;33
05.01.2017;00:00;01:00;32
05.01.2017;01:00;02:00;32
05.01.2017;02:00;03:00;32
05.01.2017;03:00;04:00;32
05.01.2017;04:00;05:00;32
05.01.2017;05:00;06:00;32
05.01.2017;06:00;07:00;33
05.01.2017;07:00;08:00;33
05.01.2017;08:00;09:00;33
05.01.2017;09:00;10:00;32
05.01.2017;10:00;11:00;32
05.01.2017;11:00;12:00;32
05.01.2017;12:00;13:00;33
05.01.2017;13:00;14:00;32
05.01.2017;14:00;15:00;33
05.01.2017;15:00;16:00;33
05.01.2017;16:00;17:00;33
05.01.2017;17:00;18:00;33
05.01.2017;18:00;19:00;32
05.01.2017;19:00;20:00;32
05.01.2017;20:00;21:00;32
05.01.2017;21:00;22:00;32
05.01.2017;22:00;23:00;32
05.01.2017;23:00;00:00;32
06.01.2017;00:00;01:00;32
06.01.2017;01:00;02:00;32
06.01.2017;02:00;03:00;32
06.01.2017;03:00;04:00;32
06.01.2017;04:00;05:00;33
06.01.2017;05:00;06:00;33
06.01.2017;06:00;07:00;30
06.01.2017;07:00;08:00;31
06.01.2017;08:00;09:00;32
06.01.2017;09:00;10:00;33
06.01.2017;10:00;11:00;33
06.01.2017;11:00;12:00;33
06.01.2017;12:00;13:00;32
06.01.2017;13:00;14:00;32
06.01.2017;14:00;15:00;32
06.01.2017;15:00;16:00;32
06.01.2017;16:00;17:00;32
06.01.2017;17:00;18:00;32
06.01.2017;18:00;19:00;30
06.01.2017;19:00;20:00;29
06.01.2017;20:00;21:00;31
06.01.2017;21:00;22:00;32
06.01.2017;22:00;23:00;32
06.01.2017;23:00;00:00;32
07.01.2017;00:00;01:00;32
07.01.2017;01:00;02:00;31
07.01.2017;02:00;03:00;31
07.01.2017;03:00;04:00;32
07.01.2017;04:00;05:00;32
07.01.2017;05:00;06:00;33
07.01.2017;06:00;07:00;32
07.01.2017;07:00;08:00;31
07.01.2017;08:00;09:00;32
07.01.2017;09:00;10:00;31
07.01.2017;10:00;11:00;31
07.01.2017;11:00;12:00;30
07.01.2017;12:00;13:00;31
07.01.2017;13:00;14:00;30
07.01.2017;14:00;15:00;30
07.01.2017;15:00;16:00;32
07.01.2017;16:00;17:00;32
07.01.2017;17:00;18:00;32
07.01.2017;18:00;19:00;32
07.01.2017;19:00;20:00;31
07.01.2017;20:00;21:00;32
07.01.2017;21:00;22:00;32
07.01.2017;22:00;23:00;28
07.01.2017;23:00;00:00;30
08.01.2017;00:00;01:00;31
08.01.2017;01:00;02:00;32
08.01.2017;02:00;03:00;31
08.01.2017;03:00;04:00;31
08.01.2017;04:00;05:00;31
08.01.2017;05:00;06:00;31
08.01.2017;06:00;07:00;31
08.01.2017;07:00;08:00;31
08.01.2017;08:00;09:00;31
08.01.2017;09:00;10:00;32
08.01.2017;10:00;11:00;32
08.01.2017;11:00;12:00;29
08.01.2017;12:00;13:00;31
08.01.2017;13:00;14:00;32
08.01.2017;14:00;15:00;31
08.01.2017;15:00;16:00;31
08.01.2017;16:00;17:00;31
08.01.2017;17:00;18:00;32
08.01.2017;18:00;19:00;40
08.01.2017;19:00;20:00;32
08.01.2017;20:00;21:00;32
08.01.2017;21:00;22:00;31
08.01.2017;22:00;23:00;30
08.01.2017;23:00;00:00;31
09.01.2017;00:00;01:00;31
09.01.2017;01:00;02:00;31
09.01.2017;02:00;03:00;32
09.01.2017;03:00;04:00;32
09.01.2017;04:00;05:00;32
09.01.2017;05:00;06:00;32
09.01.2017;06:00;07:00;31
09.01.2017;07:00;08:00;31
09.01.2017;08:00;09:00;32
09.01.2017;09:00;10:00;32
09.01.2017;10:00;11:00;32
09.01.2017;11:00;12:00;39
09.01.2017;12:00;13:00;39
09.01.2017;13:00;14:00;39
09.01.2017;14:00;15:00;36
09.01.2017;15:00;16:00;32
09.01.2017;16:00;17:00;37
09.01.2017;17:00;18:00;36
09.01.2017;18:00;19:00;35
09.01.2017;19:00;20:00;32
09.01.2017;20:00;21:00;31
09.01.2017;21:00;22:00;31
09.01.2017;22:00;23:00;31
09.01.2017;23:00;00:00;30
10.01.2017;00:00;01:00;29
10.01.2017;01:00;02:00;32
10.01.2017;02:00;03:00;31
10.01.2017;03:00;04:00;29
10.01.2017;04:00;05:00;31
10.01.2017;05:00;06:00;31
10.01.2017;06:00;07:00;29
10.01.2017;07:00;08:00;31
10.01.2017;08:00;09:00;32
10.01.2017;09:00;10:00;37
10.01.2017;10:00;11:00;35
10.01.2017;11:00;12:00;32
10.01.2017;12:00;13:00;36
10.01.2017;13:00;14:00;37
10.01.2017;14:00;15:00;39
10.01.2017;15:00;16:00;33
10.01.2017;16:00;17:00;33
10.01.2017;17:00;18:00;35
10.01.2017;18:00;19:00;37
10.01.2017;19:00;20:00;34
10.01.2017;20:00;21:00;32
10.01.2017;21:00;22:00;31
10.01.2017;22:00;23:00;31
10.01.2017;23:00;00:00;30
11.01.2017;00:00;01:00;30
11.01.2017;01:00;02:00;31
11.01.2017;02:00;03:00;32
11.01.2017;03:00;04:00;33
11.01.2017;04:00;05:00;32
11.01.2017;05:00;06:00;31
11.01.2017;06:00;07:00;31
11.01.2017;07:00;08:00;32
11.01.2017;08:00;09:00;33
11.01.2017;09:00;10:00;32
11.01.2017;10:00;11:00;30
11.01.2017;11:00;12:00;30
11.01.2017;12:00;13:00;32
11.01.2017;13:00;14:00;32
11.01.2017;14:00;15:00;32
11.01.2017;15:00;16:00;31
11.01.2017;16:00;17:00;32
11.01.2017;17:00;18:00;31
11.01.2017;18:00;19:00;32
11.01.2017;19:00;20:00;31
11.01.2017;20:00;21:00;32
11.01.2017;21:00;22:00;32
11.01.2017;22:00;23:00;32
11.01.2017;23:00;00:00;32
12.01.2017;00:00;01:00;33
12.01.2017;01:00;02:00;33
12.01.2017;02:00;03:00;33
12.01.2017;03:00;04:00;33
12.01.2017;04:00;05:00;33
12.01.2017;05:00;06:00;33
12.01.2017;06:00;07:00;33
12.01.2017;07:00;08:00;33
12.01.2017;08:00;09:00;33
12.01.2017;09:00;10:00;33
12.01.2017;10:00;11:00;33
12.01.2017;11:00;12:00;33
12.01.2017;12:00;13:00;33
12.01.2017;13:00;14:00;32
12.01.2017;14:00;15:00;33
12.01.2017;15:00;16:00;33
12.01.2017;16:00;17:00;33
12.01.2017;17:00;18:00;31
12.01.2017;18:00;19:00;31
12.01.2017;19:00;20:00;32
12.01.2017;20:00;21:00;32
12.01.2017;21:00;22:00;32
12.01.2017;22:00;23:00;32
12.01.2017;23:00;00:00;32
13.01.2017;00:00;01:00;32
13.01.2017;01:00;02:00;32
13.01.2017;02:00;03:00;34
13.01.2017;03:00;04:00;36
13.01.2017;04:00;05:00;39
13.01.2017;05:00;06:00;36
13.01.2017;06:00;07:00;40
13.01.2017;07:00;08:00;42
13.01.2017;08:00;09:00;40
13.01.2017;09:00;10:00;43
13.01.2017;10:00;11:00;42
13.01.2017;11:00;12:00;37
13.01.2017;12:00;13:00;36
13.01.2017;13:00;14:00;37
13.01.2017;14:00;15:00;38
13.01.2017;15:00;16:00;40
13.01.2017;16:00;17:00;40
13.01.2017;17:00;18:00;41
13.01.2017;18:00;19:00;43
13.01.2017;19:00;20:00;43
13.01.2017;20:00;21:00;43
13.01.2017;21:00;22:00;42
13.01.2017;22:00;23:00;40
13.01.2017;23:00;00:00;42
14.01.2017;00:00;01:00;43
14.01.2017;01:00;02:00;43
14.01.2017;02:00;03:00;42
14.01.2017;03:00;04:00;40
14.01.2017;04:00;05:00;36
14.01.2017;05:00;06:00;39
14.01.2017;06:00;07:00;40
14.01.2017;07:00;08:00;38
14.01.2017;08:00;09:00;36
14.01.2017;09:00;10:00;34
14.01.2017;10:00;11:00;34
14.01.2017;11:00;12:00;33
14.01.2017;12:00;13:00;33
14.01.2017;13:00;14:00;33
14.01.2017;14:00;15:00;33
14.01.2017;15:00;16:00;37
14.01.2017;16:00;17:00;35
14.01.2017;17:00;18:00;33
14.01.2017;18:00;19:00;34
14.01.2017;19:00;20:00;33
14.01.2017;20:00;21:00;33
14.01.2017;21:00;22:00;32
14.01.2017;22:00;23:00;32
14.01.2017;23:00;00:00;34
15.01.2017;00:00;01:00;32
15.01.2017;01:00;02:00;32
15.01.2017;02:00;03:00;32
15.01.2017;03:00;04:00;33
15.01.2017;04:00;05:00;32
15.01.2017;05:00;06:00;33
15.01.2017;06:00;07:00;33
15.01.2017;07:00;08:00;33
15.01.2017;08:00;09:00;33
15.01.2017;09:00;10:00;33
15.01.2017;10:00;11:00;33
15.01.2017;11:00;12:00;33
15.01.2017;12:00;13:00;33
15.01.2017;13:00;14:00;33
15.01.2017;14:00;15:00;33
15.01.2017;15:00;16:00;33
15.01.2017;16:00;17:00;33
15.01.2017;17:00;18:00;33
15.01.2017;18:00;19:00;32
15.01.2017;19:00;20:00;33
15.01.2017;20:00;21:00;36
15.01.2017;21:00;22:00;33
15.01.2017;22:00;23:00;33
