Date;Start;End;Generation_DE  [MW] Original resolutions
01.01.2016;00:00;01:00;133
01.01.2016;01:00;02:00;134
01.01.2016;02:00;03:00;133
01.01.2016;03:00;04:00;131
01.01.2016;04:00;05:00;129
01.01.2016;05:00;06:00;130
01.01.2016;06:00;07:00;128
01.01.2016;07:00;08:00;128
01.01.2016;08:00;09:00;128
01.01.2016;09:00;10:00;129
01.01.2016;10:00;11:00;128
01.01.2016;11:00;12:00;129
01.01.2016;12:00;13:00;129
01.01.2016;13:00;14:00;129
01.01.2016;14:00;15:00;129
01.01.2016;15:00;16:00;129
01.01.2016;16:00;17:00;128
01.01.2016;17:00;18:00;128
01.01.2016;18:00;19:00;129
01.01.2016;19:00;20:00;130
01.01.2016;20:00;21:00;130
01.01.2016;21:00;22:00;123
01.01.2016;22:00;23:00;118
01.01.2016;23:00;00:00;125
02.01.2016;00:00;01:00;129
02.01.2016;01:00;02:00;130
02.01.2016;02:00;03:00;126
02.01.2016;03:00;04:00;119
02.01.2016;04:00;05:00;117
02.01.2016;05:00;06:00;118
02.01.2016;06:00;07:00;120
02.01.2016;07:00;08:00;120
02.01.2016;08:00;09:00;121
02.01.2016;09:00;10:00;121
02.01.2016;10:00;11:00;121
02.01.2016;11:00;12:00;121
02.01.2016;12:00;13:00;118
02.01.2016;13:00;14:00;112
02.01.2016;14:00;15:00;111
02.01.2016;15:00;16:00;102
02.01.2016;16:00;17:00;102
02.01.2016;17:00;18:00;114
02.01.2016;18:00;19:00;123
02.01.2016;19:00;20:00;117
02.01.2016;20:00;21:00;116
02.01.2016;21:00;22:00;116
02.01.2016;22:00;23:00;116
02.01.2016;23:00;00:00;116
03.01.2016;00:00;01:00;116
03.01.2016;01:00;02:00;117
03.01.2016;02:00;03:00;116
03.01.2016;03:00;04:00;116
03.01.2016;04:00;05:00;116
03.01.2016;05:00;06:00;116
03.01.2016;06:00;07:00;121
03.01.2016;07:00;08:00;123
03.01.2016;08:00;09:00;123
03.01.2016;09:00;10:00;123
03.01.2016;10:00;11:00;123
03.01.2016;11:00;12:00;124
03.01.2016;12:00;13:00;124
03.01.2016;13:00;14:00;123
03.01.2016;14:00;15:00;123
03.01.2016;15:00;16:00;115
03.01.2016;16:00;17:00;115
03.01.2016;17:00;18:00;105
03.01.2016;18:00;19:00;99
03.01.2016;19:00;20:00;102
03.01.2016;20:00;21:00;114
03.01.2016;21:00;22:00;107
03.01.2016;22:00;23:00;102
03.01.2016;23:00;00:00;111
04.01.2016;00:00;01:00;115
04.01.2016;01:00;02:00;121
04.01.2016;02:00;03:00;110
04.01.2016;03:00;04:00;114
04.01.2016;04:00;05:00;126
04.01.2016;05:00;06:00;126
04.01.2016;06:00;07:00;125
04.01.2016;07:00;08:00;122
04.01.2016;08:00;09:00;121
04.01.2016;09:00;10:00;125
04.01.2016;10:00;11:00;121
04.01.2016;11:00;12:00;121
04.01.2016;12:00;13:00;122
04.01.2016;13:00;14:00;128
04.01.2016;14:00;15:00;130
04.01.2016;15:00;16:00;131
04.01.2016;16:00;17:00;132
04.01.2016;17:00;18:00;132
04.01.2016;18:00;19:00;131
04.01.2016;19:00;20:00;130
04.01.2016;20:00;21:00;129
04.01.2016;21:00;22:00;117
04.01.2016;22:00;23:00;108
04.01.2016;23:00;00:00;107
05.01.2016;00:00;01:00;109
05.01.2016;01:00;02:00;110
05.01.2016;02:00;03:00;102
05.01.2016;03:00;04:00;99
05.01.2016;04:00;05:00;95
05.01.2016;05:00;06:00;101
05.01.2016;06:00;07:00;99
05.01.2016;07:00;08:00;103
05.01.2016;08:00;09:00;105
05.01.2016;09:00;10:00;107
05.01.2016;10:00;11:00;129
05.01.2016;11:00;12:00;116
05.01.2016;12:00;13:00;106
05.01.2016;13:00;14:00;133
05.01.2016;14:00;15:00;134
05.01.2016;15:00;16:00;134
05.01.2016;16:00;17:00;127
05.01.2016;17:00;18:00;127
05.01.2016;18:00;19:00;133
05.01.2016;19:00;20:00;133
05.01.2016;20:00;21:00;132
05.01.2016;21:00;22:00;123
05.01.2016;22:00;23:00;130
05.01.2016;23:00;00:00;126
06.01.2016;00:00;01:00;124
06.01.2016;01:00;02:00;131
06.01.2016;02:00;03:00;125
06.01.2016;03:00;04:00;124
06.01.2016;04:00;05:00;123
06.01.2016;05:00;06:00;122
06.01.2016;06:00;07:00;122
06.01.2016;07:00;08:00;122
06.01.2016;08:00;09:00;126
06.01.2016;09:00;10:00;126
06.01.2016;10:00;11:00;121
06.01.2016;11:00;12:00;118
06.01.2016;12:00;13:00;126
06.01.2016;13:00;14:00;126
06.01.2016;14:00;15:00;126
06.01.2016;15:00;16:00;129
06.01.2016;16:00;17:00;131
06.01.2016;17:00;18:00;131
06.01.2016;18:00;19:00;130
06.01.2016;19:00;20:00;130
06.01.2016;20:00;21:00;130
06.01.2016;21:00;22:00;131
06.01.2016;22:00;23:00;129
06.01.2016;23:00;00:00;124
07.01.2016;00:00;01:00;124
07.01.2016;01:00;02:00;129
07.01.2016;02:00;03:00;133
07.01.2016;03:00;04:00;139
07.01.2016;04:00;05:00;139
07.01.2016;05:00;06:00;134
07.01.2016;06:00;07:00;124
07.01.2016;07:00;08:00;130
07.01.2016;08:00;09:00;131
07.01.2016;09:00;10:00;119
07.01.2016;10:00;11:00;131
07.01.2016;11:00;12:00;124
07.01.2016;12:00;13:00;110
07.01.2016;13:00;14:00;109
07.01.2016;14:00;15:00;109
07.01.2016;15:00;16:00;120
07.01.2016;16:00;17:00;126
07.01.2016;17:00;18:00;133
07.01.2016;18:00;19:00;134
07.01.2016;19:00;20:00;135
07.01.2016;20:00;21:00;136
07.01.2016;21:00;22:00;135
07.01.2016;22:00;23:00;135
07.01.2016;23:00;00:00;130
08.01.2016;00:00;01:00;128
08.01.2016;01:00;02:00;127
08.01.2016;02:00;03:00;126
08.01.2016;03:00;04:00;129
08.01.2016;04:00;05:00;130
08.01.2016;05:00;06:00;126
08.01.2016;06:00;07:00;132
08.01.2016;07:00;08:00;133
08.01.2016;08:00;09:00;135
08.01.2016;09:00;10:00;131
08.01.2016;10:00;11:00;112
08.01.2016;11:00;12:00;109
08.01.2016;12:00;13:00;112
08.01.2016;13:00;14:00;116
08.01.2016;14:00;15:00;116
08.01.2016;15:00;16:00;113
08.01.2016;16:00;17:00;114
08.01.2016;17:00;18:00;114
08.01.2016;18:00;19:00;119
08.01.2016;19:00;20:00;124
08.01.2016;20:00;21:00;130
08.01.2016;21:00;22:00;136
08.01.2016;22:00;23:00;138
08.01.2016;23:00;00:00;130
09.01.2016;00:00;01:00;122
09.01.2016;01:00;02:00;129
09.01.2016;02:00;03:00;112
09.01.2016;03:00;04:00;105
