Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2023;00:00;01:00;134
01.01.2023;01:00;02:00;134
01.01.2023;02:00;03:00;134
01.01.2023;03:00;04:00;134
01.01.2023;04:00;05:00;134
01.01.2023;05:00;06:00;134
01.01.2023;06:00;07:00;128
01.01.2023;07:00;08:00;111
01.01.2023;08:00;09:00;110
01.01.2023;09:00;10:00;113
01.01.2023;10:00;11:00;114
01.01.2023;11:00;12:00;109
01.01.2023;12:00;13:00;110
01.01.2023;13:00;14:00;117
01.01.2023;14:00;15:00;113
01.01.2023;15:00;16:00;114
01.01.2023;16:00;17:00;135
01.01.2023;17:00;18:00;123
01.01.2023;18:00;19:00;107
01.01.2023;19:00;20:00;97
01.01.2023;20:00;21:00;97
01.01.2023;21:00;22:00;99
01.01.2023;22:00;23:00;101
01.01.2023;23:00;00:00;105
02.01.2023;00:00;01:00;116
02.01.2023;01:00;02:00;117
02.01.2023;02:00;03:00;114
02.01.2023;03:00;04:00;108
02.01.2023;04:00;05:00;108
02.01.2023;05:00;06:00;117
02.01.2023;06:00;07:00;117
02.01.2023;07:00;08:00;117
02.01.2023;08:00;09:00;113
02.01.2023;09:00;10:00;102
02.01.2023;10:00;11:00;102
02.01.2023;11:00;12:00;99
02.01.2023;12:00;13:00;99
02.01.2023;13:00;14:00;103
02.01.2023;14:00;15:00;106
02.01.2023;15:00;16:00;98
02.01.2023;16:00;17:00;101
02.01.2023;17:00;18:00;108
02.01.2023;18:00;19:00;118
02.01.2023;19:00;20:00;126
02.01.2023;20:00;21:00;117
02.01.2023;21:00;22:00;109
02.01.2023;22:00;23:00;108
02.01.2023;23:00;00:00;104
03.01.2023;00:00;01:00;100
03.01.2023;01:00;02:00;100
03.01.2023;02:00;03:00;100
03.01.2023;03:00;04:00;109
03.01.2023;04:00;05:00;118
03.01.2023;05:00;06:00;117
03.01.2023;06:00;07:00;125
03.01.2023;07:00;08:00;129
03.01.2023;08:00;09:00;129
03.01.2023;09:00;10:00;129
03.01.2023;10:00;11:00;128
03.01.2023;11:00;12:00;120
03.01.2023;12:00;13:00;120
03.01.2023;13:00;14:00;120
03.01.2023;14:00;15:00;120
03.01.2023;15:00;16:00;107
03.01.2023;16:00;17:00;112
03.01.2023;17:00;18:00;126
03.01.2023;18:00;19:00;125
03.01.2023;19:00;20:00;122
03.01.2023;20:00;21:00;124
03.01.2023;21:00;22:00;127
03.01.2023;22:00;23:00;120
03.01.2023;23:00;00:00;118
04.01.2023;00:00;01:00;111
04.01.2023;01:00;02:00;102
04.01.2023;02:00;03:00;101
04.01.2023;03:00;04:00;103
04.01.2023;04:00;05:00;103
04.01.2023;05:00;06:00;103
04.01.2023;06:00;07:00;103
04.01.2023;07:00;08:00;100
04.01.2023;08:00;09:00;102
04.01.2023;09:00;10:00;105
04.01.2023;10:00;11:00;101
04.01.2023;11:00;12:00;100
04.01.2023;12:00;13:00;99
04.01.2023;13:00;14:00;100
04.01.2023;14:00;15:00;104
04.01.2023;15:00;16:00;104
04.01.2023;16:00;17:00;101
04.01.2023;17:00;18:00;101
04.01.2023;18:00;19:00;101
04.01.2023;19:00;20:00;102
04.01.2023;20:00;21:00;107
04.01.2023;21:00;22:00;103
04.01.2023;22:00;23:00;108
04.01.2023;23:00;00:00;106
05.01.2023;00:00;01:00;101
05.01.2023;01:00;02:00;102
05.01.2023;02:00;03:00;103
05.01.2023;03:00;04:00;101
05.01.2023;04:00;05:00;101
05.01.2023;05:00;06:00;101
05.01.2023;06:00;07:00;104
05.01.2023;07:00;08:00;105
05.01.2023;08:00;09:00;98
05.01.2023;09:00;10:00;100
05.01.2023;10:00;11:00;109
05.01.2023;11:00;12:00;107
05.01.2023;12:00;13:00;110
05.01.2023;13:00;14:00;114
05.01.2023;14:00;15:00;107
05.01.2023;15:00;16:00;107
05.01.2023;16:00;17:00;115
05.01.2023;17:00;18:00;113
05.01.2023;18:00;19:00;112
05.01.2023;19:00;20:00;112
05.01.2023;20:00;21:00;112
05.01.2023;21:00;22:00;111
05.01.2023;22:00;23:00;106
05.01.2023;23:00;00:00;103
06.01.2023;00:00;01:00;103
06.01.2023;01:00;02:00;103
06.01.2023;02:00;03:00;101
06.01.2023;03:00;04:00;103
06.01.2023;04:00;05:00;106
06.01.2023;05:00;06:00;103
06.01.2023;06:00;07:00;103
06.01.2023;07:00;08:00;103
06.01.2023;08:00;09:00;103
06.01.2023;09:00;10:00;102
06.01.2023;10:00;11:00;101
06.01.2023;11:00;12:00;100
06.01.2023;12:00;13:00;99
06.01.2023;13:00;14:00;103
06.01.2023;14:00;15:00;100
06.01.2023;15:00;16:00;103
06.01.2023;16:00;17:00;105
06.01.2023;17:00;18:00;112
06.01.2023;18:00;19:00;111
06.01.2023;19:00;20:00;106
06.01.2023;20:00;21:00;99
06.01.2023;21:00;22:00;98
06.01.2023;22:00;23:00;98
06.01.2023;23:00;00:00;98
07.01.2023;00:00;01:00;98
07.01.2023;01:00;02:00;74
07.01.2023;02:00;03:00;99
07.01.2023;03:00;04:00;99
07.01.2023;04:00;05:00;99
07.01.2023;05:00;06:00;99
07.01.2023;06:00;07:00;99
07.01.2023;07:00;08:00;99
07.01.2023;08:00;09:00;99
07.01.2023;09:00;10:00;104
07.01.2023;10:00;11:00;117
07.01.2023;11:00;12:00;106
07.01.2023;12:00;13:00;109
07.01.2023;13:00;14:00;114
07.01.2023;14:00;15:00;114
07.01.2023;15:00;16:00;114
07.01.2023;16:00;17:00;112
07.01.2023;17:00;18:00;116
07.01.2023;18:00;19:00;105
07.01.2023;19:00;20:00;104
07.01.2023;20:00;21:00;101
07.01.2023;21:00;22:00;101
07.01.2023;22:00;23:00;102
07.01.2023;23:00;00:00;102
08.01.2023;00:00;01:00;101
08.01.2023;01:00;02:00;101
08.01.2023;02:00;03:00;102
08.01.2023;03:00;04:00;102
08.01.2023;04:00;05:00;102
08.01.2023;05:00;06:00;101
08.01.2023;06:00;07:00;101
08.01.2023;07:00;08:00;103
08.01.2023;08:00;09:00;101
08.01.2023;09:00;10:00;100
08.01.2023;10:00;11:00;105
08.01.2023;11:00;12:00;105
