Datum;Anfang;Ende;Generation_DE PSW Markersbach PSS B [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS A [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS C [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS D [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS E [MW] Originalauflösungen;Generation_DE PSW Markersbach PSS F [MW] Originalauflösungen
01.01.2019;00:00;01:00;0;0;0;109;0;0
01.01.2019;01:00;02:00;0;0;0;115;0;0
01.01.2019;02:00;03:00;0;0;0;3;0;0
01.01.2019;03:00;04:00;0;0;0;0;0;0
01.01.2019;04:00;05:00;0;0;0;0;0;0
01.01.2019;05:00;06:00;0;0;0;0;0;0
01.01.2019;06:00;07:00;0;0;0;0;0;0
01.01.2019;07:00;08:00;0;0;0;0;0;0
01.01.2019;08:00;09:00;0;0;0;0;0;0
01.01.2019;09:00;10:00;0;0;0;0;0;0
01.01.2019;10:00;11:00;0;0;0;0;0;0
01.01.2019;11:00;12:00;0;0;0;0;0;0
01.01.2019;12:00;13:00;0;0;0;0;0;0
01.01.2019;13:00;14:00;0;0;0;0;0;1
01.01.2019;14:00;15:00;0;0;0;0;0;47
01.01.2019;15:00;16:00;0;0;0;0;0;84
01.01.2019;16:00;17:00;0;0;0;2;0;134
01.01.2019;17:00;18:00;0;116;0;175;172;175
01.01.2019;18:00;19:00;160;160;155;160;161;160
01.01.2019;19:00;20:00;152;151;152;152;153;152
01.01.2019;20:00;21:00;4;2;125;124;125;0
01.01.2019;21:00;22:00;0;0;0;92;92;0
01.01.2019;22:00;23:00;0;0;0;0;1;0
01.01.2019;23:00;00:00;0;0;0;0;0;0
02.01.2019;00:00;01:00;0;0;0;0;0;0
02.01.2019;01:00;02:00;0;0;0;0;0;0
02.01.2019;02:00;03:00;0;0;0;0;0;0
02.01.2019;03:00;04:00;0;1;0;0;0;0
02.01.2019;04:00;05:00;0;6;0;0;0;0
02.01.2019;05:00;06:00;0;0;0;0;0;0
02.01.2019;06:00;07:00;0;0;0;0;0;0
02.01.2019;07:00;08:00;0;0;0;0;0;0
02.01.2019;08:00;09:00;0;0;0;0;0;0
02.01.2019;09:00;10:00;0;0;0;0;0;0
02.01.2019;10:00;11:00;0;0;0;0;0;0
02.01.2019;11:00;12:00;0;0;0;0;0;0
02.01.2019;12:00;13:00;0;0;0;0;0;0
02.01.2019;13:00;14:00;0;0;0;0;0;0
02.01.2019;14:00;15:00;0;0;0;0;0;0
02.01.2019;15:00;16:00;0;0;0;0;0;0
02.01.2019;16:00;17:00;1;0;1;3;2;0
02.01.2019;17:00;18:00;169;0;168;168;169;167
02.01.2019;18:00;19:00;170;0;170;170;171;170
02.01.2019;19:00;20:00;148;134;148;148;149;148
02.01.2019;20:00;21:00;3;0;12;5;3;0
02.01.2019;21:00;22:00;75;0;0;13;69;0
02.01.2019;22:00;23:00;0;0;0;0;0;0
02.01.2019;23:00;00:00;0;0;0;34;0;0
03.01.2019;00:00;01:00;0;0;0;97;0;0
03.01.2019;01:00;02:00;0;0;0;0;0;0
03.01.2019;02:00;03:00;0;0;0;0;0;0
03.01.2019;03:00;04:00;0;0;0;0;0;0
03.01.2019;04:00;05:00;0;0;0;0;0;0
03.01.2019;05:00;06:00;0;0;0;1;0;0
03.01.2019;06:00;07:00;0;0;0;76;0;0
03.01.2019;07:00;08:00;1;0;1;9;1;0
03.01.2019;08:00;09:00;162;0;162;162;163;0
03.01.2019;09:00;10:00;1;0;12;0;1;0
03.01.2019;10:00;11:00;0;0;0;0;0;0
03.01.2019;11:00;12:00;0;0;0;0;0;0
03.01.2019;12:00;13:00;0;0;0;0;0;0
03.01.2019;13:00;14:00;0;0;0;0;0;0
03.01.2019;14:00;15:00;0;0;0;0;0;0
03.01.2019;15:00;16:00;3;0;1;4;3;0
03.01.2019;16:00;17:00;132;34;132;132;133;127
03.01.2019;17:00;18:00;140;140;141;141;141;140
03.01.2019;18:00;19:00;142;142;142;142;143;142
03.01.2019;19:00;20:00;113;113;113;113;114;113
03.01.2019;20:00;21:00;42;37;63;40;43;7
03.01.2019;21:00;22:00;0;0;0;0;0;0
03.01.2019;22:00;23:00;0;0;0;0;0;0
03.01.2019;23:00;00:00;0;0;0;0;0;0
04.01.2019;00:00;01:00;0;0;0;0;61;0
04.01.2019;01:00;02:00;0;0;0;0;0;0
04.01.2019;02:00;03:00;0;0;0;0;0;0
04.01.2019;03:00;04:00;0;0;0;0;0;0
04.01.2019;04:00;05:00;0;0;0;0;0;0
04.01.2019;05:00;06:00;0;0;0;0;0;0
04.01.2019;06:00;07:00;3;0;0;5;0;0
04.01.2019;07:00;08:00;99;0;0;100;1;0
04.01.2019;08:00;09:00;151;145;152;151;152;146
04.01.2019;09:00;10:00;2;1;144;1;144;0
04.01.2019;10:00;11:00;0;0;0;0;0;0
04.01.2019;11:00;12:00;0;0;0;0;0;0
04.01.2019;12:00;13:00;0;0;0;0;0;0
04.01.2019;13:00;14:00;0;0;0;0;0;0
04.01.2019;14:00;15:00;0;0;0;0;0;0
04.01.2019;15:00;16:00;0;0;0;0;0;0
04.01.2019;16:00;17:00;0;0;0;0;0;0
04.01.2019;17:00;18:00;103;105;0;107;0;0
04.01.2019;18:00;19:00;0;0;0;0;0;0
04.01.2019;19:00;20:00;9;0;0;0;0;0
04.01.2019;20:00;21:00;0;0;0;0;0;0
04.01.2019;21:00;22:00;0;0;0;0;0;0
04.01.2019;22:00;23:00;55;0;0;0;0;0
04.01.2019;23:00;00:00;0;0;0;0;0;0
05.01.2019;00:00;01:00;0;0;0;0;0;0
05.01.2019;01:00;02:00;0;0;0;0;0;0
05.01.2019;02:00;03:00;0;0;0;0;0;0
05.01.2019;03:00;04:00;0;0;0;0;0;0
05.01.2019;04:00;05:00;0;0;0;0;0;0
05.01.2019;05:00;06:00;0;0;0;0;0;0
05.01.2019;06:00;07:00;0;0;0;0;0;0
05.01.2019;07:00;08:00;0;0;0;0;0;0
05.01.2019;08:00;09:00;0;0;0;0;0;0
05.01.2019;09:00;10:00;3;0;0;0;0;0
05.01.2019;10:00;11:00;41;0;0;0;0;0
05.01.2019;11:00;12:00;3;0;0;0;0;0
05.01.2019;12:00;13:00;0;0;0;0;0;0
05.01.2019;13:00;14:00;0;0;0;0;0;0
05.01.2019;14:00;15:00;0;0;0;0;0;0
05.01.2019;15:00;16:00;2;0;0;3;0;0
05.01.2019;16:00;17:00;129;45;46;130;8;0
05.01.2019;17:00;18:00;155;155;155;155;156;0
05.01.2019;18:00;19:00;155;155;156;155;156;0
05.01.2019;19:00;20:00;161;161;161;161;162;0
05.01.2019;20:00;21:00;149;118;150;149;150;0
05.01.2019;21:00;22:00;97;0;112;100;0;0
05.01.2019;22:00;23:00;89;0;90;0;0;0
05.01.2019;23:00;00:00;0;0;40;0;0;0
06.01.2019;00:00;01:00;0;0;12;0;0;0
06.01.2019;01:00;02:00;0;0;0;0;0;0
06.01.2019;02:00;03:00;0;0;0;0;0;0
06.01.2019;03:00;04:00;0;0;0;0;0;0
06.01.2019;04:00;05:00;0;0;0;0;0;0
06.01.2019;05:00;06:00;0;0;0;0;0;0
06.01.2019;06:00;07:00;0;0;0;0;0;0
06.01.2019;07:00;08:00;0;0;0;0;0;0
06.01.2019;08:00;09:00;0;0;0;0;0;0
06.01.2019;09:00;10:00;0;0;0;0;0;0
06.01.2019;10:00;11:00;0;0;0;0;0;0
06.01.2019;11:00;12:00;0;0;0;0;0;0
06.01.2019;12:00;13:00;0;0;0;0;0;0
06.01.2019;13:00;14:00;0;0;0;0;0;0
06.01.2019;14:00;15:00;0;0;0;0;0;0
06.01.2019;15:00;16:00;0;0;0;0;0;0
06.01.2019;16:00;17:00;2;0;0;2;0;0
06.01.2019;17:00;18:00;155;3;37;156;3;2
06.01.2019;18:00;19:00;159;159;160;160;160;160
06.01.2019;19:00;20:00;159;159;159;159;159;159
06.01.2019;20:00;21:00;34;2;146;145;11;16
06.01.2019;21:00;22:00;0;0;60;0;0;0
06.01.2019;22:00;23:00;0;0;0;0;0;0
06.01.2019;23:00;00:00;0;0;0;0;0;0
07.01.2019;00:00;01:00;0;0;0;0;0;0
07.01.2019;01:00;02:00;0;0;0;0;0;0
07.01.2019;02:00;03:00;0;0;0;0;0;0
07.01.2019;03:00;04:00;0;0;0;0;0;0
07.01.2019;04:00;05:00;0;0;0;0;0;0
07.01.2019;05:00;06:00;0;0;0;0;0;0
07.01.2019;06:00;07:00;0;0;0;0;0;0
07.01.2019;07:00;08:00;2;0;0;3;0;0
07.01.2019;08:00;09:00;160;160;155;160;160;160
07.01.2019;09:00;10:00;142;142;143;142;144;143
07.01.2019;10:00;11:00;142;142;142;142;143;142
07.01.2019;11:00;12:00;152;151;152;151;154;151
07.01.2019;12:00;13:00;114;1;114;114;2;3
07.01.2019;13:00;14:00;0;0;99;2;0;0
07.01.2019;14:00;15:00;0;0;148;0;0;0
07.01.2019;15:00;16:00;0;0;0;0;0;0
07.01.2019;16:00;17:00;0;0;0;0;0;0
07.01.2019;17:00;18:00;0;0;0;0;0;0
07.01.2019;18:00;19:00;0;0;0;0;0;0
07.01.2019;19:00;20:00;0;0;0;0;0;0
07.01.2019;20:00;21:00;0;0;0;0;0;0
07.01.2019;21:00;22:00;0;0;0;0;0;0
07.01.2019;22:00;23:00;0;0;0;0;0;0
07.01.2019;23:00;00:00;0;0;0;0;0;0
08.01.2019;00:00;01:00;0;0;0;0;0;0
08.01.2019;01:00;02:00;0;0;0;0;0;0
08.01.2019;02:00;03:00;0;0;0;0;0;0
08.01.2019;03:00;04:00;0;0;0;0;0;0
08.01.2019;04:00;05:00;0;0;0;0;0;0
08.01.2019;05:00;06:00;0;0;0;0;0;0
08.01.2019;06:00;07:00;0;0;0;0;0;0
08.01.2019;07:00;08:00;0;0;121;0;0;0
08.01.2019;08:00;09:00;0;0;16;0;0;0
08.01.2019;09:00;10:00;0;0;2;0;0;0
08.01.2019;10:00;11:00;0;0;158;0;0;0
08.01.2019;11:00;12:00;0;0;156;0;0;156
08.01.2019;12:00;13:00;0;0;0;0;0;0
08.01.2019;13:00;14:00;0;0;0;0;0;0
08.01.2019;14:00;15:00;0;0;0;0;0;0
08.01.2019;15:00;16:00;0;0;0;0;0;0
08.01.2019;16:00;17:00;0;153;165;116;0;165
08.01.2019;17:00;18:00;139;142;143;143;136;142
08.01.2019;18:00;19:00;120;120;120;120;121;120
08.01.2019;19:00;20:00;119;118;119;119;120;120
08.01.2019;20:00;21:00;1;0;1;0;2;59
08.01.2019;21:00;22:00;0;0;0;0;0;0
08.01.2019;22:00;23:00;0;0;0;0;0;0
08.01.2019;23:00;00:00;0;0;0;0;0;0
09.01.2019;00:00;01:00;0;0;0;0;0;0
09.01.2019;01:00;02:00;0;0;0;0;0;0
09.01.2019;02:00;03:00;0;0;0;0;0;0
09.01.2019;03:00;04:00;0;0;0;0;0;0
09.01.2019;04:00;05:00;0;0;0;0;0;0
09.01.2019;05:00;06:00;0;0;0;0;0;0
09.01.2019;06:00;07:00;0;0;0;0;0;0
09.01.2019;07:00;08:00;0;0;0;0;0;0
09.01.2019;08:00;09:00;0;0;60;0;0;0
09.01.2019;09:00;10:00;0;0;152;0;0;0
09.01.2019;10:00;11:00;0;0;40;0;0;0
09.01.2019;11:00;12:00;0;0;69;0;0;0
09.01.2019;12:00;13:00;0;0;43;0;0;0
09.01.2019;13:00;14:00;0;0;0;0;0;0
09.01.2019;14:00;15:00;0;0;0;0;0;0
09.01.2019;15:00;16:00;0;0;34;0;0;0
09.01.2019;16:00;17:00;0;76;126;0;0;0
09.01.2019;17:00;18:00;0;128;129;2;0;0
09.01.2019;18:00;19:00;127;133;133;132;23;108
09.01.2019;19:00;20:00;142;79;161;89;161;0
09.01.2019;20:00;21:00;0;0;1;0;0;0
09.01.2019;21:00;22:00;0;3;0;0;0;0
09.01.2019;22:00;23:00;0;48;80;0;0;0
09.01.2019;23:00;00:00;0;0;0;0;0;0
10.01.2019;00:00;01:00;0;0;0;0;0;0
10.01.2019;01:00;02:00;0;0;0;0;0;0
10.01.2019;02:00;03:00;0;0;0;0;0;0
10.01.2019;03:00;04:00;0;0;0;0;0;0
10.01.2019;04:00;05:00;0;0;0;0;0;0
10.01.2019;05:00;06:00;0;0;0;0;0;0
10.01.2019;06:00;07:00;0;0;0;0;0;0
10.01.2019;07:00;08:00;0;0;0;0;0;0
10.01.2019;08:00;09:00;0;5;3;0;0;0
10.01.2019;09:00;10:00;39;156;156;0;0;0
10.01.2019;10:00;11:00;17;168;168;0;0;0
10.01.2019;11:00;12:00;0;1;113;0;0;0
10.01.2019;12:00;13:00;0;0;0;0;0;0
10.01.2019;13:00;14:00;0;42;0;0;0;0
10.01.2019;14:00;15:00;0;56;0;0;0;0
10.01.2019;15:00;16:00;6;107;30;3;0;0
10.01.2019;16:00;17:00;150;150;37;150;0;0
10.01.2019;17:00;18:00;151;152;152;152;111;74
10.01.2019;18:00;19:00;43;127;127;126;128;127
10.01.2019;19:00;20:00;0;130;130;131;131;130
10.01.2019;20:00;21:00;0;115;115;0;116;115
