Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;0
01.01.2022;01:00;02:00;0
01.01.2022;02:00;03:00;0
01.01.2022;03:00;04:00;0
01.01.2022;04:00;05:00;0
01.01.2022;05:00;06:00;0
01.01.2022;06:00;07:00;0
01.01.2022;07:00;08:00;0
01.01.2022;08:00;09:00;0
01.01.2022;09:00;10:00;0
01.01.2022;10:00;11:00;0
01.01.2022;11:00;12:00;0
01.01.2022;12:00;13:00;0
01.01.2022;13:00;14:00;0
01.01.2022;14:00;15:00;0
01.01.2022;15:00;16:00;0
01.01.2022;16:00;17:00;0
01.01.2022;17:00;18:00;0
01.01.2022;18:00;19:00;0
01.01.2022;19:00;20:00;0
01.01.2022;20:00;21:00;0
01.01.2022;21:00;22:00;0
01.01.2022;22:00;23:00;0
01.01.2022;23:00;00:00;0
02.01.2022;00:00;01:00;0
02.01.2022;01:00;02:00;0
02.01.2022;02:00;03:00;0
02.01.2022;03:00;04:00;0
02.01.2022;04:00;05:00;0
02.01.2022;05:00;06:00;0
02.01.2022;06:00;07:00;0
02.01.2022;07:00;08:00;0
02.01.2022;08:00;09:00;0
02.01.2022;09:00;10:00;0
02.01.2022;10:00;11:00;0
02.01.2022;11:00;12:00;0
02.01.2022;12:00;13:00;0
02.01.2022;13:00;14:00;0
02.01.2022;14:00;15:00;0
02.01.2022;15:00;16:00;0
02.01.2022;16:00;17:00;0
02.01.2022;17:00;18:00;0
02.01.2022;18:00;19:00;0
02.01.2022;19:00;20:00;0
02.01.2022;20:00;21:00;0
02.01.2022;21:00;22:00;0
02.01.2022;22:00;23:00;0
02.01.2022;23:00;00:00;0
03.01.2022;00:00;01:00;0
03.01.2022;01:00;02:00;0
03.01.2022;02:00;03:00;0
03.01.2022;03:00;04:00;0
03.01.2022;04:00;05:00;0
03.01.2022;05:00;06:00;0
03.01.2022;06:00;07:00;0
03.01.2022;07:00;08:00;0
03.01.2022;08:00;09:00;0
03.01.2022;09:00;10:00;0
03.01.2022;10:00;11:00;0
03.01.2022;11:00;12:00;0
03.01.2022;12:00;13:00;0
03.01.2022;13:00;14:00;0
03.01.2022;14:00;15:00;0
03.01.2022;15:00;16:00;0
03.01.2022;16:00;17:00;0
03.01.2022;17:00;18:00;0
03.01.2022;18:00;19:00;0
03.01.2022;19:00;20:00;0
03.01.2022;20:00;21:00;0
03.01.2022;21:00;22:00;0
03.01.2022;22:00;23:00;0
03.01.2022;23:00;00:00;0
04.01.2022;00:00;01:00;0
04.01.2022;01:00;02:00;0
04.01.2022;02:00;03:00;0
04.01.2022;03:00;04:00;0
04.01.2022;04:00;05:00;0
04.01.2022;05:00;06:00;0
04.01.2022;06:00;07:00;0
04.01.2022;07:00;08:00;0
04.01.2022;08:00;09:00;0
04.01.2022;09:00;10:00;0
04.01.2022;10:00;11:00;0
04.01.2022;11:00;12:00;0
04.01.2022;12:00;13:00;0
04.01.2022;13:00;14:00;0
04.01.2022;14:00;15:00;0
04.01.2022;15:00;16:00;0
04.01.2022;16:00;17:00;1
04.01.2022;17:00;18:00;110
04.01.2022;18:00;19:00;50
04.01.2022;19:00;20:00;0
04.01.2022;20:00;21:00;0
04.01.2022;21:00;22:00;0
04.01.2022;22:00;23:00;0
04.01.2022;23:00;00:00;0
05.01.2022;00:00;01:00;0
05.01.2022;01:00;02:00;0
05.01.2022;02:00;03:00;0
05.01.2022;03:00;04:00;0
05.01.2022;04:00;05:00;0
05.01.2022;05:00;06:00;0
05.01.2022;06:00;07:00;0
05.01.2022;07:00;08:00;0
05.01.2022;08:00;09:00;0
05.01.2022;09:00;10:00;0
05.01.2022;10:00;11:00;0
05.01.2022;11:00;12:00;0
05.01.2022;12:00;13:00;0
05.01.2022;13:00;14:00;0
05.01.2022;14:00;15:00;0
05.01.2022;15:00;16:00;0
05.01.2022;16:00;17:00;0
05.01.2022;17:00;18:00;0
05.01.2022;18:00;19:00;0
05.01.2022;19:00;20:00;0
05.01.2022;20:00;21:00;0
05.01.2022;21:00;22:00;0
05.01.2022;22:00;23:00;0
05.01.2022;23:00;00:00;0
06.01.2022;00:00;01:00;0
06.01.2022;01:00;02:00;0
06.01.2022;02:00;03:00;0
06.01.2022;03:00;04:00;0
06.01.2022;04:00;05:00;0
06.01.2022;05:00;06:00;0
06.01.2022;06:00;07:00;0
06.01.2022;07:00;08:00;9
06.01.2022;08:00;09:00;40
06.01.2022;09:00;10:00;17
06.01.2022;10:00;11:00;29
06.01.2022;11:00;12:00;40
06.01.2022;12:00;13:00;8
06.01.2022;13:00;14:00;0
06.01.2022;14:00;15:00;0
06.01.2022;15:00;16:00;1
06.01.2022;16:00;17:00;74
06.01.2022;17:00;18:00;100
06.01.2022;18:00;19:00;85
06.01.2022;19:00;20:00;80
06.01.2022;20:00;21:00;5
06.01.2022;21:00;22:00;0
06.01.2022;22:00;23:00;0
06.01.2022;23:00;00:00;0
07.01.2022;00:00;01:00;0
07.01.2022;01:00;02:00;0
07.01.2022;02:00;03:00;0
07.01.2022;03:00;04:00;0
07.01.2022;04:00;05:00;0
07.01.2022;05:00;06:00;0
07.01.2022;06:00;07:00;2
07.01.2022;07:00;08:00;7
07.01.2022;08:00;09:00;0
07.01.2022;09:00;10:00;0
07.01.2022;10:00;11:00;0
07.01.2022;11:00;12:00;0
07.01.2022;12:00;13:00;0
07.01.2022;13:00;14:00;0
07.01.2022;14:00;15:00;0
07.01.2022;15:00;16:00;0
07.01.2022;16:00;17:00;1
07.01.2022;17:00;18:00;50
07.01.2022;18:00;19:00;138
07.01.2022;19:00;20:00;28
07.01.2022;20:00;21:00;0
07.01.2022;21:00;22:00;0
07.01.2022;22:00;23:00;0
07.01.2022;23:00;00:00;2
08.01.2022;00:00;01:00;27
08.01.2022;01:00;02:00;2
08.01.2022;02:00;03:00;8
08.01.2022;03:00;04:00;2
08.01.2022;04:00;05:00;10
08.01.2022;05:00;06:00;2
08.01.2022;06:00;07:00;12
08.01.2022;07:00;08:00;2
08.01.2022;08:00;09:00;2
08.01.2022;09:00;10:00;42
08.01.2022;10:00;11:00;12
08.01.2022;11:00;12:00;0
08.01.2022;12:00;13:00;0
08.01.2022;13:00;14:00;2
08.01.2022;14:00;15:00;2
08.01.2022;15:00;16:00;1
08.01.2022;16:00;17:00;8
08.01.2022;17:00;18:00;26
08.01.2022;18:00;19:00;3
08.01.2022;19:00;20:00;0
08.01.2022;20:00;21:00;0
08.01.2022;21:00;22:00;2
08.01.2022;22:00;23:00;2
08.01.2022;23:00;00:00;3
09.01.2022;00:00;01:00;3
09.01.2022;01:00;02:00;2
09.01.2022;02:00;03:00;2
09.01.2022;03:00;04:00;6
09.01.2022;04:00;05:00;4
09.01.2022;05:00;06:00;1
09.01.2022;06:00;07:00;2
09.01.2022;07:00;08:00;48
09.01.2022;08:00;09:00;29
09.01.2022;09:00;10:00;28
09.01.2022;10:00;11:00;18
09.01.2022;11:00;12:00;51
09.01.2022;12:00;13:00;54
09.01.2022;13:00;14:00;0
09.01.2022;14:00;15:00;0
09.01.2022;15:00;16:00;0
09.01.2022;16:00;17:00;0
09.01.2022;17:00;18:00;0
09.01.2022;18:00;19:00;0
09.01.2022;19:00;20:00;0
09.01.2022;20:00;21:00;0
09.01.2022;21:00;22:00;0
09.01.2022;22:00;23:00;0
09.01.2022;23:00;00:00;0
10.01.2022;00:00;01:00;0
10.01.2022;01:00;02:00;0
10.01.2022;02:00;03:00;0
10.01.2022;03:00;04:00;0
10.01.2022;04:00;05:00;0
10.01.2022;05:00;06:00;0
10.01.2022;06:00;07:00;0
10.01.2022;07:00;08:00;0
10.01.2022;08:00;09:00;0
10.01.2022;09:00;10:00;0
10.01.2022;10:00;11:00;0
10.01.2022;11:00;12:00;0
10.01.2022;12:00;13:00;0
10.01.2022;13:00;14:00;0
10.01.2022;14:00;15:00;0
10.01.2022;15:00;16:00;225
10.01.2022;16:00;17:00;85
10.01.2022;17:00;18:00;12
10.01.2022;18:00;19:00;0
10.01.2022;19:00;20:00;0
10.01.2022;20:00;21:00;0
10.01.2022;21:00;22:00;0
10.01.2022;22:00;23:00;0
10.01.2022;23:00;00:00;0
11.01.2022;00:00;01:00;0
11.01.2022;01:00;02:00;0
11.01.2022;02:00;03:00;0
11.01.2022;03:00;04:00;0
11.01.2022;04:00;05:00;0
11.01.2022;05:00;06:00;0
11.01.2022;06:00;07:00;0
11.01.2022;07:00;08:00;0
11.01.2022;08:00;09:00;0
11.01.2022;09:00;10:00;0
11.01.2022;10:00;11:00;0
11.01.2022;11:00;12:00;0
11.01.2022;12:00;13:00;0
11.01.2022;13:00;14:00;0
11.01.2022;14:00;15:00;0
11.01.2022;15:00;16:00;0
11.01.2022;16:00;17:00;0
11.01.2022;17:00;18:00;0
11.01.2022;18:00;19:00;0
11.01.2022;19:00;20:00;0
11.01.2022;20:00;21:00;0
11.01.2022;21:00;22:00;0
11.01.2022;22:00;23:00;0
11.01.2022;23:00;00:00;0
12.01.2022;00:00;01:00;1
