Datum;Anfang;Ende;Generation_DE A [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE Neurath C [MW] Originalauflösungen;Generation_DE Neurath D [MW] Originalauflösungen;Generation_DE Neurath E [MW] Originalauflösungen;Generation_DE Neurath F [MW] Originalauflösungen;Generation_DE Neurath G [MW] Originalauflösungen
01.01.2023;00:00;01:00;-;-;0;273;272;0;0
01.01.2023;01:00;02:00;-;-;0;273;272;0;0
01.01.2023;02:00;03:00;-;-;0;272;272;0;0
01.01.2023;03:00;04:00;-;-;0;273;272;0;0
01.01.2023;04:00;05:00;-;-;0;273;272;0;0
01.01.2023;05:00;06:00;-;-;0;273;272;0;0
01.01.2023;06:00;07:00;-;-;0;274;271;0;0
01.01.2023;07:00;08:00;-;-;0;272;273;0;0
01.01.2023;08:00;09:00;-;-;0;272;270;0;0
01.01.2023;09:00;10:00;-;-;0;272;270;0;0
01.01.2023;10:00;11:00;-;-;0;272;275;0;0
01.01.2023;11:00;12:00;-;-;0;279;270;0;0
01.01.2023;12:00;13:00;-;-;0;273;272;0;0
01.01.2023;13:00;14:00;-;-;0;274;271;0;0
01.01.2023;14:00;15:00;-;-;0;273;274;0;0
01.01.2023;15:00;16:00;-;-;0;275;270;0;0
01.01.2023;16:00;17:00;-;-;0;274;274;0;0
01.01.2023;17:00;18:00;-;-;0;276;274;0;0
01.01.2023;18:00;19:00;-;-;0;274;272;0;0
01.01.2023;19:00;20:00;-;-;0;274;272;0;0
01.01.2023;20:00;21:00;-;-;0;274;271;0;0
01.01.2023;21:00;22:00;-;-;0;276;272;0;0
01.01.2023;22:00;23:00;-;-;0;268;269;0;0
01.01.2023;23:00;00:00;-;-;0;263;259;0;0
02.01.2023;00:00;01:00;-;-;0;260;261;0;0
02.01.2023;01:00;02:00;-;-;0;255;252;0;0
02.01.2023;02:00;03:00;-;-;0;256;257;0;0
02.01.2023;03:00;04:00;-;-;0;270;268;0;0
02.01.2023;04:00;05:00;-;-;0;278;278;136;0
02.01.2023;05:00;06:00;-;-;6;280;281;414;0
02.01.2023;06:00;07:00;-;-;147;281;280;650;0
02.01.2023;07:00;08:00;-;-;201;280;280;1.007;0
02.01.2023;08:00;09:00;-;-;199;290;289;1.021;0
02.01.2023;09:00;10:00;-;-;250;508;514;1.016;0
02.01.2023;10:00;11:00;-;-;288;553;541;1.024;0
02.01.2023;11:00;12:00;-;-;288;552;544;1.029;0
02.01.2023;12:00;13:00;-;-;288;552;542;1.027;0
02.01.2023;13:00;14:00;-;-;288;553;543;1.030;0
02.01.2023;14:00;15:00;-;-;288;552;543;1.031;0
02.01.2023;15:00;16:00;-;-;288;553;542;1.033;0
02.01.2023;16:00;17:00;-;-;289;553;542;1.033;0
02.01.2023;17:00;18:00;-;-;289;553;543;1.034;0
02.01.2023;18:00;19:00;-;-;288;554;543;1.032;0
02.01.2023;19:00;20:00;-;-;289;555;545;1.035;0
02.01.2023;20:00;21:00;-;-;289;555;544;1.032;0
02.01.2023;21:00;22:00;-;-;289;554;544;1.033;0
02.01.2023;22:00;23:00;-;-;289;554;543;1.034;0
02.01.2023;23:00;00:00;-;-;289;554;545;1.034;0
03.01.2023;00:00;01:00;-;-;289;556;546;1.034;0
03.01.2023;01:00;02:00;-;-;288;549;543;1.035;0
03.01.2023;02:00;03:00;-;-;288;409;413;1.036;0
03.01.2023;03:00;04:00;-;-;289;395;387;1.033;0
03.01.2023;04:00;05:00;-;-;289;396;384;1.036;0
03.01.2023;05:00;06:00;-;-;289;396;387;1.036;0
03.01.2023;06:00;07:00;-;-;289;396;386;1.034;0
03.01.2023;07:00;08:00;-;-;289;457;454;1.033;0
03.01.2023;08:00;09:00;-;-;289;557;545;1.035;0
03.01.2023;09:00;10:00;-;-;289;554;544;1.032;0
03.01.2023;10:00;11:00;-;-;289;556;543;1.033;0
03.01.2023;11:00;12:00;-;-;289;554;543;1.036;0
03.01.2023;12:00;13:00;-;-;289;554;543;1.032;0
03.01.2023;13:00;14:00;-;-;289;555;544;1.031;0
03.01.2023;14:00;15:00;-;-;289;554;545;1.036;0
03.01.2023;15:00;16:00;-;-;289;554;543;1.036;0
03.01.2023;16:00;17:00;-;-;289;557;545;1.033;0
03.01.2023;17:00;18:00;-;-;289;554;544;1.035;0
03.01.2023;18:00;19:00;-;-;289;554;543;1.031;0
03.01.2023;19:00;20:00;-;-;289;557;543;1.036;0
03.01.2023;20:00;21:00;-;-;289;555;544;1.033;0
03.01.2023;21:00;22:00;-;-;287;555;544;1.033;0
03.01.2023;22:00;23:00;-;-;214;544;543;1.031;0
03.01.2023;23:00;00:00;-;-;199;328;333;825;0
04.01.2023;00:00;01:00;-;-;199;270;0;481;0
04.01.2023;01:00;02:00;-;-;199;275;0;483;0
04.01.2023;02:00;03:00;-;-;199;276;0;482;0
04.01.2023;03:00;04:00;-;-;199;276;0;479;0
04.01.2023;04:00;05:00;-;-;198;273;0;483;0
04.01.2023;05:00;06:00;-;-;198;273;0;481;0
04.01.2023;06:00;07:00;-;-;198;272;0;481;0
04.01.2023;07:00;08:00;-;-;198;272;0;477;0
04.01.2023;08:00;09:00;-;-;198;279;0;482;0
04.01.2023;09:00;10:00;-;-;199;361;0;480;0
04.01.2023;10:00;11:00;-;-;198;361;0;482;0
04.01.2023;11:00;12:00;-;-;199;364;0;482;0
04.01.2023;12:00;13:00;-;-;198;361;0;480;0
04.01.2023;13:00;14:00;-;-;198;363;0;482;0
04.01.2023;14:00;15:00;-;-;199;361;0;481;0
04.01.2023;15:00;16:00;-;-;178;357;0;482;0
04.01.2023;16:00;17:00;-;-;0;273;0;481;0
04.01.2023;17:00;18:00;-;-;0;270;0;481;0
04.01.2023;18:00;19:00;-;-;0;273;0;481;0
04.01.2023;19:00;20:00;-;-;0;270;0;482;0
04.01.2023;20:00;21:00;-;-;0;270;0;480;0
04.01.2023;21:00;22:00;-;-;0;272;0;482;0
04.01.2023;22:00;23:00;-;-;0;271;0;479;0
04.01.2023;23:00;00:00;-;-;0;275;0;484;0
05.01.2023;00:00;01:00;-;-;0;465;0;480;0
05.01.2023;01:00;02:00;-;-;0;550;0;485;0
05.01.2023;02:00;03:00;-;-;0;551;0;483;0
05.01.2023;03:00;04:00;-;-;0;551;0;483;0
05.01.2023;04:00;05:00;-;-;0;550;0;482;0
05.01.2023;05:00;06:00;-;-;0;552;0;479;0
05.01.2023;06:00;07:00;-;-;0;549;0;586;0
05.01.2023;07:00;08:00;-;-;0;552;0;939;0
05.01.2023;08:00;09:00;-;-;0;551;0;1.030;0
05.01.2023;09:00;10:00;-;-;0;552;0;1.022;0
05.01.2023;10:00;11:00;-;-;0;552;0;1.025;0
05.01.2023;11:00;12:00;-;-;0;552;0;1.032;0
05.01.2023;12:00;13:00;-;-;0;552;0;1.032;0
05.01.2023;13:00;14:00;-;-;0;550;0;1.026;0
05.01.2023;14:00;15:00;-;-;0;552;0;1.025;0
05.01.2023;15:00;16:00;-;-;0;549;0;1.028;0
05.01.2023;16:00;17:00;-;-;0;553;0;1.030;0
05.01.2023;17:00;18:00;-;-;0;553;0;1.031;0
05.01.2023;18:00;19:00;-;-;0;552;0;1.026;0
05.01.2023;19:00;20:00;-;-;0;553;0;1.028;0
05.01.2023;20:00;21:00;-;-;0;553;0;1.026;0
05.01.2023;21:00;22:00;-;-;0;554;0;1.027;0
05.01.2023;22:00;23:00;-;-;0;553;0;1.030;0
05.01.2023;23:00;00:00;-;-;0;552;0;1.028;0
06.01.2023;00:00;01:00;-;-;0;552;0;1.027;0
06.01.2023;01:00;02:00;-;-;0;551;0;1.029;0
06.01.2023;02:00;03:00;-;-;0;553;0;1.030;0
06.01.2023;03:00;04:00;-;-;0;551;0;1.028;0
06.01.2023;04:00;05:00;-;-;0;552;0;1.034;0
06.01.2023;05:00;06:00;-;-;0;551;0;1.032;0
06.01.2023;06:00;07:00;-;-;0;552;0;1.027;0
06.01.2023;07:00;08:00;-;-;0;551;0;1.026;0
06.01.2023;08:00;09:00;-;-;0;552;0;1.030;0
06.01.2023;09:00;10:00;-;-;0;553;0;1.031;0
06.01.2023;10:00;11:00;-;-;0;552;0;1.029;0
06.01.2023;11:00;12:00;-;-;0;553;0;1.030;0
06.01.2023;12:00;13:00;-;-;0;552;0;1.028;0
06.01.2023;13:00;14:00;-;-;0;551;0;1.025;0
06.01.2023;14:00;15:00;-;-;0;551;0;1.027;0
06.01.2023;15:00;16:00;-;-;0;553;0;1.032;0
06.01.2023;16:00;17:00;-;-;0;552;0;1.029;0
06.01.2023;17:00;18:00;-;-;0;552;0;1.030;0
06.01.2023;18:00;19:00;-;-;0;553;0;1.029;0
06.01.2023;19:00;20:00;-;-;0;553;0;1.034;0
06.01.2023;20:00;21:00;-;-;0;551;0;1.023;0
06.01.2023;21:00;22:00;-;-;0;553;0;1.028;0
06.01.2023;22:00;23:00;-;-;0;505;0;1.025;0
06.01.2023;23:00;00:00;-;-;0;277;0;1.027;0
07.01.2023;00:00;01:00;-;-;0;274;0;1.031;0
07.01.2023;01:00;02:00;-;-;0;273;0;1.026;0
07.01.2023;02:00;03:00;-;-;0;273;0;1.003;0
07.01.2023;03:00;04:00;-;-;0;273;0;905;0
07.01.2023;04:00;05:00;-;-;0;272;0;762;0
07.01.2023;05:00;06:00;-;-;0;272;0;746;0
07.01.2023;06:00;07:00;-;-;0;271;0;934;0
07.01.2023;07:00;08:00;-;-;0;268;0;1.023;0
07.01.2023;08:00;09:00;-;-;0;274;0;1.027;0
07.01.2023;09:00;10:00;-;-;0;272;0;1.023;0
07.01.2023;10:00;11:00;-;-;0;301;0;1.022;0
07.01.2023;11:00;12:00;-;-;0;533;0;1.023;0
07.01.2023;12:00;13:00;-;-;0;507;0;1.025;0
07.01.2023;13:00;14:00;-;-;0;286;0;1.024;0
07.01.2023;14:00;15:00;-;-;0;278;0;1.015;0
07.01.2023;15:00;16:00;-;-;0;272;0;1.018;0
07.01.2023;16:00;17:00;-;-;0;271;0;1.009;0
07.01.2023;17:00;18:00;-;-;0;273;0;1.017;0
07.01.2023;18:00;19:00;-;-;0;272;0;1.019;0
07.01.2023;19:00;20:00;-;-;0;272;0;1.006;0
07.01.2023;20:00;21:00;-;-;0;272;0;727;0
07.01.2023;21:00;22:00;-;-;0;270;0;478;0
07.01.2023;22:00;23:00;-;-;0;272;0;477;0
07.01.2023;23:00;00:00;-;-;0;271;0;480;0
08.01.2023;00:00;01:00;-;-;0;270;0;482;0
08.01.2023;01:00;02:00;-;-;0;274;0;480;0
08.01.2023;02:00;03:00;-;-;0;270;0;481;0
08.01.2023;03:00;04:00;-;-;0;272;0;480;0
08.01.2023;04:00;05:00;-;-;0;270;0;480;0
08.01.2023;05:00;06:00;-;-;0;271;0;481;0
08.01.2023;06:00;07:00;-;-;0;273;0;481;0
08.01.2023;07:00;08:00;-;-;0;270;0;480;0
08.01.2023;08:00;09:00;-;-;0;273;0;510;0
08.01.2023;09:00;10:00;-;-;0;272;0;725;0
08.01.2023;10:00;11:00;-;-;0;342;0;999;0
08.01.2023;11:00;12:00;-;-;0;552;0;1.021;0
08.01.2023;12:00;13:00;-;-;0;549;0;1.017;0
08.01.2023;13:00;14:00;-;-;0;552;0;1.019;0
08.01.2023;14:00;15:00;-;-;0;552;0;1.020;0
08.01.2023;15:00;16:00;-;-;0;551;0;1.014;0
08.01.2023;16:00;17:00;-;-;0;554;0;1.022;0
08.01.2023;17:00;18:00;-;-;0;553;0;1.022;0
08.01.2023;18:00;19:00;-;-;0;553;0;1.022;0
08.01.2023;19:00;20:00;-;-;0;552;0;1.021;0
08.01.2023;20:00;21:00;-;-;0;552;0;1.023;180
08.01.2023;21:00;22:00;-;-;0;554;0;1.028;517
08.01.2023;22:00;23:00;-;-;0;555;0;1.025;633
08.01.2023;23:00;00:00;-;-;0;549;0;1.025;762
09.01.2023;00:00;01:00;-;-;0;330;0;970;665
09.01.2023;01:00;02:00;-;-;0;273;0;551;485
09.01.2023;02:00;03:00;-;-;0;272;0;481;480
09.01.2023;03:00;04:00;-;-;0;272;0;483;482
09.01.2023;04:00;05:00;-;-;0;273;0;484;479
09.01.2023;05:00;06:00;-;-;36;273;172;744;692
09.01.2023;06:00;07:00;-;-;172;347;364;1.026;1.039
09.01.2023;07:00;08:00;-;-;214;552;525;1.025;1.036
09.01.2023;08:00;09:00;-;-;279;550;536;1.028;1.041
09.01.2023;09:00;10:00;-;-;288;556;536;1.028;1.040
09.01.2023;10:00;11:00;-;-;289;556;536;1.030;1.038
09.01.2023;11:00;12:00;-;-;289;554;535;1.031;1.034
09.01.2023;12:00;13:00;-;-;289;556;535;1.030;1.034
09.01.2023;13:00;14:00;-;-;289;556;536;1.030;1.032
09.01.2023;14:00;15:00;-;-;289;555;537;1.031;1.027
09.01.2023;15:00;16:00;-;-;289;556;536;1.032;1.027
09.01.2023;16:00;17:00;-;-;289;555;535;1.033;1.028
09.01.2023;17:00;18:00;-;-;289;556;536;1.035;1.026
09.01.2023;18:00;19:00;-;-;289;555;536;1.032;1.030
09.01.2023;19:00;20:00;-;-;289;553;537;1.038;1.028
09.01.2023;20:00;21:00;-;-;288;500;537;1.038;1.028
09.01.2023;21:00;22:00;-;-;288;551;537;1.041;1.028
09.01.2023;22:00;23:00;-;-;288;555;537;1.038;1.027
09.01.2023;23:00;00:00;-;-;288;557;537;1.039;1.032
10.01.2023;00:00;01:00;-;-;288;557;537;1.039;1.047
10.01.2023;01:00;02:00;-;-;289;556;537;1.038;1.046
10.01.2023;02:00;03:00;-;-;288;556;537;1.039;1.049
10.01.2023;03:00;04:00;-;-;288;557;536;1.036;1.047
10.01.2023;04:00;05:00;-;-;288;556;537;1.040;1.048
10.01.2023;05:00;06:00;-;-;288;558;538;1.037;1.049
10.01.2023;06:00;07:00;-;-;288;555;537;1.039;1.047
10.01.2023;07:00;08:00;-;-;288;555;536;1.037;1.044
