Datum;Anfang;Ende;Generation_DE  [MW] Originalauflösungen
01.01.2022;00:00;01:00;139
01.01.2022;01:00;02:00;139
01.01.2022;02:00;03:00;138
01.01.2022;03:00;04:00;138
01.01.2022;04:00;05:00;139
01.01.2022;05:00;06:00;139
01.01.2022;06:00;07:00;139
01.01.2022;07:00;08:00;139
01.01.2022;08:00;09:00;139
01.01.2022;09:00;10:00;140
01.01.2022;10:00;11:00;139
01.01.2022;11:00;12:00;139
01.01.2022;12:00;13:00;139
01.01.2022;13:00;14:00;138
01.01.2022;14:00;15:00;139
01.01.2022;15:00;16:00;140
01.01.2022;16:00;17:00;140
01.01.2022;17:00;18:00;140
01.01.2022;18:00;19:00;140
01.01.2022;19:00;20:00;140
01.01.2022;20:00;21:00;140
01.01.2022;21:00;22:00;140
01.01.2022;22:00;23:00;140
01.01.2022;23:00;00:00;140
02.01.2022;00:00;01:00;141
02.01.2022;01:00;02:00;141
02.01.2022;02:00;03:00;141
02.01.2022;03:00;04:00;141
02.01.2022;04:00;05:00;141
02.01.2022;05:00;06:00;141
02.01.2022;06:00;07:00;141
02.01.2022;07:00;08:00;141
02.01.2022;08:00;09:00;141
02.01.2022;09:00;10:00;141
02.01.2022;10:00;11:00;141
02.01.2022;11:00;12:00;141
02.01.2022;12:00;13:00;142
02.01.2022;13:00;14:00;142
02.01.2022;14:00;15:00;141
02.01.2022;15:00;16:00;141
02.01.2022;16:00;17:00;141
02.01.2022;17:00;18:00;141
02.01.2022;18:00;19:00;141
02.01.2022;19:00;20:00;141
02.01.2022;20:00;21:00;141
02.01.2022;21:00;22:00;141
02.01.2022;22:00;23:00;142
02.01.2022;23:00;00:00;142
03.01.2022;00:00;01:00;142
03.01.2022;01:00;02:00;142
03.01.2022;02:00;03:00;142
03.01.2022;03:00;04:00;141
03.01.2022;04:00;05:00;141
03.01.2022;05:00;06:00;141
03.01.2022;06:00;07:00;141
03.01.2022;07:00;08:00;141
03.01.2022;08:00;09:00;141
03.01.2022;09:00;10:00;141
03.01.2022;10:00;11:00;141
03.01.2022;11:00;12:00;142
03.01.2022;12:00;13:00;142
03.01.2022;13:00;14:00;142
03.01.2022;14:00;15:00;142
03.01.2022;15:00;16:00;141
03.01.2022;16:00;17:00;141
03.01.2022;17:00;18:00;141
03.01.2022;18:00;19:00;142
03.01.2022;19:00;20:00;142
03.01.2022;20:00;21:00;142
03.01.2022;21:00;22:00;142
03.01.2022;22:00;23:00;142
03.01.2022;23:00;00:00;141
04.01.2022;00:00;01:00;140
04.01.2022;01:00;02:00;138
04.01.2022;02:00;03:00;137
04.01.2022;03:00;04:00;140
04.01.2022;04:00;05:00;140
04.01.2022;05:00;06:00;140
04.01.2022;06:00;07:00;140
04.01.2022;07:00;08:00;141
04.01.2022;08:00;09:00;141
04.01.2022;09:00;10:00;141
04.01.2022;10:00;11:00;141
04.01.2022;11:00;12:00;140
04.01.2022;12:00;13:00;140
04.01.2022;13:00;14:00;139
04.01.2022;14:00;15:00;139
04.01.2022;15:00;16:00;139
04.01.2022;16:00;17:00;139
04.01.2022;17:00;18:00;139
04.01.2022;18:00;19:00;140
04.01.2022;19:00;20:00;140
04.01.2022;20:00;21:00;139
04.01.2022;21:00;22:00;139
04.01.2022;22:00;23:00;139
04.01.2022;23:00;00:00;139
05.01.2022;00:00;01:00;139
05.01.2022;01:00;02:00;139
05.01.2022;02:00;03:00;139
05.01.2022;03:00;04:00;139
05.01.2022;04:00;05:00;139
05.01.2022;05:00;06:00;140
05.01.2022;06:00;07:00;141
05.01.2022;07:00;08:00;141
05.01.2022;08:00;09:00;141
05.01.2022;09:00;10:00;141
05.01.2022;10:00;11:00;141
05.01.2022;11:00;12:00;140
05.01.2022;12:00;13:00;140
05.01.2022;13:00;14:00;140
05.01.2022;14:00;15:00;140
05.01.2022;15:00;16:00;140
05.01.2022;16:00;17:00;140
05.01.2022;17:00;18:00;140
05.01.2022;18:00;19:00;140
05.01.2022;19:00;20:00;140
05.01.2022;20:00;21:00;140
05.01.2022;21:00;22:00;139
05.01.2022;22:00;23:00;140
05.01.2022;23:00;00:00;139
06.01.2022;00:00;01:00;140
06.01.2022;01:00;02:00;139
06.01.2022;02:00;03:00;139
06.01.2022;03:00;04:00;139
06.01.2022;04:00;05:00;139
06.01.2022;05:00;06:00;140
06.01.2022;06:00;07:00;140
06.01.2022;07:00;08:00;141
06.01.2022;08:00;09:00;141
06.01.2022;09:00;10:00;140
06.01.2022;10:00;11:00;139
06.01.2022;11:00;12:00;139
06.01.2022;12:00;13:00;139
06.01.2022;13:00;14:00;139
06.01.2022;14:00;15:00;139
06.01.2022;15:00;16:00;140
06.01.2022;16:00;17:00;140
06.01.2022;17:00;18:00;140
06.01.2022;18:00;19:00;140
06.01.2022;19:00;20:00;140
06.01.2022;20:00;21:00;140
06.01.2022;21:00;22:00;140
06.01.2022;22:00;23:00;140
06.01.2022;23:00;00:00;140
07.01.2022;00:00;01:00;140
07.01.2022;01:00;02:00;140
07.01.2022;02:00;03:00;140
07.01.2022;03:00;04:00;140
07.01.2022;04:00;05:00;140
07.01.2022;05:00;06:00;141
07.01.2022;06:00;07:00;141
07.01.2022;07:00;08:00;141
07.01.2022;08:00;09:00;140
07.01.2022;09:00;10:00;140
07.01.2022;10:00;11:00;140
07.01.2022;11:00;12:00;140
07.01.2022;12:00;13:00;140
07.01.2022;13:00;14:00;140
07.01.2022;14:00;15:00;140
07.01.2022;15:00;16:00;140
